frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
310,0.058137,0.031072,-0.01942,0.001944,-0.016032,0.012938,0.043197,-0.25579,-0.251136,-0.065604,0.079608,0.016391,-0.062376,-0.000295,-0.020254,0.007839,-0.107704,0.05715,-0.084919,-1.034301
311,0.058216,0.030518,-0.01896,0.001909,-0.015672,0.013381,-0.11955,0.023901,-0.031492,3.9e-05,0.079556,0.015709,-0.06211,-0.000191,-0.013393,0.00535,-0.074723,0.038306,-0.064719,-1.035934
312,0.058257,0.030223,-0.01872,0.001954,-0.016143,0.012814,0.042606,-0.279037,-0.24416,0.034983,0.079512,0.015428,-0.061964,-0.007978,-0.01168,0.00757,-0.071187,-0.050243,0.102712,-1.037077
313,0.058346,0.029631,-0.018233,0.001288,-0.01033,0.009081,-4.111011,-0.098702,-3.802337,0.082174,0.079453,0.015049,-0.06169,0.0001,-0.010425,0.009105,-0.073565,0.024789,-0.039545,-1.034138
314,0.058501,0.029076,-0.017711,0.009421,-0.014119,0.014161,-0.108748,0.014792,-0.024551,0.117445,0.079403,0.014844,-0.061465,0.000107,-0.004619,0.005303,-0.038461,0.013977,-0.022751,-1.037404
315,0.058689,0.028533,-0.017148,0.001765,-0.014136,0.015254,-0.092776,-0.09215,0.138191,0.16088,0.079364,0.014772,-0.061354,7.2e-05,-0.004999,0.004821,-0.037852,0.013314,-0.021574,-1.030382
316,0.058818,0.028287,-0.016845,0.001669,-0.013142,0.01645,-0.091964,-0.090999,0.137191,0.194191,0.079347,0.014769,-0.061342,-4e-06,-7e-06,-9e-06,-0.000794,9.2e-05,-0.00016,-1.028423
317,0.059085,0.027824,-0.016223,0.009264,-0.012267,0.016378,-0.104379,-0.006094,-0.004127,0.241219,0.079316,0.01476,-0.061353,-7.1e-05,-0.00069,-0.000871,-0.001249,0.013138,-0.025453,-1.027607
318,0.059323,0.027363,-0.015611,0.001657,-0.012961,0.016654,-0.106756,0.008755,-0.033665,0.267019,0.079309,0.014747,-0.061369,-3.2e-05,-0.000325,-0.00041,-0.00027,-5.2e-05,0.000137,-1.028423
319,0.059606,0.026968,-0.014992,0.009144,-0.010952,0.017924,-0.211423,-0.013195,-0.109775,0.282531,0.079309,0.01475,-0.061366,7e-06,5.9e-05,7.3e-05,-0.000185,-2.2e-05,7.4e-05,-1.029566
320,0.059766,0.026806,-0.014676,0.009075,-0.010266,0.018729,-0.099959,-0.021317,0.018678,0.283675,0.079315,0.01475,-0.061366,-0.0,2e-06,3e-06,-0.000152,-2.6e-05,8.1e-05,-1.029893
321,0.060117,0.026579,-0.014022,0.008222,-0.003203,0.016404,-0.169072,-0.03267,-0.068082,0.284164,0.079315,0.01475,-0.061366,-1e-05,-0.000101,-0.000127,-0.000113,-1.9e-05,5.4e-05,-1.030546
322,0.060415,0.026453,-0.013334,0.008085,-0.001991,0.017782,-1.279965,-0.142546,-1.111422,0.287104,0.079308,0.014748,-0.061376,-1.3e-05,-0.000132,-0.000168,-8.7e-05,-1e-06,4.8e-05,-1.030872
323,0.060556,0.02645,-0.012984,0.008014,-0.001439,0.018399,-0.160156,-0.032572,-0.074321,0.288737,0.079308,0.014748,-0.061376,2e-06,7e-06,9e-06,-6.9e-05,-2e-06,7.8e-05,-1.031036
324,0.060761,0.026568,-0.012361,0.007193,0.005067,0.015345,-0.030143,-0.036115,0.04581,0.291349,0.079309,0.014748,-0.061376,-3e-06,3e-06,8e-06,-6.2e-05,-1.4e-05,8.4e-05,-1.030872
325,0.060858,0.026849,-0.0118,-0.000438,0.00492,0.016158,-3.897945,-0.603687,-3.866822,0.288083,0.079314,0.014745,-0.06138,-1.1e-05,-8.2e-05,-9.8e-05,-6.6e-05,-2.8e-05,2.9e-05,-1.031199
326,0.060848,0.027045,-0.011553,-0.001196,0.010726,0.01234,-0.350743,0.008809,-0.45744,0.282695,0.079314,0.014745,-0.061389,-3.8e-05,-0.000351,-0.000443,-6.1e-05,-2.2e-05,1.5e-05,-1.031362
327,0.060806,0.027472,-0.011088,-0.001113,0.009987,0.01139,-0.089287,-0.040394,-0.062725,0.265059,0.079312,0.014729,-0.061408,-7.5e-05,-0.000737,-0.000935,-0.000873,0.01319,-0.025596,-1.031362
328,0.060707,0.0278,-0.010661,-0.008437,0.007419,0.009468,0.006301,-0.012788,0.020797,0.235177,0.07931,0.014707,-0.061437,-7.4e-05,-0.000738,-0.000936,-3e-05,0.0,2.7e-05,-1.031526
329,0.06065,0.027903,-0.010484,-0.007557,0.000338,0.011808,-0.032143,-0.005637,0.002032,0.229789,0.079309,0.014702,-0.061452,-4.9e-05,-0.000493,-0.000626,-3e-05,-9e-06,1e-06,-1.031852
330,0.060571,0.028013,-0.01021,-0.007221,-0.002642,0.008426,-0.047401,0.021836,-0.020772,0.224563,0.079308,0.014698,-0.061474,-1.1e-05,-0.000115,-0.000147,-1.5e-05,-9e-06,1.9e-05,-1.032179
331,0.060534,0.027992,-0.010042,0.000561,-0.004353,0.005441,-0.045335,0.019503,-0.015871,0.222767,0.079313,0.014703,-0.061483,5.9e-05,0.000564,0.000713,0.00082,-0.013232,0.02562,-1.032669
332,0.060507,0.027844,-0.009939,0.000751,-0.006074,0.003511,-0.008971,-0.062139,-0.069591,0.221624,0.079314,0.014713,-0.061479,1e-06,1.3e-05,1.6e-05,-1.5e-05,-1.2e-05,-1.4e-05,-1.032832
333,0.060518,0.027755,-0.009907,0.000772,-0.006268,0.003293,0.013209,-0.107305,-0.096912,0.221788,0.079308,0.014716,-0.061475,2e-06,3e-05,3.8e-05,-1.2e-05,-3e-06,-1.4e-05,-1.032995
334,0.060557,0.027623,-0.009864,3.6e-05,-0.000375,-0.00042,0.016495,-0.055524,-0.046441,0.220971,0.079308,0.014717,-0.061482,1e-06,1e-06,0.0,-7e-06,1.2e-05,1.5e-05,-1.032995
335,0.060558,0.027566,-0.00982,-4e-06,2.4e-05,2.9e-05,0.132283,-0.265011,-0.1575,0.218685,0.079308,0.014728,-0.061485,0.0,-2e-06,-3e-06,-5e-06,-0.0,-7e-06,-1.033159
336,0.060525,0.027513,-0.009826,-0.007386,-0.001995,-0.001177,0.125552,-0.237865,-0.178124,0.217868,0.079308,0.014731,-0.061482,0.0,-5e-06,-5e-06,-0.0,5e-06,-6e-06,-1.032995
337,0.060499,0.027481,-0.009866,0.000218,-0.002025,-0.002276,0.198182,-0.367106,-0.232823,0.216889,0.079308,0.014731,-0.061482,2e-06,-4e-06,-7e-06,8e-06,-1.3e-05,7e-06,-1.032995
338,0.060402,0.02738,-0.009964,0.000219,-0.002012,-0.002261,0.028554,-0.068613,-0.048262,0.192232,0.079308,0.014731,-0.061481,5.7e-05,0.00053,0.000668,-3e-06,2.2e-05,-4e-06,-1.032995
339,0.060331,0.027301,-0.010042,0.000202,-0.001868,-0.002101,-0.013798,0.029693,-0.021233,0.160717,0.079304,0.014748,-0.061469,3.9e-05,0.000375,0.000474,8e-06,1.1e-05,1.8e-05,-1.032832
340,0.060301,0.027261,-0.010083,-0.007267,-0.003192,-0.002535,-0.005708,0.033362,-0.051515,0.156961,0.079305,0.014757,-0.061458,2.8e-05,0.000283,0.000358,1e-06,1e-06,1.2e-05,-1.033485
341,0.060265,0.027114,-0.010265,-7.6e-05,-0.000228,-0.010635,0.033249,0.021013,-0.029042,0.163819,0.079306,0.014774,-0.061436,1.4e-05,0.000139,0.000177,-6e-06,1.7e-05,1.6e-05,-1.033322
342,0.060221,0.026881,-0.010574,0.000812,-0.007602,-0.00865,-0.016177,0.064307,-0.020823,0.161696,0.079307,0.01478,-0.061419,1.4e-05,0.000146,0.000183,-5e-06,-2e-06,-8e-06,-1.033812
343,0.060211,0.026756,-0.010768,0.000163,-0.002471,-0.013251,0.038936,0.01263,-0.031912,0.160064,0.079302,0.014789,-0.061417,-0.0,0.005725,-0.003901,0.035676,-0.011927,0.018864,-1.033485
344,0.060235,0.02651,-0.011198,0.000905,-0.00846,-0.009726,-0.003473,0.02791,-0.049972,0.166595,0.079302,0.014795,-0.061408,5e-06,4e-05,5e-05,-1e-06,1e-05,-2.7e-05,-1.033648
345,0.060256,0.026297,-0.011657,0.00082,-0.007646,-0.008852,-0.003645,0.028079,-0.049998,0.185047,0.079292,0.014809,-0.061391,1.9e-05,0.000189,0.000239,1.1e-05,-7e-06,9e-06,-1.033975
346,0.060281,0.026113,-0.01199,0.000563,-0.005226,-0.006083,-0.003066,0.028687,-0.050513,0.185537,0.079276,0.014825,-0.06137,4.9e-05,0.00049,0.000619,-5e-06,-2e-06,-1.8e-05,-1.034138
