frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
139,0.144484,-0.061197,0.285069,-0.40385,0.520331,-0.752467,-0.867444,-0.47906,0.134217,-0.290145,0.706279,0.645766,0.000163,0.041933,-0.036494,-0.246418,-0.615361,-0.859406,0.058144,-0.174488,-0.058408,0.27334,-0.643094,-0.178024,0.744802,0.67875,-0.582637,0.446953,0.355172,0.793177,0.494557,-0.052005,0.028406,-0.026998,0.032255,0.127882,0.268701,0.033693,0.039293,0.024721,-0.019873,0.688387,0.159193,0.707657,-0.637465,0.598248,0.485526,-0.346063,-0.785338,0.513307,-0.025579,0.008497,-0.009638,-0.016034,0.191806,0.245387,-0.175172,0.074708,0.01927,-0.062201,0.408884,-0.519379,-0.750372,0.864272,0.484378,0.135681,0.292994,-0.704004,0.646939,0.000118,0.015975,-0.013298,-0.416561,-0.141423,-0.394624,-0.188946
140,0.144485,-0.060513,0.284434,-0.403425,0.517048,-0.754953,-0.87117,-0.469358,0.144007,-0.27939,0.715145,0.640731,5e-06,0.040945,-0.038037,-0.05643,-0.470732,-0.606656,0.067166,-0.175456,-0.057991,0.272882,-0.645685,-0.176207,0.74299,0.678208,-0.579231,0.452172,0.351481,0.79607,0.492541,-0.05119,0.016595,-0.020072,0.008264,0.114114,0.202382,0.051563,0.038809,0.024935,-0.020102,0.690873,0.157161,0.705686,-0.636614,0.594866,0.49077,-0.34266,-0.78831,0.511028,-0.025568,0.008474,-0.009723,0.011352,0.121541,0.237139,-0.149699,0.074708,0.019613,-0.062517,0.408814,-0.51459,-0.753702,0.86781,0.474796,0.146539,0.282447,-0.713978,0.640669,-7e-05,0.014765,-0.015174,-0.189449,-0.676163,-0.759166,-0.16086
141,0.144535,-0.059233,0.283033,-0.401976,0.510972,-0.759848,-0.877221,-0.45278,0.15952,-0.262041,0.730041,0.631192,-0.000519,0.037692,-0.043104,0.038136,-0.251496,-0.296995,0.081335,-0.17741,-0.057246,0.271977,-0.651862,-0.176571,0.737489,0.679241,-0.568156,0.464504,0.337793,0.803933,0.489336,-0.051174,0.016284,-0.020787,-0.12576,0.416166,0.449022,0.073863,0.037831,0.025308,-0.020555,0.696668,0.159722,0.699386,-0.637718,0.584413,0.501773,-0.328586,-0.795581,0.508999,-0.025595,0.007714,-0.011051,0.089654,-0.110057,0.151462,-0.110836,0.074734,0.020256,-0.063212,0.407799,-0.507334,-0.759151,0.873607,0.458586,0.162813,0.265536,-0.729596,0.630222,-0.000302,0.013303,-0.017446,-0.006309,-0.178838,-0.514772,-0.132938
142,0.144621,-0.058081,0.281528,-0.401573,0.505351,-0.76381,-0.880011,-0.443867,0.168925,-0.253172,0.739367,0.623914,-0.000864,0.025322,-0.036941,0.054002,-0.185467,-0.059778,0.124634,-0.179236,-0.056586,0.27109,-0.660252,-0.182715,0.728474,0.679561,-0.558087,0.476098,0.320376,0.809603,0.491697,-0.034748,0.016194,-0.022784,-0.445966,-1.537773,2.414869,0.105735,0.036899,0.025644,-0.021006,0.704266,0.163279,0.690904,-0.637438,0.573868,0.514146,-0.312539,-0.802505,0.508236,-0.017358,0.008082,-0.011385,-0.430416,-1.547124,2.402671,-0.074585,0.074776,0.020835,-0.06397,0.407638,-0.501512,-0.763096,0.876246,0.449987,0.172346,0.25695,-0.738915,0.62288,-0.000384,0.017927,-0.023005,0.098388,-0.075012,-0.240303,-0.091788
143,0.144655,-0.057564,0.280787,-0.400617,0.505095,-0.76448,-0.881169,-0.441031,0.170306,-0.250648,0.741235,0.622714,-0.000879,0.025245,-0.037099,0.090834,-0.072302,0.003311,0.1526,-0.180123,-0.056289,0.270657,-0.661496,-0.190573,0.725325,0.683298,-0.551496,0.478424,0.309655,0.812314,0.494088,-0.034729,0.016375,-0.022566,0.080303,-0.091169,0.149185,0.129166,0.036469,0.025786,-0.021215,0.706093,0.171055,0.687147,-0.640741,0.567459,0.517147,-0.301468,-0.805438,0.510281,-0.025598,0.007488,-0.011575,0.089759,-0.070786,0.081763,-0.050418,0.074793,0.021092,-0.064342,0.406763,-0.501196,-0.76377,0.877349,0.447296,0.173732,0.254558,-0.740761,0.621668,0.007744,0.011914,-0.019402,0.112595,0.054007,-0.123644,-0.057171
144,0.144646,-0.056671,0.279407,-0.400194,0.504833,-0.764875,-0.880334,-0.443696,0.167686,-0.254228,0.739823,0.622942,-0.000911,0.014815,-0.027919,0.070312,-0.013056,0.010925,0.205196,-0.181815,-0.055774,0.269845,-0.665867,-0.211827,0.715362,0.693307,-0.529572,0.488686,0.276141,0.821616,0.498555,-0.05118,0.015613,-0.022374,-1.109095,-0.873783,-0.732038,0.1736,0.035629,0.026044,-0.02162,0.710837,0.191158,0.676881,-0.649751,0.54696,0.527879,-0.269319,-0.815041,0.513005,-0.017462,0.00805,-0.011435,-3.877109,-2.778255,-2.636364,0.009673,0.074788,0.02154,-0.06504,0.406298,-0.501368,-0.763904,0.876492,0.450112,0.170762,0.258228,-0.738937,0.622325,-0.000391,0.012795,-0.018312,0.106484,-0.024976,0.029933,0.014677
145,0.144508,-0.055884,0.27824,-0.399051,0.504606,-0.765622,-0.879897,-0.445626,0.16484,-0.257512,0.738819,0.622785,-0.016958,0.017865,-0.023706,0.069325,0.001604,-0.018659,0.300887,-0.183389,-0.055263,0.269148,-0.672724,-0.232556,0.70239,0.698502,-0.512345,0.499531,0.244528,0.826945,0.506193,-0.050992,0.017897,-0.01885,-0.274267,-0.34025,-0.115663,0.219771,0.034841,0.026296,-0.021975,0.717245,0.212709,0.663561,-0.655518,0.528942,0.538995,-0.236336,-0.821568,0.518815,-0.016927,0.003351,-0.00612,-1.151541,-0.937912,-0.688989,0.067641,0.074725,0.021919,-0.065618,0.40517,-0.501174,-0.76463,0.876068,0.451983,0.16797,0.261418,-0.737925,0.622194,-0.000313,0.008183,-0.012769,0.070106,-0.013031,0.011157,0.119346
146,0.1442,-0.055164,0.277381,-0.398158,0.504392,-0.766227,-0.879505,-0.44724,0.162542,-0.260214,0.73799,0.622644,-0.000205,0.019221,-0.021112,0.075822,-0.128048,0.207398,0.406003,-0.184718,-0.054655,0.268639,-0.681919,-0.266729,0.681054,0.705763,-0.484009,0.51727,0.19251,0.833718,0.517414,-0.033553,0.010434,-0.006346,-0.198102,-0.640609,0.715757,0.289045,0.034177,0.026592,-0.022232,0.724148,0.246543,0.644069,-0.664252,0.50043,0.555281,-0.185411,-0.829931,0.526152,-0.016758,0.005347,-0.002935,-1.096008,-1.047783,-0.564756,0.146674,0.074564,0.022288,-0.066063,0.404405,-0.500961,-0.765176,0.875604,0.453708,0.165724,0.264145,-0.737012,0.622125,-0.008349,0.004492,-0.00602,0.033662,0.01543,-0.03639,0.270553
147,0.143964,-0.054821,0.277047,-0.397837,0.504284,-0.766465,-0.879303,-0.447978,0.161596,-0.261382,0.737616,0.622598,-0.000206,0.008965,-0.011571,0.034801,0.000664,-0.007015,0.458135,-0.185216,-0.054307,0.268481,-0.683873,-0.296858,0.666472,0.714246,-0.458256,0.528951,0.14924,0.838117,0.524548,-0.016928,0.01306,-0.003581,-0.453536,-0.881927,0.561397,0.323212,0.033922,0.026763,-0.022316,0.726398,0.275657,0.629569,-0.672215,0.475668,0.567331,-0.143077,-0.835315,0.530826,-0.016803,0.006414,-0.001208,-3.987459,-3.361075,-2.851359,0.194518,0.074453,0.022456,-0.066225,0.404055,-0.50086,-0.765426,0.875419,0.454411,0.164773,0.26529,-0.736646,0.62207,-0.008208,0.005363,-0.00466,0.034393,0.000862,-0.011551,0.340442
148,0.143442,-0.054294,0.276684,-0.395032,0.503835,-0.768209,-0.879535,-0.448871,0.157814,-0.264831,0.737381,0.621418,-0.016139,0.012505,-0.006562,0.034503,0.000747,-0.011746,0.518737,-0.185926,-0.053593,0.268382,-0.67931,-0.373827,0.631494,0.732448,-0.396644,0.553288,0.04449,0.838844,0.542426,-0.016579,0.016787,0.002413,-1.004567,-1.267083,-0.396879,0.375245,0.03356,0.027127,-0.022373,0.723732,0.35342,0.592709,-0.689158,0.414542,0.594318,-0.035659,-0.838598,0.543581,-0.008392,0.008662,0.001585,-3.540278,-3.352993,-2.721797,0.279592,0.074192,0.022725,-0.066417,0.401082,-0.500429,-0.76727,0.875704,0.455277,0.160824,0.26884,-0.736405,0.620831,-0.008101,0.000921,0.001184,-0.002789,0.016871,-0.032126,0.47434
