frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1250,0.037726,0.051759,-0.002106,-0.000156,-0.005631,-0.005815,-0.042947,-0.129134,0.037433,-0.027394,0.102403,0.042814,-0.04774,-0.014621,-0.000221,0.000604,-0.624382,-0.825183,-0.096154,-0.564188
1251,0.037725,0.051557,-0.002329,-0.000154,-0.00548,-0.005681,-0.041675,0.096702,0.004871,0.064375,0.102042,0.042796,-0.047708,-0.007305,-0.000308,9.8e-05,-0.453124,-0.69574,0.017906,-0.333458
1252,0.037722,0.051467,-0.002438,-0.000143,-0.005053,-0.00525,0.013632,0.011829,-0.01494,0.113036,0.101946,0.042839,-0.047762,-0.007554,0.004055,-0.005237,-0.546606,-0.970444,0.070122,-0.245935
1253,0.037669,0.051344,-0.002665,-0.000144,-0.005031,-0.005248,-0.217694,0.290947,0.147525,0.226523,0.101932,0.042981,-0.047962,-0.000232,0.003714,-0.006,-0.495587,-0.818731,-0.022822,-0.092768
1254,0.037508,0.051208,-0.003002,-0.000647,-0.003086,-0.013102,-0.286471,0.425997,0.229985,0.30082,0.102044,0.043215,-0.048295,-0.000199,0.002611,-0.007152,-0.262194,-0.5974,0.130352,0.065624
1255,0.037205,0.051006,-0.003555,-0.007995,-0.006431,-0.016093,0.078081,0.210585,0.003896,0.329722,0.102219,0.043465,-0.048808,-0.000386,0.004754,-0.014812,-0.483578,-0.890945,-0.04142,0.148249
1256,0.036986,0.050902,-0.003916,-0.015693,-0.002712,-0.021542,1.19198,2.12748,-1.269593,0.339193,0.102353,0.043576,-0.04916,0.006678,0.008862,-0.020837,-0.371806,-0.910208,-0.060187,0.151678
1257,0.036476,0.050752,-0.004785,-0.008544,-0.00362,-0.023296,1.146704,2.240897,-0.960539,0.361238,0.102614,0.043774,-0.049981,0.006793,0.005518,-0.024431,-0.20889,-0.639651,0.084599,0.144656
1258,0.035841,0.050711,-0.005837,-0.016309,0.000246,-0.028778,-0.003072,0.224051,0.502032,0.382139,0.102872,0.044008,-0.051035,0.006587,0.008866,-0.030977,-0.351865,-0.879203,-0.064461,0.174702
1259,0.035109,0.050691,-0.00699,-0.024111,0.004262,-0.034179,0.213945,0.866782,-0.014559,0.374464,0.103209,0.044277,-0.052259,0.014015,0.006567,-0.034076,0.849671,-1.562937,-1.020669,0.217974
1260,0.034679,0.050704,-0.007632,-0.01655,-0.001804,-0.031461,0.069312,0.113447,-0.052462,0.367769,0.10342,0.044447,-0.052958,0.014059,0.006288,-0.034491,-0.374391,-0.97465,-0.094787,0.237569
1261,0.033759,0.05091,-0.00902,-0.024551,0.010931,-0.037433,0.158919,0.166466,-0.246139,0.361401,0.103877,0.044957,-0.054478,0.013448,0.018162,-0.041996,-0.177766,-0.849921,0.02785,0.280024
1262,0.032799,0.05146,-0.010477,-0.024766,0.019253,-0.038562,-0.206952,0.68312,0.163844,0.361891,0.104434,0.04569,-0.056148,0.013118,0.024516,-0.045367,-0.673336,-0.89279,-1.047818,0.312682
1263,0.032279,0.051818,-0.011216,-0.032125,0.018834,-0.038599,-0.18781,0.660524,0.057737,0.361238,0.104699,0.046098,-0.056968,0.013107,0.024606,-0.045364,-0.487669,-1.29376,-0.480127,0.303212
1264,0.03119,0.052506,-0.012738,-0.024664,0.011594,-0.037355,-0.202953,0.661742,0.086749,0.344255,0.105199,0.047142,-0.058831,0.012786,0.029907,-0.049863,-0.538738,-1.367991,-0.55157,0.266471
