frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
351,0.063248,0.033493,-0.020389,-0.00964,0.014883,-0.043913,0.853127,2.510675,-0.67145,-0.948189,0.081928,0.028348,-0.064142,0.015727,-0.000802,0.019088,-0.072643,0.073992,-0.046149,-1.111701
352,0.062818,0.033779,-0.021969,-0.01556,0.001689,-0.037421,1.629495,3.049323,0.593497,-0.948516,0.082458,0.028408,-0.063376,0.01582,0.001578,0.021523,0.012067,0.246052,0.080471,-1.104516
353,0.062045,0.033537,-0.023196,-0.028508,-0.016529,-0.025217,1.681516,3.065076,0.131438,-0.961089,0.083036,0.028447,-0.062517,0.015784,0.002168,0.021993,-0.119725,0.278363,-0.223896,-1.1037
354,0.061504,0.033172,-0.023645,-0.02823,-0.019672,-0.018848,3.956172,4.53452,3.047958,-0.966315,0.083326,0.028471,-0.062078,0.015827,-0.003811,0.025587,-0.041675,0.378798,-0.144367,-1.100108
355,0.06075,0.032547,-0.024226,-0.021456,-0.012819,-0.011757,-0.215018,0.90732,-1.19813,-0.967131,0.083779,0.028392,-0.061148,0.008343,-0.004397,0.025037,0.047703,0.719597,-0.28662,-1.105333
356,0.059808,0.032367,-0.024731,-0.030955,0.003601,-0.012902,2.880528,3.018014,3.004946,-0.953415,0.084069,0.028039,-0.060041,0.008424,-0.010043,0.028972,0.107344,0.862194,0.080416,-1.102067
357,0.059111,0.032465,-0.024943,-0.038712,0.006423,-0.008389,-0.276452,1.612595,-0.682918,-0.941168,0.084217,0.027765,-0.059431,0.008442,-0.017323,0.031284,0.13349,0.880914,0.252861,-1.101904
358,0.057744,0.03286,-0.025139,-0.03153,0.012223,-0.002705,-0.260147,1.693287,-0.584054,-0.947373,0.08442,0.027056,-0.058302,0.00829,-0.020433,0.028056,-0.029107,0.594124,-0.151597,-1.10174
359,0.056413,0.033274,-0.025101,-0.030981,0.009273,0.004243,0.740561,1.824852,0.208959,-0.949659,0.084475,0.026171,-0.057231,0.000737,-0.02355,0.025091,-0.056711,0.459292,-0.07055,-1.098638
360,0.055076,0.033736,-0.024852,-0.030494,0.007117,0.012014,3.806753,2.628513,2.852057,-0.921573,0.084436,0.025395,-0.056459,0.000361,-0.015563,0.013604,0.11774,0.664567,0.06337,-1.10517
361,0.054509,0.033947,-0.024664,-0.031002,0.013445,0.008826,-0.563921,1.098965,0.060114,-0.919777,0.084365,0.025052,-0.056173,0.000349,-0.016388,0.012771,0.896468,-1.247008,1.936317,-1.106966
362,0.053496,0.034287,-0.024213,-0.022745,0.006497,0.010187,-0.367446,0.904142,0.080256,-0.917491,0.084211,0.024507,-0.055817,0.000102,-0.013103,0.006297,-0.101648,0.000931,-0.053047,-1.105333
363,0.052759,0.034364,-0.023855,-0.014446,-0.003641,0.00804,-0.141713,0.558144,0.119424,-0.9219,0.084174,0.024243,-0.055835,-0.00017,-0.003286,-0.003364,-0.003788,-0.005953,-0.006402,-1.106476
364,0.052087,0.034195,-0.023669,-0.014333,-0.007059,0.004156,4.318929,2.064077,2.961502,-0.926798,0.084244,0.024226,-0.056039,-0.000217,0.003359,-0.006422,0.043043,-0.107378,0.191708,-1.107945
365,0.05178,0.034045,-0.023607,-0.014247,-0.008692,0.00231,4.593059,1.56334,2.584304,-0.935779,0.084291,0.024286,-0.056149,-0.000173,0.004195,-0.005563,-0.249672,-0.589792,-0.033202,-1.107619
