frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
202,0.154471,-0.009978,0.266306,-0.089884,-0.684396,-0.72358,-0.452062,-0.619346,0.641889,-0.887348,0.385648,-0.252817,0.012657,-0.043198,-0.01244,0.288555,-0.251505,0.052495,-1.822669,-0.148011,-0.02074,0.307823,-0.413246,0.406713,0.814741,-0.031291,-0.900445,0.433766,0.910543,0.153254,0.38378,0.025901,0.066916,0.070741,-0.836194,-0.460368,2.631822,-1.403628,0.054777,0.033618,-0.021112,0.424739,-0.352699,0.833786,0.055088,0.929352,0.365062,-0.903637,-0.109124,0.414162,0.005503,0.032798,0.035535,-0.373498,0.753822,0.101929,-1.030978,0.075252,0.034875,-0.086712,0.099053,0.65141,-0.752232,0.34369,0.687032,0.640206,0.933844,-0.321949,-0.155831,0.006356,-0.021476,-0.006053,0.286282,-0.252579,0.060784,-0.986947
203,0.155407,-0.01164,0.265865,-0.080572,-0.689514,-0.719808,-0.420958,-0.631066,0.651553,-0.903408,0.356361,-0.238511,0.02824,-0.042196,-0.011233,1.889312,0.662462,-1.734948,-1.739947,-0.147547,-0.018104,0.310196,-0.38563,0.434194,0.814099,-0.021737,-0.886293,0.462542,0.922823,0.160135,0.350169,-0.00454,0.065931,0.05127,-0.657463,1.301161,0.432333,-1.392903,0.055021,0.034921,-0.019927,0.399508,-0.381207,0.833711,0.04738,0.916811,0.3965,-0.915504,-0.118904,0.384334,-0.001719,0.027527,0.029848,-0.666729,1.093529,0.547247,-1.02314,0.075699,0.034076,-0.086922,0.088553,0.654787,-0.750607,0.313701,0.696887,0.644934,0.945383,-0.292577,-0.143696,0.021615,-0.027502,-0.002771,3.935399,-3.409346,1.434324,-0.959841
204,0.156764,-0.013245,0.265566,-0.086356,-0.694801,-0.714031,-0.399158,-0.632553,0.663718,-0.912714,0.343188,-0.221818,0.044307,-0.049146,0.002533,-0.089388,0.160576,-0.150295,-1.745666,-0.148497,-0.015878,0.311987,-0.362373,0.443881,0.81954,0.023174,-0.874657,0.48412,0.932137,0.193872,0.305609,-0.047674,0.051566,0.03995,-0.62708,0.988941,0.253988,-1.358989,0.05456,0.036068,-0.019005,0.373683,-0.391533,0.840869,0.002015,0.906883,0.421375,-0.927553,-0.155766,0.339676,-0.017138,0.031716,0.015466,-1.015706,0.914654,0.548269,-1.011056,0.076381,0.033253,-0.08709,0.094112,0.661687,-0.74385,0.287888,0.697157,0.656575,0.953027,-0.275937,-0.124881,0.022172,-0.018867,-0.002632,-0.053384,0.029131,-0.0548,-0.959188
205,0.157648,-0.013903,0.265517,-0.09431,-0.696222,-0.711636,-0.388457,-0.632439,0.670145,-0.916525,0.340505,-0.209917,0.045022,-0.021398,-0.006189,0.004731,0.219902,-0.031139,-1.739876,-0.149379,-0.014966,0.312555,-0.351044,0.445536,0.823564,0.057701,-0.867488,0.494033,0.934955,0.220392,0.277758,-0.046929,0.042413,0.029895,-5.191041,-1.59469,-0.771936,-1.330933,0.054119,0.036535,-0.01871,0.3606,-0.393641,0.845584,-0.027221,0.901751,0.431396,-0.932322,-0.17858,0.314456,-0.031351,0.025602,0.010524,-0.751748,1.446535,0.657766,-0.993911,0.076823,0.032911,-0.087115,0.101595,0.664011,-0.740788,0.276777,0.696375,0.662159,0.955547,-0.272306,-0.113035,0.03017,-0.016639,0.000429,-0.042147,0.223406,-0.006883,-0.964576
206,0.159946,-0.014915,0.265554,-0.115778,-0.693723,-0.710908,-0.376984,-0.631493,0.677548,-0.918826,0.347307,-0.187521,0.060863,-0.030372,0.004728,0.211972,0.607164,0.00834,-1.678752,-0.151836,-0.013843,0.313084,-0.3013,0.453438,0.838811,0.109474,-0.857337,0.502913,0.947533,0.242789,0.207598,-0.059944,0.018778,0.006385,-2.198246,1.04054,-0.400133,-1.322774,0.052894,0.037115,-0.018427,0.313709,-0.398597,0.861803,-0.08211,0.892833,0.442838,-0.945961,-0.209685,0.247361,-0.037102,0.007258,0.001779,-5.435977,-0.1885,-3.123093,-0.975133,0.077944,0.032421,-0.087093,0.121392,0.664219,-0.737615,0.265818,0.694214,0.668884,0.956349,-0.277268,-0.092289,0.0305,-0.014591,0.003182,1.588749,1.593547,-1.809294,-0.957555
207,0.162339,-0.016071,0.265788,-0.119955,-0.700047,-0.703981,-0.331918,-0.640032,0.692937,-0.935516,0.317653,-0.154702,0.061263,-0.028403,0.007232,0.188221,0.555655,-0.250927,-1.668511,-0.154308,-0.0133,0.313003,-0.264855,0.48083,0.83585,0.122143,-0.843007,0.523789,0.956784,0.24022,0.163471,-0.044872,0.011799,-0.002663,-0.034231,-0.421635,2.660697,-1.353546,0.051653,0.037372,-0.018482,0.274195,-0.423814,0.863248,-0.097688,0.880733,0.463427,-0.956699,-0.211398,0.200092,-0.029693,0.005086,-0.001345,-0.539633,1.23376,0.23012,-1.005015,0.079163,0.031837,-0.086974,0.125936,0.670232,-0.731387,0.218107,0.700511,0.679494,0.967764,-0.245093,-0.057963,0.030689,-0.019602,0.007888,0.576404,0.766003,-0.700212,-0.964413
208,0.164384,-0.017381,0.266674,-0.133689,-0.709757,-0.691677,-0.286246,-0.640555,0.712548,-0.948633,0.29413,-0.116665,0.046844,-0.031254,0.026987,1.176164,-0.500404,-0.005115,-1.594112,-0.156072,-0.012884,0.312678,-0.239114,0.506799,0.828234,0.141836,-0.825507,0.546218,0.960805,0.247447,0.124446,-0.044501,0.00373,-0.01114,-0.605417,1.326829,0.511452,-1.357039,0.050788,0.03758,-0.018639,0.252315,-0.44955,0.856878,-0.114895,0.865347,0.487825,-0.960799,-0.221537,0.166688,-0.022227,0.001346,-0.006073,-0.454678,1.044397,0.336807,-1.018894,0.080167,0.031188,-0.086558,0.141138,0.681521,-0.718058,0.17492,0.69674,0.695669,0.974413,-0.223788,-0.020876,0.023417,-0.015591,0.013513,0.248373,0.961809,-0.257364,-0.968006
209,0.165321,-0.018009,0.267225,-0.137982,-0.712846,-0.687646,-0.270596,-0.640756,0.718457,-0.952597,0.286092,-0.10362,0.046936,-0.030798,0.027551,1.128597,-0.473572,-0.222924,-1.550169,-0.156858,-0.012885,0.31245,-0.221016,0.518757,0.825853,0.148756,-0.818864,0.554316,0.964064,0.244714,0.102754,-0.029892,0.002276,-0.014243,-0.593881,1.308832,0.536549,-1.360833,0.050373,0.037578,-0.01876,0.232841,-0.461967,0.855786,-0.122199,0.8591,0.497004,-0.964806,-0.220299,0.143582,-0.021662,-0.005267,-0.003129,-0.455634,0.914917,0.448077,-1.013996,0.08066,0.030867,-0.086266,0.142556,0.685098,-0.714365,0.156036,0.697157,0.699732,0.977409,-0.211217,-0.007516,0.023412,-0.021195,0.017369,3.76021,-3.308392,0.323248,-0.955922
210,0.166988,-0.019657,0.268723,-0.132997,-0.715628,-0.685735,-0.232434,-0.650081,0.723423,-0.963326,0.256488,-0.079018,0.031984,-0.038759,0.040256,3.794593,-3.30599,0.204458,-1.557195,-0.158011,-0.013063,0.312047,-0.197003,0.536919,0.820304,0.183759,-0.801558,0.568921,0.963201,0.262144,0.058195,-0.014293,-0.009055,-0.007921,-0.579068,1.019507,-0.344359,-1.402431,0.049796,0.037488,-0.018969,0.208146,-0.483387,0.8503,-0.156516,0.841678,0.516798,-0.965493,-0.240655,0.099534,-0.007666,0.00088,-0.008154,-0.869624,0.668765,0.561529,-1.032938,0.081499,0.030046,-0.085522,0.14025,0.687198,-0.712802,0.119582,0.702892,0.701172,0.982867,-0.183578,0.016404,0.016056,-0.024898,0.02426,0.005024,0.723135,-0.191184,-0.961474
211,0.167952,-0.021323,0.270825,-0.145856,-0.706519,-0.692533,-0.203938,-0.663526,0.719802,-0.967891,0.247097,-0.04644,0.032759,-0.042749,0.058241,0.332426,1.037152,0.321489,-1.558511,-0.158532,-0.013251,0.31152,-0.177763,0.541062,0.821976,0.230795,-0.788966,0.569386,0.956774,0.290243,0.014323,-0.01528,-0.000745,-0.019035,-0.389673,0.907241,0.274668,-1.402802,0.04953,0.037392,-0.019227,0.188609,-0.484153,0.854413,-0.204437,0.831611,0.516361,-0.960537,-0.272064,0.057871,-0.007641,-0.000264,-0.009382,-0.298983,0.431243,-0.026041,-1.006647,0.081975,0.029221,-0.084504,0.148195,0.680685,-0.717429,0.087429,0.713582,0.695094,0.985085,-0.165734,0.046237,0.008581,-0.015237,0.025946,1.284785,-0.462701,0.364514,-0.975354
