frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
114,0.078396,0.002705,0.379407,-0.696968,0.055203,-0.715006,-0.0204,-0.998137,-0.057251,-0.71597,-0.025392,0.697688,-0.002758,-0.015492,0.005438,-0.014805,0.082012,0.014511,-0.884379,-0.069175,0.032219,0.348988,0.337489,0.818719,0.464535,-0.941103,0.302564,0.150714,-0.01757,-0.489066,0.871991,-0.002705,0.008092,0.006252,-0.099954,-1.226542,0.435973,0.075745,0.05839,0.036382,-0.00611,-0.169261,-0.884713,0.434319,0.97709,-0.208319,-0.043561,0.129016,0.416995,0.899705,-1.6e-05,-0.001811,0.006932,-0.001066,-0.235332,0.276645,-0.103977,0.076078,0.023336,-0.049954,-0.654677,0.211017,-0.725857,-0.218436,-0.97209,-0.085585,-0.723659,0.102523,0.682499,-0.001467,-0.007996,0.002537,-0.020936,0.091056,-0.0168,-0.875746
115,0.078312,0.002405,0.379452,-0.702482,0.06272,-0.708965,-0.021272,-0.997496,-0.067242,-0.710535,-0.032241,0.702942,-0.013913,0.000827,0.000339,0.035354,0.132046,0.02609,-0.883998,-0.069222,0.032265,0.349312,0.310841,0.840386,0.443983,-0.950384,0.272667,0.149527,0.004224,-0.469487,0.882852,0.000661,-0.005617,0.012289,-0.033521,-0.519769,-0.249589,0.097389,0.058364,0.036414,-0.005954,-0.147261,-0.902501,0.404728,0.982828,-0.179512,-0.042689,0.11118,0.391493,0.913439,-0.000781,0.002529,0.001828,-2.119391,-1.400518,-4.739524,-0.070993,0.076038,0.023177,-0.049939,-0.658806,0.219396,-0.71961,-0.218933,-0.971043,-0.09562,-0.719751,0.094551,0.687762,-0.000509,-0.001494,-0.001089,0.043294,0.038214,0.23664,-0.87346
116,0.078238,0.002277,0.379508,-0.706245,0.064725,-0.705035,-0.021904,-0.997314,-0.06969,-0.706776,-0.033863,0.706646,-0.001621,-0.012137,0.007882,-0.00275,0.120631,0.032736,-0.88231,-0.069211,0.03222,0.349463,0.299153,0.849191,0.435171,-0.954036,0.259602,0.149519,0.013637,-0.460964,0.887237,0.001243,-0.007358,0.010948,-0.643707,-0.546603,-1.218325,0.116357,0.05837,0.03639,-0.005873,-0.136301,-0.909602,0.392485,0.985192,-0.166049,-0.042692,0.104005,0.380855,0.918766,-0.00056,0.00187,0.001342,-2.337589,-1.003271,-4.756134,-0.052867,0.075996,0.023114,-0.04991,-0.662308,0.222088,-0.715558,-0.219461,-0.970672,-0.098138,-0.716368,0.09204,0.691624,-0.006958,0.000417,0.000173,0.017293,0.075323,-0.000675,-0.871664
117,0.078116,0.001937,0.379649,-0.707969,0.070402,-0.702758,-0.022729,-0.996755,-0.077032,-0.705022,-0.038658,0.708149,-0.002102,-0.01355,0.00685,1.756647,-1.305165,1.617822,-0.879308,-0.069208,0.031969,0.349811,0.281727,0.86396,0.417366,-0.959084,0.24201,0.146702,0.025397,-0.442704,0.896232,0.001561,-0.008312,0.010217,-2.157625,-1.111337,-4.937685,0.145173,0.058372,0.036265,-0.005706,-0.125156,-0.919728,0.372068,0.98738,-0.152141,-0.043949,0.097028,0.361872,0.927164,0.000914,-0.004584,0.004784,0.250029,-0.430625,-0.047369,-0.009595,0.075937,0.022949,-0.049837,-0.664099,0.226172,-0.712613,-0.220161,-0.970041,-0.102703,-0.714493,0.088685,0.693998,-0.000678,-0.001985,-0.00145,-0.009178,-0.012546,-0.038052,-0.869705
118,0.078058,0.001585,0.379731,-0.708631,0.073947,-0.701726,-0.023829,-0.996414,-0.081013,-0.704321,-0.040786,0.708728,-0.002258,-0.014007,0.006515,-0.027959,-0.06835,0.163154,-0.879121,-0.069167,0.031676,0.35021,0.271775,0.874798,0.401072,-0.96178,0.233338,0.143066,0.03124,-0.425723,0.904239,0.003579,-0.017998,0.019386,-0.283702,-1.028339,0.215089,0.157612,0.058394,0.036115,-0.005509,-0.112139,-0.928853,0.353066,0.989401,-0.137352,-0.047101,0.092244,0.344042,0.934411,0.00074,-0.004095,0.005129,-1.290219,-2.479189,0.589606,0.017184,0.075908,0.022773,-0.049795,-0.662591,0.231079,-0.712442,-0.220753,-0.969213,-0.109056,-0.71571,0.085014,0.693203,-0.000774,-0.002272,-0.00166,-0.004112,0.006756,-0.03007,-0.868562
119,0.07802,0.001412,0.379742,-0.707396,0.076443,-0.702704,-0.024375,-0.996162,-0.083903,-0.705544,-0.042327,0.707421,-0.002598,-0.015008,0.005781,-0.028974,-0.056019,0.137124,-0.879734,-0.069122,0.03149,0.350439,0.26162,0.88106,0.394055,-0.964382,0.222896,0.142191,0.037131,-0.418326,0.907462,0.003926,-0.019038,0.018594,0.07934,-0.278878,-0.03208,0.160225,0.058415,0.036024,-0.005392,-0.102943,-0.933828,0.342589,0.990821,-0.126605,-0.047372,0.087611,0.334568,0.938289,0.000679,-0.003882,0.005326,0.088636,-0.217244,-0.29641,0.023716,0.075889,0.022688,-0.049788,-0.660812,0.233284,-0.713374,-0.221173,-0.968789,-0.111932,-0.717222,0.083813,0.691784,-0.000721,-0.002108,-0.001542,-0.001466,-1e-06,-0.001484,-0.867255
120,0.077984,0.001102,0.379768,-0.705694,0.080356,-0.703978,-0.026027,-0.995797,-0.087651,-0.707187,-0.04364,0.705698,-0.001989,-0.013217,0.00709,-0.034593,0.017926,-0.015929,-0.880114,-0.069038,0.030976,0.350956,0.261058,0.88714,0.380555,-0.964456,0.223717,0.14039,0.039094,-0.404793,0.913497,0.004125,-0.019638,0.018151,-0.003044,-0.073316,-0.096677,0.196698,0.058457,0.03577,-0.005137,-0.104074,-0.93878,0.32842,0.990639,-0.127172,-0.049591,0.088321,0.320185,0.943228,0.00195,-0.009513,0.009311,0.002777,-0.171883,0.097728,0.051639,0.07587,0.02253,-0.049778,-0.658268,0.236901,-0.714535,-0.222699,-0.967988,-0.115769,-0.719088,0.082919,0.689954,-0.001181,-0.007158,0.003143,-0.035887,0.030689,-0.042164,-0.867582
121,0.077947,0.000889,0.379851,-0.704411,0.08309,-0.704944,-0.026863,-0.995513,-0.090571,-0.708433,-0.044973,0.704363,-0.001511,-0.011812,0.008122,-0.035555,0.030423,-0.04188,-0.880379,-0.068957,0.030428,0.351499,0.256496,0.892852,0.370157,-0.965821,0.222702,0.132388,0.035459,-0.392584,0.918958,0.004093,-0.01955,0.018238,0.282623,-0.482368,-0.128717,0.208167,0.058498,0.035493,-0.004862,-0.101832,-0.942432,0.318513,0.990467,-0.125905,-0.055872,0.092758,0.309787,0.94627,0.000782,-0.004193,0.005092,0.312584,-0.399698,-0.299366,0.084623,0.075851,0.022417,-0.049735,-0.656454,0.239331,-0.715393,-0.223401,-0.967476,-0.118669,-0.720527,0.081919,0.68857,-0.000712,-0.005771,0.004162,-0.035805,0.030599,-0.042091,-0.867255
122,0.077939,0.000782,0.379961,-0.706348,0.084014,-0.702893,-0.027325,-0.995407,-0.091594,-0.706484,-0.045603,0.706277,-0.000771,-0.009638,0.009719,-0.003605,0.119604,0.03185,-0.881223,-0.068896,0.029862,0.352093,0.252787,0.896312,0.364301,-0.966848,0.220739,0.128109,0.034107,-0.385735,0.921905,0.003774,-0.018601,0.018984,-0.003533,-0.072456,-0.095614,0.220668,0.058529,0.035208,-0.004566,-0.09822,-0.945598,0.310153,0.990475,-0.123109,-0.061672,0.096499,0.301142,0.948683,-0.005758,-0.005349,0.005086,0.003866,-0.032653,-0.094098,0.099156,0.075846,0.022366,-0.049684,-0.658247,0.240629,-0.713307,-0.22381,-0.967246,-0.119759,-0.718762,0.080814,0.690542,0.000133,0.000399,0.000293,0.037104,0.121608,0.05715,-0.868562
123,0.077945,0.000726,0.38002,-0.705366,0.085757,-0.703668,-0.027294,-0.995184,-0.094,-0.707466,-0.047212,0.705188,5.9e-05,0.000173,0.000127,1.805224,-1.313489,1.626073,-0.881057,-0.068864,0.029668,0.352381,0.249904,0.898525,0.360822,-0.967649,0.219188,0.124682,0.032642,-0.381437,0.923744,0.00087,-0.006248,0.011832,0.070594,-0.119124,-0.101914,0.229008,0.058547,0.035105,-0.004421,-0.095921,-0.947121,0.306204,0.990501,-0.121267,-0.064809,0.098515,0.297079,0.949756,0.000265,-0.002642,0.006284,0.075641,-0.137954,-0.083651,0.110587,0.07585,0.022336,-0.049649,-0.657383,0.241694,-0.713743,-0.22376,-0.967055,-0.121382,-0.719567,0.079912,0.689808,5.9e-05,0.000118,6.3e-05,1.803377,-1.325513,1.617826,-0.868725
