frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1248,0.050091,0.052703,0.007245,-2.1e-05,6e-05,2.9e-05,-2.1e-05,-8e-06,-6e-06,-0.846296,0.076773,0.046966,-0.032665,-0.000235,-0.000674,-0.000276,0.00817,-0.082524,0.180789,-0.227646
1249,0.050086,0.052701,0.007255,1e-06,-4e-06,-3e-06,-0.014305,0.097816,-0.172645,-0.84646,0.076661,0.046953,-0.032649,-0.000101,-0.000293,-0.000117,0.007917,-0.081441,0.178742,-0.307985
1250,0.050083,0.052684,0.007252,0.000167,-0.00051,-0.000249,-7.3e-05,-3.2e-05,-5.8e-05,-0.84597,0.076697,0.046956,-0.03266,0.000355,0.001007,0.000428,-0.389886,0.107998,0.419634,-0.449395
1251,0.050084,0.052647,0.00725,0.000231,-0.00071,-0.000347,-0.008485,0.008932,0.006489,-0.817067,0.076865,0.046977,-0.032686,0.006941,0.005775,-0.004752,0.027476,-0.040588,0.076254,-0.665265
1252,0.05009,0.052646,0.007244,2.7e-05,-8.7e-05,-4.4e-05,0.414468,-0.381283,-0.255127,-0.757793,0.076952,0.047035,-0.032701,0.006673,0.001625,0.000376,0.001855,-0.014575,0.028822,-0.741521
1253,0.050064,0.052613,0.007235,0.00038,-0.001173,-0.000571,0.547261,-0.495375,-0.326657,-0.555802,0.077154,0.047275,-0.032717,0.002232,0.006747,0.002648,-4.39745,2.022668,2.699165,-0.713272
1254,0.049946,0.052512,0.007164,-0.004578,-0.004383,-0.001805,0.695455,-0.523827,-0.66399,-0.287679,0.077534,0.047602,-0.032714,0.014376,0.006801,0.002009,-4.450688,2.14918,2.543279,-0.721927
1255,0.049814,0.052442,0.007102,-0.00438,-0.005003,-0.002098,-0.829277,-0.677226,-1.535526,-0.172723,0.077829,0.047794,-0.03272,0.015255,0.012518,-0.002314,0.001724,-0.049862,0.137066,-0.735153
1256,0.049453,0.052223,0.006974,-0.009718,-0.007106,-0.002796,0.089369,-0.67098,-0.795378,0.014408,0.078502,0.048271,-0.032722,0.02179,0.014277,-0.001971,0.001197,-0.002502,0.027783,-0.743318
1257,0.049159,0.051961,0.006857,-0.009554,-0.007665,-0.003076,0.083111,-0.315244,0.039718,0.111893,0.07927,0.048858,-0.032804,0.016441,0.020394,-0.006157,-4.314126,2.124412,2.672358,-0.738582
1258,0.04889,0.05183,0.006698,-0.00461,-0.004613,-0.001891,-2.175343,-2.766808,-4.156184,0.191415,0.080061,0.049593,-0.033033,0.016465,0.020507,-0.006011,0.157811,0.217209,0.106498,-0.766178
1259,0.048763,0.051771,0.006636,-0.004581,-0.004475,-0.001857,0.453015,-0.668403,0.169727,0.226196,0.08044,0.049982,-0.033188,0.022235,0.023517,-0.011893,-0.08161,0.541971,-0.656289,-0.77271
1260,0.048567,0.051577,0.006561,-0.00448,-0.004843,-0.002042,-0.567563,-0.988579,-0.997431,0.270121,0.081301,0.050703,-0.033576,0.02565,0.012825,-0.009723,0.053893,-0.124247,0.174738,-0.773363
1261,0.048391,0.051395,0.006474,-0.004638,-0.004381,-0.001825,1.563693,1.65623,-1.505871,0.285144,0.082115,0.051221,-0.033953,0.018978,0.007403,-0.004815,0.02497,0.011737,-0.042102,-0.779242
1262,0.048318,0.051309,0.006437,-0.004648,-0.004339,-0.001797,0.12655,-0.182237,0.075905,0.28792,0.082482,0.051438,-0.034123,0.013648,0.01273,-0.009082,-1.213831,0.565749,0.980426,-0.780874
1263,0.048281,0.051196,0.006391,0.00069,-0.00221,-0.001096,1.095408,2.093379,-1.159953,0.28988,0.083084,0.051743,-0.034402,0.018117,0.008372,-0.011074,-0.320493,0.093032,0.378252,-0.777282
