frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
8,0.038638,0.031286,-0.006249,0.01338,0.001311,-0.000354,-0.22513,0.490624,0.224475,-0.281964,0.077917,0.029366,-0.047959,-0.006206,0.00586,-0.004417,0.035114,0.004644,-0.010444,-0.025492
9,0.039011,0.03138,-0.006308,0.006143,0.004512,-0.005792,-0.039171,0.159976,0.086155,-0.1577,0.077669,0.029494,-0.048068,-0.006422,6.9e-05,0.00025,-0.000924,0.014746,-0.029686,0.025944
10,0.0392,0.031414,-0.00634,0.006113,0.0047,-0.005672,-0.066828,0.263213,-0.056497,-0.0932,0.077549,0.029551,-0.048132,-0.006468,-0.000219,0.000109,-0.000937,0.014748,-0.029655,0.051091
11,0.039551,0.031488,-0.006397,0.006725,0.000468,-0.00031,-0.073189,0.151403,0.089984,0.015062,0.077329,0.029713,-0.048299,1e-06,0.004329,-0.00539,0.036003,-0.010388,0.019148,0.105956
12,0.039909,0.031577,-0.00647,0.006782,0.000149,-0.000515,-0.043325,0.151639,-0.157134,0.104708,0.077121,0.029892,-0.048474,-0.006319,0.005034,-0.004829,0.035501,0.004122,-0.010108,0.169967
13,0.040301,0.031651,-0.006543,0.006938,-0.000734,-0.001093,-2.09781,-1.052555,1.264029,0.196641,0.076916,0.030009,-0.048579,-0.006316,0.000726,0.000578,-0.000963,0.014717,-0.029566,0.259776
14,0.040477,0.031672,-0.006601,0.006392,0.003086,-0.006726,-0.023681,0.189624,-0.118914,0.235177,0.076836,0.030034,-0.048592,-0.006318,0.000727,0.000578,-0.005633,0.016005,-0.032344,0.293088
15,0.040792,0.031698,-0.006764,0.007224,-0.002295,-0.002116,-1.97862,-1.299392,1.192703,0.286777,0.076686,0.030001,-0.048604,-0.00035,-0.002189,-0.001089,-0.004376,0.008907,-0.029291,0.350403
16,0.041046,0.031728,-0.007031,0.006785,0.000969,-0.008116,0.033888,0.046782,-0.167445,0.341643,0.076566,0.029972,-0.048762,-0.00062,0.00044,-0.007337,0.033922,0.011967,0.025206,0.385183
17,0.041174,0.031776,-0.007212,0.006703,0.00146,-0.007797,0.043485,-0.024119,0.018136,0.360258,0.076533,0.02998,-0.048927,-0.000835,-0.000912,-0.008019,0.02107,-0.08834,-0.032923,0.392695
18,0.041394,0.031935,-0.007606,0.005843,0.007047,-0.012272,0.076386,-0.020073,0.042882,0.371852,0.076504,0.030055,-0.04939,-0.000825,0.00342,-0.013422,-0.006283,-0.816774,-0.232254,0.383224
19,0.041627,0.032243,-0.008088,0.005644,0.008167,-0.011532,0.077618,-0.029907,0.069935,0.381486,0.076409,0.030258,-0.049949,-0.000712,0.008401,-0.018469,0.078794,-0.455435,0.11075,0.358077
20,0.041747,0.032471,-0.008379,0.004848,0.013309,-0.016281,0.087464,0.025786,0.114584,0.383935,0.076319,0.030403,-0.050265,-0.007017,0.009301,-0.017808,0.033337,-0.955962,-0.082008,0.344524
21,0.041943,0.033046,-0.009076,0.004134,0.017974,-0.021322,0.11305,0.044898,0.145398,0.383119,0.076076,0.030733,-0.050949,-0.007186,0.00826,-0.018322,0.037104,-0.692832,-0.201992,0.327215
22,0.042055,0.033731,-0.00987,0.003903,0.019167,-0.020502,-0.045273,0.46527,0.092321,0.379363,0.075676,0.031028,-0.051662,-0.00757,0.005994,-0.01947,0.069745,-0.394241,-0.117854,0.317581
23,0.042045,0.034503,-0.010675,-0.003041,0.019813,-0.019418,-0.351101,0.556873,0.50574,0.370708,0.075147,0.031164,-0.052351,-0.014386,-0.00014,-0.014849,0.071339,-0.065747,0.107987,0.310233
24,0.042001,0.034919,-0.011066,-0.003981,0.025688,-0.023636,0.063867,0.255019,0.242307,0.364177,0.074841,0.03117,-0.052658,-0.020915,0.003968,-0.020143,0.107911,-0.049638,0.100509,0.307294
25,0.041854,0.035835,-0.011879,-0.004115,0.02641,-0.023111,0.188004,-0.005073,0.107115,0.349644,0.074056,0.031028,-0.053235,-0.02163,-0.007969,-0.011189,0.029885,0.084951,-0.142841,0.300599
26,0.041659,0.036793,-0.012695,-0.004258,0.027197,-0.022545,0.194814,-0.099564,0.321286,0.32711,0.07313,0.030745,-0.053713,-0.028395,-0.008527,-0.011383,0.028807,0.085688,-0.17773,0.300272
27,0.041542,0.037277,-0.013088,-0.003683,0.023299,-0.017002,0.076027,0.062297,0.367597,0.318129,0.072616,0.030558,-0.053948,-0.028493,-0.008558,-0.011454,0.02442,0.074804,-0.180286,0.303048
28,0.041205,0.038196,-0.013769,-0.010368,0.023012,-0.016551,0.166078,-0.095053,0.258724,0.308658,0.07159,0.030162,-0.054364,-0.02884,-0.009395,-0.012018,1.953646,-0.718717,1.626298,0.303865
29,0.040767,0.039022,-0.014354,-0.010263,0.022624,-0.016782,0.146537,-0.088998,0.273166,0.304249,0.070473,0.029716,-0.054757,-0.029137,-0.009834,-0.012383,-0.120726,-0.097896,0.304598,0.303048
30,0.040257,0.039804,-0.014876,-0.016253,0.018132,-0.011065,-0.053328,-0.132013,0.166378,0.302943,0.069357,0.029257,-0.055134,-0.02933,-0.013775,-0.006949,-0.029892,0.023365,-0.010219,0.299783
31,0.03994,0.040193,-0.015105,-0.022963,0.018419,-0.010285,0.078735,-0.095517,0.243306,0.30033,0.068771,0.02905,-0.05534,-0.035851,-0.00859,-0.011737,0.034305,0.02748,-0.02674,0.299129
32,0.039228,0.041025,-0.015534,-0.023186,0.020302,-0.009082,0.120522,-0.059499,0.208082,0.285961,0.067558,0.028635,-0.055786,-0.029738,-0.010062,-0.012863,-0.067896,-0.012547,0.079809,0.29668
33,0.038371,0.041849,-0.015867,-0.022666,0.017391,-0.003025,0.072528,0.019265,0.005321,0.269958,0.06636,0.028168,-0.056209,-0.03015,-0.014829,-0.007893,-3.059714,-1.489171,4.194849,0.289658
34,0.037872,0.042238,-0.015985,-0.029005,0.016113,-0.003294,0.071979,0.035548,-0.025294,0.257711,0.065765,0.027907,-0.056371,-0.029988,-0.013567,-0.007266,-0.113954,0.052041,-0.101185,0.28525
35,0.036848,0.042968,-0.016156,-0.028887,0.01641,-0.00317,0.072025,0.034897,-0.02551,0.223747,0.064585,0.027396,-0.056599,-0.029724,-0.011417,-0.006151,-0.041176,0.076725,-0.173979,0.280514
36,0.035923,0.043561,-0.016179,-0.028949,0.017784,-0.00238,0.063196,0.012961,0.009251,0.206928,0.063394,0.026917,-0.056766,-0.029701,-0.010457,-0.005668,-3.71875,-1.303294,3.855241,0.276269
37,0.03496,0.044046,-0.016066,-0.028026,0.012456,0.002078,-0.009909,-0.005437,-0.009085,0.199417,0.062148,0.026482,-0.056874,-0.036026,-0.007529,-0.003951,-1.131154,-0.386854,1.144564,0.274962
38,0.03448,0.044273,-0.015983,-0.020833,0.008257,0.006734,0.001178,0.026274,-0.038653,0.194191,0.061504,0.026251,-0.056889,-0.029581,-0.012581,0.000828,0.639885,-0.18619,0.348547,0.274962
39,0.033622,0.044659,-0.015785,-0.020716,0.008191,0.006622,-0.013649,0.102762,-0.21679,0.18717,0.060347,0.02575,-0.056841,-0.029685,-0.012237,0.000942,0.052271,0.573149,0.161115,0.273819
40,0.032746,0.044987,-0.015529,-0.020514,0.007485,0.006125,-0.011576,0.014211,-0.028085,0.182761,0.059293,0.025088,-0.056625,-0.023702,-0.022734,0.01039,-0.388755,0.290769,0.43379,0.269247
41,0.032352,0.045127,-0.015419,-0.020395,0.006944,0.005769,-0.571777,-0.511768,0.438086,0.181455,0.058805,0.024721,-0.05649,-0.030299,-0.021171,0.011385,-0.072298,0.306503,0.005619,0.265165
42,0.031661,0.045393,-0.015218,-0.013778,0.006381,0.004869,-0.000802,0.007273,-0.006016,0.174923,0.057833,0.023924,-0.056129,-0.023653,-0.021583,0.01099,0.359476,0.328698,1.111608,0.251448
43,0.031095,0.045609,-0.015046,-0.007202,0.005767,0.00396,-0.000257,0.003769,-0.003129,0.171984,0.056879,0.023038,-0.055614,-0.023565,-0.02066,0.011509,-1.138597,-0.269749,1.428996,0.244264
44,0.030591,0.045804,-0.014903,-0.013468,0.004663,0.003782,0.003542,0.011234,-0.009663,0.171004,0.05602,0.022074,-0.055011,-0.017046,-0.02572,0.016327,0.631209,0.045972,0.808785,0.238385
