frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1790,0.130819,0.019977,0.438716,0.228815,0.852164,-0.470645,-0.969853,0.241094,-0.035097,0.08327,0.46343,0.882228,0.008777,-0.019001,-0.008275,0.000537,0.108647,-0.199368,0.147369,-0.120807,0.021169,0.414476,0.020453,0.782471,0.622344,-0.999722,0.021151,0.006447,-0.008126,-0.623274,0.781874,0.011119,0.007239,0.00274,0.03037,-0.187569,0.387547,0.534508,0.035381,0.051712,-0.004478,0.044178,-0.783655,0.619622,0.998748,0.049207,-0.008976,-0.023456,0.619243,0.784848,0.012925,0.007219,-0.005723,-0.270338,-0.050792,0.168329,0.519466,0.074975,0.047722,-0.052676,0.384547,0.791147,-0.475613,-0.91105,0.408266,-0.057491,0.148693,0.455415,0.877773,0.004335,-0.009778,-0.004248,-0.021248,0.052293,-0.196177,0.09126
1791,0.131323,0.019833,0.437943,0.186124,0.866327,-0.463551,-0.980017,0.197273,-0.024928,0.069612,0.457853,0.886313,0.022141,0.013156,-0.037981,0.684321,0.152706,-1.712479,-0.120652,-0.119735,0.022447,0.413406,0.082939,0.803317,0.589741,-0.995487,0.040037,0.08566,0.045112,-0.595183,0.802238,0.009499,0.018884,-0.020594,-0.485878,-0.585881,1.113837,0.534455,0.03566,0.052086,-0.004854,0.044052,-0.79367,0.60675,0.996599,0.07724,0.028678,-0.069626,0.603424,0.794374,0.005262,0.009522,-0.010646,-1.7378,-1.592803,2.134755,0.51914,0.075223,0.047617,-0.053054,0.346482,0.811804,-0.470024,-0.928212,0.369103,-0.04674,0.135544,0.452477,0.881414,0.011142,0.006541,-0.018909,1.986124,0.514585,-5.49671,-0.139959
1792,0.13245,0.020454,0.436485,0.078967,0.892079,-0.444978,-0.994977,0.09799,0.019757,0.061123,0.440075,0.895893,0.034662,0.016029,-0.03727,0.104368,0.156941,-0.811896,-0.404233,-0.119301,0.023387,0.412337,0.093315,0.804598,0.586435,-0.99326,0.035032,0.110183,0.068006,-0.593764,0.801674,0.008351,0.026734,-0.031225,-0.188642,0.30623,0.560655,0.534656,0.035888,0.05256,-0.005389,0.033596,-0.79762,0.602222,0.995242,0.081836,0.052868,-0.091452,0.597581,0.796575,0.011108,0.009141,-0.010933,-0.422192,0.292287,0.278758,0.521426,0.075768,0.04792,-0.053769,0.245696,0.85638,-0.454142,-0.961423,0.275068,-0.001442,0.123686,0.436978,0.890927,0.017456,0.004063,-0.013123,0.249731,1.11567,-6.380124,-0.380813
1793,0.133076,0.020843,0.435792,0.032303,0.900169,-0.434393,-0.997501,0.056293,0.042354,0.062532,0.430822,0.900283,0.035397,0.020591,-0.035357,0.084897,0.145981,-0.58348,-0.497402,-0.118999,0.023959,0.411755,0.081314,0.806153,0.586086,-0.992986,0.015268,0.116963,0.085254,-0.592488,0.80097,0.019744,0.031856,-0.029472,-0.216086,0.337081,0.612246,0.534595,0.036038,0.052839,-0.005685,0.045805,-0.797976,0.600945,0.99309,0.101438,0.059001,-0.10804,0.59409,0.797109,0.010691,0.011137,-0.009904,-0.184461,-0.251819,0.077382,0.521589,0.076106,0.048122,-0.054145,0.199066,0.873502,-0.444258,-0.972228,0.232958,0.022399,0.123059,0.427462,0.895618,0.017763,0.01061,-0.017574,0.107745,0.132269,-0.563162,-0.479767
1794,0.133776,0.022687,0.43437,-0.066777,0.905016,-0.420157,-0.997042,-0.044531,0.062417,0.037855,0.421957,0.90584,0.004603,0.061468,-0.030997,2.422777,-0.08298,-5.78429,-0.547508,-0.118163,0.025522,0.41071,0.082054,0.809091,0.581919,-0.991877,0.009701,0.126569,0.096672,-0.588584,0.80255,0.028253,0.054415,-0.033655,0.140662,-0.109085,0.401239,0.524147,0.036445,0.053585,-0.006202,0.044095,-0.799698,0.59878,0.991787,0.107068,0.069957,-0.120055,0.590778,0.797851,0.014859,0.022635,-0.011864,0.120798,-0.135166,0.366301,0.521915,0.076448,0.048969,-0.054845,0.108812,0.895062,-0.432461,-0.989074,0.141008,0.04298,0.09945,0.42306,0.900626,0.002409,0.031234,-0.015314,0.101731,0.260073,-0.772439,-0.578068
1795,0.133971,0.025745,0.4334,-0.105997,0.904149,-0.413913,-0.993799,-0.082318,0.074553,0.033459,0.418125,0.907788,0.008914,0.088027,-0.020367,0.071359,0.072546,-0.572762,-0.462479,-0.116721,0.02787,0.409678,0.083618,0.816095,0.571829,-0.990113,0.003501,0.139988,0.11215,-0.578896,0.807567,0.037511,0.069601,-0.026984,-1.556373,-1.746546,1.927709,0.511983,0.037175,0.054764,-0.006733,0.043715,-0.806211,0.590009,0.990295,0.112953,0.08097,-0.131922,0.580744,0.803325,0.024593,0.036534,-0.013071,0.177136,-0.211465,0.480944,0.51816,0.076545,0.050506,-0.055348,0.06408,0.901982,-0.42699,-0.993685,0.097156,0.056109,0.092094,0.420699,0.902513,0.004651,0.045055,-0.009766,0.069693,0.064569,-0.571411,-0.581334
1796,0.1342,0.027608,0.4331,-0.118045,0.903113,-0.412913,-0.992278,-0.091366,0.083715,0.038018,0.418483,0.907443,0.010312,0.096837,-0.017081,0.052416,-0.008432,-0.403611,-0.360583,-0.115813,0.029362,0.40916,0.095682,0.819096,0.565613,-0.988555,0.011924,0.150164,0.116147,-0.574527,0.810118,0.036636,0.073031,-0.02531,-0.439044,-0.430089,0.801084,0.486218,0.037611,0.055485,-0.006981,0.032115,-0.811009,0.584151,0.99032,0.10478,0.091026,-0.135031,0.575573,0.806524,0.018309,0.036801,-0.012551,0.023497,0.097155,0.584465,0.502811,0.076652,0.051408,-0.055494,0.052162,0.903007,-0.426445,-0.993926,0.088378,0.065568,0.096897,0.420435,0.902133,0.005288,0.044968,-0.002958,-0.170092,0.020665,-0.315035,-0.536265
1797,0.134462,0.030978,0.433338,-0.134806,0.902258,-0.409638,-0.989578,-0.101464,0.102044,0.050668,0.418003,0.907047,0.00031,0.083187,0.018844,-0.089305,-0.150513,-0.286299,-0.186531,-0.114078,0.03222,0.408264,0.110453,0.824258,0.555329,-0.986938,0.025349,0.158881,0.116756,-0.56665,0.81556,0.048821,0.068426,-0.013929,0.121619,-0.119893,0.29164,0.438978,0.038509,0.056977,-0.007445,0.015346,-0.819083,0.573469,0.990583,0.090488,0.102736,-0.136041,0.566492,0.812759,0.024389,0.034479,-0.006873,0.129184,-0.118037,0.28974,0.442883,0.076797,0.053143,-0.055387,0.035533,0.905637,-0.422561,-0.993428,0.078041,0.083723,0.1088,0.41681,0.902458,0.000236,0.042046,0.009609,-0.178031,-0.239592,-0.328064,-0.409552
1798,0.134363,0.034179,0.434311,-0.146753,0.903709,-0.402267,-0.987127,-0.107635,0.11818,0.063678,0.413308,0.908377,-0.0105,0.079238,0.030609,-0.003213,0.026603,-0.057448,-0.079427,-0.111942,0.034981,0.407872,0.125813,0.829539,0.544084,-0.98484,0.038731,0.168892,0.118884,-0.558118,0.821118,0.060311,0.066505,-0.001398,0.042575,-0.176452,0.338041,0.391032,0.039555,0.058332,-0.00764,0.000265,-0.826243,0.563313,0.99059,0.077311,0.11293,-0.136858,0.557982,0.818489,0.030094,0.03373,-0.000516,-0.071518,-0.30232,0.466677,0.392753,0.076754,0.05476,-0.054898,0.023538,0.909079,-0.415956,-0.992375,0.071598,0.100323,0.120984,0.410424,0.903833,-0.005195,0.040015,0.015471,0.013801,0.039974,-0.047444,-0.304556
1799,0.134018,0.036704,0.435856,-0.155893,0.903594,-0.399076,-0.985605,-0.115511,0.123336,0.065535,0.411435,0.909095,-0.011874,0.052734,0.047161,-0.065462,-0.006197,0.065755,-0.080919,-0.109895,0.037372,0.407981,0.134336,0.831418,0.539157,-0.983965,0.047819,0.171637,0.116764,-0.554605,0.823798,0.039779,0.041667,0.016568,0.012526,-0.0957,0.195964,0.113113,0.0406,0.059563,-0.007581,-0.008496,-0.82925,0.558813,0.990931,0.067958,0.115913,-0.134097,0.55473,0.821152,0.0199,0.020853,0.00826,0.013512,-0.095439,0.196986,0.180475,0.076582,0.056072,-0.054107,0.014598,0.910695,-0.412821,-0.992383,0.063702,0.105436,0.122317,0.408138,0.904688,-0.005987,0.026163,0.023518,-0.065864,-0.005831,0.068301,-0.264876
