frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
609,0.081373,-0.001777,0.374491,-0.241484,0.548954,-0.800238,-0.639736,-0.710074,-0.294118,-0.729393,0.44023,0.523652,-0.001758,-0.020235,0.018689,0.328733,0.181898,-0.292453,-0.275681,-0.071992,0.049134,0.347695,0.102657,0.135863,0.98539,-0.767515,0.640926,-0.008293,-0.632785,-0.75561,0.16882,0.001261,-0.003749,-0.002698,0.05886,-0.747928,-0.477976,0.039643,0.054543,0.043042,-0.010976,-0.054862,-0.131625,0.989779,0.783795,-0.619794,-0.038979,0.618591,0.773646,0.13717,0.002018,-0.007801,0.00233,0.044231,-0.88903,-0.389046,-0.153454,0.078616,0.023334,-0.056418,-0.279483,0.572582,-0.770738,-0.605484,-0.728097,-0.321345,-0.745169,0.376859,0.55018,-0.000416,-0.004959,0.004747,1.316179,0.497444,-0.884503,-0.417716
610,0.081345,-0.002359,0.375046,-0.25549,0.543259,-0.799775,-0.636226,-0.717289,-0.284051,-0.727673,0.435586,0.529891,-0.001815,-0.020418,0.018564,-0.069327,0.035358,-0.032101,-0.26711,-0.071788,0.048718,0.347731,0.099597,0.187187,0.977258,-0.79807,0.601562,-0.033772,-0.594296,-0.77678,0.208058,0.004302,-0.016347,0.004126,0.082348,-1.49972,-0.980936,0.095795,0.054646,0.042831,-0.01096,-0.050764,-0.182025,0.981982,0.812183,-0.579716,-0.065473,0.581189,0.794226,0.177266,0.002168,-0.008286,0.001969,0.085637,-1.552792,-1.011574,-0.092384,0.078603,0.023048,-0.056144,-0.293524,0.565897,-0.770456,-0.601026,-0.735983,-0.311601,-0.743377,0.371602,0.556148,-0.000919,-0.010223,0.009275,-0.066857,0.032851,-0.02724,-0.407266
611,0.081334,-0.003043,0.37564,-0.270627,0.53917,-0.79756,-0.626763,-0.727462,-0.279175,-0.730388,0.423655,0.535795,-0.001823,-0.020452,0.018553,-0.06856,0.043022,-0.02841,-0.268993,-0.071398,0.048215,0.347863,0.101284,0.255104,0.96159,-0.810079,0.582188,-0.069006,-0.577525,-0.772284,0.264397,0.004105,-0.015736,0.004565,0.106554,-1.766046,-1.148208,0.157281,0.054834,0.042588,-0.0109,-0.05127,-0.247992,0.967404,0.822085,-0.560493,-0.100113,0.567051,0.790155,0.232606,0.002076,-0.008008,0.002167,0.106515,-1.755056,-1.139457,-0.014984,0.078596,0.022702,-0.055844,-0.308366,0.561172,-0.768111,-0.591063,-0.745706,-0.307515,-0.745355,0.359175,0.561639,-0.000471,-0.005133,0.004623,-0.027498,-0.085955,0.155628,-0.40547
612,0.081324,-0.003461,0.375988,-0.27786,0.535765,-0.797368,-0.618932,-0.734593,-0.277972,-0.73433,0.415609,0.536708,-0.001909,-0.020718,0.018359,0.327237,0.173553,-0.299083,-0.268954,-0.071207,0.047935,0.347957,0.102334,0.289784,0.951601,-0.814315,0.573801,-0.087043,-0.57135,-0.766349,0.293482,0.004229,-0.016093,0.004307,0.114377,-1.751734,-0.936846,0.174105,0.054936,0.042444,-0.01085,-0.051771,-0.285195,0.957069,0.82528,-0.551867,-0.119807,0.562344,0.783649,0.263936,0.009321,-0.011456,0.006864,0.093285,-2.024406,-1.294383,0.02045,0.078592,0.022501,-0.055676,-0.314352,0.557788,-0.76815,-0.584147,-0.751493,-0.30664,-0.7483,0.35232,0.562064,0.005622,-0.011993,0.008057,4.34149,1.547156,-2.965194,-0.405633
613,0.081347,-0.004357,0.376704,-0.287242,0.534064,-0.795181,-0.612063,-0.740858,-0.276551,-0.736462,0.406596,0.540676,-0.002037,-0.021124,0.018069,-0.069222,0.036865,-0.031383,-0.268909,-0.070802,0.04726,0.348289,0.103958,0.366341,0.92465,-0.822976,0.553702,-0.126722,-0.558504,-0.748241,0.357872,0.015965,-0.011156,0.006325,0.092032,-1.907491,-1.012411,0.176064,0.05514,0.042099,-0.010683,-0.052644,-0.363206,0.930219,0.83159,-0.531681,-0.160534,0.552888,0.765111,0.330029,0.007924,-0.005467,0.003224,0.087248,-1.830965,-0.96133,0.050822,0.078603,0.022045,-0.055311,-0.324611,0.55501,-0.765891,-0.575626,-0.758443,-0.305643,-0.75052,0.341652,0.565678,0.005202,-0.017202,0.012679,-0.104806,0.025192,-0.025401,-0.405143
614,0.081324,-0.005242,0.377454,-0.298999,0.536227,-0.78937,-0.605496,-0.745911,-0.277422,-0.737196,0.39434,0.548693,-0.001963,-0.020914,0.018247,-0.052256,0.195186,0.043422,-0.271527,-0.070378,0.046483,0.348871,0.098247,0.442368,0.891431,-0.840685,0.516223,-0.16339,-0.532548,-0.733907,0.42147,0.004581,-0.020689,0.016982,-1.367687,-1.646398,-1.687321,0.175075,0.055353,0.041713,-0.010403,-0.046985,-0.437652,0.897915,0.845762,-0.495715,-0.19736,0.531485,0.75015,0.393442,0.0025,-0.010993,0.008074,-4.845057,-0.776482,-3.189636,0.054088,0.078592,0.021603,-0.054937,-0.336374,0.556336,-0.75983,-0.568887,-0.763032,-0.306837,-0.750479,0.329046,0.573156,-0.001015,-0.010523,0.009074,-0.043528,0.132263,0.232833,-0.406449
615,0.081259,-0.006009,0.378177,-0.308336,0.542172,-0.78168,-0.603453,-0.746639,-0.279902,-0.735011,0.384725,0.558365,-0.000697,-0.009597,0.009787,-0.018793,0.164588,0.052902,-0.268205,-0.069994,0.045705,0.3496,0.093957,0.509756,0.855168,-0.85376,0.483093,-0.194029,-0.51212,-0.71251,0.479505,0.016327,-0.015703,0.019056,0.103845,-1.693656,-0.837848,0.172662,0.055538,0.041331,-0.010044,-0.041571,-0.504979,0.862129,0.857433,-0.460994,-0.228676,0.512913,0.729712,0.45215,0.008193,-0.007999,0.009402,0.116492,-1.791346,-0.665429,0.051639,0.078559,0.021221,-0.05458,-0.346009,0.561599,-0.751587,-0.566875,-0.763456,-0.309494,-0.747615,0.318968,0.582519,-0.000738,-0.009688,0.009719,-0.048582,0.206511,0.045854,-0.405796
616,0.081221,-0.006349,0.378508,-0.314114,0.544429,-0.777801,-0.600277,-0.748556,-0.281606,-0.735159,0.377759,0.562909,-0.000784,-0.009861,0.00959,-0.009567,0.249851,0.09258,-0.265219,-0.069796,0.045367,0.349964,0.092101,0.538593,0.837512,-0.859628,0.467493,-0.205968,-0.502549,-0.701647,0.504973,0.004067,-0.019162,0.018134,-0.284533,-1.71884,-0.971776,0.179712,0.055642,0.041159,-0.009854,-0.040031,-0.534056,0.8445,0.862116,-0.445725,-0.241008,0.505127,0.718409,0.478261,0.008014,-0.007436,0.009823,-1.300565,-1.241033,-1.374947,0.053435,0.07854,0.021045,-0.054406,-0.351721,0.563102,-0.747802,-0.563613,-0.765209,-0.311119,-0.747417,0.312043,0.586512,-0.000821,-0.009944,0.009528,-0.032942,0.23409,0.281472,-0.404326
617,0.081162,-0.006969,0.379125,-0.320868,0.548935,-0.771854,-0.598171,-0.749241,-0.284255,-0.73395,0.369805,0.569726,-0.001525,-0.019596,0.01929,-0.003937,0.492946,0.399987,-0.261536,-0.06937,0.044818,0.35074,0.095838,0.586774,0.804054,-0.868164,0.444425,-0.220705,-0.486936,-0.677628,0.550977,0.002889,-0.015698,0.020664,-0.796187,-1.516242,-0.042727,0.220753,0.055858,0.040874,-0.009461,-0.043729,-0.585407,0.809558,0.869382,-0.421527,-0.257854,0.492201,0.69254,0.527375,0.001388,-0.007723,0.010412,-0.855225,-1.53388,0.029101,0.088706,0.07851,0.020731,-0.054094,-0.357714,0.565587,-0.743068,-0.561282,-0.766167,-0.312967,-0.746325,0.305119,0.591523,-0.000764,-0.009779,0.00966,-0.006148,0.456524,0.380893,-0.401877
618,0.08109,-0.007385,0.379565,-0.321637,0.54882,-0.771616,-0.599138,-0.748937,-0.283016,-0.732824,0.370589,0.570666,-0.000722,-0.009675,0.009743,-0.034755,0.01743,-0.016167,-0.256302,-0.069026,0.044419,0.351497,0.101451,0.630694,0.769366,-0.875501,0.42387,-0.231876,-0.472452,-0.650842,0.594186,0.014832,-0.011252,0.02232,0.153489,-1.558071,-0.478638,0.26308,0.056024,0.040681,-0.009089,-0.04965,-0.62691,0.777507,0.875886,-0.401421,-0.267737,0.479955,0.667716,0.569032,0.001323,-0.007541,0.01055,0.124112,-1.313497,-0.136553,0.140632,0.078474,0.020527,-0.053878,-0.359408,0.566728,-0.741379,-0.562408,-0.765518,-0.312534,-0.744662,0.304631,0.593866,-0.000357,-0.004801,0.0049,-0.035811,0.011926,-0.018274,-0.398448
