frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1220,0.058846,0.05678,0.009666,-0.006297,0.006116,-0.017244,1.582421,2.340739,-0.001537,-0.874709,0.078647,0.04195,-0.042182,3.4e-05,0.0001,5.1e-05,-7.1e-05,-1.4e-05,7.1e-05,-0.725682
1221,0.058696,0.057064,0.00898,-0.00615,0.005721,-0.017382,-0.318907,0.203295,0.375311,-0.872912,0.078674,0.041928,-0.042156,0.006024,-0.001225,-0.000803,0.00094,-0.014709,0.029605,-0.725682
1222,0.058552,0.057235,0.008324,0.000841,0.001457,-0.012946,1.379667,2.46692,-0.038753,-0.875689,0.078707,0.041921,-0.042122,0.000216,0.000652,0.00034,-2.2e-05,-1.5e-05,3.1e-05,-0.725682
1223,0.058489,0.057275,0.008061,-0.005007,0.000882,-0.012919,1.683146,2.480168,0.018243,-0.876342,0.07873,0.041922,-0.0421,0.000439,0.001322,0.000689,-2.8e-05,-1.4e-05,1.4e-05,-0.725682
1224,0.058331,0.057248,0.007614,-0.010395,-0.000958,-0.013482,0.068607,0.936124,0.448302,-0.885159,0.078796,0.041927,-0.042055,0.006479,0.000158,-8.2e-05,0.001999,-0.027053,0.055601,-0.725519
1225,0.058168,0.057019,0.007328,-0.002522,-0.009412,-0.004286,1.431756,2.398237,-0.226506,-0.890548,0.07888,0.041945,-0.042014,0.006479,0.000172,-7.7e-05,0.000982,-0.014718,0.029569,-0.725682
1226,0.058037,0.056664,0.007168,-0.002829,-0.008659,-0.003909,-0.027067,0.111364,-0.227767,-0.894467,0.078979,0.041989,-0.041977,0.000709,0.002142,0.00111,3e-06,3e-06,1.2e-05,-0.726009
1227,0.057967,0.056453,0.007104,-0.001423,-0.01425,0.000193,-0.076554,0.229739,-0.448848,-0.893487,0.079037,0.042014,-0.041954,0.000878,0.002656,0.001376,0.000434,-0.012177,0.025797,-0.726336
1228,0.057831,0.056123,0.00695,-0.003211,-0.007531,-0.003439,1.605598,-0.284827,4.471268,-0.895773,0.079155,0.042084,-0.041898,0.00096,0.002916,0.001507,-9.3e-05,-2.4e-05,9.2e-05,-0.727152
1229,0.057656,0.055877,0.006812,-0.009462,-0.007398,-0.002987,-0.510407,0.851861,-0.376817,-0.892671,0.079277,0.042172,-0.041811,0.001253,0.00382,0.001971,0.000963,-0.012332,0.026098,-0.728458
1230,0.057539,0.055778,0.006751,-0.004137,-0.00532,-0.002294,0.285415,1.195812,-0.567541,-0.887446,0.079333,0.042218,-0.041745,0.00136,0.004154,0.002139,-5.4e-05,-1.8e-05,4e-05,-0.728621
1231,0.057271,0.055627,0.006638,-0.006248,0.002174,-0.005468,0.634947,1.311352,1.009814,-0.88222,0.079442,0.042281,-0.04155,0.001658,0.005078,0.002606,0.000821,-0.012306,0.026135,-0.728458
1232,0.056978,0.05555,0.00653,-0.010665,-0.004208,-0.001397,-0.452703,0.764585,-0.479699,-0.875199,0.079573,0.042283,-0.0413,0.007162,-0.001129,0.006535,-0.032931,-0.008711,0.03988,-0.728295
1233,0.056611,0.055517,0.006382,-0.010459,-0.004781,-0.001683,0.216906,1.355424,-0.398964,-0.876178,0.079726,0.042247,-0.041004,0.001144,3e-05,0.007298,1.197173,0.208667,-1.111435,-0.728458
1234,0.056397,0.055501,0.006294,-0.011725,0.00049,-0.005943,-0.342222,0.63691,-0.343771,-0.875689,0.07983,0.042208,-0.040858,0.007041,-0.001456,0.006355,-0.032903,-0.008747,0.039936,-0.728295
1235,0.055942,0.055474,0.006101,-0.011834,0.000813,-0.005773,-0.244366,0.477379,-0.168659,-0.872913,0.080066,0.04211,-0.040575,0.006984,-0.001601,0.006274,-0.033182,-0.008711,0.039785,-0.728295
1236,0.055438,0.055481,0.005887,-0.011896,0.001008,-0.005674,-0.351889,0.609507,-0.075722,-0.873239,0.080314,0.042022,-0.040326,0.006872,-0.001934,0.0061,0.06646,0.281026,0.172365,-0.728132
1237,0.055163,0.055496,0.005767,-0.017313,-0.000825,-0.006237,-0.194972,0.447591,-0.276018,-0.8703,0.080448,0.041983,-0.040208,0.006836,-0.002027,0.006052,0.028857,0.168855,0.119888,-0.728132
1238,0.054583,0.055557,0.005502,-0.017462,-0.000353,-0.005991,0.168778,0.257219,0.073584,-0.867524,0.080737,0.041942,-0.040008,0.007433,0.00339,0.001502,0.000795,-0.029453,0.054564,-0.728621
1239,0.053954,0.055619,0.005193,-0.017156,-0.001185,-0.006401,-0.230437,0.357795,0.192209,-0.868014,0.081042,0.041944,-0.039863,0.012554,-0.003984,0.004866,-0.033179,-0.011607,0.043309,-0.728948
