frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.123642,-0.004167,0.363233,-0.128821,0.622475,-0.771995,-0.90173,-0.397416,-0.170044,-0.412499,0.673451,0.613462,0.012982,-0.004791,-0.003682,-0.000273,-0.013941,0.028185,0.378554,-0.151508,-0.002247,0.335907,0.151201,0.2656,0.952148,-0.766071,0.640189,-0.056807,-0.6248,-0.721149,0.299051,5e-06,-8.8e-05,-7.6e-05,0.053982,-0.220081,-0.132765,0.429165,0.042571,0.022782,-0.010758,-0.138096,-0.270573,0.952743,0.709751,-0.697969,-0.095343,0.690783,0.663045,0.288426,-1e-06,2.2e-05,1.7e-05,0.000563,-0.002864,-0.00178,0.518323,0.076798,0.022925,-0.061809,-0.20101,0.640898,-0.74084,-0.828414,-0.514838,-0.220613,-0.522804,0.569377,0.634417,-0.000143,0.003401,-0.005925,0.029958,0.088969,-0.184384,0.322317
2,0.123972,-0.004153,0.36295,-0.133597,0.622337,-0.771294,-0.902449,-0.397968,-0.164864,-0.409393,0.673253,0.615756,0.012939,-0.005038,-0.003877,0.000984,-0.014714,0.029553,0.377999,-0.151507,-0.002262,0.335908,0.150126,0.269215,0.951303,-0.769684,0.635704,-0.058317,-0.620603,-0.723777,0.301433,0.0,-3e-06,-2e-06,0.000109,-0.000436,-0.000262,0.439153,0.042571,0.022782,-0.010758,-0.138096,-0.270573,0.952743,0.709751,-0.697969,-0.095343,0.690783,0.663045,0.288426,-1e-06,2.2e-05,1.7e-05,0.000563,-0.002864,-0.00178,0.518323,0.076963,0.022932,-0.061952,-0.205702,0.640024,-0.740306,-0.829163,-0.515787,-0.215527,-0.519783,0.569501,0.636783,0.006629,0.002427,-0.006671,0.038589,-0.018264,0.024454,0.317908
3,0.124162,-0.004106,0.362679,-0.136983,0.622185,-0.770822,-0.90255,-0.399015,-0.16175,-0.408045,0.672774,0.617172,-0.000592,-0.003023,-0.00233,-0.0,-0.0,-0.0,0.374349,-0.151508,-0.002242,0.335925,0.149898,0.269259,0.951326,-0.769724,0.635639,-0.058504,-0.620609,-0.723818,0.301323,-1e-05,0.000168,0.000146,0.070725,0.135588,-0.196199,0.378868,0.042571,0.022782,-0.010758,-0.138096,-0.270573,0.952743,0.709751,-0.697969,-0.095343,0.690783,0.663045,0.288426,-1e-06,2.2e-05,1.7e-05,0.000563,-0.002864,-0.00178,0.518323,0.077063,0.022954,-0.062089,-0.208984,0.639361,-0.739961,-0.829181,-0.517,-0.21253,-0.518443,0.569146,0.638191,-0.000122,0.003509,-0.005838,0.034839,-0.001944,-0.007782,0.317908
4,0.12438,-0.004027,0.362342,-0.136634,0.622113,-0.770943,-0.902252,-0.399399,-0.162459,-0.40882,0.672613,0.616835,-0.000363,0.006473,-0.012087,0.03451,-0.001684,-0.008188,0.335666,-0.152112,-0.002484,0.335721,0.138697,0.270799,0.952587,-0.769575,0.634841,-0.0683,-0.623379,-0.723945,0.295236,-0.028331,-0.001142,-0.016176,0.030547,0.036088,-0.064411,-0.482026,0.042571,0.022782,-0.010758,-0.138096,-0.270573,0.952743,0.709751,-0.697969,-0.095343,0.690783,0.663045,0.288426,-1e-06,2.2e-05,1.7e-05,0.000563,-0.002864,-0.00178,0.518323,0.077167,0.022993,-0.062251,-0.208786,0.639317,-0.740054,-0.828797,-0.517371,-0.213123,-0.519136,0.568857,0.637884,0.006648,0.002512,-0.006607,0.036266,-0.029664,0.047,0.291945
5,0.124474,-0.003983,0.362171,-0.13634,0.62208,-0.771021,-0.902111,-0.399537,-0.162905,-0.40923,0.672562,0.616619,-0.000713,-0.003657,-0.002824,-0.0,-0.0,-0.0,0.313713,-0.152606,-0.002583,0.335402,0.139697,0.276269,0.950869,-0.768849,0.635365,-0.071525,-0.624053,-0.721421,0.299955,-0.028274,-0.00263,-0.017499,0.171731,-0.583627,-0.205656,-1.300292,0.042571,0.022782,-0.010758,-0.138096,-0.270573,0.952743,0.709751,-0.697969,-0.095343,0.690783,0.663045,0.288426,-1e-06,2.2e-05,1.7e-05,0.000563,-0.002864,-0.00178,0.518323,0.077219,0.023016,-0.062342,-0.208324,0.639364,-0.740144,-0.828641,-0.517382,-0.213701,-0.51957,0.568796,0.637587,-0.0002,0.003114,-0.006142,0.034497,-0.00169,-0.008143,0.264675
6,0.124589,-0.003882,0.361825,-0.138212,0.621968,-0.770778,-0.902278,-0.399933,-0.160998,-0.408231,0.672429,0.617425,-0.00068,-0.003494,-0.002702,-0.0,0.0,-0.0,0.296601,-0.152446,-0.002062,0.33511,0.139276,0.291093,0.946498,-0.789403,0.609675,-0.071223,-0.597932,-0.737605,0.313496,0.012209,0.022027,-5.3e-05,-1.545085,-0.010114,-0.524176,-1.408182,0.042571,0.022782,-0.010758,-0.138096,-0.270573,0.952743,0.709751,-0.697969,-0.095343,0.690783,0.663045,0.288426,-1e-06,2.2e-05,1.7e-05,0.000563,-0.002864,-0.00178,0.518323,0.077277,0.023065,-0.062515,-0.210176,0.638963,-0.739967,-0.828799,-0.517908,-0.211807,-0.518572,0.568767,0.638424,-0.000175,0.00324,-0.006043,0.035848,-0.002446,-0.006834,0.223526
7,0.124694,-0.003797,0.361494,-0.14014,0.62186,-0.770517,-0.902455,-0.400323,-0.15902,-0.407178,0.672298,0.618263,-0.000153,0.007555,-0.011253,0.035296,-0.014956,0.017381,0.300878,-0.152371,-0.001457,0.335411,0.124396,0.288813,0.949265,-0.800301,0.594714,-0.075945,-0.586599,-0.750603,0.303907,0.013407,0.009199,0.006636,-0.011946,0.034647,0.092978,-1.408549,0.042571,0.022782,-0.010758,-0.138096,-0.270573,0.952743,0.709751,-0.697969,-0.095343,0.690783,0.663045,0.288426,-1e-06,2.2e-05,1.7e-05,0.000563,-0.002864,-0.00178,0.518323,0.077324,0.023101,-0.062674,-0.212128,0.638553,-0.739764,-0.828982,-0.518434,-0.209793,-0.517484,0.568749,0.639323,-0.000391,-0.002042,-0.001583,0.000295,0.012668,-0.024462,0.217321
8,0.124756,-0.003779,0.361354,-0.139986,0.621833,-0.770566,-0.902343,-0.400462,-0.159308,-0.40748,0.672241,0.618126,-0.000357,0.006507,-0.012065,0.034517,-0.00164,-0.008166,0.302622,-0.152257,-0.001426,0.335467,0.122872,0.28394,0.950932,-0.804101,0.59004,-0.072161,-0.5817,-0.756125,0.299603,1e-06,-1.2e-05,-1.1e-05,-0.06977,0.282372,0.170674,-1.408182,0.042571,0.022782,-0.010758,-0.138096,-0.270573,0.952743,0.709751,-0.697969,-0.095343,0.690783,0.663045,0.288426,-1e-06,2.2e-05,1.7e-05,0.000563,-0.002864,-0.00178,0.518323,0.07736,0.023115,-0.062747,-0.211898,0.638563,-0.739821,-0.828838,-0.518518,-0.210155,-0.517808,0.568661,0.639138,-0.000301,-0.001576,-0.001222,0.000125,-9e-05,0.000159,0.218464
9,0.124883,-0.003796,0.361161,-0.139756,0.621806,-0.77063,-0.902217,-0.400596,-0.159681,-0.407836,0.672186,0.61795,-0.000528,-0.002727,-0.002115,0.0,0.0,0.0,0.305913,-0.152197,-0.001674,0.335408,0.123291,0.278317,0.952539,-0.804501,0.589975,-0.068131,-0.581059,-0.758257,0.295431,0.000322,-0.005868,-0.005103,-0.004966,0.027019,-0.017271,-1.406703,0.042571,0.022782,-0.010758,-0.138096,-0.270573,0.952743,0.709751,-0.697969,-0.095343,0.690783,0.663045,0.288426,-1e-06,2.2e-05,1.7e-05,0.000563,-0.002864,-0.00178,0.518323,0.077423,0.023108,-0.062848,-0.211667,0.63857,-0.739881,-0.828671,-0.518628,-0.210544,-0.518171,0.568553,0.638941,0.006512,-0.00236,-0.001833,0.0002,-0.001401,0.004018,0.22075
10,0.124936,-0.003885,0.361066,-0.142131,0.621764,-0.770229,-0.902654,-0.40069,-0.156956,-0.406044,0.672168,0.619149,-0.000419,-0.002164,-0.00168,-0.0,0.0,-0.0,0.316301,-0.152145,-0.001845,0.335269,0.123336,0.27428,0.953704,-0.79747,0.599332,-0.069113,-0.590664,-0.75236,0.291433,0.000202,-0.003678,-0.003203,-0.002122,0.015557,-0.024195,-1.403389,0.042571,0.022782,-0.010758,-0.138096,-0.270573,0.952743,0.709751,-0.697969,-0.095343,0.690783,0.663045,0.288426,-1e-06,2.2e-05,1.7e-05,0.000563,-0.002864,-0.00178,0.518323,0.07745,0.023063,-0.062896,-0.214025,0.638157,-0.739559,-0.829156,-0.518944,-0.207837,-0.516422,0.568728,0.640198,-0.000229,-0.001193,-0.000928,-0.005523,0.104962,-0.201179,0.228914
