frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
193,0.040987,0.036981,-0.023257,0.008738,-0.018672,0.018004,0.152905,-0.201431,-0.514403,-0.897406,0.075241,0.036934,-0.080886,0.000688,0.003217,0.002764,-0.001148,0.095721,-0.139528,-0.895504
194,0.041253,0.036415,-0.022622,0.00872,-0.018059,0.018588,-0.058099,-0.152238,-0.140484,-0.911123,0.075233,0.037105,-0.080779,0.000872,0.004076,0.00349,0.004093,-0.001191,0.033636,-0.895178
195,0.041505,0.035945,-0.022033,0.008179,-0.012684,0.01456,0.188689,-0.406267,-0.55611,-0.910796,0.075238,0.037308,-0.080632,0.001047,0.004897,0.00418,0.004164,-0.004494,0.031256,-0.894851
196,0.041619,0.035735,-0.02179,0.008247,-0.01376,0.0136,-0.135645,0.133864,-0.151158,-0.910796,0.07525,0.037411,-0.080538,0.001161,0.005427,0.004621,0.005199,0.000287,0.034456,-0.894851
197,0.04185,0.035341,-0.021397,0.007783,-0.009713,0.008364,-0.048451,0.040661,-0.227326,-0.913245,0.075294,0.037639,-0.080344,0.001324,0.006203,0.005259,-0.001003,0.080775,-0.115874,-0.895994
198,0.042066,0.034968,-0.021084,0.00785,-0.010669,0.007514,0.157862,-0.330958,-0.502161,-0.911449,0.075344,0.037871,-0.080142,0.00122,0.005736,0.004841,-0.000274,0.092996,-0.135728,-0.896484
199,0.042159,0.034805,-0.020971,0.000578,-0.005917,0.003576,-0.844204,-0.01781,-2.088274,-0.914062,0.075364,0.037984,-0.08004,0.001209,0.005679,0.004782,0.003771,-0.010428,0.028068,-0.896321
200,0.042374,0.034474,-0.0208,0.001251,-0.012952,0.006161,0.140684,-0.301577,-0.519014,-0.906877,0.075392,0.038196,-0.07983,0.001301,0.006117,0.005127,0.004015,0.10534,-0.128478,-0.896811
201,0.042541,0.034168,-0.020668,0.007341,-0.005617,0.003168,0.000253,0.008975,-0.22528,-0.912429,0.075379,0.038441,-0.079613,0.001406,0.006616,0.00552,-0.012874,-0.018918,-0.184501,-0.899587
202,0.042644,0.034055,-0.020592,0.007296,-0.00482,0.003883,0.13668,-0.263587,-0.419869,-0.913572,0.075361,0.038562,-0.079493,0.001385,0.006507,0.005416,-0.068587,-0.310698,-0.411295,-0.90122
203,0.042915,0.033854,-0.020411,0.007283,-0.004538,0.004134,0.920014,1.838196,-1.806888,-0.900998,0.075303,0.038785,-0.079238,0.001457,0.006841,0.005667,0.000996,0.103834,-0.119486,-0.90122
204,0.043186,0.03367,-0.020221,0.007266,-0.004149,0.004484,-0.054609,0.118595,-0.143014,-0.90949,0.075218,0.038984,-0.078978,0.001283,0.006025,0.004968,0.005849,0.00231,0.036084,-0.89877
