frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1852,0.041878,0.058977,0.003266,0.00555,0.000561,-9.9e-05,0.032382,0.013828,-0.006332,0.426227,0.104359,0.049072,-0.056291,-0.01795,-0.000504,0.00032,1.077871,-2.256201,-0.162907,0.211606
1853,0.041935,0.058994,0.003255,0.005565,0.000349,-0.000205,0.096958,0.049893,0.051284,0.496932,0.103715,0.049056,-0.056353,-0.018007,-0.002802,-0.000922,-0.042097,-0.892419,-1.162731,0.263859
1854,0.041969,0.0589,0.003296,0.000648,-0.006408,0.003461,0.005128,-0.077172,0.113615,0.516527,0.103059,0.049008,-0.056464,-0.012102,-0.004256,-0.001923,0.100183,-0.638919,-0.489948,0.301415
1855,0.041996,0.058834,0.003282,9.5e-05,-0.001272,-0.00063,0.335211,0.439321,-0.186546,0.520283,0.102558,0.04891,-0.056614,-0.01224,0.000754,-0.006343,0.019078,-0.458363,0.127018,0.327705
1856,0.041984,0.058811,0.003247,0.000211,-0.002836,-0.001408,-0.081069,-0.005456,0.228857,0.521099,0.102293,0.048905,-0.056705,-0.018164,0.002601,-0.005133,-0.19889,-0.765829,-0.022917,0.332604
1857,0.041969,0.058767,0.003156,0.005124,0.004088,-0.004988,0.045845,-0.104225,0.217392,0.521589,0.101787,0.04905,-0.056833,-0.012029,0.006017,-0.003438,-0.121613,-0.699561,0.225129,0.34681
1858,0.041985,0.058841,0.003067,-0.00059,0.005635,-0.003843,-0.440895,0.443282,0.341731,0.521752,0.101397,0.049272,-0.056907,-0.005957,0.007667,-0.002713,-0.039684,-1.478653,-0.636847,0.355628
1859,0.041981,0.058878,0.003031,2e-05,-0.000239,-0.000118,-0.207679,0.304527,-0.021378,0.521589,0.101228,0.049411,-0.056932,-0.005921,0.008239,-0.0024,-0.458784,-1.519676,-0.469897,0.357751
1860,0.041965,0.058953,0.002974,-0.000601,0.00581,-0.00375,-0.059632,0.090851,0.095889,0.521589,0.101013,0.049694,-0.056951,0.00022,0.004623,0.002561,-0.349855,-1.36328,-0.609275,0.375549
1861,0.041975,0.058981,0.002962,-7e-06,9.9e-05,4.8e-05,0.009455,-0.007966,-0.005067,0.521589,0.100908,0.049993,-0.056944,0.000148,0.009968,-0.001657,-0.512923,-1.4788,-0.614468,0.40984
1862,0.042003,0.058995,0.002962,-3e-05,0.000411,0.000203,-0.137106,0.136661,0.100887,0.521752,0.100879,0.050192,-0.056978,0.000159,0.010107,-0.00158,-0.499953,-1.389388,-0.778443,0.430088
1863,0.042104,0.059039,0.002972,-8.2e-05,0.001092,0.00054,0.001351,-0.001864,-0.001691,0.521752,0.100875,0.050784,-0.057167,0.000133,0.016395,-0.005255,-0.378316,-1.289945,-0.691521,0.456542
1864,0.042243,0.059088,0.002991,0.00548,0.001472,0.000352,0.001618,-0.01551,0.028612,0.521589,0.100945,0.051662,-0.057526,2.3e-05,0.02782,-0.0132,-0.324451,-1.187791,-0.81129,0.481852
1865,0.042399,0.059143,0.003002,-5.7e-05,0.000746,0.000366,-0.014137,0.111607,-0.164312,0.521916,0.101151,0.052787,-0.058136,0.011598,0.037243,-0.022502,-0.280073,-1.684568,-1.013042,0.507978
1866,0.042477,0.05916,0.003005,0.005544,0.000602,-8.1e-05,0.001791,-0.015365,0.028899,0.521752,0.101319,0.053459,-0.058544,0.011503,0.036103,-0.023047,0.143569,-1.455927,-1.106786,0.510427
1867,0.042639,0.059173,0.003001,0.005557,0.00042,-0.000173,0.001865,-0.01531,0.029012,0.521916,0.101747,0.054868,-0.059559,0.011157,0.037331,-0.029199,-0.310366,-1.419415,-0.867726,0.508631
1868,0.04279,0.059176,0.003002,0.005524,0.000837,3.5e-05,0.001928,-0.015292,0.029088,0.521916,0.102312,0.056301,-0.060768,0.016668,0.039367,-0.035013,-0.279777,-1.373508,-1.09641,0.511244
