frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
493,0.128065,0.00848,0.353711,-0.366773,0.447048,-0.815887,-0.639009,-0.758396,-0.128352,-0.675696,0.473723,0.564843,0.000966,0.005219,0.003975,0.000637,-0.014202,0.025069,-0.918013,-0.125541,0.024028,0.342612,-0.124706,0.923048,0.363899,-0.982176,-0.166674,0.086507,0.140674,-0.34778,0.926889,-0.015308,0.016023,-0.069054,-0.009179,0.253279,0.301017,-1.406846,0.056988,0.031129,-0.005226,0.015398,-0.944325,0.328652,0.998643,0.030871,0.041914,-0.049726,0.327561,0.94352,-0.000322,0.003309,-0.030505,0.006854,0.536635,0.123996,-0.842051,0.079104,0.028369,-0.062851,-0.525823,0.412626,-0.743807,-0.475594,-0.867615,-0.145095,-0.705209,0.277457,0.652455,0.000196,-0.003077,0.006069,-0.035218,0.015475,-0.017109,-0.897464
494,0.128083,0.008242,0.354211,-0.367892,0.449398,-0.81409,-0.640244,-0.757283,-0.128774,-0.673916,0.473278,0.567337,0.000431,-0.006024,0.012235,-0.028215,0.07757,0.017783,-0.909669,-0.125978,0.024308,0.340074,-0.110135,0.919485,0.377373,-0.984293,-0.153448,0.086924,0.137985,-0.363022,0.921433,-0.013417,0.002402,-0.063199,0.09969,0.039592,0.135682,-1.406814,0.056769,0.031278,-0.006495,0.001505,-0.93922,0.343309,0.99896,0.017049,0.042261,-0.045546,0.342889,0.93827,-0.006732,0.001628,-0.031251,0.167978,0.11775,-0.038549,-0.842867,0.079113,0.028257,-0.062602,-0.527335,0.41472,-0.741569,-0.477062,-0.866744,-0.145481,-0.703085,0.277058,0.654912,0.000291,-0.002573,0.006452,-0.035251,0.152147,-0.133073,-0.894198
495,0.128138,0.007943,0.354752,-0.369839,0.454063,-0.810611,-0.641934,-0.755569,-0.130416,-0.671237,0.471558,0.571927,0.00043,-0.00603,0.01223,0.023392,0.534264,0.273178,-0.906794,-0.126454,0.024439,0.337627,-0.089578,0.909593,0.405719,-0.988623,-0.130444,0.074452,0.120772,-0.39557,0.910386,-0.012295,-0.006096,-0.053474,0.463026,0.883914,-0.064419,-1.406556,0.056536,0.031339,-0.007703,-0.01608,-0.928746,0.370367,0.999531,-0.005288,0.030134,-0.026029,0.370678,0.928396,-0.006859,0.002348,-0.030858,0.605565,0.391458,1.815888,-0.849072,0.079141,0.02811,-0.062336,-0.528747,0.416663,-0.73947,-0.478681,-0.865833,-0.14559,-0.70092,0.27699,0.657256,0.000237,-0.002851,0.006238,-0.039531,-0.002627,-0.024926,-0.890606
496,0.128167,0.007793,0.355029,-0.370137,0.454028,-0.810495,-0.642405,-0.755276,-0.129787,-0.670621,0.472059,0.572236,0.000187,-0.015705,0.021698,-0.068788,0.02562,-0.00416,-0.905473,-0.12677,0.024441,0.336496,-0.079722,0.905854,0.41601,-0.989898,-0.120842,0.073707,0.117154,-0.407063,0.90578,-0.012434,-0.005402,-0.053095,-0.10463,0.209957,0.268376,-1.406794,0.056378,0.031339,-0.00827,-0.024125,-0.923395,0.38309,0.999529,-0.015017,0.026749,-0.018947,0.383555,0.923323,-0.00617,-0.002769,-0.026578,-0.123642,0.540157,0.287314,-0.849889,0.079155,0.028034,-0.062198,-0.530156,0.418557,-0.73739,-0.479712,-0.865161,-0.146187,-0.699149,0.276233,0.659457,0.000254,-0.002763,0.006306,-0.039633,-0.018659,-0.000294,-0.888973
497,0.128211,0.007481,0.355574,-0.370319,0.459374,-0.807393,-0.643589,-0.753594,-0.133641,-0.669385,0.469564,0.575725,0.000355,-0.006436,0.011923,-0.032063,0.04314,-0.001703,-0.905132,-0.12736,0.024413,0.334448,-0.071398,0.904512,0.420418,-0.990598,-0.11342,0.076062,0.116587,-0.412165,0.903544,-0.013147,-0.000885,-0.049803,0.075516,-0.026342,0.154387,-1.407044,0.056079,0.031321,-0.009321,-0.032721,-0.920874,0.388484,0.999295,-0.022998,0.029651,-0.018371,0.389181,0.920977,-0.006498,-0.000744,-0.025124,0.109743,-0.045281,0.116,-0.863932,0.079178,0.027878,-0.061919,-0.53118,0.423575,-0.733778,-0.481592,-0.863492,-0.14983,-0.697077,0.273795,0.66266,0.000232,-0.002876,0.006221,-0.040493,-0.001356,0.007193,-0.88685
498,0.128229,0.00718,0.356039,-0.366757,0.460986,-0.8081,-0.643571,-0.752918,-0.137487,-0.671364,0.469068,0.573822,0.000105,-0.007794,0.010899,-0.035134,0.015259,-0.017041,-0.90622,-0.128071,0.024365,0.332766,-0.059506,0.897148,0.437694,-0.992687,-0.099105,0.068442,0.10487,-0.43154,0.8959,-0.012675,-0.004844,-0.036289,-0.307901,0.437354,0.220792,-1.406613,0.055724,0.031294,-0.010171,-0.041345,-0.913477,0.404783,0.999141,-0.036788,0.019034,-0.002496,0.405223,0.914214,-0.01373,0.002833,-0.021638,0.125572,-0.080055,0.090813,-0.86834,0.079187,0.027732,-0.06169,-0.527916,0.425742,-0.734879,-0.482012,-0.862616,-0.153481,-0.699262,0.273195,0.660602,-1.5e-05,-0.004221,0.005205,-0.044095,0.113647,-0.195385,-0.88685
499,0.128204,0.006839,0.356424,-0.365481,0.461625,-0.808313,-0.643818,-0.752484,-0.138702,-0.671824,0.469136,0.573229,-0.000165,-0.009263,0.009795,-0.035241,0.015309,-0.017184,-0.906053,-0.128772,0.024518,0.33135,-0.037432,0.889813,0.454779,-0.995422,-0.073001,0.061154,0.087678,-0.451519,0.887867,-0.015288,0.013814,-0.038266,-0.045954,0.086862,0.277213,-1.406753,0.05538,0.031361,-0.010868,-0.062229,-0.903277,0.42452,0.997943,-0.06284,0.012575,0.015318,0.42443,0.90533,-0.006891,0.001578,-0.014948,-0.17059,0.188729,0.363417,-0.875362,0.079175,0.027562,-0.061497,-0.526866,0.426613,-0.735127,-0.482454,-0.862175,-0.154568,-0.699749,0.273229,0.660072,-0.000211,-0.005288,0.004402,-0.035913,0.015861,-0.018118,-0.88734
500,0.128189,0.006692,0.356565,-0.365653,0.461609,-0.808245,-0.644129,-0.752289,-0.138311,-0.671432,0.469463,0.57342,0.000184,0.001001,0.000756,0.0,0.0,0.0,-0.905969,-0.129061,0.024648,0.330798,-0.024546,0.886728,0.461632,-0.996349,-0.059196,0.060978,0.081444,-0.459557,0.884329,-0.014266,0.006309,-0.0274,-0.059945,0.135444,0.445671,-1.407116,0.055231,0.031429,-0.01116,-0.074027,-0.898821,0.432018,0.997001,-0.076487,0.011705,0.022523,0.431589,0.901788,-0.007098,0.003038,-0.01378,-0.007398,0.362733,0.62394,-0.884669,0.079167,0.027482,-0.061419,-0.527042,0.426548,-0.735038,-0.482793,-0.862071,-0.15409,-0.699382,0.27366,0.660283,7.9e-05,0.000462,0.000349,1.1e-05,9.9e-05,-0.000223,-0.887503
501,0.128144,0.006474,0.356791,-0.365894,0.461595,-0.808144,-0.64462,-0.751977,-0.137722,-0.67083,0.469976,0.573704,-0.000176,-0.00932,0.009757,-0.0299,-0.095038,0.181935,-0.905781,-0.12966,0.024848,0.329927,-0.011652,0.879728,0.475326,-0.997894,-0.040228,0.050233,0.063344,-0.474837,0.877713,-0.013431,0.000123,-0.015464,0.029627,0.025983,-0.031675,-1.406848,0.054931,0.031534,-0.011598,-0.08588,-0.890451,0.446902,0.995419,-0.095601,0.000802,0.04201,0.444924,0.894582,-0.007516,0.006022,-0.011361,0.075583,-0.011313,-0.019158,-0.894957,0.079144,0.027373,-0.061312,-0.527384,0.426374,-0.734895,-0.483189,-0.86198,-0.153354,-0.698851,0.274217,0.660614,-0.000228,-0.0054,0.004319,-0.035171,0.015313,-0.017284,-0.887503
502,0.128111,0.006405,0.356852,-0.364026,0.462375,-0.808541,-0.64429,-0.75185,-0.139945,-0.672163,0.469412,0.572604,0.0,0.0,0.0,0.0,0.0,0.0,-0.905648,-0.130136,0.025171,0.329242,-0.002795,0.872297,0.488959,-0.998642,-0.027458,0.043512,0.051401,-0.489262,0.870542,-0.015379,0.014505,-0.02074,-0.117421,0.300659,-0.048494,-1.406713,0.054693,0.031694,-0.011935,-0.092709,-0.882709,0.460683,0.994131,-0.107965,-0.00681,0.055749,0.457348,0.887538,-0.006963,0.001964,-0.006171,-0.224553,0.25522,0.175534,-0.903938,0.079128,0.027337,-0.061276,-0.52565,0.42766,-0.73539,-0.483183,-0.86157,-0.155664,-0.700161,0.273503,0.659522,-8e-06,-2.4e-05,-1.8e-05,-0.000148,0.000144,-0.000246,-0.887503
503,0.128121,0.006412,0.356845,-0.363989,0.462391,-0.808549,-0.644284,-0.751846,-0.139989,-0.672189,0.469402,0.572582,0.0,0.0,0.0,0.0,0.0,0.0,-0.905704,-0.130415,0.0253,0.328968,0.008489,0.868926,0.494861,-0.998832,-0.015717,0.044964,0.046853,-0.495748,0.867122,-0.013966,0.004092,-0.012234,-0.370955,0.533349,0.099744,-1.407194,0.054553,0.031764,-0.012074,-0.102387,-0.878758,0.466155,0.99281,-0.119479,-0.007168,0.061994,0.46207,0.884673,-0.007035,0.002494,-0.005737,0.04261,-0.006367,-0.009155,-0.906551,0.079133,0.02734,-0.06128,-0.525619,0.427682,-0.735399,-0.483181,-0.861563,-0.155706,-0.700185,0.273489,0.659502,-2e-06,-1.5e-05,-1e-05,1.9e-05,4.2e-05,-6.1e-05,-0.887503
