frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.115465,-0.016977,0.371783,-0.435389,0.295052,-0.850545,-0.665647,-0.741569,0.083431,-0.605587,0.602117,0.520333,0.001354,0.006122,0.004828,-0.478162,-0.109606,-0.837976,-0.108005,-0.146388,0.01827,0.318325,0.701288,0.379527,0.603445,-0.681678,0.604375,0.412284,-0.209103,-0.700955,0.681763,-0.019005,0.044701,-0.047828,-0.904777,-0.65846,-1.075493,0.084224,0.045225,0.02843,-0.026155,-0.722218,-0.325839,0.610106,0.620053,-0.695871,0.362349,0.306488,0.639993,0.704608,-0.002738,0.023492,-0.023613,-0.153954,-0.192759,-0.23459,-0.154107,0.070214,0.017658,-0.06127,-0.470604,0.258576,-0.843605,-0.602431,-0.792723,0.093086,-0.644676,0.552021,0.528833,0.000558,0.002528,0.001989,-0.153466,-0.610803,-0.283081,-0.374118
2,0.115523,-0.016759,0.371941,-0.431666,0.276801,-0.85854,-0.664083,-0.741614,0.09473,-0.609955,0.610686,0.50502,0.001227,0.005551,0.004369,-0.121856,-0.483153,-0.190239,-0.026807,-0.14706,0.019638,0.316941,0.676572,0.424644,0.601598,-0.717714,0.562621,0.410218,-0.165114,-0.709842,0.684635,-0.018118,0.038705,-0.03528,-0.857047,-0.692677,-1.110012,0.157488,0.044882,0.029128,-0.026868,-0.701392,-0.376862,0.604998,0.663293,-0.655835,0.360445,0.260941,0.654104,0.709968,-0.00852,0.01412,-0.013406,-3.238332,-2.185299,-3.907512,-0.032946,0.070243,0.017765,-0.061186,-0.467583,0.238753,-0.851094,-0.600415,-0.792419,0.107569,-0.648742,0.561308,0.513873,0.000639,0.002886,0.002271,-0.219594,-0.700385,-0.502342,-0.262427
3,0.115488,-0.016414,0.371861,-0.430287,0.250594,-0.867238,-0.653131,-0.74957,0.107402,-0.622613,0.612319,0.487283,0.000956,0.012484,-0.007545,-0.007483,-0.683743,-0.355673,0.038786,-0.147972,0.020824,0.315878,0.668236,0.450909,0.59172,-0.73185,0.540787,0.414582,-0.133885,-0.710647,0.690593,-0.017087,0.030952,-0.024341,0.09917,-0.021599,0.017828,0.231429,0.044438,0.029713,-0.027394,-0.69573,-0.404675,0.593461,0.680893,-0.634698,0.365434,0.228787,0.658327,0.71712,-0.007868,0.00945,-0.008639,-0.021474,-0.056229,-0.113815,0.063559,0.070227,0.017945,-0.061221,-0.464403,0.213221,-0.859573,-0.588772,-0.79937,0.119809,-0.661572,0.561732,0.496768,-0.006426,0.007249,-0.003027,0.304067,-0.735534,-0.543103,-0.196294
4,0.115376,-0.016162,0.371681,-0.428239,0.234995,-0.872602,-0.647412,-0.753431,0.114762,-0.629952,0.613783,0.475876,0.000595,0.010845,-0.008831,-0.189645,-0.863831,-0.373968,0.065341,-0.148422,0.021299,0.315517,0.665053,0.464278,0.584928,-0.737664,0.529931,0.418282,-0.116598,-0.710235,0.694143,-0.015953,0.021365,-0.015092,0.009802,-0.185312,0.167145,0.273146,0.044201,0.029965,-0.027587,-0.69394,-0.418024,0.58626,0.688147,-0.624646,0.369146,0.211893,0.659599,0.72113,-0.014709,0.01023,-0.007226,-0.155771,-0.648052,0.55852,0.117445,0.070171,0.018072,-0.06131,-0.461531,0.19844,-0.864644,-0.58254,-0.802868,0.126686,-0.669056,0.56216,0.486147,-0.006398,0.011416,-0.008431,-0.195332,-1.011884,-0.454229,-0.157431
5,0.115177,-0.015546,0.371084,-0.424998,0.199012,-0.883072,-0.626895,-0.768419,0.128475,-0.65248,0.607944,0.452438,0.000625,0.019113,-0.019676,-0.171657,-0.939778,-0.387183,0.104333,-0.149517,0.022105,0.315035,0.651243,0.498601,0.572076,-0.75468,0.503762,0.420256,-0.079459,-0.706042,0.703601,-0.028314,0.011115,-0.005053,0.337489,-0.324466,-0.311633,0.339966,0.043658,0.030375,-0.02783,-0.685023,-0.451392,0.571828,0.707259,-0.600297,0.373399,0.174717,0.660218,0.730469,-0.01479,0.011739,-0.005878,0.389475,-0.378604,-0.357221,0.219175,0.070076,0.018368,-0.061599,-0.455943,0.163371,-0.874885,-0.560687,-0.81614,0.139799,-0.691191,0.554277,0.463714,0.000236,0.009177,-0.010134,-0.114935,-0.712622,-0.28046,-0.096524
6,0.115004,-0.014843,0.370321,-0.424385,0.156071,-0.891956,-0.600576,-0.785693,0.148212,-0.677151,0.598389,0.428282,-0.013434,0.019901,-0.019142,-0.125678,-0.792011,-0.593211,0.131731,-0.150869,0.022708,0.314868,0.639512,0.534095,0.552955,-0.767552,0.482643,0.421727,-0.042432,-0.694784,0.71787,-0.041961,0.013816,-0.001293,-0.596821,-1.01273,-1.469197,0.386331,0.042987,0.030674,-0.027916,-0.678389,-0.48658,0.550478,0.721549,-0.582383,0.374427,0.138401,0.651205,0.746174,-0.021101,0.007004,-0.00062,-2.598713,-2.79498,-4.325221,0.30131,0.06999,0.018726,-0.061988,-0.451364,0.119289,-0.88433,-0.532705,-0.831079,0.159788,-0.715887,0.54321,0.438665,0.000127,0.00865,-0.010542,-0.030289,-0.976846,-0.456525,-0.04819
7,0.114783,-0.014061,0.369387,-0.423195,0.103726,-0.900107,-0.567759,-0.804542,0.174167,-0.705588,0.584618,0.400492,-0.000254,0.015128,-0.022786,4.729982,-2.03316,-2.779356,0.143431,-0.15239,0.023339,0.314795,0.645621,0.565158,0.513577,-0.763419,0.49052,0.420136,-0.01528,-0.664027,0.747461,-0.041908,0.014766,-0.000512,0.010432,-2.958749,1.188794,0.392282,0.042227,0.030993,-0.02795,-0.687339,-0.514204,0.512989,0.717958,-0.587946,0.372632,0.110002,0.62443,0.773295,-0.021547,0.013135,-0.003976,0.597745,-0.777514,-0.107233,0.333315,0.069875,0.01912,-0.062452,-0.446186,0.07034,-0.892171,-0.502942,-0.844297,0.184962,-0.740247,0.531238,0.41209,-0.006733,0.013842,-0.015175,-0.146291,-0.454973,-0.680217,-0.02288
8,0.114685,-0.013581,0.368815,-0.419874,0.086441,-0.903482,-0.565202,-0.80376,0.185707,-0.709615,0.588512,0.387462,0.000271,0.025592,-0.031878,-0.084008,-0.61827,-0.471163,0.152861,-0.153167,0.023755,0.314762,0.643363,0.582358,0.496925,-0.765449,0.492865,0.413649,-0.004825,-0.647223,0.762195,-0.042004,0.017483,0.001863,-0.190895,-2.864045,1.463212,0.402251,0.041838,0.031197,-0.02797,-0.686678,-0.532392,0.495006,0.720262,-0.590485,0.364072,0.098465,0.606534,0.788935,-0.02161,0.014787,-0.002527,0.87798,-1.092544,-0.137791,0.342949,0.069825,0.019355,-0.062736,-0.440764,0.04879,-0.896295,-0.495312,-0.84596,0.197526,-0.748593,0.531008,0.397035,-0.006682,0.014034,-0.015018,-0.121761,-0.753888,-0.530931,-0.011613
9,0.114385,-0.012424,0.367526,-0.410069,0.044456,-0.910995,-0.554869,-0.804868,0.210429,-0.723373,0.591715,0.355855,-0.012946,0.038108,-0.039425,-0.179475,-1.069998,-0.702846,0.195703,-0.154709,0.024655,0.314818,0.631622,0.62471,0.459111,-0.775017,0.496919,0.390325,0.014913,-0.603137,0.797412,-0.041932,0.019026,0.003137,0.809758,-1.065061,-0.14787,0.411882,0.041078,0.031642,-0.02794,-0.682115,-0.573488,0.453684,0.727569,-0.594394,0.342545,0.073221,0.563742,0.822698,-0.020992,0.009995,0.002026,0.621065,-0.896355,-0.038407,0.363034,0.069684,0.019917,-0.063367,-0.429223,0.010678,-0.903134,-0.484619,-0.846525,0.220311,-0.762175,0.532239,0.368522,-0.006698,0.013891,-0.015112,-0.164508,-0.839746,-0.611565,0.025291
10,0.113958,-0.011166,0.366213,-0.402705,0.002251,-0.915351,-0.534742,-0.812181,0.233203,-0.742413,0.583382,0.329416,-0.012776,0.038693,-0.038914,-0.097079,-0.751575,-0.555011,0.264616,-0.156256,0.025461,0.314948,0.619215,0.664502,0.418332,-0.784524,0.502891,0.362708,0.029874,-0.553619,0.832152,-0.040742,0.009329,0.01211,1.047588,-1.48738,0.027097,0.398282,0.040278,0.032059,-0.027874,-0.675576,-0.612835,0.409914,0.73534,-0.600454,0.31421,0.053576,0.513699,0.856295,-0.020373,0.004692,0.006106,0.99705,-1.454825,0.037293,0.361074,0.069461,0.020569,-0.06405,-0.41722,-0.033622,-0.908182,-0.463374,-0.85179,0.244409,-0.781799,0.522801,0.339805,-0.006351,0.019396,-0.019415,-0.116045,-0.793014,-0.572748,0.109059
