frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
2409,0.166509,-0.001352,0.33158,-0.696903,-0.343198,-0.62975,0.025474,-0.889385,0.456418,-0.715868,0.302459,0.629348,0.001212,0.017349,0.015356,0.009977,-0.01999,0.054971,-0.15817,-0.13535,0.013819,0.330111,-0.736633,0.673796,-0.057989,-0.627839,-0.649285,0.429163,0.252453,0.35169,0.901357,0.000575,-0.005111,-0.004341,-0.088852,0.053446,0.007032,-1.402655,0.061002,0.051462,-0.009385,0.701725,-0.711756,-0.031397,0.672581,0.64728,0.358696,-0.234981,-0.272823,0.932926,-0.000448,0.003321,-0.005921,-0.049077,0.029769,0.060573,-0.962886,0.081485,0.039605,-0.053195,0.712265,0.427025,-0.55707,-0.229467,0.891701,0.390144,0.663342,-0.150057,0.733116,0.00066,0.003342,0.011993,-0.049675,-0.02663,0.029397,-0.231892
2410,0.166597,-0.001117,0.331989,-0.705457,-0.326691,-0.629006,0.009597,-0.891786,0.452325,-0.707834,0.313461,0.633041,0.001421,0.007985,0.025073,0.017628,0.630626,0.589251,-0.318217,-0.135342,0.013746,0.329997,-0.736681,0.673754,-0.05787,-0.627784,-0.649391,0.429083,0.252452,0.351574,0.901402,0.000646,-0.005742,-0.004882,-0.003291,0.015885,-0.023859,-1.40269,0.061006,0.051424,-0.009444,0.701638,-0.711844,-0.031323,0.67269,0.64727,0.35851,-0.234929,-0.272615,0.932999,0.000331,-0.002902,-0.002468,0.00977,0.011706,-0.02333,-0.963702,0.081529,0.039727,-0.052994,0.721381,0.413908,-0.555236,-0.213888,0.895705,0.389825,0.65868,-0.162454,0.734675,0.000723,0.004391,0.012888,-1.117558,0.743322,1.072667,-0.340806
2411,0.16684,-0.000696,0.332894,-0.723756,-0.274833,-0.633001,-0.046577,-0.895749,0.442082,-0.687611,0.349779,0.636296,0.00136,0.007294,0.024349,-3.117616,2.131828,4.283545,-0.707166,-0.135359,0.013613,0.329755,-0.736042,0.674548,-0.056726,-0.6275,-0.648276,0.43118,0.255012,0.352109,0.900473,0.00055,-0.004897,-0.004172,-0.001071,0.000471,0.000387,-1.402453,0.060998,0.051354,-0.009567,0.701004,-0.712521,-0.030112,0.672438,0.646327,0.360676,-0.237528,-0.273084,0.932204,0.000283,-0.002481,-0.002112,0.01019,-0.002901,0.000531,-0.965498,0.081651,0.039945,-0.052534,0.747455,0.368792,-0.552542,-0.16349,0.908289,0.385072,0.64388,-0.197489,0.739199,0.007691,0.003535,0.011916,0.987456,-1.461251,2.247344,-0.60648
2412,0.167132,-0.00047,0.33365,-0.721785,-0.240636,-0.648973,-0.077476,-0.903656,0.421158,-0.6869,0.35456,0.634415,0.014776,0.012261,0.010348,0.805847,-1.896256,2.226397,-1.228528,-0.135353,0.013552,0.329559,-0.734409,0.676452,-0.055205,-0.627423,-0.64547,0.43548,0.259881,0.353601,0.898494,0.000303,-0.002699,-0.002303,-0.228679,0.100609,0.082817,-1.401963,0.061002,0.051322,-0.009667,0.699728,-0.713836,-0.028601,0.672254,0.644363,0.364513,-0.241773,-0.274287,0.930758,0.000176,-0.001546,-0.001319,-0.355884,0.142235,0.091182,-0.958477,0.081793,0.040064,-0.052144,0.756807,0.330505,-0.563922,-0.127257,0.920738,0.368844,0.641129,-0.207381,0.738881,0.007435,0.000678,0.009381,-0.031911,-0.183902,0.277622,-0.902036
2413,0.167875,-0.000207,0.333942,-0.707522,-0.176036,-0.684448,-0.146546,-0.910901,0.385687,-0.690483,0.373399,0.619543,0.028123,0.016772,-0.003996,-3.661558,1.705819,4.049229,-1.863343,-0.135359,0.013508,0.329444,-0.733674,0.677325,-0.054263,-0.627237,-0.644189,0.43764,0.262401,0.354263,0.8975,0.000182,-0.001624,-0.001386,-0.005491,0.002418,0.001991,-1.401658,0.060999,0.0513,-0.009724,0.698576,-0.715012,-0.027335,0.672197,0.642693,0.367554,-0.245238,-0.275139,0.929599,-0.000606,0.004713,-0.004744,0.055398,-0.012357,0.023348,-0.962396,0.082159,0.040196,-0.051991,0.75518,0.265705,-0.599252,-0.060302,0.93845,0.340111,0.652737,-0.220709,0.724721,0.014086,0.002345,0.001687,0.280894,-0.930409,1.213348,-1.008828
2414,0.168329,-6e-05,0.333964,-0.690644,-0.150482,-0.707398,-0.171998,-0.915887,0.362683,-0.701619,0.372338,0.607555,0.014194,0.004182,0.003285,0.260257,-0.972416,1.333625,-1.914898,-0.135366,0.01348,0.329421,-0.732838,0.678286,-0.053561,-0.627171,-0.642706,0.439909,0.264891,0.355115,0.896431,0.000101,-0.000903,-0.000772,-0.010489,0.00462,0.003803,-1.401368,0.060995,0.051286,-0.009736,0.697719,-0.71588,-0.026522,0.672129,0.641371,0.369979,-0.247851,-0.275968,0.928661,5.3e-05,-0.000457,-0.00039,0.01849,-0.002867,0.00679,-0.95864,0.082381,0.040272,-0.051984,0.74892,0.234794,-0.619668,-0.02912,0.945881,0.323203,0.662019,-0.224009,0.715226,0.00701,0.007272,-0.002813,0.066657,-0.481032,0.800921,-0.976986
2415,0.168967,0.000105,0.333876,-0.665977,-0.10823,-0.73811,-0.219772,-0.917054,0.332692,-0.71207,0.383911,0.587875,0.013975,0.000873,0.000409,-0.064974,-0.46618,0.856965,-1.919937,-0.135417,0.013478,0.329398,-0.731181,0.680184,-0.052114,-0.626993,-0.639784,0.4444,0.26986,0.35675,0.894298,1e-06,-1.1e-05,-9e-06,-0.165812,0.073081,0.060157,-1.401059,0.060969,0.051285,-0.009747,0.696296,-0.717318,-0.025013,0.671885,0.639145,0.37425,-0.252469,-0.277395,0.92699,-7e-06,5.7e-05,4.8e-05,-0.22874,0.095432,0.069191,-0.961416,0.08271,0.040353,-0.05203,0.734422,0.186216,-0.652645,0.022641,0.954365,0.297782,0.678314,-0.233474,0.696691,0.013864,0.005716,-0.004338,-0.241597,-0.023527,0.445166,-0.972741
2416,0.169665,0.00017,0.333807,-0.669866,-0.083989,-0.737747,-0.254948,-0.907167,0.334695,-0.696542,0.412388,0.58719,0.013861,0.012474,-0.007409,-0.768743,1.273209,-1.286127,-1.922042,-0.135469,0.01348,0.329393,-0.729559,0.682039,-0.050576,-0.626701,-0.636909,0.448917,0.274893,0.358344,0.892125,0.0,-0.0,-0.0,-0.088505,0.039048,0.032136,-1.400472,0.060943,0.051288,-0.009748,0.694458,-0.71916,-0.023145,0.671622,0.63634,0.379466,-0.258169,-0.279068,0.924915,-1e-06,1.9e-05,1.7e-05,-0.056548,0.031165,0.03588,-0.958477,0.083053,0.040375,-0.052067,0.741261,0.161866,-0.651405,0.058804,0.951094,0.30325,0.668634,-0.263093,0.695491,0.006975,0.000193,-1.9e-05,0.01886,-0.49623,0.842578,-0.979762
2417,0.169815,0.000307,0.333814,-0.6704,-0.068998,-0.738815,-0.275322,-0.901472,0.333944,-0.688233,0.42737,0.586275,0.000275,0.004629,0.004009,-1.28853,0.486701,1.15626,-1.921454,-0.135479,0.013479,0.329393,-0.728732,0.682977,-0.049836,-0.626561,-0.635446,0.451181,0.277404,0.35915,0.891023,0.0,-0.0,-0.0,-0.05414,0.023897,0.019664,-1.400448,0.060938,0.051287,-0.009748,0.69355,-0.720062,-0.022296,0.671533,0.634984,0.381886,-0.260825,-0.27983,0.923939,-0.0,1.1e-05,9e-06,-0.013483,0.013559,0.023515,-0.95815,0.083138,0.040442,-0.052071,0.74476,0.148922,-0.650502,0.077849,0.948737,0.306327,0.662775,-0.278781,0.694989,-4.9e-05,0.007611,-0.00239,-4.306408,2.071796,3.117323,-0.982538
2418,0.169931,0.000727,0.33388,-0.669825,-0.04655,-0.741089,-0.304494,-0.893049,0.331237,-0.676419,0.447582,0.58494,0.000325,0.005523,0.004773,-0.032405,-3.8e-05,0.050862,-1.922516,-0.135481,0.013496,0.329381,-0.725198,0.687259,-0.041886,-0.625001,-0.631361,0.459012,0.289936,0.358182,0.887415,0.0,-0.0,-0.0,-0.254267,0.112176,0.092327,-1.364106,0.060937,0.051296,-0.009754,0.690429,-0.723263,-0.014045,0.669972,0.631994,0.389513,-0.272844,-0.278341,0.920913,-3e-06,3e-06,2e-06,-0.340777,0.13874,0.109724,-0.950966,0.083196,0.04065,-0.052034,0.748284,0.125401,-0.651417,0.109751,0.945036,0.307995,0.654236,-0.301962,0.693392,0.000176,0.002934,0.002534,-0.376337,0.253906,0.145175,-0.981232
