frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
291,0.03145,0.037656,-0.020874,0.015003,0.002986,0.002379,1.208794,0.921066,0.467862,0.523385,0.064585,0.037205,-0.063287,7e-06,5.6e-05,6.5e-05,-1.45197,0.721292,0.502139,-1.083942
292,0.031776,0.037763,-0.020745,0.00766,0.00347,0.003413,0.287809,-0.06443,-0.09169,0.522732,0.064624,0.037316,-0.063281,0.000397,0.002184,0.00231,-0.41204,0.352003,-0.179479,-1.065327
293,0.032092,0.037843,-0.020607,0.007601,0.002891,0.002744,0.119693,-0.140002,-0.043242,0.522079,0.064709,0.037552,-0.063255,0.000884,0.009333,-0.000152,-4.340031,1.078763,3.06951,-1.056019
294,0.032252,0.037854,-0.020537,0.007825,-0.003338,0.005705,2.729414,4.184221,2.187307,0.521099,0.064722,0.037718,-0.063222,0.001059,0.010284,0.00091,-0.383384,0.384074,-0.127201,-1.050141
295,0.03253,0.037797,-0.020372,0.007747,-0.00428,0.004987,0.327247,-0.293203,-0.202932,0.514894,0.064726,0.038137,-0.063126,0.001337,0.011819,0.002492,-0.399512,0.299592,-0.010525,-1.019605
296,0.03274,0.037673,-0.020224,0.007419,0.000787,0.000365,0.452582,-0.445095,-0.278951,0.492033,0.064779,0.038592,-0.063013,0.00131,0.011677,0.002315,-0.395489,0.164642,-0.047541,-1.004256
297,0.032812,0.037598,-0.020151,0.007403,0.00056,0.000112,0.458562,-0.511131,-0.174464,0.479297,0.064815,0.038812,-0.062962,0.001084,0.005975,0.006206,-0.014298,0.218292,-0.29519,-1.006052
298,0.032905,0.037425,-0.020011,0.000278,-0.005687,0.003927,0.135609,-0.261066,0.031008,0.457416,0.064886,0.039218,-0.062843,0.008362,0.01044,0.001112,0.059674,-0.035639,0.06943,-1.014707
299,0.032869,0.037237,-0.019886,0.00027,-0.005789,0.003816,0.181383,-0.186149,-0.161799,0.42688,0.064982,0.039532,-0.062761,0.000694,0.004004,0.004037,-4.078658,1.206312,3.541049,-1.027117
300,0.032817,0.037163,-0.019834,0.000298,-0.00542,0.004227,0.042056,-0.086086,-0.088506,0.412348,0.064998,0.039671,-0.062736,0.000824,0.00904,-0.000478,-0.072672,-0.238161,-0.094747,-1.035608
