frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
335,0.134748,-0.039871,0.268745,0.084829,-0.437189,-0.895385,0.70498,-0.608704,0.363942,-0.70424,-0.661565,0.257692,0.000421,0.002185,0.003395,0.0,1e-06,0.0,-0.829657,-0.161538,-0.028629,0.254049,0.150846,-0.893347,0.423283,0.65284,0.411438,0.635965,-0.742471,0.181521,0.644709,2e-06,-0.000898,-0.00143,-0.097253,2.127142,-1.812,-0.060687,0.043616,0.037453,-0.047953,-0.207184,0.887013,0.412651,-0.647852,-0.44046,0.621516,0.73305,-0.138568,0.665909,-1.9e-05,-0.000495,-0.000756,-0.259412,2.194907,-1.763078,-0.340422,0.068075,0.027752,-0.088749,-0.097407,0.44024,-0.89258,-0.705222,0.602299,0.374028,0.702262,0.665901,0.251799,0.000247,0.001299,0.002017,0.000811,-0.01618,0.023853,-0.802755
336,0.134675,-0.039749,0.26895,0.084742,-0.436752,-0.895607,0.705001,-0.608895,0.363582,-0.704229,-0.661678,0.25743,0.000782,0.004054,0.006286,0.000528,-0.01561,0.02422,-0.956364,-0.161897,-0.028654,0.254002,0.150568,-0.888046,0.434391,0.652169,0.419336,0.63148,-0.743117,0.189327,0.641713,-0.01588,-0.001774,-0.000648,0.060092,0.583316,-0.629778,0.082381,0.043436,0.037441,-0.047977,-0.205747,0.881696,0.424592,-0.645999,-0.448277,0.617844,0.735086,-0.147167,0.661807,-0.007939,-0.0009,-0.000332,0.069979,0.638886,-0.688989,-0.164885,0.068038,0.027811,-0.088651,-0.097337,0.439821,-0.892794,-0.705256,0.602471,0.373688,0.702239,0.666022,0.251543,0.000359,0.001864,0.002888,0.000857,-0.015764,0.024135,-0.883258
337,0.134618,-0.039671,0.269086,0.082765,-0.439776,-0.894311,0.70112,-0.612042,0.365797,-0.708325,-0.656754,0.258797,0.000767,0.003974,0.006154,-4.1e-05,0.001092,-0.001692,-1.028426,-0.162134,-0.028696,0.254007,0.145183,-0.886283,0.439791,0.654284,0.41932,0.629298,-0.742321,0.197493,0.64017,0.0,-0.000271,-0.000431,0.000551,0.00467,-0.004795,0.12563,0.043318,0.037419,-0.047975,-0.200412,0.880123,0.430369,-0.648055,-0.448538,0.615498,0.734751,-0.155549,0.660261,-0.007434,-0.006457,0.003775,-0.03753,0.033298,-0.055026,-0.092384,0.06801,0.027851,-0.08858,-0.095369,0.442891,-0.891488,-0.701362,0.605628,0.375906,0.706396,0.661106,0.252869,-0.007552,0.003041,0.004317,-6.8e-05,-0.001075,-0.005361,-0.890932
338,0.134531,-0.039511,0.269384,0.077884,-0.443021,-0.893147,0.697904,-0.61552,0.366111,-0.71204,-0.651301,0.262362,0.000931,0.004822,0.00745,0.006614,0.003152,0.035954,-1.14641,-0.162755,-0.028754,0.253961,0.13443,-0.88123,0.45316,0.658579,0.421036,0.623647,-0.740532,0.215706,0.636354,-0.031771,-0.003467,-0.00122,0.056604,0.615236,-0.68234,0.198741,0.043019,0.037394,-0.047994,-0.189766,0.876138,0.443137,-0.652215,-0.449855,0.610119,0.733896,-0.173242,0.656798,-0.007963,-0.000872,-0.000265,0.21969,1.788234,-1.863443,0.015225,0.067966,0.027931,-0.088431,-0.090208,0.446246,-0.890351,-0.698288,0.609093,0.376028,0.710108,0.655643,0.256663,0.000436,0.002284,0.003532,-0.007388,-0.022839,0.026936,-0.890769
339,0.134528,-0.039366,0.269682,0.0784,-0.445285,-0.891975,0.697614,-0.61466,0.368103,-0.712268,-0.650567,0.263561,0.000861,0.004467,0.006883,1e-06,4e-06,3e-06,-1.26376,-0.163556,-0.028841,0.253871,0.136636,-0.876127,0.462302,0.659354,0.428607,0.617642,-0.73944,0.221523,0.635625,-0.015897,-0.002921,-0.00253,0.569981,1.63645,-2.250956,0.284,0.042613,0.037349,-0.048039,-0.190298,0.872181,0.45065,-0.651513,-0.455582,0.606609,0.734382,-0.178168,0.654934,-0.007949,-0.00165,-0.001553,0.415274,-0.295482,-0.313752,0.133774,0.067965,0.028005,-0.08828,-0.090996,0.448376,-0.8892,-0.697857,0.608281,0.378138,0.710432,0.654944,0.257552,0.00051,0.002667,0.004111,0.000493,-0.017538,0.025076,-0.905955
340,0.134565,-0.039179,0.269989,0.073626,-0.448524,-0.890758,0.690056,-0.621927,0.370137,-0.720092,-0.641374,0.264829,0.000846,0.004397,0.006756,-0.0,0.0,0.0,-1.373457,-0.16446,-0.028992,0.253793,0.133859,-0.872873,0.469219,0.662623,0.430794,0.612602,-0.737019,0.230003,0.635426,-0.031802,-0.003864,-0.001963,0.415449,-0.290278,-0.327132,0.330428,0.042167,0.037274,-0.04808,-0.187163,0.867782,0.460351,-0.654121,-0.459721,0.60065,0.732867,-0.188705,0.653677,-0.007955,-0.00171,-0.001662,-0.005013,0.027179,-0.039412,0.218848,0.067983,0.028097,-0.088128,-0.086231,0.45165,-0.888017,-0.690313,0.615603,0.380132,0.718354,0.645789,0.258695,0.000472,0.002475,0.003807,0.001214,-0.016221,0.02488,-0.908078
341,0.134594,-0.039098,0.270134,0.07357,-0.448291,-0.89088,0.690058,-0.622043,0.369938,-0.720096,-0.641425,0.264695,0.0009,0.004681,0.007184,0.000527,-0.015604,0.024225,-1.415646,-0.164998,-0.029065,0.253727,0.134143,-0.872294,0.470213,0.662447,0.431718,0.612141,-0.737124,0.230467,0.635134,-0.031817,-0.004341,-0.002761,0.002029,0.025649,-0.06235,0.343827,0.041898,0.037238,-0.048112,-0.189622,0.866912,0.460983,-0.655299,-0.461373,0.598094,0.731181,-0.18867,0.655574,-0.015911,-0.002411,-0.001749,-0.023561,0.051388,-0.078256,0.246608,0.067998,0.028138,-0.088057,-0.086182,0.45143,-0.888134,-0.690324,0.615706,0.379944,0.718349,0.645845,0.25857,0.000384,0.002018,0.003096,0.000503,-0.000265,-3.6e-05,-0.908078
342,0.134632,-0.03901,0.270401,0.068659,-0.451215,-0.889795,0.682331,-0.629428,0.371774,-0.727896,-0.632107,0.265774,0.000452,-0.007368,0.013993,-0.167539,0.055245,0.046865,-1.491973,-0.16617,-0.029253,0.253542,0.136927,-0.870464,0.472795,0.663299,0.434947,0.608926,-0.73585,0.231313,0.636304,-0.031861,-0.005532,-0.004748,0.020352,0.026352,-0.098687,0.361391,0.041312,0.037145,-0.048203,-0.192395,0.864973,0.463469,-0.655959,-0.464631,0.594839,0.729863,-0.189573,0.65678,-0.015926,-0.002611,-0.002103,-0.002603,0.019098,-0.069443,0.280082,0.068017,0.028188,-0.087922,-0.081338,0.454331,-0.887111,-0.68274,0.623041,0.381687,0.726119,0.636712,0.259514,0.000336,0.001772,0.002716,-0.446658,0.186557,0.133708,-0.910691
343,0.134631,-0.038947,0.270648,0.068544,-0.450741,-0.890044,0.682218,-0.629766,0.371409,-0.728013,-0.632109,0.265449,0.000663,0.003456,0.005283,0.000528,-0.015594,0.024231,-1.539701,-0.167226,-0.029356,0.253377,0.137546,-0.869056,0.475199,0.662961,0.437109,0.607744,-0.73604,0.232531,0.63564,-0.031854,-0.00358,-0.001692,-0.004083,0.030406,-0.058494,0.392091,0.040784,0.037089,-0.048292,-0.192892,0.863546,0.465919,-0.655264,-0.466804,0.593904,0.730357,-0.190741,0.655893,-0.015928,-0.001941,-0.001067,-0.005126,0.0311,-0.057936,0.314047,0.068017,0.028215,-0.087796,-0.081157,0.453887,-0.887355,-0.682528,0.623486,0.38134,0.726339,0.636593,0.25919,0.000121,-0.00421,0.006187,-0.034834,0.015195,-0.017199,-0.910854
344,0.134605,-0.038921,0.270763,0.068654,-0.450495,-0.890161,0.677735,-0.633704,0.372917,-0.732179,-0.628342,0.262921,-0.015399,0.004313,0.005817,-0.02655,-0.081524,-0.05661,-1.553113,-0.167747,-0.029337,0.253277,0.137862,-0.868292,0.476502,0.662899,0.43823,0.607003,-0.736036,0.233274,0.635371,-0.015948,-0.002765,-0.002427,-0.002044,0.015205,-0.029245,0.406219,0.040517,0.037099,-0.048341,-0.193198,0.862763,0.46724,-0.655118,-0.46794,0.593171,0.730406,-0.191498,0.655617,-0.016398,0.003854,-0.004827,0.032322,0.019037,-0.040825,0.334621,0.06801,0.028229,-0.087738,-0.081354,0.453594,-0.887486,-0.677939,0.627536,0.382878,0.730602,0.632811,0.256456,0.000227,0.001194,0.00183,-0.025469,-0.089256,-0.057089,-0.911507
