frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.148711,-0.049619,0.265187,-0.446523,0.368467,-0.81541,-0.868837,-0.396392,0.296594,-0.213388,0.840437,0.498155,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.450268,-0.254812,-0.016646,0.329271,0.177629,-0.978353,0.106131,0.925508,0.202616,0.319868,-0.334679,0.042642,0.941294,-0.010128,0.017656,0.017834,-0.009616,0.085974,-0.151243,0.207789,-0.003114,0.044049,0.002392,-0.189396,0.970867,0.146782,-0.929787,-0.225381,0.291028,0.315632,-0.081356,0.945387,0.001988,0.002415,0.012152,-0.032621,-0.012676,0.034553,0.090339,0.075131,0.023222,-0.077748,0.451703,-0.371105,-0.811322,0.864482,0.406846,0.295205,0.220531,-0.834719,0.504588,-0.0,-1e-06,5e-06,1.6e-05,1.6e-05,-6e-06,0.413596
2,0.148711,-0.049619,0.265187,-0.446523,0.368467,-0.81541,-0.868837,-0.396392,0.296594,-0.213388,0.840437,0.498155,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.450482,-0.254755,-0.01638,0.330163,0.178306,-0.978376,0.104771,0.924597,0.202903,0.32231,-0.336831,0.040635,0.940615,0.004168,0.015483,0.015456,0.003101,-0.028822,0.049813,0.208259,-0.00309,0.044184,0.002841,-0.190152,0.970909,0.145523,-0.928892,-0.225909,0.293468,0.317806,-0.079372,0.944827,0.001924,0.002194,0.011885,-0.042563,0.088064,-0.137865,0.090992,0.075131,0.023222,-0.077748,0.451703,-0.371105,-0.811322,0.864482,0.406846,0.295205,0.220531,-0.834719,0.504588,-0.0,-1e-06,5e-06,1.6e-05,1.6e-05,-6e-06,0.413759
3,0.148711,-0.049619,0.265187,-0.446523,0.368467,-0.81541,-0.868837,-0.396392,0.296594,-0.213388,0.840437,0.498155,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.450713,-0.254728,-0.016263,0.330571,0.178737,-0.978228,0.105422,0.924294,0.20355,0.322772,-0.337435,0.040983,0.940383,0.003694,0.013733,0.01367,0.001553,-0.014398,0.024914,0.208109,-0.003076,0.044246,0.003048,-0.190579,0.970731,0.146152,-0.928597,-0.226557,0.293902,0.318411,-0.079705,0.944595,0.001833,0.001862,0.011531,-0.043223,0.086907,-0.137486,0.091318,0.075131,0.023222,-0.077748,0.451703,-0.371105,-0.811322,0.864482,0.406846,0.295205,0.220531,-0.834719,0.504588,-0.0,-1e-06,5e-06,1.6e-05,1.6e-05,-6e-06,0.413923
4,0.148723,-0.049619,0.265186,-0.446502,0.368466,-0.815422,-0.868846,-0.396384,0.296576,-0.213394,0.840441,0.498146,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.450942,-0.254712,-0.016006,0.331334,0.179098,-0.978611,0.101165,0.923204,0.20259,0.326475,-0.34022,0.03616,0.939578,-0.01077,0.015151,0.015119,0.001068,-0.013549,0.02061,0.208235,-0.003063,0.044373,0.003428,-0.190847,0.971314,0.141863,-0.927589,-0.225735,0.297693,0.321177,-0.074777,0.944061,0.001568,0.000883,0.010524,-0.03133,0.006484,0.00768,0.092135,0.075138,0.023221,-0.077748,0.451681,-0.371105,-0.811334,0.864492,0.406839,0.295186,0.220537,-0.834723,0.504579,-1e-06,-0.0,5e-06,1.7e-05,2e-05,-6e-06,0.414086
5,0.148723,-0.049619,0.265186,-0.446502,0.368466,-0.815422,-0.868846,-0.396384,0.296576,-0.213394,0.840441,0.498146,0.0,0.0,0.0,0.0,0.0,0.0,0.451851,-0.254723,-0.015706,0.331935,0.179084,-0.9791,0.096348,0.922341,0.201044,0.329852,-0.342561,0.031031,0.93891,0.00279,0.000401,0.019642,-0.068513,-0.07305,0.059466,0.208106,-0.003073,0.044529,0.003728,-0.190748,0.972015,0.137112,-0.926821,-0.224354,0.301108,0.323444,-0.069643,0.94368,-0.005804,0.006025,0.006,-0.129225,-0.215952,0.085106,0.092788,0.075138,0.023221,-0.077748,0.451681,-0.371105,-0.811334,0.864492,0.406839,0.295186,0.220537,-0.834723,0.504579,-1e-06,-0.0,5e-06,1.7e-05,2e-05,-6e-06,0.414576
6,0.148723,-0.049628,0.265192,-0.446516,0.36847,-0.815413,-0.868846,-0.396367,0.2966,-0.213366,0.840447,0.498147,0.0,0.0,0.0,0.0,0.0,0.0,0.451681,-0.254739,-0.01557,0.332171,0.179195,-0.979063,0.096523,0.922244,0.201214,0.330018,-0.342762,0.031116,0.938834,0.002264,-0.00155,0.017702,-0.034149,0.001774,0.00957,0.208011,-0.00308,0.044599,0.003855,-0.190841,0.971975,0.137266,-0.926724,-0.224506,0.301294,0.323668,-0.069709,0.943598,0.001093,-0.000892,0.008737,-0.03349,0.002874,0.009134,0.093278,0.075138,0.023217,-0.077745,0.451695,-0.371109,-0.811325,0.864492,0.406821,0.295211,0.220509,-0.83473,0.50458,0.0,-1e-06,5e-06,1.2e-05,1.8e-05,-1.4e-05,0.415229
7,0.148723,-0.049619,0.265186,-0.446502,0.368466,-0.815422,-0.868846,-0.396384,0.296576,-0.213394,0.840441,0.498146,0.0,0.0,0.0,0.0,0.0,0.0,0.451576,-0.254814,-0.01535,0.332546,0.179793,-0.978876,0.0973,0.921975,0.202053,0.330257,-0.343174,0.031565,0.938669,0.001791,0.006674,0.006543,0.001562,-0.01435,0.024941,0.206742,-0.003114,0.044704,0.004037,-0.191464,0.971742,0.138046,-0.926449,-0.22537,0.301493,0.324086,-0.070167,0.943421,0.000661,-0.002507,0.00714,-0.046461,0.115195,-0.187489,0.092135,0.075138,0.023221,-0.077748,0.451681,-0.371105,-0.811334,0.864492,0.406839,0.295186,0.220537,-0.834723,0.504579,-1e-06,-0.0,4e-06,8e-06,0.0,-1e-05,0.415392
8,0.148723,-0.049619,0.265186,-0.446502,0.368466,-0.815422,-0.868846,-0.396384,0.296576,-0.213394,0.840441,0.498146,0.0,0.0,0.0,0.0,0.0,0.0,0.450529,-0.254884,-0.015135,0.332801,0.180552,-0.97889,0.095747,0.921399,0.202278,0.331724,-0.344323,0.029563,0.938313,0.00136,0.005068,0.004957,-0.0,-0.0,0.0,0.20285,-0.003153,0.044814,0.004167,-0.192177,0.971831,0.136428,-0.925901,-0.225628,0.302983,0.325231,-0.068093,0.94318,0.000774,0.002903,0.002839,0.003767,-0.010665,0.023442,0.089359,0.075138,0.023221,-0.077748,0.451681,-0.371105,-0.811334,0.864492,0.406839,0.295186,0.220537,-0.834723,0.504579,-1e-06,-0.0,4e-06,8e-06,0.0,-1e-05,0.415066
9,0.148712,-0.049614,0.265194,-0.446505,0.368465,-0.815421,-0.868845,-0.396385,0.296579,-0.213394,0.840441,0.498146,1e-05,6.8e-05,0.000111,0.0,0.0,0.0,0.449536,-0.254915,-0.014928,0.333019,0.181273,-0.978912,0.094142,0.92085,0.202442,0.333145,-0.345413,0.027536,0.937973,0.001427,0.005317,0.00519,0.001562,-0.014347,0.024943,0.202216,-0.00317,0.044913,0.004271,-0.192892,0.971909,0.134847,-0.925371,-0.22589,0.304402,0.326312,-0.066067,0.94295,0.000548,0.002054,0.002005,0.001926,0.003208,-0.001311,0.086583,0.075132,0.023224,-0.077744,0.451685,-0.371103,-0.811333,0.86449,0.40684,0.29519,0.220537,-0.834723,0.504579,6e-06,4.8e-05,8.1e-05,3e-06,-3e-06,-1.5e-05,0.414576
10,0.148712,-0.049614,0.265194,-0.446505,0.368465,-0.815421,-0.868845,-0.396385,0.296579,-0.213394,0.840441,0.498146,0.0,1e-06,2e-06,0.0,0.0,0.0,0.449845,-0.254916,-0.014853,0.333107,0.181514,-0.979074,0.091968,0.920433,0.201955,0.33459,-0.346397,0.025153,0.937678,0.0011,0.004099,0.003998,-1e-06,-1e-06,0.0,0.201668,-0.003169,0.044956,0.00432,-0.193062,0.972179,0.132638,-0.924996,-0.225425,0.305883,0.327274,-0.063635,0.942784,0.000542,0.002029,0.001979,0.002455,0.004053,-0.00166,0.08593,0.075132,0.023224,-0.077744,0.451685,-0.371103,-0.811333,0.86449,0.40684,0.29519,0.220537,-0.834723,0.504579,-1e-06,-3e-06,-5e-06,9e-06,4e-06,-8e-06,0.414249
