frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1106,0.026326,0.057025,-0.013203,-0.00752,0.004269,-0.004936,0.034784,0.001057,-0.01355,-0.075891,0.049976,0.041417,-0.044713,-2.1e-05,-6.7e-05,-7.3e-05,-0.012755,-0.014898,-0.010202,-0.916079
1107,0.026009,0.057276,-0.013429,-0.007459,0.004802,-0.004344,0.037318,-0.034205,-0.041539,0.000855,0.050065,0.041405,-0.04472,0.007305,-0.001233,-0.000853,-0.009027,-0.027341,0.02117,-0.921468
1108,0.025643,0.057613,-0.013695,-0.014865,0.010043,-0.008224,0.073053,0.007882,-0.060058,0.055884,0.050149,0.041402,-0.044726,2e-06,1e-06,-3e-06,-0.010903,-0.010931,-0.007988,-0.921468
1109,0.025417,0.057797,-0.013865,-0.0149,0.009615,-0.008701,0.042676,-0.308856,-0.263581,0.078908,0.050182,0.041392,-0.044727,-1e-06,-6e-06,-9e-06,-0.004196,-0.006166,0.002938,-0.924897
1110,0.024929,0.058096,-0.014241,-0.015121,0.007421,-0.011148,0.040039,-0.288876,-0.284643,0.104218,0.050232,0.041382,-0.044726,-2e-06,-6e-06,-8e-06,-0.001166,0.006711,-0.016248,-0.931592
1111,0.024378,0.058284,-0.01464,-0.014984,0.001231,-0.007934,0.026108,-0.017522,-0.102238,0.118425,0.050259,0.041368,-0.044717,0.007299,-0.001246,-0.000868,0.10982,0.188177,0.14651,-0.935184
1112,0.024089,0.058352,-0.01483,-0.015023,0.000969,-0.008244,-0.005881,-0.269828,-0.33116,0.125119,0.050265,0.041362,-0.044708,3e-06,1.4e-05,1.5e-05,0.019847,0.054596,0.030371,-0.938123
1113,0.0235,0.058442,-0.015131,-0.014872,0.002445,-0.006626,0.031183,0.033228,-0.064346,0.142592,0.050284,0.041335,-0.044698,-2e-05,-6.6e-05,-7.1e-05,0.130996,0.243983,0.140328,-0.942206
1114,0.022943,0.058515,-0.015302,-0.014466,-0.001221,-0.000577,0.00038,0.045165,-0.048292,0.14994,0.050305,0.041331,-0.044709,-0.00012,-0.000407,-0.000437,0.001559,0.029672,0.019425,-0.950697
1115,0.022693,0.058551,-0.015332,-0.014521,0.005499,-0.003238,-0.757581,-0.200085,0.372391,0.152879,0.050331,0.04133,-0.044723,-2.4e-05,-8.3e-05,-8.6e-05,-0.107745,0.140072,0.025461,-0.96229
1116,0.022211,0.058606,-0.015313,-0.014216,0.000879,0.001757,-0.000427,0.033038,-0.057639,0.167575,0.050394,0.04134,-0.044791,0.007157,-0.001744,-0.001399,0.209126,0.368935,0.25381,-0.978293
1117,0.021793,0.058718,-0.015248,-0.014058,0.002077,0.003085,-0.001676,0.0481,-0.044545,0.184884,0.050464,0.041363,-0.044905,-0.000453,-0.001547,-0.001653,0.264894,0.593495,0.087421,-0.990376
1118,0.021367,0.058864,-0.015176,-0.014026,0.002236,0.003244,-0.048865,-0.559695,-0.209291,0.188476,0.050516,0.041379,-0.045066,-0.000609,-0.002083,-0.002227,0.052604,0.115029,0.06304,-0.998214
1119,0.021145,0.058957,-0.015159,-0.00704,0.007698,-0.001176,0.026756,-0.172579,-0.112038,0.188639,0.050546,0.041394,-0.045176,0.006399,-0.00405,-0.004176,-4.352983,3.399097,0.315592,-0.990703
1120,0.020724,0.059197,-0.015136,-0.013926,0.002776,0.003818,0.014018,-0.084735,0.13626,0.188313,0.050562,0.041454,-0.045465,-0.000544,0.002176,-0.007754,0.019328,-0.03593,0.006822,-1.003276
1121,0.020354,0.059547,-0.015138,-0.006848,0.008819,5.7e-05,0.052608,-0.119786,0.176658,0.189456,0.050531,0.041547,-0.045813,-0.000742,0.001499,-0.008492,-0.363767,0.297852,0.027532,-1.005562
