frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
260,0.027877,0.044019,-0.02615,-0.007804,0.000153,0.00086,0.064161,-0.064616,0.208415,-0.918634,0.059986,0.029041,-0.060817,-0.016661,-0.000933,-0.002492,-0.006593,0.142612,-0.255047,0.442498
261,0.027671,0.04402,-0.026141,-0.007835,-0.00025,0.000274,0.099925,-0.03294,0.202739,-0.918471,0.059508,0.029096,-0.06089,-0.007797,0.00621,-0.003737,0.031221,0.096778,-0.185076,0.464869
262,0.027684,0.044001,-0.026123,0.000339,-0.005454,0.004256,-0.067612,-0.109325,-0.022337,-0.91994,0.058933,0.029264,-0.060891,-0.023896,0.003164,0.002721,0.033887,-0.313529,0.529786,0.484301
263,0.02775,0.043999,-0.026112,3e-06,3.8e-05,5.2e-05,-0.089987,-0.08735,0.03525,-0.920593,0.058612,0.029345,-0.060881,-0.015888,0.002274,0.002039,-0.000988,0.031136,-0.06285,0.493445
264,0.028071,0.043938,-0.026164,0.00765,-0.002051,-0.003616,-0.123691,-0.091602,0.115049,-0.921247,0.058102,0.029528,-0.06093,-0.01585,0.006861,-0.003478,0.017724,-0.056716,-0.083124,0.507325
265,0.028461,0.043823,-0.026364,0.007541,-0.003595,-0.005884,-0.174481,-0.122565,0.095588,-0.92141,0.057605,0.029801,-0.061157,-0.01628,0.005165,-0.005952,-0.06134,-0.343731,-0.277721,0.512877
266,0.028564,0.043793,-0.026518,0.007495,-0.004286,-0.006903,-0.118075,-0.070374,0.082686,-0.921573,0.057377,0.029914,-0.061311,-0.008384,0.003857,-0.00719,0.042298,-0.005535,-0.015984,0.515489
267,0.028781,0.043778,-0.026927,0.0071,0.000449,-0.012254,-0.111615,-0.001893,0.077976,-0.906061,0.057001,0.030131,-0.061682,-0.008579,0.003132,-0.008268,0.045304,0.03365,-0.02648,0.516959
268,0.028991,0.043785,-0.027341,0.00729,0.002785,-0.008863,-0.108002,-0.015767,0.114803,-0.907693,0.056772,0.030388,-0.062037,0.0003,0.009944,-0.009871,0.078807,-0.011859,0.051232,0.515816
269,0.029257,0.043919,-0.027593,0.015641,-0.000522,-0.002135,-0.142876,-0.041719,0.058681,-0.913082,0.056738,0.030562,-0.06218,0.008377,0.004914,-0.004335,0.036358,-0.034855,0.054679,0.514836
270,0.029476,0.043967,-0.02767,0.015629,-0.000689,-0.002396,-0.085532,-0.016287,0.121518,-0.916021,0.056798,0.030632,-0.062221,0.008047,-0.000744,-0.000391,-0.00327,0.084672,-0.141208,0.515816
271,0.030014,0.044012,-0.027848,0.015185,0.003657,-0.008333,-0.109656,0.035322,0.09251,-0.917491,0.05697,0.030742,-0.062356,0.0002,0.005174,-0.004655,0.041611,-0.019561,0.013867,0.516796
272,0.03068,0.043963,-0.028102,0.015478,-0.003246,-0.006281,-0.097413,-0.009491,0.083678,-0.918307,0.057091,0.030833,-0.062488,-0.0001,-0.0004,-0.000583,-0.029647,-0.126152,-0.072926,0.516306
273,0.030984,0.043938,-0.028279,0.015061,0.001437,-0.011719,-0.119504,0.035854,0.08321,-0.916348,0.057126,0.030897,-0.062593,-0.000243,0.003497,-0.00709,0.017843,-0.072986,-0.053556,0.51402
274,0.031492,0.043947,-0.028699,0.015108,0.001908,-0.011077,-0.117096,0.034697,0.093388,-0.918471,0.057098,0.03093,-0.062929,-0.001174,-4.2e-05,-0.01226,-0.043491,-0.386695,-0.047842,0.500793
275,0.031904,0.044033,-0.029021,0.015262,0.004441,-0.007318,-0.100975,0.022852,0.148246,-0.91047,0.057043,0.030856,-0.063412,-0.001316,-0.000564,-0.013075,0.027941,-0.032603,-0.060685,0.493772
