frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
814,0.099719,0.001805,0.3326,0.458344,0.21843,-0.861542,-0.598236,-0.640998,-0.48084,-0.657854,0.735522,-0.162056,0.007962,0.044179,0.003873,-0.085885,0.337215,0.569266,-1.910539,-0.202941,-0.014597,0.257286,-0.454199,0.766562,0.453958,-0.394991,-0.62989,0.668696,0.799097,0.123449,0.588275,0.000198,0.001533,0.002265,-0.01059,0.119388,-0.158702,0.505757,0.020754,0.050557,-0.031449,0.365275,-0.746362,0.556342,0.364924,0.664611,0.652013,-0.85639,-0.035142,0.515132,0.000108,0.000858,0.001266,0.001552,-0.017289,0.023023,0.500198,0.051474,0.054975,-0.040574,-0.418001,-0.316539,-0.851514,0.548569,0.659191,-0.514333,0.724117,-0.682106,-0.101899,0.003975,0.022084,0.00193,-0.111985,0.399164,0.552444,-0.969802
815,0.099735,0.003928,0.33288,0.462695,0.21788,-0.859353,-0.617806,-0.615882,-0.488853,-0.636354,0.75683,-0.149292,-0.004416,0.051578,0.009921,-4.688555,-2.739673,-0.731797,-1.909494,-0.202912,-0.014553,0.25735,-0.45411,0.76635,0.454404,-0.39479,-0.63019,0.668532,0.799247,0.123229,0.588117,0.000179,0.001389,0.002049,0.001535,-0.017299,0.022996,0.505615,0.020768,0.050578,-0.031418,0.365117,-0.746022,0.556901,0.3647,0.665007,0.651735,-0.856552,-0.034858,0.51488,2.8e-05,0.000238,0.000351,-7e-06,2.6e-05,4e-06,0.500035,0.051489,0.056019,-0.040436,-0.420799,-0.319224,-0.849131,0.566001,0.639105,-0.520756,0.708922,-0.699742,-0.088254,0.005309,0.030748,0.000585,0.14419,-0.248851,0.2662,-0.993316
816,0.099752,0.004855,0.332965,0.464621,0.211888,-0.859812,-0.62482,-0.609523,-0.487907,-0.628043,0.763654,-0.14974,0.008091,0.04457,0.003954,-0.285528,1.278939,-2.273152,-1.909449,-0.202911,-0.014525,0.257354,-0.454076,0.766253,0.454601,-0.394741,-0.630333,0.668426,0.799291,0.123103,0.588085,5.2e-05,0.000402,0.000593,0.0,-0.0,-0.0,0.50407,0.020769,0.050594,-0.031413,0.365074,-0.745919,0.557068,0.364676,0.665129,0.651623,-0.85658,-0.034742,0.514841,2.6e-05,0.000202,0.0003,-0.010583,0.119414,-0.158689,0.499545,0.051495,0.056516,-0.040377,-0.427585,-0.310722,-0.848894,0.576009,0.63009,-0.520767,0.696694,-0.711643,-0.090439,-0.002955,0.02309,0.002457,0.072654,-0.069636,0.042974,-1.007522
817,0.100024,0.006351,0.332829,0.461831,0.20197,-0.863693,-0.637761,-0.601049,-0.481635,-0.616979,0.773011,-0.147704,0.019142,0.032669,-0.006416,0.070566,-0.0801,0.108389,-1.909534,-0.202897,-0.014483,0.257379,-0.454028,0.766132,0.454852,-0.394669,-0.63051,0.668302,0.799353,0.122949,0.588032,9.1e-05,0.000708,0.001045,0.0,-0.0,-0.0,0.502525,0.020776,0.050613,-0.031403,0.36501,-0.745775,0.557302,0.364626,0.665299,0.651478,-0.856629,-0.034589,0.51477,6.7e-05,0.00052,0.000766,-0.01057,0.119404,-0.158668,0.497422,0.051628,0.057276,-0.040434,-0.423142,-0.300078,-0.854928,0.590992,0.623805,-0.511463,0.686787,-0.721678,-0.086615,0.002496,0.016762,-0.003071,0.06726,0.049621,-0.108866,-1.032995
818,0.100512,0.007401,0.332532,0.451592,0.197129,-0.870201,-0.646142,-0.600249,-0.471353,-0.615824,0.774886,-0.142615,0.01628,0.014752,-0.004405,0.035881,-0.04796,0.069737,-1.909824,-0.202871,-0.014486,0.257409,-0.453934,0.765917,0.45531,-0.394422,-0.63081,0.668164,0.799529,0.122755,0.587833,9e-06,7.1e-05,0.000105,0.0,0.0,0.0,0.503014,0.020789,0.050613,-0.031385,0.364885,-0.745517,0.55773,0.36441,0.665598,0.651294,-0.856774,-0.034405,0.514541,1e-06,8e-06,1.1e-05,1.1e-05,2e-06,1.7e-05,0.496769,0.051879,0.057814,-0.040585,-0.413388,-0.294748,-0.861529,0.599146,0.624423,-0.501117,0.685662,-0.723338,-0.081532,0.008029,0.006969,-0.002576,0.036506,-0.05258,0.077394,-1.056999
819,0.100643,0.007757,0.332311,0.446793,0.19637,-0.872846,-0.65535,-0.592241,-0.468762,-0.60955,0.781214,-0.134836,0.002068,0.023085,-0.015561,-1.489121,-0.336968,-0.155242,-1.909419,-0.202872,-0.014491,0.257402,-0.453856,0.765715,0.455725,-0.394232,-0.631094,0.668009,0.799666,0.122556,0.587688,-6.6e-05,-0.000513,-0.000757,0.0,0.0,0.0,0.502904,0.020788,0.050612,-0.031388,0.364781,-0.745277,0.558118,0.364252,0.665876,0.651098,-0.856886,-0.034212,0.514367,-4.7e-05,-0.000365,-0.000538,1e-06,1.1e-05,1.4e-05,0.496769,0.051945,0.057986,-0.040687,-0.408745,-0.29293,-0.86436,0.607983,0.618937,-0.497264,0.680648,-0.728771,-0.074891,0.007787,0.009817,-0.009081,-4.976372,-2.03412,-0.364817,-1.06647
820,0.100829,0.008369,0.331735,0.437323,0.197768,-0.877315,-0.66595,-0.584318,-0.463741,-0.604896,0.786805,-0.122744,0.001343,0.020477,-0.017895,-0.06482,0.43261,-0.642712,-1.909142,-0.202946,-0.014507,0.257346,-0.458311,0.762759,0.456223,-0.390291,-0.633776,0.667784,0.799064,0.127034,0.587557,-0.000145,-0.001125,-0.00166,-0.010588,0.119405,-0.15869,0.501972,0.020751,0.050604,-0.031416,0.369371,-0.742581,0.558692,0.360549,0.668632,0.650334,-0.856485,-0.038779,0.514711,-0.007802,-0.000626,-0.000484,-0.002087,0.015326,-0.029088,0.496116,0.052036,0.058285,-0.040981,-0.399612,-0.295278,-0.867824,0.619924,0.610341,-0.493129,0.67528,-0.735046,-0.06085,0.007405,0.008651,-0.010141,-0.305224,1.331748,-2.292272,-1.081003
821,0.101286,0.008868,0.331081,0.429191,0.196524,-0.8816,-0.672773,-0.581618,-0.45724,-0.603155,0.789115,-0.116316,0.014353,0.015758,-0.021661,0.069808,-0.035562,0.036549,-1.910188,-0.20302,-0.014558,0.257311,-0.45825,0.762543,0.456646,-0.390047,-0.634067,0.66765,0.799218,0.126879,0.58738,-3.2e-05,-0.000244,-0.000361,0.0,0.0,0.0,0.502315,0.020714,0.050575,-0.031437,0.369244,-0.742253,0.559211,0.360287,0.669008,0.650093,-0.856651,-0.038567,0.514452,-1.5e-05,-0.000113,-0.000166,4.4e-05,6.1e-05,4.5e-05,0.495462,0.052259,0.058535,-0.041307,-0.390852,-0.292919,-0.872601,0.627122,0.609187,-0.485394,0.673759,-0.736945,-0.054406,0.00678,0.002494,-0.006608,0.040474,-0.044077,0.050248,-1.096678
822,0.101615,0.00908,0.33048,0.427773,0.19368,-0.882918,-0.680176,-0.574266,-0.455577,-0.595806,0.795181,-0.112824,0.013077,0.003307,-0.014728,0.006674,0.077892,0.081224,-1.910035,-0.20303,-0.014548,0.257326,-0.458231,0.762486,0.456761,-0.389992,-0.634148,0.667606,0.799256,0.126826,0.587341,1e-06,6e-06,9e-06,0.0,0.0,0.0,0.502243,0.020709,0.050581,-0.031428,0.369217,-0.742185,0.559319,0.360242,0.669086,0.650037,-0.856682,-0.038514,0.514405,1e-06,1e-05,1.6e-05,4.9e-05,2.2e-05,5.8e-05,0.495626,0.052423,0.05864,-0.041609,-0.389822,-0.289914,-0.874063,0.63518,0.602585,-0.483152,0.66677,-0.743532,-0.050754,0.006476,0.001393,-0.007604,-0.014883,0.230251,-0.055753,-1.111538
823,0.101816,0.009287,0.330169,0.426627,0.188153,-0.884666,-0.688075,-0.567228,-0.452522,-0.587489,0.80154,-0.111434,0.000122,0.008274,-0.010712,-0.407823,-0.135603,-0.207058,-1.909365,-0.203019,-0.014553,0.257318,-0.458203,0.762425,0.456891,-0.389934,-0.634234,0.667558,0.7993,0.126761,0.587294,-2.9e-05,-0.000228,-0.000336,0.0,0.0,0.0,0.50192,0.020715,0.050579,-0.031432,0.36918,-0.742113,0.55944,0.360194,0.66917,0.649977,-0.856718,-0.038451,0.514349,-1.9e-05,-0.000145,-0.000214,4.1e-05,3.5e-05,4e-05,0.495299,0.052527,0.058738,-0.041776,-0.389071,-0.284854,-0.87606,0.643182,0.596824,-0.479706,0.6595,-0.750105,-0.048994,0.00734,0.008439,-0.01033,-1.406446,-0.803425,-0.16222,-1.117906
