frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
300,0.040003,0.043404,-0.031719,-0.014417,0.004134,0.005663,-0.039932,-0.015543,-0.019075,-0.828661,0.076768,0.036716,-0.079062,0.008416,0.007231,-0.002174,4.714025,-2.689046,-1.548929,-0.27745
301,0.039418,0.043337,-0.031434,-0.012728,-0.003932,0.00705,-0.036474,0.020196,-0.054468,-0.822456,0.077047,0.036955,-0.079117,0.008554,0.007739,-0.001626,0.041054,-0.16777,0.22687,0.025128
302,0.039058,0.043329,-0.031345,-0.020041,0.000474,0.003014,-5.295324,-1.194191,-1.148007,-0.822293,0.077199,0.037111,-0.079152,0.008409,0.007365,-0.001967,0.069176,-0.065836,0.049971,0.184499
303,0.038201,0.04337,-0.031266,-0.027269,0.004079,-0.00126,0.027322,0.068733,-0.083465,-0.823925,0.077521,0.037429,-0.079347,0.007577,0.005075,-0.004016,0.068416,-0.166328,0.193037,0.404615
304,0.037001,0.043428,-0.031314,-0.039636,0.000549,-0.002625,0.209533,-0.484254,-0.596775,-0.823435,0.077903,0.03775,-0.079638,0.014653,0.008823,-0.009211,0.066729,-0.070747,0.090203,0.470748
305,0.035447,0.043626,-0.031529,-0.041649,0.012639,-0.009193,0.108223,0.039925,-0.102578,-0.822456,0.078362,0.038088,-0.079895,0.008632,0.011831,-0.006887,0.066316,-0.055833,0.058931,0.481035
306,0.034521,0.043803,-0.031695,-0.047873,0.011468,-0.009393,-0.024642,0.078867,-0.370593,-0.822783,0.078612,0.038255,-0.080015,0.014329,0.004376,-0.004298,0.033692,-0.066342,0.097686,0.483158
307,0.032326,0.044338,-0.032125,-0.061445,0.016326,-0.012088,0.216848,-0.149305,-0.374465,-0.823599,0.079031,0.038545,-0.080244,0.007495,0.004998,-0.004091,1.436441,-0.590479,-0.685884,0.492955
308,0.029799,0.045026,-0.032615,-0.061278,0.017947,-0.010849,0.193024,-0.113218,-0.609001,-0.815598,0.079276,0.038723,-0.080374,0.00687,-0.000439,-6.2e-05,-0.000286,-0.031028,0.053552,0.505855
309,0.028466,0.045438,-0.03284,-0.06867,0.0254,-0.012156,-1.477926,-2.156935,0.886208,-0.814454,0.079347,0.038741,-0.080382,0.000222,0.000637,0.000558,-0.000792,0.000312,0.000406,0.508794
310,0.025738,0.046587,-0.033146,-0.069345,0.03457,-0.004437,-0.404635,-0.469653,0.040048,-0.815271,0.079327,0.038714,-0.080334,6.8e-05,0.000192,0.000171,1.405864,-0.545496,-0.730007,0.51353
311,0.022934,0.047932,-0.033135,-0.074396,0.033188,0.002851,-5.41532,-1.017715,-1.419791,-0.808413,0.079075,0.038788,-0.080275,-0.012653,0.003987,0.002863,-0.004672,0.019961,-0.042724,0.515979
312,0.021472,0.048549,-0.033052,-0.073993,0.034296,0.003561,-5.066322,-0.884353,-2.344578,-0.798452,0.078862,0.038855,-0.08022,-0.012538,0.004315,0.003153,0.124304,-0.015668,-0.124369,0.512713
313,0.018587,0.049824,-0.032723,-0.072843,0.033874,0.010944,0.015009,-1.269409,-0.698723,-0.801391,0.07821,0.039165,-0.080002,-0.017264,0.010789,0.008515,0.080398,0.122629,-0.303189,0.490016
314,0.016302,0.050903,-0.032097,-0.051531,0.019725,0.021141,-0.255394,-0.966753,-0.871995,-0.804004,0.077291,0.039676,-0.079539,-0.02299,0.010522,0.016677,-0.439775,1.903,-2.327761,0.468788
315,0.014416,0.051415,-0.031192,-0.043351,0.006275,0.025227,0.045262,-0.506351,-0.346816,-0.809882,0.076224,0.040204,-0.078825,-0.028383,0.014674,0.019821,0.214278,0.57223,0.050746,0.326072
316,0.013638,0.051574,-0.030721,-0.037092,0.00705,0.025045,0.050859,-0.549603,-0.342459,-0.811515,0.075642,0.040527,-0.078416,-0.027562,0.016671,0.021464,0.074617,0.440931,-0.26281,0.177315
317,0.012521,0.051868,-0.029791,-0.024552,0.006405,0.02305,0.033536,-0.490957,-0.203613,-0.811189,0.074323,0.041535,-0.077495,-0.036331,0.033285,0.026128,5.268197,-1.199634,-2.957172,-0.126079
318,0.011882,0.051974,-0.028889,-0.012115,0.004599,0.020307,0.001785,-0.278353,-0.244917,-0.810862,0.072794,0.042927,-0.076353,-0.040486,0.039255,0.030207,1.156588,1.077599,0.265046,-0.251486
319,0.011679,0.052006,-0.028475,-0.011415,-0.002418,0.022676,-0.097891,-0.031212,-0.031257,-0.810372,0.071977,0.04362,-0.075712,-0.041014,0.033599,0.033754,0.732426,1.294818,0.547759,-0.265856
