frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523548,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
2,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523548,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
3,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523222,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
4,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523548,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
5,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523548,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
6,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523385,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
7,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523385,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
8,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523222,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
9,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523385,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
10,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523548,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
11,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523222,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
12,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523222,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
13,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523548,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
14,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523222,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
15,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523548,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
16,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523222,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
17,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523548,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
18,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523222,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
19,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523222,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
20,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523548,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
21,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523222,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
22,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523385,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
23,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523548,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
24,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523222,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
25,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523385,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
26,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523548,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
27,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523222,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
28,0.023951,0.057258,-0.005277,0.00027,-0.005777,0.003799,-0.036399,0.012992,-0.016821,0.523548,0.080051,0.053397,-0.045331,-1e-06,4e-06,-1e-06,-0.000322,7e-05,0.000161,0.521041
