frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
32,0.01537,0.040448,-0.033277,-0.013824,0.004363,0.004877,-0.004722,0.011047,-0.027998,-0.203721,0.076774,0.046054,-0.048732,0.015183,-0.004419,0.014199,3.763304,-0.785359,-3.963555,-1.131852
33,0.014814,0.040596,-0.033029,-0.013502,0.005945,0.006444,-0.080296,-0.176496,0.167482,-0.227562,0.077189,0.045913,-0.048109,0.008392,-0.001869,0.016213,0.016744,0.153577,0.130564,-1.134629
34,0.014072,0.040739,-0.032628,-0.020386,0.002376,0.012735,-0.00787,-0.035325,-0.142633,-0.266752,0.077408,0.045735,-0.04736,0.001125,-0.00675,0.020947,-0.099994,-0.06914,0.181024,-1.124994
35,0.013655,0.040801,-0.032371,-0.027363,0.003985,0.014518,0.054076,-0.263093,-0.050049,-0.289612,0.077482,0.045629,-0.046996,0.001306,-0.001518,0.016415,-0.069884,0.008671,0.021862,-1.124341
36,0.012823,0.040881,-0.031772,-0.019997,-0.001475,0.018447,0.040712,-0.325253,-0.071709,-0.340396,0.077589,0.045348,-0.046227,0.000917,-0.007803,0.020044,-0.10496,-0.083304,0.172207,-1.128424
37,0.01203,0.040825,-0.031125,-0.020319,-0.003063,0.016833,1.309673,0.252101,0.940042,-0.416816,0.07764,0.045083,-0.04544,0.001137,-0.006623,0.020984,-0.111153,0.010262,-0.001311,-1.129076
38,0.011269,0.040662,-0.030412,-0.020081,-0.002041,0.017749,0.134685,-0.723575,0.004794,-0.48752,0.077671,0.044905,-0.044577,0.001849,-0.002802,0.024033,-0.098663,0.001367,0.019052,-1.128097
39,0.010968,0.040599,-0.030071,-0.020067,-0.002016,0.017744,0.192367,-1.022888,0.915242,-0.504339,0.077651,0.044887,-0.044073,-0.004405,0.001741,0.02763,0.207203,0.321528,-0.394226,-1.128423
40,0.010436,0.040523,-0.029398,-0.012805,-0.002303,0.017225,0.161071,-0.655231,0.01545,-0.514463,0.077569,0.045035,-0.042817,-0.002964,0.009305,0.033443,-0.062833,0.071071,0.118501,-1.133975
41,0.010016,0.040482,-0.028845,-0.013217,-0.004255,0.015294,-0.074528,-0.040673,0.118653,-0.503359,0.077694,0.045331,-0.04141,0.011479,0.010398,0.034014,3.465093,-1.103525,-3.957146,-1.129893
42,0.009875,0.040504,-0.028663,-0.006069,0.005668,0.005663,0.004977,0.013006,-0.013046,-0.497808,0.077824,0.045508,-0.040673,0.00449,0.01153,0.034636,0.976156,-0.357573,-1.141184,-1.129076
43,0.009742,0.040625,-0.028413,0.000758,0.003469,0.003342,0.000122,-0.00091,0.002283,-0.478703,0.078042,0.04587,-0.039306,0.004602,0.011725,0.034476,3.482509,-1.087792,-3.96937,-1.137731
44,0.009808,0.040738,-0.028327,0.00744,0.000681,0.000477,0.00268,-0.015029,0.029791,-0.457801,0.078203,0.046301,-0.037967,0.004378,0.011392,0.033776,-0.100572,-0.030891,0.104315,-1.142466
45,0.01003,0.040725,-0.028338,0.007098,-0.000882,-0.001039,0.00734,-0.021781,0.027237,-0.448984,0.078392,0.046844,-0.036748,0.004278,0.015249,0.027824,-0.065545,-0.044838,0.121419,-1.142956
46,0.010188,0.040701,-0.028373,0.014061,-0.002383,-0.002669,0.007263,-0.021868,0.067356,-0.447841,0.078462,0.047106,-0.036251,0.003819,0.012784,0.025901,-0.066171,-0.032414,0.095719,-1.144753
47,0.010523,0.040636,-0.028451,0.006915,-0.001753,-0.001886,0.011081,-0.024209,0.027088,-0.447677,0.078534,0.047561,-0.035402,0.002744,0.006876,0.021485,-0.068331,-0.008491,0.042929,-1.152264
48,0.010872,0.040582,-0.028513,0.007136,-0.000724,-0.000901,0.005703,-0.024926,0.027099,-0.447351,0.078576,0.047836,-0.034716,0.001917,0.006545,0.012858,-0.03276,-0.010747,0.036241,-1.151611
49,0.011039,0.040565,-0.028527,0.00719,-0.000467,-0.000657,0.338607,0.522807,-0.627082,-0.447351,0.078584,0.04789,-0.034418,0.001778,0.005141,0.011928,3.642045,-0.925488,-3.919504,-1.153244
50,0.011335,0.040539,-0.028554,-8.9e-05,-0.000431,-0.000424,-0.00175,-0.00237,0.002532,-0.447024,0.078561,0.047841,-0.033814,0.000924,-0.003211,0.014252,-0.071482,0.01322,-0.010258,-1.155856
