frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
338,0.140104,-0.010407,0.386117,0.734694,-0.479255,-0.480193,0.619079,0.763094,0.185475,0.276634,-0.432944,0.85794,6.7e-05,0.000462,0.000317,-0.0,-0.0,-0.0,0.114756,-0.246357,-0.004214,0.364442,-0.169784,0.90782,0.383442,-0.985254,-0.148165,-0.085174,-0.020277,-0.393383,0.919076,-0.00507,0.008313,-0.044752,-0.198864,0.552175,0.28278,-1.408917,0.006685,0.045596,-0.012084,0.291925,-0.879533,0.375766,0.954882,0.29043,-0.062036,-0.054571,0.376922,0.924635,-0.002475,0.009333,-0.02692,0.105092,0.052068,0.037884,-0.69196,0.084422,0.047302,-0.033124,-0.714579,0.429547,-0.552146,-0.596285,-0.786736,0.159653,-0.365815,0.443322,0.818317,4.5e-05,0.000306,0.000209,-6.6e-05,4.1e-05,0.000119,-0.067361
339,0.140104,-0.0104,0.38611,0.734652,-0.4773,-0.482199,0.618537,0.763209,0.186805,0.277948,-0.434897,0.856526,0.0,0.0,0.0,-0.118654,-0.315703,-0.13583,0.113982,-0.246473,-0.003542,0.362423,-0.159904,0.907315,0.388847,-0.987047,-0.142124,-0.073982,-0.01164,-0.396774,0.917768,-0.004967,0.018894,-0.053756,-0.613882,-0.285947,0.338727,-1.408532,0.006625,0.045934,-0.013112,0.28079,-0.879801,0.383543,0.957578,0.283792,-0.050054,-0.064809,0.381328,0.922164,-0.002405,0.009727,-0.026677,-2.082031,-1.501464,1.087828,-0.690491,0.084422,0.047307,-0.033127,-0.71439,0.42861,-0.553117,-0.596133,-0.786715,0.160323,-0.36643,0.444265,0.81753,2e-06,-4e-06,-5e-06,-0.228841,-0.53336,-0.195036,-0.068015
340,0.140103,-0.010407,0.386105,0.734667,-0.477289,-0.482188,0.618523,0.763218,0.186816,0.277941,-0.434894,0.85653,-6.7e-05,-0.000462,-0.000317,-0.001735,-0.004615,-0.001986,0.113159,-0.246561,-0.003118,0.361302,-0.15297,0.905711,0.395323,-0.988194,-0.137425,-0.06724,-0.006361,-0.402073,0.915511,-0.004922,0.019111,-0.053627,-0.111988,0.356852,0.46284,-1.409111,0.006581,0.046145,-0.013673,0.27427,-0.87979,0.388258,0.959079,0.279766,-0.043557,-0.0703,0.384317,0.920519,-0.002541,0.009058,-0.027198,-0.248113,0.682285,0.353442,-0.689021,0.084422,0.047304,-0.033129,-0.71426,0.427412,-0.554211,-0.595836,-0.786773,0.16114,-0.367165,0.445315,0.816629,-3.7e-05,-0.000261,-0.000179,0.009,0.014462,0.001881,-0.069157
341,0.140103,-0.010407,0.386105,0.734667,-0.477289,-0.482188,0.618523,0.763218,0.186816,0.277941,-0.434894,0.85653,-0.0,-0.0,-0.0,-0.0,-1e-06,-0.0,0.112268,-0.246702,-0.002398,0.359123,-0.141636,0.903838,0.403742,-0.989902,-0.129644,-0.056755,0.001243,-0.408833,0.912534,-0.005613,0.016184,-0.056012,-0.089635,0.37996,0.221743,-1.408763,0.006511,0.046509,-0.014759,0.262207,-0.879683,0.396741,0.961769,0.271888,-0.032786,-0.079027,0.39017,0.917344,-0.002714,0.013372,-0.032448,-0.150076,0.508863,0.308651,-0.695063,0.084422,0.047303,-0.03313,-0.714303,0.42752,-0.554073,-0.595827,-0.7868,0.16104,-0.367097,0.445163,0.816742,1e-06,4e-06,3e-06,9.4e-05,0.000445,0.000269,-0.070791
342,0.140094,-0.010399,0.386111,0.734669,-0.477288,-0.482185,0.618521,0.763219,0.186817,0.277939,-0.434893,0.856531,0.0,3e-06,2e-06,-0.0,-0.0,-0.0,0.111562,-0.246791,-0.001713,0.356974,-0.126914,0.902249,0.412107,-0.991822,-0.120386,-0.041597,0.012259,-0.415144,0.909598,-0.004857,0.019478,-0.053517,-0.205442,0.44115,0.338096,-1.408714,0.006465,0.046843,-0.01584,0.247654,-0.880512,0.404185,0.964637,0.26295,-0.018225,-0.090233,0.394406,0.914495,-0.002485,0.009341,-0.027071,-0.327958,0.251426,0.569028,-0.697675,0.084417,0.047307,-0.033127,-0.714303,0.427527,-0.554068,-0.595831,-0.786797,0.161039,-0.367091,0.445162,0.816746,-0.0,-4e-06,-3e-06,-8.6e-05,2.6e-05,0.000137,-0.071607
343,0.140095,-0.010392,0.386116,0.734655,-0.477299,-0.482197,0.618535,0.76321,0.186807,0.277946,-0.434896,0.856527,3e-05,0.000205,0.00014,-0.0,-0.0,-0.0,0.111753,-0.246842,-0.001362,0.355957,-0.119481,0.902302,0.414205,-0.992657,-0.115949,-0.03348,0.017986,-0.416292,0.908978,-0.00493,0.009118,-0.044536,-0.358063,0.339496,0.338508,-1.409173,0.006437,0.047027,-0.016368,0.239976,-0.88159,0.406459,0.965995,0.258366,-0.009946,-0.096247,0.395025,0.913614,-0.002405,0.004663,-0.022185,-0.441722,0.43996,0.380109,-0.69245,0.084418,0.047311,-0.033124,-0.714287,0.42754,-0.554078,-0.595847,-0.786788,0.161027,-0.367096,0.445166,0.816741,1.8e-05,0.000126,8.5e-05,-7.5e-05,1.7e-05,0.000114,-0.07177
344,0.140087,-0.010384,0.386134,0.734653,-0.477303,-0.482195,0.618545,0.763197,0.186827,0.277928,-0.434915,0.856524,9.5e-05,0.000653,0.000447,-0.0,-0.0,-0.0,0.111028,-0.24689,-0.000639,0.353924,-0.108644,0.902434,0.416895,-0.993814,-0.107838,-0.025282,0.022297,-0.41819,0.90801,-0.004791,0.009749,-0.044128,0.05374,0.004335,0.207646,-1.408732,0.006417,0.047378,-0.017347,0.228489,-0.882973,0.410061,0.968202,0.250166,-0.000812,-0.101866,0.397208,0.912057,0.004518,0.009535,-0.027214,0.103136,-0.028013,0.258769,-0.69196,0.084414,0.047313,-0.033116,-0.714284,0.427548,-0.554076,-0.595862,-0.786772,0.161047,-0.367077,0.445186,0.816738,1e-06,-0.004496,0.005123,-0.035683,0.012636,-0.018443,-0.072097
345,0.140081,-0.010354,0.386154,0.734611,-0.477336,-0.482226,0.618586,0.763171,0.186798,0.277947,-0.434924,0.856513,6e-05,0.000413,0.000283,-0.0,-0.0,-0.0,0.111434,-0.246873,-6e-06,0.351904,-0.096193,0.898538,0.428216,-0.994905,-0.099434,-0.014578,0.029619,-0.428558,0.902953,0.0082,0.005694,-0.047971,-0.107382,0.34835,0.221401,-1.408779,0.00642,0.047708,-0.018372,0.215792,-0.881209,0.420598,0.97022,0.242043,0.009333,-0.110027,0.406059,0.907198,-0.002534,0.009187,-0.027311,-0.133465,0.448095,0.259198,-0.698655,0.084411,0.04733,-0.033105,-0.71424,0.427584,-0.554105,-0.595905,-0.786747,0.161013,-0.367094,0.445196,0.816725,3.4e-05,0.000237,0.000163,-3.4e-05,1e-05,5e-05,-0.072423
346,0.140114,-0.010328,0.38616,0.735834,-0.476894,-0.480797,0.618161,0.762915,0.189231,0.275655,-0.435856,0.85678,4e-06,2.7e-05,1.9e-05,-0.0,-0.0,-0.0,0.117127,-0.246821,0.0006,0.349698,-0.076341,0.890053,0.44941,-0.996094,-0.087792,0.004921,0.043948,-0.44839,0.892681,-0.005783,0.015672,-0.056954,-0.377181,0.788256,0.709158,-1.408557,0.006452,0.048009,-0.01947,0.195942,-0.876348,0.440022,0.97252,0.231198,0.027388,-0.125734,0.422565,0.897568,0.003861,0.006709,-0.02962,-0.150471,0.476172,0.333771,-0.702247,0.084428,0.047344,-0.033102,-0.715552,0.427125,-0.552764,-0.595693,-0.786401,0.163466,-0.364874,0.446247,0.817147,-3e-06,-1.8e-05,-1.3e-05,0.000247,-0.000178,0.000252,-0.070464
347,0.140144,-0.01033,0.386145,0.735787,-0.476925,-0.480838,0.618198,0.762899,0.189178,0.275697,-0.435851,0.856769,-0.000209,-0.001442,-0.000987,-0.001002,0.011711,-0.026314,0.122161,-0.246773,0.000937,0.348568,-0.065623,0.885512,0.45995,-0.996582,-0.081004,0.014016,0.049769,-0.458564,0.88719,0.007917,0.024617,-0.067595,-0.200711,0.51259,0.608215,-1.408288,0.00647,0.048173,-0.020032,0.183334,-0.873029,0.451893,0.973845,0.224049,0.037759,-0.134211,0.433152,0.891272,0.003858,0.006688,-0.029679,-0.356432,0.816182,0.490596,-0.703391,0.084443,0.047345,-0.033107,-0.715502,0.427158,-0.552803,-0.595727,-0.786388,0.163407,-0.364917,0.446238,0.817132,-0.000107,-0.000741,-0.000507,-0.00099,0.011691,-0.026261,-0.065075
