frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.129633,-0.008894,0.392003,0.793509,-0.103058,-0.599806,0.387035,0.846051,0.366569,0.468706,-0.522889,0.711989,0.000113,0.000644,0.000427,0.0,0.0,0.0,0.157934,-0.252648,-0.005005,0.366286,0.519879,0.594147,0.613765,-0.819793,0.548826,0.163294,-0.240465,-0.588796,0.771595,-1e-05,-3.9e-05,-3e-05,0.0,0.0,0.0,0.187728,0.004028,0.045773,-0.011001,-0.396777,-0.648716,0.64941,0.899487,-0.415833,0.134181,0.183001,0.637377,0.748505,-5e-06,-1.7e-05,-1.4e-05,-6e-06,1e-05,4e-06,0.074363,0.079787,0.047848,-0.030677,-0.671557,0.035619,-0.740095,-0.367126,-0.883611,0.290601,-0.643606,0.466864,0.606472,9e-05,0.000509,0.000338,1.4e-05,1e-05,2e-06,-0.005311
2,0.129635,-0.008887,0.392008,0.793497,-0.10307,-0.599819,0.38705,0.846049,0.366556,0.468713,-0.52289,0.711984,5.9e-05,0.000336,0.000223,0.0,0.0,0.0,0.157336,-0.252658,-0.005004,0.366288,0.519858,0.594152,0.613777,-0.819804,0.548812,0.163282,-0.24047,-0.588804,0.771588,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.187688,0.004023,0.045774,-0.011,-0.396755,-0.648718,0.649422,0.899496,-0.415817,0.134167,0.183004,0.637385,0.748497,4e-06,5e-06,8e-06,-1.7e-05,5e-06,2.1e-05,0.074199,0.079788,0.047853,-0.030673,-0.671544,0.035632,-0.740106,-0.367138,-0.883611,0.290586,-0.643612,0.466863,0.606466,3.7e-05,0.000215,0.000143,9e-06,-1e-06,8e-06,-0.005801
3,0.129635,-0.008887,0.392008,0.793497,-0.10307,-0.599819,0.38705,0.846049,0.366556,0.468713,-0.52289,0.711984,0.0,0.0,0.0,0.0,0.0,0.0,0.157205,-0.252677,-0.004994,0.366296,0.519835,0.594158,0.613791,-0.819817,0.548796,0.163268,-0.240475,-0.588813,0.77158,4.1e-05,0.000165,0.000127,0.0,0.0,0.0,0.187759,0.004014,0.045779,-0.010996,-0.39673,-0.64872,0.649435,0.899506,-0.4158,0.134153,0.183008,0.637394,0.748489,2.9e-05,0.000106,8.3e-05,-3e-06,-4e-06,1.4e-05,0.074363,0.079788,0.047854,-0.030673,-0.671544,0.035632,-0.740106,-0.367138,-0.883611,0.290586,-0.643612,0.466863,0.606466,-1e-06,-5e-06,-3e-06,1.1e-05,4e-06,9e-06,-0.006291
4,0.129633,-0.008894,0.392003,0.793509,-0.103058,-0.599806,0.387035,0.846051,0.366569,0.468706,-0.522889,0.711989,-0.0,-3e-06,-2e-06,0.0,0.0,0.0,0.157979,-0.252687,-0.004993,0.366297,0.521753,0.594098,0.612219,-0.819271,0.548858,0.165785,-0.238167,-0.588816,0.772293,0.0,0.0,0.0,-0.0,-0.0,0.0,0.187776,0.004009,0.04578,-0.010995,-0.398713,-0.648989,0.64795,0.899086,-0.415878,0.136704,0.180749,0.63707,0.749313,-1e-06,-3e-06,-0.0,0.000797,0.000675,-0.000797,0.074363,0.079787,0.04785,-0.030676,-0.671557,0.035618,-0.740095,-0.367125,-0.883611,0.290601,-0.643606,0.466863,0.606472,1e-06,3e-06,1e-06,5e-06,1e-06,8e-06,-0.006127
5,0.129633,-0.008894,0.392003,0.793509,-0.103058,-0.599806,0.387035,0.846051,0.366569,0.468706,-0.522889,0.711989,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.158526,-0.252697,-0.004991,0.366299,0.521733,0.594104,0.612232,-0.819283,0.548844,0.165773,-0.238172,-0.588823,0.772286,0.0,0.0,0.0,-0.0,-0.0,0.0,0.187724,0.004004,0.04578,-0.010994,-0.398684,-0.64899,0.647967,0.899097,-0.415862,0.136682,0.18076,0.637079,0.749303,-1e-06,-3e-06,2e-06,0.000103,8.5e-05,-9.1e-05,0.074199,0.079787,0.04785,-0.030676,-0.671557,0.035618,-0.740095,-0.367125,-0.883611,0.290601,-0.643606,0.466864,0.606472,0.0,3e-06,2e-06,2e-06,9e-06,-5e-06,-0.005964
6,0.129643,-0.008895,0.392002,0.793495,-0.103071,-0.599822,0.387052,0.846049,0.366555,0.468715,-0.52289,0.711982,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.160531,-0.252699,-0.004998,0.366294,0.52159,0.594141,0.612317,-0.819365,0.548747,0.165688,-0.238203,-0.588875,0.772236,-0.0,-1e-06,-0.0,0.0,0.0,0.0,0.188037,0.004003,0.045777,-0.010997,-0.398533,-0.649003,0.648047,0.899159,-0.415757,0.13659,0.180783,0.637134,0.749251,1e-06,4e-06,6e-06,-8e-06,8e-06,1.5e-05,0.073873,0.079793,0.04785,-0.030676,-0.671541,0.035633,-0.740109,-0.36714,-0.88361,0.290584,-0.643614,0.466864,0.606464,1e-06,1e-06,2e-06,1.8e-05,2.2e-05,-1e-06,-0.004331
7,0.129642,-0.008902,0.391998,0.793507,-0.103059,-0.599809,0.387036,0.846051,0.366568,0.468708,-0.52289,0.711987,-7e-06,-4.1e-05,-2.7e-05,0.0,0.0,0.0,0.159233,-0.252702,-0.005012,0.366283,0.521554,0.59415,0.612339,-0.819385,0.548723,0.165667,-0.238211,-0.588889,0.772224,-0.000295,-0.001178,-0.000905,0.0,0.0,0.0,0.188915,0.004002,0.045773,-0.011,-0.398495,-0.649006,0.648067,0.899175,-0.415731,0.136568,0.180788,0.637148,0.749238,-0.000171,-0.000684,-0.000524,-0.001802,0.01315,-0.025572,0.074362,0.079792,0.047846,-0.030678,-0.671554,0.03562,-0.740098,-0.367128,-0.883611,0.2906,-0.643608,0.466864,0.60647,-2e-06,-1.7e-05,-1.2e-05,6e-06,-7e-06,-2e-06,-0.003515
8,0.129632,-0.008909,0.392006,0.793531,-0.103039,-0.59978,0.387021,0.84604,0.366609,0.468681,-0.522911,0.71199,-0.0,-1e-06,-0.0,0.0,0.0,0.0,0.158161,-0.252704,-0.005019,0.366278,0.521536,0.594155,0.612349,-0.819396,0.548711,0.165656,-0.238215,-0.588895,0.772217,-5.3e-05,-0.000212,-0.000163,0.0,0.0,0.0,0.19028,0.004,0.045766,-0.011005,-0.398476,-0.649008,0.648077,0.899183,-0.415717,0.136556,0.180791,0.637155,0.749231,-3e-05,-0.00012,-9.1e-05,7e-06,-2e-06,2e-06,0.075016,0.079787,0.047843,-0.030674,-0.671581,0.035598,-0.740074,-0.367121,-0.8836,0.290643,-0.643584,0.466887,0.606478,1e-06,5e-06,4e-06,-1.6e-05,-2.1e-05,-1.5e-05,-0.004005
9,0.129634,-0.008902,0.392023,0.793517,-0.103057,-0.599795,0.387053,0.846024,0.366611,0.468677,-0.522933,0.711976,1.4e-05,8.1e-05,5.4e-05,0.0,0.0,0.0,0.156773,-0.252714,-0.005059,0.366246,0.521427,0.594184,0.612414,-0.819458,0.548637,0.165592,-0.238239,-0.588935,0.772179,-0.000207,-0.000824,-0.000633,0.0,0.0,0.0,0.191934,0.003995,0.045746,-0.011021,-0.398362,-0.649018,0.648137,0.89923,-0.415638,0.136488,0.180807,0.637196,0.749191,-0.000105,-0.000421,-0.000322,-2e-06,1e-06,6e-06,0.076648,0.079788,0.047847,-0.030666,-0.671567,0.035617,-0.740086,-0.367154,-0.883587,0.290639,-0.643579,0.46691,0.606465,7e-06,3.9e-05,2.7e-05,-1e-06,3e-06,-8e-06,-0.006291
10,0.129616,-0.008892,0.392029,0.793533,-0.103044,-0.599777,0.387034,0.846027,0.366626,0.468666,-0.522932,0.711984,0.0,1e-06,1e-06,0.0,0.0,0.0,0.155243,-0.252719,-0.005122,0.366198,0.521285,0.594221,0.612499,-0.819539,0.548541,0.165508,-0.238271,-0.588987,0.77213,-0.000348,-0.001388,-0.001068,0.0,0.0,0.0,0.193662,0.003993,0.045715,-0.011045,-0.398213,-0.649031,0.648215,0.899292,-0.415533,0.136398,0.180828,0.637251,0.74914,-0.000179,-0.000714,-0.000551,-1e-06,2e-06,3e-06,0.078771,0.079779,0.047852,-0.030662,-0.671584,0.035602,-0.740071,-0.367138,-0.883587,0.290657,-0.64357,0.46691,0.606475,-2e-06,-1.1e-05,-7e-06,1.4e-05,4e-06,9e-06,-0.007924
