frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1308,0.025907,0.05113,-0.006713,2e-05,-0.00014,-8.1e-05,-0.047298,0.044077,0.042849,-0.495711,0.053919,0.040887,-0.050421,0.007892,0.004765,-0.00459,-0.076801,-0.356041,-0.125927,-0.693024
1309,0.025894,0.051096,-0.006726,0.00021,-0.001032,-0.000655,1.644283,0.339726,5.376448,-0.421251,0.054097,0.040808,-0.05041,-0.001492,-0.00638,0.003683,-0.024313,0.069182,-0.012318,-0.714089
1310,0.025886,0.051094,-0.006742,9e-05,-0.000659,-0.000381,-0.326523,0.285673,0.218068,-0.297477,0.05411,0.040682,-0.050392,-0.001655,-0.003294,-0.002278,-0.003313,-0.071617,0.153666,-0.708863
1311,0.025846,0.051121,-0.006831,-0.000513,0.003772,-0.004936,-0.186467,0.182253,0.173559,-0.088301,0.054077,0.040303,-0.050396,0.002331,-0.013155,-0.000794,-0.605596,0.393248,-0.337431,-0.716048
1312,0.025656,0.051308,-0.007089,-0.007048,0.008234,-0.009006,-0.03326,0.00196,0.238471,-0.014821,0.054129,0.039996,-0.050524,0.003884,-0.006669,-0.004414,-0.140449,-0.125973,0.155911,-0.763239
1313,0.025488,0.05153,-0.007307,-0.007837,0.014132,-0.012688,-0.258438,0.206586,0.445966,0.005754,0.054166,0.039943,-0.050619,-0.000544,0.002342,-0.006497,-0.54161,0.352499,-0.31536,-0.781038
1314,0.025071,0.052159,-0.007897,-0.014122,0.017077,-0.017581,-0.297824,0.386751,0.282355,0.05915,0.054162,0.039948,-0.050749,0.00029,0.003972,-0.005345,0.602339,0.533722,-1.744634,-0.795081
1315,0.02452,0.052898,-0.008694,-0.014478,0.020044,-0.022872,-0.305838,0.43616,0.332881,0.128385,0.054135,0.039982,-0.050831,-0.000719,-0.001552,-0.001027,3.780302,0.377531,-4.579595,-0.790182
1316,0.02383,0.053699,-0.009643,-0.014319,0.019222,-0.023249,-0.39528,0.607043,0.273415,0.177046,0.054071,0.039907,-0.050908,-0.001527,-0.003032,-0.002121,0.272138,-0.691871,-0.710135,-0.800306
1317,0.023462,0.054081,-0.010122,-0.019933,0.017286,-0.023881,-0.053216,0.228857,0.123356,0.203336,0.054027,0.039816,-0.050911,-0.002588,-0.008588,0.002131,-0.276846,-0.141678,-1.03247,-0.804225
1318,0.022718,0.054703,-0.011015,-0.019134,0.011368,-0.020227,0.133016,0.041547,-0.046767,0.249057,0.053957,0.039585,-0.050907,-0.002373,-0.008148,0.002432,-0.339994,-0.542175,-0.562657,-0.814186
1319,0.022061,0.055145,-0.011742,-0.01286,0.008469,-0.015289,0.111077,0.029109,-0.050912,0.279266,0.053887,0.039448,-0.050931,-0.001442,-0.006291,0.003737,-0.066023,-0.053564,-0.053997,-0.814839
1320,0.021602,0.055427,-0.012221,-0.006055,0.001281,-0.005857,-0.306319,0.309607,0.194083,0.294778,0.053882,0.039413,-0.050949,0.005954,-0.002596,-0.001583,-0.132618,-0.316191,-0.125192,-0.807001
1321,0.021439,0.055492,-0.012351,-0.006192,0.002465,-0.00515,-0.463477,0.427167,0.322934,0.299187,0.053911,0.039394,-0.050955,-0.000309,-0.000616,-0.000434,-0.293478,-0.664137,-0.341184,-0.809614
1322,0.021252,0.055511,-0.012436,-0.005764,-0.00078,-2e-06,0.013196,0.003334,-0.036612,0.308005,0.054028,0.039305,-0.051025,0.004898,-0.004704,-0.003075,-0.138046,0.105861,-0.152851,-0.81043
1323,0.021193,0.055489,-0.012397,0.000669,-0.005398,0.003863,-0.02907,0.003285,-0.023492,0.3147,0.054071,0.039087,-0.051174,0.003211,-0.008086,-0.005479,-0.052899,-0.046668,-0.224949,-0.812553
1324,0.0212,0.055469,-0.012377,-5e-06,4.9e-05,3.2e-05,0.000749,-0.000994,-0.001426,0.315516,0.054091,0.038907,-0.051267,0.001864,-0.01423,-0.001657,-0.032065,0.234493,-0.380523,-0.810757
1325,0.021301,0.055439,-0.012365,2.1e-05,-0.00019,-0.000117,0.010728,-0.008746,-0.00618,0.31421,0.054297,0.038509,-0.05153,0.008702,-0.011749,-0.007876,0.032662,0.049236,-0.119431,-0.815982
1326,0.021379,0.055442,-0.012385,3.4e-05,-0.000303,-0.000185,0.012275,-0.009175,-0.00494,0.311271,0.054635,0.038185,-0.051891,0.010404,-0.004965,-0.01128,-0.025577,-0.059873,-0.18677,-0.827086
1327,0.021407,0.055427,-0.012391,7.7e-05,-0.000699,-0.000423,-0.049127,0.044387,0.039549,0.308331,0.054904,0.038033,-0.052068,0.016515,-0.010804,-0.006981,0.002231,-0.035265,0.059485,-0.828719
1328,0.021492,0.055382,-0.012409,0.000133,-0.001195,-0.000721,0.014765,-0.011394,-0.006875,0.301147,0.055629,0.037731,-0.052414,0.024458,-0.00606,-0.011574,-0.131191,-0.49417,-0.13275,-0.828066
1329,0.02161,0.055342,-0.012447,0.00592,-0.000485,-0.000757,0.002349,-0.015618,0.02862,0.293472,0.056415,0.037411,-0.052648,0.018365,-0.007203,-0.004467,-1.31229,1.538427,-1.990378,-0.828719
1330,0.021711,0.055271,-0.012492,0.00033,-0.002922,-0.001766,-0.003616,0.014817,-0.022574,0.280735,0.057076,0.037086,-0.05275,0.012144,-0.004944,-0.003077,3.888079,-1.229978,-4.084325,-0.830678
