frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.161011,0.016142,0.421612,-0.314818,0.803377,-0.50549,-0.882045,-0.444263,-0.156839,-0.350188,0.395488,0.849108,-0.000171,-0.002141,-0.000984,0.0,0.0,0.0,0.146568,-0.194648,0.04811,0.376738,0.74485,0.666389,0.03339,-0.641699,0.701948,0.308911,0.181479,-0.252367,0.950389,-0.010949,0.014035,0.008028,-0.020438,-0.075243,0.005786,0.438322,-0.003949,0.042846,0.005107,-0.662933,-0.746392,0.058462,0.732165,-0.630021,0.258856,-0.156376,0.214408,0.964144,-0.005458,0.007386,0.004212,-0.044441,-0.054881,0.003476,0.417899,0.117662,0.032955,-0.031047,-0.397461,0.770871,-0.497776,-0.818645,-0.542946,-0.187158,-0.414541,0.333114,0.84687,-9.5e-05,-0.001212,-0.000554,-0.001032,0.010456,-0.026831,-0.00949
2,0.160999,0.016103,0.421594,-0.314802,0.803383,-0.505491,-0.88205,-0.444251,-0.156848,-0.35019,0.395491,0.849106,-1.9e-05,-0.000243,-0.000112,0.0,0.0,0.0,0.145427,-0.195039,0.048497,0.377315,0.744838,0.666623,0.028659,-0.63999,0.701807,0.312751,0.187436,-0.252139,0.949293,-0.010203,0.006955,0.018415,-0.034939,-0.001124,0.003342,0.436979,-0.00414,0.04304,0.00539,-0.66317,-0.746522,0.053942,0.730654,-0.630072,0.262968,-0.162324,0.213805,0.963295,-0.005358,0.008805,0.00491,0.002662,-0.009225,0.021141,0.409898,0.117656,0.032931,-0.031058,-0.397445,0.770879,-0.497776,-0.818651,-0.542934,-0.187167,-0.414543,0.333117,0.846868,-3e-06,-5.2e-05,-2.3e-05,-2e-06,-4e-06,-8e-06,-0.008837
3,0.160989,0.016095,0.421591,-0.314846,0.803371,-0.505481,-0.882037,-0.444284,-0.156826,-0.350183,0.395476,0.849116,-2e-06,-3e-05,-1.4e-05,0.0,0.0,0.0,0.14596,-0.195295,0.048676,0.377626,0.744544,0.666931,0.029127,-0.640299,0.701304,0.313247,0.18755,-0.252725,0.949114,-0.022001,0.005928,0.018689,-0.048868,0.11249,-0.198315,0.437057,-0.004259,0.043134,0.005542,-0.662944,-0.746697,0.054282,0.730816,-0.629694,0.26342,-0.162514,0.214303,0.963152,-0.005136,0.002936,0.008927,-0.034731,-0.000248,0.00445,0.408592,0.117651,0.032928,-0.031059,-0.397488,0.770862,-0.497768,-0.818635,-0.542966,-0.187145,-0.414535,0.333103,0.846878,3e-06,3.8e-05,1.8e-05,-2e-06,7e-06,3e-06,-0.008673
4,0.160981,0.016104,0.421595,-0.314849,0.803372,-0.505479,-0.882036,-0.444286,-0.156825,-0.350182,0.395474,0.849118,5.7e-05,0.000708,0.000325,-0.007227,0.071996,-0.185262,0.15032,-0.195794,0.048892,0.378196,0.742816,0.668965,0.026479,-0.641445,0.70001,0.313795,0.190447,-0.250929,0.949014,-0.010375,0.003407,0.016551,-0.027787,-0.007079,-0.000552,0.436067,-0.004517,0.043248,0.005836,-0.66105,-0.748571,0.051504,0.731954,-0.628228,0.263764,-0.16509,0.21206,0.96321,-0.00524,0.001021,0.007941,-0.049759,0.020672,-0.027962,0.407449,0.117647,0.032932,-0.031057,-0.397492,0.770862,-0.497766,-0.818634,-0.542968,-0.187144,-0.414533,0.3331,0.846879,3.4e-05,0.000418,0.000192,-0.007223,0.071998,-0.185256,-0.006551
5,0.16098,0.016096,0.421592,-0.314728,0.803406,-0.5055,-0.882072,-0.444192,-0.156889,-0.3502,0.395509,0.849094,-3e-05,-0.000369,-0.00017,0.0,0.0,0.0,0.159288,-0.196351,0.049023,0.378819,0.742333,0.669724,0.020065,-0.639374,0.699289,0.319576,0.199062,-0.250914,0.947248,-0.010389,0.002765,0.016199,-0.035029,-0.001057,0.003507,0.43138,-0.004795,0.043314,0.006147,-0.660867,-0.749145,0.045122,0.730086,-0.627797,0.269898,-0.173865,0.21131,0.96183,-0.01111,0.000764,0.008209,-0.034779,0.035787,-0.052068,0.405326,0.117647,0.032931,-0.031058,-0.397376,0.770911,-0.497782,-0.818679,-0.542879,-0.187207,-0.414556,0.333133,0.846855,-2e-05,-0.000239,-0.00011,-9e-06,-1e-05,4e-06,0.003737
6,0.160989,0.016088,0.421599,-0.31472,0.803408,-0.505501,-0.882084,-0.444176,-0.15687,-0.350178,0.395523,0.849096,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.163133,-0.196878,0.049012,0.37941,0.73965,0.672852,0.013423,-0.640598,0.69798,0.319986,0.205002,-0.246133,0.947236,-0.010624,-0.001114,0.014238,0.059839,-0.069275,-0.07501,0.430151,-0.005058,0.043314,0.006446,-0.658446,-0.751654,0.038266,0.731001,-0.626598,0.270205,-0.179123,0.205888,0.962041,-0.005339,-0.000811,0.007001,0.083083,-0.082934,-0.087588,0.400917,0.117651,0.032926,-0.031055,-0.397368,0.770914,-0.497784,-0.818692,-0.542864,-0.187189,-0.414536,0.333149,0.846859,-1e-06,6e-06,4e-06,-2.5e-05,-9e-06,-6e-06,0.012554
7,0.160989,0.016081,0.421606,-0.314736,0.803405,-0.505497,-0.882088,-0.444177,-0.15684,-0.350152,0.395529,0.849104,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.163808,-0.197092,0.04893,0.379732,0.738246,0.674407,0.012644,-0.642121,0.697095,0.318862,0.205299,-0.244376,0.947626,-0.010229,-0.012864,0.022333,-0.021686,-0.018343,-0.067273,0.427954,-0.005166,0.043276,0.006603,-0.656774,-0.753167,0.037231,0.732507,-0.625474,0.26873,-0.179111,0.203767,0.962495,-0.005373,-0.001338,0.006735,-0.0045,-0.019618,-0.059351,0.398794,0.117651,0.032922,-0.031051,-0.397383,0.770908,-0.49778,-0.818698,-0.542866,-0.187158,-0.414511,0.333158,0.846868,-3e-06,4e-06,3e-06,-1.6e-05,-2.6e-05,-1e-05,0.014187
8,0.16098,0.016096,0.421592,-0.314728,0.803406,-0.5055,-0.882072,-0.444192,-0.156889,-0.3502,0.395509,0.849094,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.165789,-0.197549,0.048671,0.380371,0.733141,0.680018,0.00853,-0.64777,0.69462,0.312781,0.205848,-0.235703,0.949702,-0.022432,-0.002609,0.014313,0.11812,-0.106494,-0.137648,0.415812,-0.005398,0.04314,0.006931,-0.651409,-0.75802,0.032723,0.737419,-0.622377,0.262409,-0.178545,0.195066,0.964401,-0.011234,-0.001402,0.007113,0.091628,-0.089853,-0.143671,0.387527,0.117647,0.03293,-0.031058,-0.397375,0.770911,-0.497782,-0.818679,-0.542878,-0.187207,-0.414556,0.333133,0.846855,-3e-06,4e-06,3e-06,-1.4e-05,-3.2e-05,-6e-06,0.017943
9,0.160988,0.016102,0.421572,-0.314694,0.803413,-0.50551,-0.882063,-0.444188,-0.15695,-0.350254,0.3955,0.849076,-4.8e-05,-0.000601,-0.000277,0.0,0.0,0.0,0.165119,-0.198055,0.048271,0.381008,0.727849,0.685716,0.004592,-0.653554,0.691823,0.306891,0.206346,-0.227245,0.951653,-0.010486,-0.016481,0.020566,0.019127,-0.053978,-0.089849,0.414546,-0.005647,0.042948,0.007241,-0.645558,-0.763186,0.02828,0.742684,-0.618726,0.256119,-0.177969,0.186343,0.966231,-0.005515,-0.003439,0.005695,0.026957,-0.037582,-0.112399,0.381159,0.117651,0.032934,-0.031067,-0.397342,0.770922,-0.497792,-0.818669,-0.542872,-0.187268,-0.414607,0.333118,0.846836,-3.5e-05,-0.000397,-0.000181,-1.1e-05,-4e-06,5e-06,0.018596
10,0.160997,0.016108,0.421553,-0.314659,0.803419,-0.505521,-0.882054,-0.444184,-0.157011,-0.350307,0.395491,0.849058,-1.9e-05,-0.000236,-0.000108,0.0,0.0,0.0,0.16467,-0.198337,0.048042,0.381303,0.725179,0.688549,0.002607,-0.656448,0.690387,0.303932,0.206559,-0.222994,0.952612,-0.022747,-0.007009,0.012139,0.267309,-0.224479,-0.246478,0.414083,-0.005784,0.04283,0.007393,-0.643337,-0.765103,0.027088,0.744603,-0.617089,0.254493,-0.177998,0.183895,0.966695,-0.005526,-0.003563,0.005634,0.463035,-0.395514,-0.21011,0.379853,0.117655,0.032936,-0.031077,-0.397309,0.770932,-0.497802,-0.818659,-0.542866,-0.187329,-0.414658,0.333103,0.846817,-1.2e-05,-0.000138,-6.3e-05,-1e-06,-3e-06,1.1e-05,0.01827
