frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.202739,0.014161,0.414953,-0.689919,0.438803,-0.575768,-0.617656,-0.771608,0.151963,-0.376733,0.459919,0.804098,0.034172,0.039766,-0.083985,-1.86133,0.787981,-2.032977,-1.914567,-0.245141,0.030105,0.371943,0.861268,0.370444,0.347822,-0.475136,0.829527,0.29337,-0.180927,-0.418403,0.889982,-0.006673,0.03798,-0.08343,-0.767397,-0.007622,1.000237,-1.404909,-0.003199,0.037623,0.008924,-0.882504,-0.270402,0.384797,0.390623,-0.877085,0.279526,0.261916,0.396994,0.879656,-0.003452,0.013493,-0.037473,-1.922433,-1.261018,1.929362,-0.958477,0.115504,0.031529,-0.033941,-0.736957,0.469075,-0.486684,-0.582514,-0.805976,0.105252,-0.342885,0.361067,0.867213,0.010985,0.019706,-0.041896,-0.125397,-0.886754,-0.384089,-0.951187
2,0.203233,0.014897,0.413247,-0.692839,0.426658,-0.581363,-0.612205,-0.774021,0.161455,-0.380245,0.467241,0.798202,0.021599,0.042572,-0.096731,-0.059213,-0.720726,-0.375497,-1.914642,-0.245218,0.030688,0.370422,0.864432,0.357361,0.353614,-0.466941,0.831137,0.301846,-0.187114,-0.426496,0.884846,-0.00741,0.024978,-0.0762,-0.276126,0.494757,0.557685,-1.405096,-0.003237,0.03792,0.008161,-0.88424,-0.256214,0.390477,0.382165,-0.877536,0.289617,0.268455,0.405318,0.873869,0.002566,0.01669,-0.043479,-0.405525,0.652867,0.693499,-0.954558,0.115764,0.031919,-0.034816,-0.741365,0.456183,-0.492212,-0.575618,-0.809317,0.116914,-0.345021,0.370003,0.862587,0.016997,0.02166,-0.048397,-0.096139,-0.774027,-0.384496,-0.947594
3,0.204253,0.016437,0.409269,-0.704385,0.391975,-0.591813,-0.595349,-0.780237,0.191731,-0.38573,0.486896,0.783691,0.02143,0.044608,-0.110198,-0.108137,-0.834446,-0.637034,-1.914803,-0.24527,0.031737,0.367043,0.872007,0.330541,0.361022,-0.450131,0.831011,0.326706,-0.193113,-0.447817,0.872944,-0.008797,0.018819,-0.080205,-0.417633,0.664963,0.639188,-1.404997,-0.003264,0.038438,0.006508,-0.888477,-0.230018,0.397113,0.366988,-0.875676,0.313862,0.275549,0.424595,0.862433,0.00165,0.007694,-0.041513,-0.261959,0.380347,0.726583,-0.937412,0.116265,0.032676,-0.036762,-0.752226,0.423422,-0.504844,-0.557331,-0.81758,0.144714,-0.351477,0.390223,0.850992,0.010777,0.022333,-0.055093,-0.015869,-0.627293,-0.526666,-0.947104
4,0.205095,0.018013,0.404945,-0.713681,0.35905,-0.601488,-0.579248,-0.785327,0.218414,-0.393061,0.503837,0.769206,0.021126,0.049738,-0.122137,0.001822,-0.540382,-0.716022,-1.914097,-0.245262,0.032413,0.363691,0.87536,0.312741,0.368688,-0.441173,0.828378,0.345096,-0.198582,-0.465133,0.862601,-0.009566,0.015476,-0.082628,-0.233187,0.418234,0.489396,-1.404987,-0.003259,0.038784,0.004797,-0.889504,-0.209937,0.405842,0.358211,-0.8718,0.334137,0.283666,0.442594,0.850672,0.001377,0.006448,-0.042465,-0.350287,0.534032,0.591958,-0.924186,0.116694,0.033472,-0.038959,-0.760825,0.389487,-0.51908,-0.5389,-0.824837,0.170966,-0.361568,0.409807,0.837451,0.010958,0.01966,-0.056393,-0.118185,-0.713539,-0.801634,-0.956902
5,0.205456,0.018811,0.402731,-0.717269,0.33733,-0.609737,-0.568211,-0.789638,0.231473,-0.402502,0.512064,0.758821,0.021905,0.037517,-0.113675,-0.201309,-0.770726,-1.059611,-1.913785,-0.245232,0.032664,0.362139,0.878596,0.29877,0.372554,-0.432188,0.829073,0.354662,-0.20401,-0.472996,0.85704,0.003172,0.015168,-0.083652,-0.236256,0.401672,0.520656,-1.404627,-0.003248,0.03891,0.003986,-0.891027,-0.195179,0.409847,0.34928,-0.871453,0.344344,0.289954,0.449971,0.84466,0.00162,0.00751,-0.041866,-0.224142,0.394155,0.52025,-0.920757,0.116874,0.033875,-0.040069,-0.764278,0.369725,-0.528375,-0.527267,-0.830002,0.181891,-0.371303,0.41761,0.829297,0.010744,0.023293,-0.061855,-0.219473,-0.991591,-0.95518,-0.956575
6,0.206066,0.020418,0.398038,-0.723828,0.28597,-0.627965,-0.543805,-0.796597,0.263971,-0.423853,0.5322,0.732897,0.009177,0.043477,-0.124846,-0.412998,-1.25825,-1.115401,-1.914413,-0.245224,0.033032,0.359337,0.877981,0.26597,0.397996,-0.418871,0.829088,0.370262,-0.232592,-0.492128,0.838793,-0.007369,0.015697,-0.067427,-0.437463,0.906509,0.57701,-1.40454,-0.003245,0.039073,0.002601,-0.885739,-0.164271,0.434144,0.337391,-0.870187,0.359083,0.3188,0.464531,0.826182,0.002494,0.001739,-0.030277,-0.269359,1.407552,0.50754,-0.915695,0.117184,0.034675,-0.042412,-0.770569,0.321268,-0.550463,-0.500868,-0.83934,0.211277,-0.39415,0.438513,0.807682,0.004997,0.016679,-0.05772,-0.346852,-0.945388,-1.174626,-0.951513
7,0.206382,0.021857,0.39341,-0.726094,0.238408,-0.644977,-0.53081,-0.790591,0.305253,-0.43624,0.563702,0.7014,-0.002617,0.034464,-0.114499,-0.398833,-0.936835,-1.268695,-1.914384,-0.245261,0.033352,0.357295,0.874244,0.220318,0.432607,-0.402862,0.826269,0.393593,-0.271826,-0.518655,0.810538,-0.005407,-0.004605,-0.034295,-0.555238,1.399451,0.757226,-1.404323,-0.003263,0.039232,0.001579,-0.87656,-0.120709,0.465908,0.322809,-0.865461,0.383107,0.356981,0.486216,0.797595,0.003705,0.002353,-0.022173,-0.904321,0.869919,1.226776,-0.915205,0.117347,0.03539,-0.044734,-0.771867,0.274244,-0.573594,-0.485497,-0.836752,0.253254,-0.410503,0.473957,0.779006,-0.001225,0.017508,-0.057107,-0.627807,-1.419423,-1.20936,-0.946288
8,0.206255,0.023098,0.389177,-0.724053,0.187691,-0.663751,-0.516506,-0.785314,0.341285,-0.456301,0.589702,0.666384,-0.002134,0.027202,-0.103754,-0.529609,-1.036014,-1.301974,-1.914451,-0.245142,0.033394,0.356008,0.868379,0.174299,0.46425,-0.389768,0.818486,0.422013,-0.307509,-0.547635,0.778073,-0.003662,-0.006557,-0.020063,-0.78352,0.592577,1.230119,-1.404195,-0.003209,0.039256,0.000926,-0.862722,-0.0747,0.500128,0.312599,-0.856196,0.41135,0.39748,0.511221,0.762011,0.004793,0.002282,-0.014437,-0.318139,1.025622,0.727995,-0.914878,0.117284,0.036008,-0.046857,-0.769511,0.226369,-0.597167,-0.46911,-0.834849,0.288029,-0.433344,0.501779,0.748618,-0.007498,0.018097,-0.056596,-0.261146,-0.691456,-1.148534,-0.955269
9,0.206013,0.023726,0.387014,-0.718707,0.166496,-0.675118,-0.512873,-0.782549,0.352917,-0.468665,0.599683,0.64866,-0.027053,0.026854,-0.103114,-0.36021,-0.751148,-1.044202,-1.914526,-0.244996,0.033441,0.355607,0.862285,0.147436,0.484478,-0.383402,0.814876,0.434642,-0.331783,-0.560719,0.758537,0.010552,-0.000684,-0.016753,-0.73045,1.291473,0.922847,-1.40395,-0.003143,0.039271,0.00072,-0.854256,-0.049124,0.517525,0.30628,-0.851954,0.424695,0.420045,0.521307,0.742832,0.005402,0.000204,-0.008014,-0.897094,0.805765,1.260233,-0.90949,0.117173,0.036312,-0.047901,-0.763918,0.20644,-0.611401,-0.465042,-0.832982,0.299792,-0.447397,0.513344,0.732333,-0.007568,0.019246,-0.055983,-0.502901,-1.256057,-0.952968,-0.954289
10,0.205313,0.024694,0.383112,-0.70824,0.123685,-0.695085,-0.503368,-0.778807,0.374235,-0.494174,0.614775,0.614712,-0.027097,0.025987,-0.103781,-0.295193,-0.886685,-0.498281,-1.914445,-0.244692,0.033436,0.35528,0.842667,0.102359,0.528608,-0.380791,0.807209,0.450939,-0.381587,-0.581406,0.718485,0.011883,-0.004498,-0.003658,-0.7576,1.418072,0.459489,-1.404122,-0.002981,0.039279,0.000546,-0.826803,-0.004544,0.562472,0.304867,-0.843974,0.441319,0.472707,0.536364,0.699185,0.006041,-0.001826,-0.001551,-0.650993,1.383977,0.394047,-0.905734,0.116812,0.036821,-0.049927,-0.75362,0.164255,-0.636455,-0.453249,-0.831116,0.322196,-0.476046,0.531287,0.700794,-0.01347,0.012971,-0.051891,-0.303155,-0.889801,-0.504998,-0.952819
