frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
3328,0.179599,0.058064,0.374139,-0.591903,0.14396,-0.793077,-0.537181,-0.804009,0.254907,-0.600214,0.576724,0.554219,0.069487,-0.052171,-0.000558,-0.084969,0.168673,-0.284667,-1.913845,-0.097942,0.047112,0.36255,0.641232,0.221115,0.734793,-0.573628,0.774054,0.267815,-0.510338,-0.593504,0.622231,-0.002041,0.010892,-0.008274,0.040113,-0.009342,0.018142,-1.403917,0.070328,0.046226,0.004094,-0.623764,-0.13927,0.769104,0.489559,-0.836685,0.245538,0.609302,0.52968,0.590075,-5e-06,1.8e-05,1.1e-05,-0.010533,0.012712,0.008443,-0.749138,0.104171,0.053587,-0.054305,-0.629741,0.20389,-0.749569,-0.499817,-0.84502,0.190061,-0.594651,0.494336,0.634052,0.04052,-0.026389,-0.000676,-0.054169,0.205979,-0.230672,-0.795407
3329,0.181123,0.056927,0.374112,-0.59456,0.140058,-0.791787,-0.535824,-0.803215,0.260209,-0.598798,0.578791,0.553596,0.081424,-0.05767,-0.003766,-0.079059,0.067082,-0.10893,-1.914035,-0.098025,0.047102,0.362541,0.64323,0.220901,0.733109,-0.572949,0.773914,0.269666,-0.508582,-0.593766,0.623417,0.0,-0.0,-0.0,-0.253763,-0.571205,0.544855,-1.403503,0.070286,0.046225,0.004086,-0.625119,-0.138814,0.768086,0.489187,-0.836485,0.246957,0.608212,0.530115,0.590809,-0.006013,-0.001313,-0.000263,-0.849697,-1.885103,1.790021,-0.749465,0.104928,0.053023,-0.054316,-0.632381,0.199888,-0.748423,-0.498199,-0.844773,0.195332,-0.593203,0.496388,0.633803,0.04084,-0.034327,0.002229,-0.095457,0.097367,-0.087202,-0.799163
3330,0.184241,0.054221,0.374198,-0.596952,0.124125,-0.792645,-0.519122,-0.813027,0.263575,-0.610989,0.568663,0.550764,0.071032,-0.073024,0.002534,-0.101554,0.003379,0.018584,-1.913915,-0.098185,0.047022,0.362495,0.642778,0.22114,0.733433,-0.573297,0.773789,0.269285,-0.50876,-0.593841,0.6232,-0.011427,-0.005038,-0.002023,-0.002045,0.015205,-0.029245,-1.403081,0.070209,0.04619,0.004066,-0.625351,-0.138897,0.767882,0.489315,-0.836335,0.247211,0.60787,0.53033,0.590967,0.00036,-0.00146,-0.000904,-0.002105,0.014834,-0.024837,-0.747995,0.106517,0.051642,-0.054277,-0.634469,0.184269,-0.750661,-0.481025,-0.85432,0.196854,-0.605031,0.485985,0.630678,0.035507,-0.036878,0.001022,-0.101647,0.010596,0.021305,-0.798837
3331,0.187304,0.05103,0.374397,-0.596753,0.112603,-0.794514,-0.505724,-0.8215,0.263351,-0.622303,0.558816,0.548171,0.072527,-0.088115,0.008522,-0.099027,-0.097515,0.148172,-1.913297,-0.09817,0.046926,0.362414,0.645023,0.220789,0.731566,-0.572398,0.773742,0.271323,-0.506928,-0.594032,0.62451,0.000556,-0.00226,-0.001406,-0.002057,-0.004626,0.004414,-1.279903,0.070213,0.046138,0.004023,-0.627665,-0.138283,0.766103,0.488534,-0.836164,0.249324,0.606111,0.530759,0.592387,0.000342,-0.001389,-0.000863,-0.005113,-0.0115,0.010809,-0.727747,0.108021,0.050077,-0.054182,-0.634128,0.173002,-0.753625,-0.46729,-0.862273,0.195253,-0.616052,0.475977,0.627634,0.036047,-0.039151,-0.000292,0.019877,-0.123543,0.089207,-0.800959
3332,0.188711,0.049398,0.374478,-0.601937,0.104468,-0.791709,-0.497152,-0.82487,0.269074,-0.624205,0.555432,0.549446,0.0731,-0.088587,0.00811,-0.402906,0.372109,-0.463913,-1.913317,-0.098112,0.046925,0.362397,0.645207,0.220687,0.731435,-0.572235,0.773816,0.271458,-0.506879,-0.593973,0.624606,0.012125,0.002223,0.000273,0.002045,-0.015205,0.029245,-1.162976,0.070238,0.046132,0.004012,-0.62778,-0.138184,0.766026,0.488399,-0.836217,0.249411,0.6061,0.530702,0.59245,3.9e-05,-0.000154,-9.5e-05,0.000363,0.000809,-0.000802,-0.670432,0.108725,0.049259,-0.054143,-0.638342,0.164755,-0.751913,-0.45859,-0.865945,0.199583,-0.618234,0.472223,0.628324,0.036342,-0.039401,-0.000522,-0.991076,1.442246,-1.948477,-0.801286
3333,0.191286,0.046141,0.374514,-0.627661,0.079983,-0.774397,-0.472681,-0.829528,0.297369,-0.617824,0.552586,0.559437,0.061848,-0.081828,-0.002536,-0.39368,0.500927,-0.684657,-1.912991,-0.098119,0.046915,0.362392,0.649008,0.220335,0.728171,-0.571013,0.773447,0.275059,-0.503391,-0.594585,0.62684,-0.011662,-0.004102,-0.001442,-0.004162,0.029836,-0.053981,-0.968483,0.070242,0.046135,0.004013,-0.63174,-0.137349,0.762914,0.487374,-0.8357,0.253122,0.602802,0.531732,0.594886,-1e-05,4.1e-05,2.6e-05,0.000836,0.001891,-0.001877,-0.562987,0.11004,0.047598,-0.054121,-0.663019,0.137424,-0.735879,-0.432692,-0.872518,0.226911,-0.610886,0.468856,0.637959,0.030924,-0.041141,-0.001439,-0.420355,0.536544,-0.725435,-0.79851
3334,0.193193,0.042998,0.374469,-0.638433,0.06005,-0.767361,-0.450274,-0.837703,0.308998,-0.623476,0.542718,0.562815,0.037979,-0.064679,-0.00731,-0.078216,0.131421,-0.22379,-1.913457,-0.098181,0.046817,0.362338,0.651161,0.222414,0.725612,-0.570426,0.773964,0.274822,-0.501271,-0.593139,0.629902,0.000861,-0.0035,-0.00218,0.105637,-0.115647,-0.111147,-0.889156,0.070206,0.046088,0.003988,-0.634167,-0.138936,0.76061,0.486747,-0.836068,0.253111,0.600757,0.530741,0.597833,0.000317,-0.001282,-0.000796,0.157419,-0.18891,-0.125829,-0.561354,0.110964,0.046063,-0.05415,-0.672524,0.116708,-0.730814,-0.409701,-0.881077,0.236319,-0.616324,0.458346,0.640361,0.019236,-0.03817,0.000361,-0.109168,0.044364,-0.068217,-0.794264
3335,0.193862,0.041592,0.374529,-0.642117,0.050495,-0.764972,-0.439299,-0.841996,0.313098,-0.6275,0.53703,0.563799,0.026524,-0.070896,0.004001,-0.080762,0.141699,-0.298623,-1.913253,-0.098144,0.046787,0.362306,0.65113,0.22242,0.725638,-0.570435,0.77397,0.274787,-0.501302,-0.593128,0.629888,0.000385,-0.001563,-0.000974,0.001339,-0.001619,-0.001074,-0.887681,0.070226,0.046068,0.003969,-0.63421,-0.139334,0.760501,0.486746,-0.836189,0.252715,0.600712,0.530446,0.59814,0.000276,-0.001114,-0.000693,-0.009213,0.010919,0.007051,-0.582419,0.111308,0.045356,-0.054128,-0.675748,0.106974,-0.729328,-0.39859,-0.885317,0.239453,-0.620072,0.452513,0.64089,0.019298,-0.035405,0.001787,0.276184,-0.115006,-0.350008,-0.796877
3336,0.194751,0.038826,0.374913,-0.647804,0.028587,-0.761301,-0.414349,-0.851794,0.320522,-0.638508,0.52304,0.564592,0.014534,-0.0663,0.006748,-0.099633,0.067563,-0.137857,-1.913327,-0.098096,0.046782,0.362309,0.651333,0.224686,0.724757,-0.570521,0.774634,0.272731,-0.500941,-0.591407,0.63179,-6e-05,0.000243,0.000151,0.015325,-0.018533,-0.012292,-0.98873,0.070251,0.046063,0.003969,-0.634763,-0.141691,0.759604,0.486633,-0.836908,0.250543,0.600219,0.528684,0.60019,-0.006073,-0.001076,-0.000114,-0.00126,0.013664,-0.030468,-0.677127,0.111767,0.043948,-0.053934,-0.680819,0.084312,-0.727582,-0.372761,-0.894973,0.245094,-0.630502,0.438079,0.640743,0.007503,-0.03763,0.008159,-0.111698,0.054506,-0.148031,-0.79949
3337,0.194906,0.036185,0.375563,-0.657296,0.004469,-0.753649,-0.391751,-0.856305,0.336518,-0.643037,0.516425,0.56554,0.002616,-0.065514,0.022139,0.191428,-0.196266,-0.462935,-1.914278,-0.098096,0.046821,0.362322,0.651537,0.224579,0.724607,-0.570341,0.774715,0.272876,-0.50088,-0.591342,0.6319,-0.000143,0.00058,0.000362,4e-06,-5e-06,-3e-06,-1.033033,0.07025,0.046084,0.003976,-0.634894,-0.14131,0.759565,0.486476,-0.836882,0.250934,0.600208,0.528827,0.600075,-9.3e-05,0.000373,0.000233,-0.000705,0.000839,0.000577,-0.734932,0.11185,0.042593,-0.053612,-0.689237,0.05919,-0.722113,-0.349582,-0.90014,0.259883,-0.634621,0.431559,0.641103,0.001293,-0.032205,0.011366,0.203087,-0.198078,-0.454986,-0.802102
