frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
674,0.044066,0.044934,-0.021826,4.4e-05,-0.000611,-0.000512,-0.013285,0.003951,0.007241,-0.754527,0.066215,0.034229,-0.062307,-0.006753,2.8e-05,1e-06,-0.001689,0.029731,-0.052396,-0.099953
675,0.044019,0.044912,-0.021833,2e-06,-2.1e-05,-1.7e-05,3.2e-05,0.000983,0.000553,-0.757956,0.06568,0.034301,-0.062264,-0.01294,0.00225,0.001557,0.00194,0.033649,-0.07463,-0.02092
676,0.044029,0.044913,-0.021833,-2e-06,1.4e-05,1.2e-05,0.000386,0.000555,0.000234,-0.758936,0.065428,0.034338,-0.062226,-0.012912,0.002363,0.001633,0.00129,0.03248,-0.072348,0.026271
677,0.044089,0.0449,-0.021819,0.006443,0.000595,-0.000142,0.002358,-0.014864,0.029352,-0.757629,0.064921,0.034409,-0.062197,-0.013499,0.000339,0.000156,-0.644225,-0.457848,2.543891,0.153801
678,0.044201,0.044852,-0.021794,5.2e-05,-0.000716,-0.000607,0.000195,0.000254,3.9e-05,-0.760405,0.064433,0.034438,-0.062197,-0.013463,0.000409,0.000194,-0.060499,-0.01741,0.180748,0.236752
679,0.044245,0.044802,-0.021783,7.1e-05,-0.000999,-0.000844,0.318713,-0.385201,-0.345131,-0.761059,0.064245,0.034432,-0.062222,-0.013899,-0.00114,-0.000943,-0.017413,0.032404,-0.022333,0.261409
680,0.044348,0.044694,-0.021776,0.006549,-0.000771,-0.001303,-0.015694,0.010033,0.019657,-0.759915,0.063851,0.034377,-0.062357,-0.007647,-0.003038,-0.002275,0.000181,0.030614,-0.061496,0.293741
681,0.04444,0.044592,-0.021781,0.000124,-0.001655,-0.001403,0.040816,-0.056993,-0.078,-0.765957,0.063539,0.034372,-0.062481,-0.013786,-0.000628,-0.000582,-0.211127,-0.138727,0.804157,0.325746
682,0.044416,0.044477,-0.021836,-0.006269,-0.003064,-0.001947,-0.002754,0.017076,-0.027781,-0.773795,0.063221,0.034371,-0.062608,-0.00743,-0.002181,-0.001669,0.001035,0.016282,-0.03781,0.355791
683,0.044375,0.044426,-0.021895,0.000214,-0.002834,-0.002406,-0.028043,-0.032367,-0.010519,-0.776081,0.063075,0.034372,-0.062676,-0.006934,0.003307,-0.005872,0.034992,0.012672,-0.046439,0.362976
684,0.044291,0.044413,-0.021999,-0.006395,-0.001433,-0.000569,0.012686,0.010213,-0.037508,-0.775428,0.062963,0.034377,-0.062797,-0.000843,-0.002268,-0.001968,-0.477509,5.349694,0.841911,0.38747
685,0.044177,0.044466,-0.022077,-0.006421,-0.001119,-0.000301,0.752525,-1.376516,2.234438,-0.784572,0.062991,0.034349,-0.062861,0.006231,-0.002102,-0.001463,0.003152,0.004638,0.002233,0.41278
686,0.043995,0.044576,-0.02212,-9.7e-05,0.001325,0.001127,0.753121,-1.393794,2.26282,-0.791757,0.063078,0.034324,-0.06286,0.006783,-0.000154,-3.1e-05,0.016306,-0.013849,0.029713,0.421761
687,0.043884,0.044669,-0.022126,-0.007259,0.00787,-0.001163,0.036677,-0.012247,0.00991,-0.796003,0.063172,0.034322,-0.062841,0.007024,0.000705,0.000601,0.004557,-0.02845,0.053093,0.42274
688,0.04361,0.044888,-0.022112,-0.01306,0.001194,0.002299,-0.018411,0.152396,-0.215049,-0.796983,0.063497,0.034309,-0.062761,0.01338,-0.004647,0.004964,-0.029614,-0.110393,0.213453,0.427639
689,0.043244,0.04511,-0.022093,-0.007263,0.008429,-0.000698,0.037039,-0.013188,0.01114,-0.797309,0.063952,0.034328,-0.062619,0.014502,0.003188,0.002468,0.002559,-0.044127,0.083653,0.429109
690,0.043035,0.045228,-0.022075,-0.007284,0.008898,-0.000308,0.036966,-0.01326,0.011159,-0.796329,0.064236,0.034377,-0.062544,0.014801,0.004339,0.003293,0.002931,-0.058692,0.10878,0.429109
691,0.04256,0.04545,-0.021989,-0.013194,0.004131,0.004738,-0.015391,0.016174,-0.031718,-0.800575,0.064932,0.03452,-0.062434,0.020988,0.002352,0.001863,0.020092,-0.061126,0.116015,0.428619
692,0.042112,0.045709,-0.02178,-0.013338,0.00705,0.007142,0.091782,-0.144441,-0.138039,-0.803514,0.065602,0.034643,-0.062488,0.013602,0.000233,0.000247,0.000998,-0.046014,0.091791,0.416372
693,0.04187,0.045872,-0.021616,-0.013435,0.009084,0.008806,-0.008577,-0.014217,0.017393,-0.806617,0.06589,0.034721,-0.062534,0.013662,0.000506,0.00044,-0.001957,0.070259,-0.10877,0.410167
694,0.041374,0.046199,-0.021242,-0.013445,0.010296,0.009732,0.002407,-0.021498,0.009673,-0.80629,0.066376,0.034882,-0.062642,0.013499,0.003736,-0.005397,0.036627,-0.047156,0.075109,0.417352
695,0.040859,0.046582,-0.02083,-0.013466,0.011953,0.010995,0.000736,-0.018887,0.004372,-0.80629,0.066597,0.034951,-0.062799,-1.2e-05,0.003719,-0.005484,0.034226,-0.003133,-0.008881,0.42519
696,0.040291,0.04701,-0.020368,-0.013412,0.012486,0.01131,0.727282,-1.471166,2.247343,-0.805474,0.06672,0.034954,-0.062955,0.005571,-0.004512,-0.003241,0.000586,-2.9e-05,0.004756,0.432048
697,0.039993,0.04724,-0.020143,-0.019721,0.01218,0.011579,-0.007031,-0.001751,-0.015712,-0.80727,0.066738,0.034922,-0.063059,-0.001189,-0.00456,-0.003321,-0.218861,-0.118853,-0.105859,0.43515
698,0.039341,0.047699,-0.019717,-0.019566,0.011202,0.010672,0.257578,-0.407328,-0.355068,-0.807433,0.066741,0.03484,-0.063253,0.005553,-0.004619,-0.003327,-0.455644,-0.339075,-0.153661,0.433354
