frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
146,0.171214,-0.013298,0.365191,-0.596153,0.345089,-0.724956,-0.48976,-0.871755,-0.012296,-0.635491,0.34729,0.689615,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.519995,-0.198946,-0.035777,0.307979,-0.579508,-0.625995,0.521816,0.810733,-0.378493,0.446529,-0.081299,0.682599,0.726163,-1.1e-05,-0.000109,-0.000128,-2e-06,-1e-06,-2e-06,-0.083138,0.028652,0.025636,-0.015902,0.583926,0.618196,0.526177,-0.808738,0.386686,0.443187,0.070511,-0.684329,0.725755,9e-06,5.6e-05,6.7e-05,0.000129,0.000211,2e-05,-0.217138,0.083844,0.035895,-0.035428,0.602164,-0.334762,-0.724797,0.48185,0.876242,-0.004387,0.636566,-0.346603,0.688947,-0.0,3e-06,0.0,-2.7e-05,-7e-06,4.3e-05,0.517122
147,0.171224,-0.013298,0.365191,-0.596135,0.345104,-0.724963,-0.489773,-0.871747,-0.012312,-0.635498,0.347293,0.689607,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.52006,-0.198956,-0.035765,0.307993,-0.571672,-0.632802,0.522249,0.815441,-0.368526,0.446293,-0.089241,0.681783,0.725996,-0.015213,0.000725,0.00179,-0.002234,0.015043,-0.029509,-0.10711,0.028653,0.025643,-0.015894,0.57617,0.625105,0.526564,-0.813552,0.376765,0.442922,0.078482,-0.683586,0.725637,4.7e-05,0.000415,0.000491,-0.000316,-0.000133,-0.000749,-0.252735,0.083849,0.035895,-0.035428,0.602147,-0.334778,-0.724805,0.481863,0.876235,-0.004403,0.636573,-0.346606,0.688939,0.006919,-0.000136,-0.000299,0.000958,-0.014725,0.029597,0.517122
148,0.171224,-0.013291,0.365196,-0.59612,0.345118,-0.724969,-0.489784,-0.871741,-0.012327,-0.635504,0.347296,0.6896,0.0,1e-06,1e-06,0.0,0.0,0.0,0.520384,-0.198939,-0.035709,0.308059,-0.571142,-0.632784,0.522851,0.815834,-0.368054,0.445966,-0.089051,0.682055,0.725764,0.000243,0.002323,0.002735,0.001722,-0.014394,0.024905,-0.11553,0.028656,0.025671,-0.015861,0.575628,0.625083,0.527183,-0.813956,0.376295,0.44258,0.078272,-0.683866,0.725396,0.000127,0.001208,0.001423,0.001876,-0.014253,0.025124,-0.28523,0.083849,0.035898,-0.035425,0.602131,-0.334791,-0.724811,0.481875,0.876228,-0.004418,0.636579,-0.346608,0.688932,-1e-06,-5e-06,-4e-06,-2.5e-05,3e-06,4e-05,0.517286
149,0.171223,-0.013297,0.365179,-0.596138,0.3451,-0.724962,-0.489753,-0.871758,-0.012327,-0.63551,0.34727,0.689607,-5e-06,-8.9e-05,-6.9e-05,0.0,0.0,0.0,0.519939,-0.198932,-0.03566,0.308132,-0.569008,-0.632043,0.526064,0.817558,-0.366761,0.443868,-0.086896,0.683438,0.724725,4.2e-05,0.000399,0.000469,0.074668,0.17438,-0.160915,-0.201562,0.02866,0.0257,-0.015818,0.573569,0.624402,0.530226,-0.815602,0.375072,0.440582,0.076228,-0.685158,0.724394,1.8e-05,0.000182,0.000216,0.26355,0.74284,-0.765747,-0.319358,0.083849,0.035895,-0.035434,0.602149,-0.334774,-0.724804,0.481844,0.876245,-0.004418,0.636585,-0.346583,0.68894,-3e-06,-4.6e-05,-3.6e-05,-2.4e-05,-3e-06,3.6e-05,0.517286
150,0.171224,-0.01329,0.365184,-0.596123,0.345114,-0.724969,-0.489764,-0.871752,-0.012341,-0.635516,0.347272,0.6896,6.4e-05,0.001184,0.000911,0.0,0.0,0.0,0.520415,-0.199143,-0.035659,0.308083,-0.558308,-0.62694,0.543351,0.82624,-0.361924,0.431594,-0.073237,0.690679,0.719349,-0.000184,-0.001751,-0.002061,0.073223,0.189126,-0.186254,-0.473284,0.028554,0.025703,-0.01584,0.562647,0.619339,0.547582,-0.824339,0.370331,0.428157,0.062388,-0.692295,0.718911,-0.007931,0.005169,-0.004104,0.304367,0.633683,-0.593904,-0.512857,0.083849,0.035895,-0.035434,0.602134,-0.334788,-0.72481,0.481856,0.876239,-0.004432,0.636591,-0.346585,0.688933,3.4e-05,0.000703,0.000541,0.000829,-0.012702,0.025882,0.517449
151,0.171224,-0.01329,0.365184,-0.596123,0.345114,-0.724969,-0.489764,-0.871752,-0.012341,-0.635516,0.347272,0.6896,1e-06,1.7e-05,1.3e-05,0.0,0.0,0.0,0.520659,-0.199291,-0.035565,0.307946,-0.549139,-0.621775,0.558422,0.833431,-0.358993,0.420061,-0.060032,0.696849,0.714606,-0.000794,0.008272,-0.011583,0.302175,0.500276,-0.386295,-0.644521,0.02848,0.02575,-0.015909,0.55328,0.614226,0.562678,-0.831548,0.367471,0.416523,0.049071,-0.698349,0.714073,-0.000401,0.004074,-0.00586,0.320072,0.543215,-0.425444,-0.659492,0.083849,0.035899,-0.035432,0.602134,-0.334788,-0.72481,0.481856,0.876239,-0.004432,0.636591,-0.346586,0.688933,-1e-06,6e-06,6e-06,-2e-05,1.3e-05,3.5e-05,0.517286
152,0.171223,-0.013297,0.365179,-0.596138,0.3451,-0.724962,-0.489753,-0.871758,-0.012327,-0.63551,0.34727,0.689607,-6.4e-05,-0.001184,-0.000911,0.0,0.0,0.0,0.520014,-0.199397,-0.035227,0.307405,-0.538471,-0.612496,0.578697,0.841493,-0.356533,0.405842,-0.041583,0.706263,0.706631,-0.001062,0.005751,-0.01456,0.043866,-0.087876,0.162955,-1.155117,0.028428,0.025918,-0.016173,0.542293,0.604848,0.583159,-0.839633,0.364912,0.40231,0.030535,-0.707811,0.705741,-0.000768,0.008468,-0.011352,0.086038,-0.018795,0.005173,-0.872096,0.083849,0.035898,-0.035432,0.602149,-0.334775,-0.724804,0.481845,0.876245,-0.004418,0.636585,-0.346583,0.68894,-3.7e-05,-0.000699,-0.000538,-0.000885,0.012705,-0.025822,0.517449
153,0.171223,-0.013297,0.365179,-0.596138,0.3451,-0.724962,-0.489753,-0.871758,-0.012327,-0.63551,0.34727,0.689607,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.520258,-0.199265,-0.03468,0.306485,-0.541161,-0.61156,0.577175,0.83975,-0.358378,0.407822,-0.041889,0.706139,0.706737,-0.001604,0.016425,-0.023326,-0.025798,-0.160567,0.186564,-1.403931,0.028488,0.026177,-0.016625,0.544722,0.60368,0.582106,-0.838059,0.366564,0.404088,0.03056,-0.707955,0.705595,0.006798,0.007773,-0.012647,-0.760727,-1.852831,1.662863,-0.815434,0.083849,0.035895,-0.035434,0.602149,-0.334775,-0.724804,0.481845,0.876245,-0.004418,0.636585,-0.346583,0.68894,-1e-06,5e-06,4e-06,-2.6e-05,-0.0,2.8e-05,0.517286
154,0.171213,-0.01329,0.365185,-0.596141,0.345098,-0.724961,-0.489752,-0.871759,-0.012325,-0.635509,0.347269,0.689608,1.5e-05,0.000274,0.000211,0.0,0.0,0.0,0.519952,-0.199078,-0.034289,0.306004,-0.551614,-0.614465,0.564044,0.832314,-0.362542,0.419226,-0.052425,0.701475,0.710667,-0.001443,0.017982,-0.021486,-0.273567,-0.507576,0.644689,-1.405678,0.028581,0.026369,-0.01687,0.554113,0.60639,0.570305,-0.831485,0.370363,0.41408,0.039874,-0.703648,0.709427,0.006662,0.014372,-0.015537,-0.07811,0.094326,0.200901,-0.838295,0.083844,0.035898,-0.035432,0.602152,-0.334773,-0.724803,0.481843,0.876246,-0.004416,0.636584,-0.346583,0.688941,6e-06,0.000152,0.000118,-2.7e-05,-5e-06,2.2e-05,0.517449
155,0.171193,-0.01329,0.365186,-0.596177,0.345068,-0.724946,-0.489726,-0.871774,-0.012291,-0.635495,0.347263,0.689624,0.0,0.0,0.0,0.0,0.0,0.0,0.519328,-0.19859,-0.033237,0.304985,-0.587407,-0.6184,0.52204,0.80457,-0.377479,0.458378,-0.08567,0.690041,0.718587,0.013603,0.031993,-0.027217,-0.355594,-0.008261,0.870788,-1.406365,0.028819,0.026881,-0.017379,0.590087,0.611865,0.526704,-0.803907,0.385221,0.453142,0.074364,-0.690814,0.719197,0.007066,0.010396,-0.009549,-0.781407,-2.115638,2.30761,-0.850215,0.083834,0.035899,-0.035431,0.602187,-0.334742,-0.724788,0.481818,0.87626,-0.004383,0.63657,-0.346577,0.688957,-1e-06,-3e-06,-1e-06,-1.8e-05,7e-06,3e-05,0.517122
