frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
343,0.049851,0.021646,-0.015228,0.007756,-0.000107,-0.001033,0.000142,-0.0015,0.004019,-0.955864,0.077041,0.017016,-0.057923,0.000327,0.003112,0.003684,-0.001939,-0.019283,0.022813,0.327868
344,0.049842,0.02166,-0.015275,1.9e-05,-0.00074,-0.000898,-7.7e-05,-5.8e-05,-4.2e-05,-0.955864,0.077072,0.017154,-0.057777,0.000393,0.003746,0.004425,0.001099,-0.013259,0.025456,0.329665
345,0.049847,0.021655,-0.015314,1e-05,-0.000307,-0.000371,0.003927,-0.004108,-0.002722,-0.956191,0.077082,0.017304,-0.057608,0.00039,0.00376,0.004428,0.001051,-0.013202,0.025526,0.330971
346,0.049846,0.021651,-0.015352,2e-05,-0.000788,-0.000957,-0.001835,0.013606,-0.025273,-0.956844,0.077091,0.017448,-0.057439,0.000359,0.003459,0.004063,0.001329,-0.013678,0.026325,0.328685
347,0.049851,0.021654,-0.015374,1.1e-05,-0.000423,-0.000515,-0.000102,-8.5e-05,-2.4e-05,-0.95717,0.077086,0.017516,-0.057359,0.000387,0.003709,0.004351,-0.00344,0.074963,-0.147166,0.327542
348,0.049854,0.02167,-0.015412,1e-06,-2.6e-05,-3.1e-05,0.003095,-0.003346,-0.002235,-0.957824,0.077077,0.017667,-0.057198,-0.007444,0.003474,0.004111,-0.186741,0.444052,-0.773363,0.326889
349,0.04987,0.021694,-0.015418,-3e-06,0.00018,0.00022,-0.012553,0.095222,-0.174116,-0.95864,0.077083,0.017771,-0.05706,0.000245,0.00237,0.002761,-0.004509,0.076956,-0.15051,0.315622
350,0.049881,0.021697,-0.015424,3e-06,-0.000101,-0.000121,-0.000118,-6.4e-05,-6e-05,-0.958967,0.077125,0.017843,-0.056993,9.3e-05,0.000917,0.001067,0.000151,-6.3e-05,-4e-05,0.271533
351,0.049881,0.021699,-0.015429,1.2e-05,-0.000459,-0.000558,-0.000104,-5.1e-05,-9.2e-05,-0.959293,0.077137,0.017852,-0.056983,2e-06,4.3e-05,4.9e-05,0.005924,-0.090729,0.176874,0.228424
352,0.049875,0.021701,-0.015434,1e-06,6e-06,8e-06,-9.1e-05,-4.8e-05,-7.7e-05,-0.959456,0.077181,0.017789,-0.057001,0.007593,-0.00205,-0.002435,0.187279,-0.444787,0.776322,-0.015695
