frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
23,0.172769,-0.012804,0.32933,-0.767919,0.185643,-0.613092,-0.35695,-0.918727,0.168816,-0.530974,0.348244,0.772541,3.6e-05,0.000694,0.000653,-0.0,0.0,-0.0,0.512897,-0.204207,-0.053456,0.286445,0.249413,-0.712112,0.656263,0.837631,0.498626,0.222892,-0.486269,0.494991,0.719992,0.015537,-0.004517,-0.0074,0.002045,-0.015205,0.029245,0.338129,0.024565,0.027399,-0.014005,-0.206248,0.726908,0.655031,-0.849216,-0.465531,0.249224,0.4861,-0.504861,0.713317,0.016015,-0.008273,-0.000699,-0.0333,-0.003559,0.016933,0.258365,0.088858,0.044143,-0.040713,0.794023,-0.103249,-0.599053,0.25039,0.953538,0.167536,0.553923,-0.283025,0.782985,2e-05,0.000372,0.000351,0.000134,-0.000222,0.000397,0.515326
24,0.17277,-0.012791,0.329342,-0.769298,0.184958,-0.611569,-0.356734,-0.918427,0.170891,-0.529121,0.349399,0.773291,1.6e-05,0.000304,0.000287,-0.0,0.0,-0.0,0.513728,-0.203698,-0.053601,0.286298,0.253307,-0.711003,0.655974,0.83475,0.503252,0.223303,-0.48921,0.491885,0.720129,0.031546,-0.005705,-0.010005,0.002364,-0.016075,0.033546,0.349702,0.024826,0.027327,-0.014079,-0.210166,0.725958,0.654839,-0.846501,-0.470236,0.249626,0.489147,-0.50186,0.713352,0.015773,-0.002878,-0.005053,0.003108,-0.016101,0.034233,0.27453,0.088858,0.04415,-0.040707,0.795305,-0.102401,-0.597497,0.250174,0.953224,0.16963,0.552179,-0.284386,0.783722,6e-06,0.000131,0.000122,0.001727,-0.002073,0.001976,0.51451
25,0.172771,-0.012759,0.329372,-0.768893,0.185393,-0.611947,-0.357192,-0.918321,0.170504,-0.529401,0.349446,0.773077,6e-05,0.001137,0.00107,-0.0,-0.0,-0.0,0.513152,-0.202387,-0.053935,0.286011,0.265399,-0.70573,0.656887,0.826131,0.517622,0.222506,-0.497383,0.484491,0.719543,0.048177,-0.017201,-0.003357,-0.129957,-0.052354,-0.061976,0.365011,0.025463,0.027166,-0.01422,-0.222323,0.721148,0.656137,-0.838511,-0.484805,0.248722,0.497464,-0.494882,0.712474,0.015786,-0.00293,-0.005184,-0.327695,-0.127623,-0.327041,0.300004,0.088859,0.044163,-0.040694,0.794941,-0.102895,-0.597896,0.250656,0.95317,0.169228,0.552484,-0.284393,0.783506,3.7e-05,0.000717,0.000673,-3.3e-05,-2.1e-05,0.000128,0.513693
26,0.172773,-0.012727,0.329402,-0.768229,0.186104,-0.612564,-0.35794,-0.918148,0.16987,-0.529859,0.349523,0.772729,8.1e-05,0.001547,0.001456,0.000801,-0.014498,0.024895,0.513508,-0.200801,-0.054271,0.285629,0.273715,-0.699897,0.659709,0.820572,0.527647,0.219507,-0.502071,0.482118,0.717878,0.031654,-0.005498,-0.009913,0.002362,-0.016089,0.033544,0.369838,0.026262,0.026992,-0.014412,-0.230879,0.7156,0.65925,-0.833314,-0.495201,0.245689,0.502276,-0.492638,0.710651,0.023923,-0.002734,-0.005426,0.004674,-0.049104,0.091686,0.311597,0.08886,0.044178,-0.04068,0.794371,-0.103679,-0.598518,0.25143,0.953076,0.168607,0.552953,-0.284422,0.783164,3.8e-05,0.000743,0.0007,0.000752,-0.014465,0.024984,0.512713
27,0.172774,-0.012714,0.329414,-0.767861,0.186499,-0.612906,-0.358355,-0.918051,0.169517,-0.530113,0.349566,0.772535,3.6e-05,0.000686,0.000645,-0.0,-0.0,-0.0,0.51321,-0.199891,-0.054392,0.285433,0.281753,-0.69559,0.660879,0.814746,0.537142,0.218176,-0.507102,0.477832,0.717207,0.047882,-0.00526,-0.010586,0.004403,-0.031297,0.062787,0.374016,0.026711,0.026931,-0.01451,-0.239049,0.711593,0.660673,-0.827859,-0.504936,0.244312,0.507449,-0.488542,0.709803,0.023968,-0.002465,-0.005075,0.005418,-0.048265,0.090842,0.31568,0.08886,0.044186,-0.040672,0.794053,-0.104115,-0.598864,0.251859,0.953023,0.168262,0.553213,-0.284438,0.782974,2e-05,0.000412,0.000388,-4.6e-05,1.7e-05,9.5e-05,0.512387
28,0.172775,-0.012688,0.329438,-0.768613,0.186484,-0.611967,-0.358844,-0.917585,0.170997,-0.528692,0.350794,0.772952,3.3e-05,0.000635,0.000597,0.005526,-0.100053,0.171805,0.513862,-0.197988,-0.054652,0.284986,0.293673,-0.689561,0.662007,0.805604,0.551233,0.216975,-0.514907,0.470444,0.71653,0.04776,-0.006728,-0.012931,0.004399,-0.031298,0.062787,0.376049,0.027663,0.026804,-0.014728,-0.25114,0.706038,0.662147,-0.819262,-0.519358,0.243053,0.515497,-0.481432,0.708862,0.024158,-0.00887,-0.002326,-0.031375,-0.01991,0.046401,0.321721,0.088861,0.044199,-0.04066,0.794873,-0.103899,-0.597813,0.252268,0.952632,0.169858,0.551849,-0.285824,0.783432,2e-05,0.000385,0.000361,0.00188,-0.002213,0.002048,0.512387
29,0.172776,-0.012663,0.329462,-0.768133,0.186996,-0.612413,-0.359384,-0.917459,0.170539,-0.529023,0.350851,0.7727,5.3e-05,0.001016,0.000955,0.005526,-0.100053,0.171805,0.51343,-0.196095,-0.054928,0.284528,0.302849,-0.685161,0.662442,0.795736,0.564228,0.219965,-0.52486,0.461355,0.715217,0.047934,-0.005735,-0.011663,0.00261,-0.028967,0.064183,0.37433,0.028609,0.026663,-0.014962,-0.260317,0.701964,0.662933,-0.809757,-0.532676,0.246067,0.525859,-0.472759,0.707085,0.02398,-0.002809,-0.005773,0.017435,-0.057191,0.082916,0.322701,0.088862,0.044211,-0.040649,0.79437,-0.104578,-0.598363,0.252932,0.952554,0.169304,0.552268,-0.285836,0.783132,2.9e-05,0.000544,0.000512,0.005531,-0.100068,0.171911,0.512224
30,0.172787,-0.012656,0.329468,-0.767676,0.187485,-0.612837,-0.359899,-0.917338,0.170103,-0.529336,0.350904,0.772461,0.0,7e-06,7e-06,0.0,0.0,0.0,0.513014,-0.194322,-0.055172,0.284062,0.30552,-0.682671,0.663783,0.788831,0.571814,0.225182,-0.533671,0.455655,0.712346,0.04798,-0.005826,-0.011981,-0.095673,0.105732,0.14852,0.372305,0.029513,0.02654,-0.015198,-0.263254,0.699647,0.664221,-0.803038,-0.540475,0.251029,0.534627,-0.46731,0.704126,0.024,-0.0029,-0.006,-0.110178,0.123597,0.158788,0.321231,0.088867,0.044216,-0.040645,0.793977,-0.105118,-0.59879,0.253465,0.952489,0.168876,0.55259,-0.285856,0.782898,-0.0,-1.9e-05,-1.8e-05,-2.1e-05,1.8e-05,8e-05,0.51206
31,0.172798,-0.012663,0.329461,-0.767329,0.187856,-0.613156,-0.360288,-0.917247,0.169771,-0.529573,0.350945,0.77228,-1.1e-05,-0.000214,-0.000201,0.005526,-0.100053,0.171805,0.512996,-0.193444,-0.055255,0.283875,0.309021,-0.681667,0.663194,0.785787,0.575745,0.225811,-0.536148,0.452187,0.712696,0.048203,-0.003902,-0.009217,0.004668,-0.043614,0.088989,0.370358,0.029934,0.026497,-0.015293,-0.266569,0.698711,0.663884,-0.800099,-0.544473,0.251772,0.537384,-0.464058,0.704178,0.02408,-0.002233,-0.005052,0.015785,-0.042763,0.057768,0.319435,0.088872,0.044212,-0.040648,0.793679,-0.105527,-0.599112,0.253868,0.952439,0.168552,0.552832,-0.285872,0.782721,-5e-06,-0.000128,-0.000121,0.005509,-0.100028,0.171868,0.511734
32,0.172809,-0.012663,0.329461,-0.766712,0.188515,-0.613727,-0.360981,-0.917083,0.169182,-0.529996,0.351018,0.771957,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.51302,-0.191897,-0.05535,0.28362,0.31597,-0.679719,0.661919,0.779684,0.583465,0.227144,-0.540998,0.445153,0.713458,0.048514,-0.001027,-0.005093,0.006131,-0.045616,0.087734,0.364779,0.030707,0.026446,-0.015424,-0.273733,0.697033,0.662733,-0.79429,-0.552393,0.252911,0.542376,-0.457172,0.704854,0.016159,-0.000527,-0.001997,0.004895,-0.030789,0.058845,0.31323,0.088878,0.044212,-0.040649,0.793147,-0.106254,-0.599688,0.254585,0.952349,0.167974,0.553265,-0.2859,0.782405,2e-06,-2e-06,-3e-06,0.005522,-0.100033,0.171868,0.511244
