frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
450,0.044734,0.026401,-0.002315,-0.0,-0.000224,-0.000288,-9e-06,2.1e-05,-1.3e-05,-0.809229,0.075114,0.019229,-0.043047,-0.000207,-0.001457,-0.001794,0.012992,0.059597,0.040916,-0.373465
451,0.044845,0.026416,-0.00235,0.0,-0.00018,-0.000233,-0.008081,0.015203,0.010886,-0.653123,0.075161,0.019206,-0.043124,-0.000104,-0.000733,-0.000905,0.143223,0.33723,0.148182,-0.484339
452,0.044947,0.026471,-0.00241,3e-06,0.000151,0.00019,-0.154665,0.177942,0.103253,-0.545515,0.075238,0.019218,-0.043158,4e-05,0.000261,0.000318,0.114368,0.258521,0.120948,-0.639628
453,0.044975,0.026584,-0.002446,-2.8e-05,0.000565,0.000713,-1.35233,-1.505422,1.75354,-0.307764,0.075384,0.019236,-0.043151,0.008102,0.00046,0.000627,-1.627488,1.956435,-1.186736,-0.86252
454,0.044937,0.026626,-0.002455,1.2e-05,0.0008,0.00101,-1.599934,-0.178146,-0.633749,-0.185459,0.075464,0.019263,-0.043141,0.008179,0.001147,0.001506,-0.066806,0.384167,0.041716,-0.951676
455,0.04477,0.026649,-0.002441,-0.007802,-0.000127,0.000627,-4.15551,-2.031806,-2.831906,0.013102,0.075665,0.019343,-0.04309,0.008219,0.001468,0.001894,-0.027174,-0.028253,0.023832,-0.941226
456,0.044575,0.026665,-0.002392,-0.007795,6.2e-05,0.000893,-4.19376,-2.55415,-2.519773,0.179005,0.0759,0.019447,-0.042984,0.008398,0.002827,0.00355,-0.006645,-0.050482,0.054799,-0.965883
457,0.044468,0.02667,-0.002373,-0.007806,7.6e-05,0.000937,-4.109197,-2.370148,-2.571767,0.247914,0.076028,0.019501,-0.042917,0.008345,0.002486,0.003118,0.067802,0.114955,0.122866,-0.975027
458,0.044106,0.026652,-0.002357,-0.015831,-0.001343,1e-06,-0.606294,0.666146,0.5062,0.372341,0.076272,0.019619,-0.04277,0.00844,0.003277,0.004071,0.080502,0.141425,0.136757,-0.973068
459,0.04363,0.026586,-0.002415,-0.01635,0.001573,-0.007457,-0.669375,-1.291622,2.530572,0.420349,0.07648,0.019747,-0.042622,0.008309,0.002393,0.002979,0.011377,0.101191,-0.086625,-0.980906
460,0.043138,0.026486,-0.002592,-0.007991,-0.004037,-0.004312,-0.211903,-1.969334,2.360454,0.412184,0.076643,0.01984,-0.042498,0.00035,0.002316,0.002895,-2.657262,1.016598,4.84288,-0.97715
461,0.042858,0.026467,-0.002721,-0.016339,0.00084,-0.008458,-0.717692,-1.294344,-0.963571,0.408918,0.076708,0.019877,-0.042453,0.008143,0.001226,0.001543,-0.651273,0.551538,-0.583491,-0.974211
462,0.04209,0.02648,-0.003072,-0.024307,-0.00093,-0.009972,-0.622011,-1.426928,-0.915582,0.394222,0.076809,0.019925,-0.042402,0.000115,0.006018,-0.003564,0.013267,0.224169,0.035059,-0.972904
463,0.041132,0.026521,-0.003582,-0.032705,0.003862,-0.014376,0.196137,-0.235307,-0.065603,0.378546,0.076883,0.01994,-0.042384,3.6e-05,0.000297,0.000354,-0.013814,0.06594,-0.171597,-0.972904
