frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
2819,0.165391,0.009305,0.348684,-0.400732,-0.603501,-0.689381,0.201665,-0.792087,0.57611,-0.893236,0.092587,0.439983,0.013498,0.012792,-0.007359,-0.027672,-0.212859,0.172403,0.164616,-0.152327,0.014372,0.328412,-0.829185,-0.078008,0.553496,0.406125,-0.764258,0.500906,0.38497,0.640224,0.664661,-0.014179,0.010388,0.010099,0.070036,-0.157661,0.125144,-1.402757,0.051308,0.051671,-0.016928,0.739838,0.117622,0.662423,-0.429966,0.839953,0.331069,-0.517463,-0.529757,0.672002,-0.013848,0.004749,0.005341,0.069045,-0.155207,0.118143,-0.869647,0.084185,0.042654,-0.050274,0.34616,0.65041,-0.67612,-0.323673,0.759222,0.564639,0.880572,0.023387,0.473332,8.5e-05,0.0012,0.000913,-0.016345,-0.146845,0.143333,-0.116119
2820,0.165415,0.009524,0.348611,-0.395392,-0.598849,-0.696484,0.191382,-0.795344,0.575128,-0.89787,0.094846,0.429955,-6.2e-05,0.011139,-0.008283,-1.136976,0.811777,0.886971,0.236833,-0.152973,0.014528,0.32875,-0.831733,-0.08772,0.548195,0.405478,-0.770263,0.492156,0.380116,0.631728,0.675496,-0.013762,0.003739,0.004454,0.286042,-0.237809,-0.214828,-1.402971,0.05098,0.05176,-0.016749,0.743783,0.126206,0.656397,-0.427555,0.84467,0.322069,-0.513792,-0.520195,0.682211,-0.006873,0.001626,0.002032,0.309926,-0.258193,-0.22931,-0.870627,0.084202,0.042764,-0.05031,0.34076,0.645599,-0.683434,-0.315372,0.763317,0.563815,0.885676,0.023411,0.463712,-0.000125,-8e-06,-0.000216,-3.834939,3.076508,2.544449,0.053867
2821,0.165432,0.009587,0.348508,-0.396789,-0.593426,-0.700321,0.178614,-0.798285,0.575161,-0.89988,0.103863,0.423622,-0.000224,0.008831,-0.010038,-1.204413,0.7345,0.833376,0.232841,-0.153352,0.014574,0.328811,-0.832365,-0.093986,0.546192,0.406182,-0.773751,0.486065,0.377968,0.62655,0.681497,-0.027101,0.000338,0.002876,0.402405,-0.326333,-0.320159,-1.402932,0.0508,0.051782,-0.016719,0.74494,0.131132,0.654116,-0.427146,0.846915,0.316671,-0.512456,-0.515304,0.686913,-0.013554,0.000158,0.001439,0.41321,-0.435403,-0.156677,-0.871933,0.08421,0.042798,-0.050361,0.343249,0.640305,-0.687159,-0.303106,0.76798,0.564208,0.888991,0.014618,0.457689,-0.000225,-0.001465,-0.001322,-3.951179,2.963037,2.448858,0.083259
2822,0.165718,0.009793,0.348041,-0.408449,-0.573665,-0.710016,0.138438,-0.807795,0.572952,-0.901724,0.136437,0.41025,-0.00051,0.004765,-0.013136,-0.420737,0.047675,0.291639,0.232462,-0.154112,0.01469,0.328917,-0.83366,-0.108578,0.541491,0.407999,-0.781701,0.471609,0.373114,0.614221,0.695257,-0.012566,-0.00821,0.01177,0.2325,-0.308062,-0.046483,-1.403062,0.050411,0.051832,-0.016673,0.748059,0.146562,0.647244,-0.426265,0.853626,0.299365,-0.508629,-0.499841,0.701038,-0.006287,-0.00408,0.00592,0.179164,-0.264627,-0.016225,-0.872423,0.084353,0.042903,-0.050593,0.358569,0.62176,-0.696306,-0.263288,0.782983,0.563575,0.895604,-0.018752,0.444455,0.006425,0.007802,-0.010993,-1.216104,0.694476,0.814366,0.092567
2823,0.166451,0.010189,0.347291,-0.407166,-0.564355,-0.718168,0.106151,-0.810208,0.576426,-0.90667,0.159164,0.390696,0.026086,0.012976,-0.024321,-1.397175,0.440876,0.67996,0.252079,-0.154637,0.01456,0.329408,-0.836007,-0.137319,0.53125,0.412278,-0.795907,0.443274,0.362995,0.589773,0.721294,-0.026218,-0.005766,0.01509,0.780644,-0.787494,-0.401833,-1.402996,0.050158,0.051765,-0.016437,0.753292,0.171935,0.634813,-0.425457,0.863448,0.271002,-0.501534,-0.47423,0.72358,-0.006385,-0.002404,0.007314,0.882137,-0.797156,-0.615012,-0.871116,0.084719,0.043102,-0.050973,0.359174,0.612077,-0.704525,-0.23174,0.789748,0.567974,0.90404,-0.040735,0.425499,0.013039,0.006315,-0.012303,-1.429604,0.432171,0.670855,0.114284
2824,0.167028,0.010301,0.346845,-0.401245,-0.56254,-0.722909,0.090651,-0.80974,0.57972,-0.910988,0.167771,0.376805,0.039274,0.009212,-0.02756,-0.319535,-0.665335,-0.014873,0.240647,-0.154912,0.014424,0.329713,-0.837134,-0.151491,0.525594,0.414512,-0.80247,0.429134,0.357804,0.577295,0.733873,-0.011601,-0.016427,0.022235,0.529243,-0.507199,-0.426796,-1.403047,0.050011,0.051697,-0.016276,0.756464,0.186835,0.626781,-0.425069,0.868778,0.254046,-0.49707,-0.458602,0.736617,-0.005812,-0.008198,0.011141,0.498107,-0.482536,-0.409829,-0.873566,0.085008,0.043161,-0.051193,0.354169,0.609275,-0.709469,-0.215966,0.791423,0.571844,0.909901,-0.049308,0.411881,0.019635,0.004299,-0.014018,-0.351373,-0.700457,-0.033331,0.117877
2825,0.168714,0.01002,0.345698,-0.386164,-0.559535,-0.733378,0.057823,-0.808171,0.586079,-0.920149,0.184608,0.345358,0.052094,-0.015476,-0.030224,-0.356278,-0.784248,0.090022,0.1778,-0.155299,0.014113,0.330274,-0.840315,-0.176519,0.512546,0.417083,-0.814307,0.403583,0.347175,0.553131,0.757217,0.000796,-0.005006,0.013165,0.630714,-0.678363,-0.239488,-1.403406,0.049817,0.051544,-0.016,0.762737,0.208609,0.612138,-0.423237,0.876707,0.228591,-0.48898,-0.433434,0.756988,-0.00634,-0.003217,0.006626,0.638716,-0.567587,-0.482534,-0.884996,0.085832,0.043036,-0.051748,0.340358,0.604463,-0.720264,-0.183667,0.79398,0.579536,0.922183,-0.064961,0.381258,0.019329,-0.007864,-0.015042,-0.498285,-0.831892,-0.202455,0.076074
2826,0.170752,0.009554,0.344442,-0.387984,-0.560955,-0.73133,0.016817,-0.797666,0.602843,-0.921045,0.222288,0.31983,0.052369,-0.000992,-0.036104,-4.543088,2.478704,1.392091,0.097559,-0.1552,0.014019,0.330943,-0.848017,-0.190985,0.494351,0.413016,-0.822495,0.390966,0.332988,0.53596,0.775711,-0.000659,0.012943,0.010782,0.516524,-0.803521,-0.023516,-1.402977,0.049867,0.051481,-0.015672,0.773752,0.219916,0.59409,-0.416967,0.882817,0.216268,-0.476912,-0.415054,0.774779,0.006918,0.001977,0.009679,-0.19623,-0.83309,0.505956,-0.887119,0.086849,0.042778,-0.052388,0.339739,0.607109,-0.718328,-0.147728,0.788722,0.596735,0.928844,-0.096617,0.357647,0.026255,-0.006422,-0.014227,-0.246153,-0.536537,-0.033454,-0.030391
2827,0.173099,0.010029,0.342989,-0.402478,-0.579248,-0.708893,0.001353,-0.774763,0.632228,-0.914944,0.254215,0.313497,0.066334,0.021968,-0.035603,-0.049813,0.953292,-2.633847,0.055652,-0.155284,0.014809,0.331537,-0.861264,-0.197077,0.468375,0.401236,-0.82915,0.389171,0.31273,0.523356,0.792567,-0.001133,0.022226,0.018384,0.465214,-0.620439,0.143852,-1.403353,0.049826,0.051868,-0.015381,0.791138,0.222196,0.569849,-0.40475,0.888694,0.215405,-0.45856,-0.401062,0.793013,-0.000575,0.011087,0.009173,0.447071,-0.495198,-0.054438,-0.890548,0.088017,0.042991,-0.053127,0.351558,0.624427,-0.697493,-0.124119,0.769565,0.626389,0.927901,-0.133639,0.34805,0.02638,0.017001,-0.021389,-0.18566,-0.457139,-0.249714,-0.120364
2828,0.174213,0.010668,0.342298,-0.41464,-0.579455,-0.701677,-0.013635,-0.767049,0.641421,-0.909384,0.276243,0.311027,0.05288,0.039568,-0.038362,-1.351807,0.704568,0.101819,0.065693,-0.155185,0.01525,0.331903,-0.861723,-0.197454,0.467371,0.396569,-0.836524,0.378013,0.317401,0.511336,0.798533,0.012219,0.024207,0.018689,1.352957,1.515043,-1.369169,-1.403213,0.049875,0.052102,-0.015187,0.792542,0.222708,0.567694,-0.397507,0.894639,0.20398,-0.462454,-0.387325,0.797567,0.006077,0.012446,0.009618,1.410644,1.463889,-1.394859,-0.890875,0.088579,0.043301,-0.053474,0.364084,0.627896,-0.687887,-0.111565,0.762662,0.637101,0.924659,-0.155214,0.347725,0.033186,0.014385,-0.015366,-4.078156,3.071452,1.466526,-0.13555
