frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
300,0.041704,0.035291,-0.013832,0.000425,-0.00572,0.004015,0.090269,1.126575,1.124833,-0.900509,0.075866,0.01406,-0.053339,-0.007604,0.000405,0.00043,-0.004598,0.016945,-0.032061,0.258143
301,0.041563,0.035099,-0.013655,0.000283,-0.003943,0.005497,0.234848,3.629257,4.122112,-0.901488,0.075814,0.014042,-0.053328,-0.007596,0.000477,0.000504,-0.001492,0.01446,-0.02941,0.270227
302,0.041403,0.034834,-0.013396,-0.006754,-0.006427,0.003985,0.022965,0.165427,0.513435,-0.911449,0.07581,0.014063,-0.053321,3e-06,2.7e-05,2.8e-05,-0.000158,1.5e-05,0.000218,0.281167
303,0.041325,0.034633,-0.01326,-0.006482,-0.011307,0.00864,1.244316,4.765979,3.099737,-0.911939,0.075816,0.014057,-0.05332,-2.8e-05,-0.000226,-0.000237,-0.000126,6e-06,0.000174,0.283127
304,0.041141,0.034324,-0.012963,0.000434,-0.00479,0.004899,0.156361,-0.229552,0.052302,-0.915205,0.075822,0.014054,-0.053315,1.4e-05,0.000109,0.000113,-9.3e-05,4e-06,0.000117,0.281821
305,0.041193,0.034105,-0.012826,0.000208,-0.006299,0.00334,-0.186839,2.944548,4.666115,-0.916674,0.075807,0.014073,-0.053295,5.5e-05,0.000434,0.00045,-0.000179,-2.4e-05,0.000205,0.280514
306,0.041319,0.034027,-0.012846,-9e-06,-0.001415,-0.001311,-0.001923,-0.012059,0.00546,-0.921083,0.075809,0.014078,-0.053268,2.2e-05,0.000181,0.000189,-0.000112,9e-06,0.000145,0.280351
307,0.041394,0.034009,-0.012876,-4e-06,-0.001004,-0.000932,0.000913,0.020673,0.039948,-0.920104,0.075809,0.014082,-0.053271,-3e-06,-2.7e-05,-2.8e-05,-7.2e-05,2.4e-05,0.000135,0.281004
308,0.041539,0.033982,-0.012928,0.007188,-0.001083,-0.001619,-0.02563,0.089899,0.184183,-0.916021,0.075802,0.014076,-0.053278,-1.1e-05,-8.6e-05,-8.7e-05,-5e-05,1.3e-05,9.4e-05,0.281494
309,0.041625,0.033933,-0.012988,-5e-06,-0.001204,-0.001123,-0.009949,0.092063,-0.175186,-0.917981,0.075802,0.014076,-0.053285,-0.0,6e-06,1.1e-05,-0.000474,0.00028,-7.3e-05,0.283943
