frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
170,0.073825,0.007454,0.351179,-0.485701,0.435471,-0.757962,-0.633748,-0.772595,-0.037843,-0.601479,0.46143,0.652175,0.110625,0.020685,-0.065916,-4.078948,-0.573877,3.808605,0.108258,-0.101819,0.040088,0.316779,0.580398,0.698832,0.418047,-0.8073,0.427037,0.407235,0.105344,-0.574722,0.811456,-0.016694,0.013582,0.013561,-0.703467,0.476616,0.327166,-1.340811,0.04313,0.04249,-0.022194,-0.470117,-0.754621,0.457751,0.880462,-0.36487,0.302745,-0.061438,0.545358,0.835947,-0.013918,0.000344,0.01076,-0.83484,0.687775,0.254376,-0.765141,0.073556,0.026908,-0.064255,-0.279223,0.548399,-0.78822,-0.72374,-0.659668,-0.202578,-0.631057,0.513903,0.581093,0.055328,0.010322,-0.033052,-4.068104,-0.568931,3.811039,-0.105831
171,0.076076,0.007722,0.350005,-0.472158,0.446457,-0.760125,-0.648156,-0.760219,-0.043974,-0.596913,0.471358,0.649265,0.123305,0.008668,-0.057903,0.140522,-0.099175,0.128545,0.154438,-0.102163,0.040181,0.317121,0.56058,0.707803,0.429834,-0.817861,0.392341,0.42084,0.128531,-0.588343,0.798245,-0.029192,0.009326,0.01164,-0.952973,0.239662,-0.038052,-1.304548,0.042962,0.04254,-0.02202,-0.448528,-0.762261,0.466667,0.889603,-0.330401,0.315342,-0.086186,0.556589,0.826304,-0.00719,0.000571,0.01004,-1.730119,-0.065621,-0.991076,-0.751588,0.074635,0.027037,-0.064822,-0.263255,0.557911,-0.78704,-0.736121,-0.643475,-0.209918,-0.623556,0.524095,0.580088,0.061753,0.00449,-0.028891,0.152355,-0.195164,0.334089,-0.055701
172,0.080629,0.008016,0.347858,-0.458211,0.454124,-0.764107,-0.65451,-0.753981,-0.055687,-0.600848,0.47403,0.643665,0.109051,0.002909,-0.046039,0.11026,-0.160461,0.257457,0.176715,-0.102527,0.040112,0.317833,0.538072,0.721954,0.435031,-0.826303,0.35028,0.440978,0.165311,-0.597647,0.784445,0.001532,-0.011661,0.024394,-0.477917,0.337653,0.032612,-1.250317,0.042769,0.042513,-0.021669,-0.424517,-0.774734,0.468584,0.896719,-0.288178,0.335928,-0.12522,0.562795,0.817056,-0.000327,0.000109,0.008713,-0.564216,0.393494,0.105965,-0.721216,0.076917,0.027185,-0.065901,-0.248114,0.563509,-0.787969,-0.739173,-0.635878,-0.221993,-0.626148,0.527366,0.574302,0.048499,0.008602,-0.026167,0.148847,-0.177694,0.265007,0.026924
173,0.083606,0.008602,0.346691,-0.459906,0.456258,-0.761814,-0.654171,-0.754189,-0.05684,-0.599921,0.471644,0.646277,0.0591,0.019527,-0.016635,-1.435384,1.775682,-1.774663,0.165643,-0.102551,0.040097,0.318594,0.517146,0.74906,0.414079,-0.829879,0.320779,0.456438,0.208425,-0.580616,0.78696,-0.000674,0.000418,0.017519,-2.855507,-4.746096,-2.778023,-1.216486,0.042759,0.042499,-0.021294,-0.407784,-0.795645,0.44795,0.898648,-0.262847,0.351202,-0.16169,0.545764,0.82219,-0.000479,0.000775,0.009259,-0.037876,-0.033861,-0.012041,-0.724318,0.078418,0.027454,-0.066511,-0.247154,0.565754,-0.786662,-0.738098,-0.635913,-0.225442,-0.627794,0.524915,0.57475,0.023053,0.0118,-0.006915,0.162953,0.269306,0.167285,0.016637
174,0.084385,0.009054,0.346595,-0.466355,0.453871,-0.759315,-0.652876,-0.755739,-0.050821,-0.596337,0.471469,0.649712,0.033394,0.021688,0.001752,0.031518,0.029239,-0.050072,0.22457,-0.102558,0.04007,0.318943,0.49758,0.766059,0.406889,-0.836122,0.299013,0.459809,0.229954,-0.569958,0.788753,-0.000609,0.000139,0.017262,-0.731252,-0.810868,-1.326953,-1.183127,0.042755,0.042485,-0.021113,-0.385567,-0.813659,0.43508,0.903844,-0.238279,0.355369,-0.185479,0.530264,0.827294,-0.000374,0.000377,0.008724,-2.331325,-2.810303,-4.248891,-0.723338,0.078817,0.027676,-0.066569,-0.256926,0.564428,-0.78448,-0.738557,-0.63821,-0.217302,-0.623315,0.523553,0.580835,0.010753,0.018325,-0.001934,0.05952,0.111848,-0.251291,0.041783
175,0.08496,0.009906,0.347297,-0.481648,0.448605,-0.752871,-0.651344,-0.757956,-0.035009,-0.585755,0.472954,0.658203,0.007904,0.024284,0.020368,-0.001526,0.056688,-0.097138,0.328286,-0.102361,0.039963,0.319687,0.389993,0.836227,0.385515,-0.867162,0.192918,0.459071,0.309027,-0.514384,0.799859,0.001588,-0.011899,0.024127,-0.281373,-1.483271,-1.429822,-1.122372,0.042853,0.042437,-0.020745,-0.27668,-0.873515,0.400523,0.925386,-0.129835,0.356092,-0.25905,0.469163,0.844262,0.006303,0.000675,0.007963,-1.958454,-4.019397,-4.485048,-0.699988,0.079118,0.028111,-0.066218,-0.273677,0.561147,-0.781162,-0.740025,-0.641636,-0.201655,-0.61438,0.522891,0.590864,0.003514,0.007043,0.014692,-0.028594,0.084477,-0.132804,0.176988
176,0.084804,0.010322,0.348551,-0.481059,0.452365,-0.750995,-0.659201,-0.751334,-0.030381,-0.5774,0.479876,0.660572,-0.008372,0.003232,0.037231,-0.18052,0.004456,0.112924,0.36533,-0.102041,0.039753,0.320366,0.295329,0.893201,0.339063,-0.882483,0.119228,0.454909,0.36553,-0.434684,0.822982,0.000447,-0.004455,0.013323,0.4014,-0.60951,0.055825,-1.091827,0.043012,0.042333,-0.020397,-0.180677,-0.922462,0.341202,0.935004,-0.05346,0.350581,-0.305157,0.382367,0.872165,0.007758,-0.00701,0.010338,0.332855,-1.29707,0.500427,-0.701458,0.079047,0.028341,-0.065572,-0.27292,0.564643,-0.778904,-0.747414,-0.634208,-0.197863,-0.60571,0.528164,0.595111,-0.004201,0.001611,0.018614,-0.180519,0.003466,0.112211,0.274636
177,0.084147,0.009749,0.350008,-0.475492,0.46042,-0.749644,-0.673697,-0.738519,-0.026338,-0.565169,0.491933,0.662278,-0.014636,-0.023431,0.032601,-0.103988,0.071202,-0.075871,0.331486,-0.101702,0.039177,0.320937,0.291622,0.914348,0.280917,-0.883711,0.145311,0.444829,0.365543,-0.37912,0.850005,0.00368,-0.020891,0.016532,0.396386,-0.668759,0.405831,-1.110568,0.04318,0.042051,-0.020112,-0.181184,-0.942,0.282501,0.937532,-0.078696,0.338879,-0.296992,0.326254,0.897414,0.001842,-0.010507,0.008235,0.375956,-0.562539,0.239865,-0.732319,0.078732,0.028086,-0.064838,-0.266433,0.571629,-0.776049,-0.760338,-0.619481,-0.195264,-0.592367,0.538035,0.599682,-0.007894,-0.017162,0.020549,-0.133764,-0.024201,0.104447,0.276432
178,0.083682,0.008993,0.350734,-0.47643,0.462975,-0.747472,-0.675347,-0.737019,-0.026112,-0.562404,0.491782,0.664739,-0.018392,-0.042266,0.034549,0.006854,0.509259,0.14594,0.29468,-0.101673,0.038883,0.32123,0.302703,0.91684,0.260322,-0.883254,0.167399,0.437921,0.357547,-0.363643,0.860109,0.003116,-0.018474,0.018585,0.613414,-0.795396,0.328991,-1.139308,0.043197,0.041896,-0.019973,-0.195177,-0.944597,0.263896,0.937458,-0.100602,0.333243,-0.288232,0.312433,0.905155,0.000586,-0.003849,0.00531,0.635892,-0.787998,0.291963,-0.757793,0.078502,0.027719,-0.064472,-0.26701,0.572298,-0.775357,-0.761843,-0.618074,-0.193851,-0.590169,0.538941,0.601033,-0.016202,-0.020597,0.017479,0.034916,0.513623,0.304965,0.250142
179,0.082281,0.006904,0.352119,-0.476117,0.467922,-0.744585,-0.676919,-0.735451,-0.029404,-0.560779,0.489438,0.667836,-0.036482,-0.0605,0.036528,-0.147569,0.213013,-0.119503,0.199501,-0.101604,0.038299,0.321766,0.318995,0.922237,0.218433,-0.876406,0.199468,0.438246,0.360196,-0.332395,0.871571,0.001936,-0.010863,0.007931,-0.098297,-1.168905,1.020167,-1.226759,0.04323,0.041608,-0.019695,-0.214135,-0.95072,0.224223,0.934142,-0.132217,0.331505,-0.285522,0.280443,0.916421,0.002026,-0.011353,0.007518,-0.606684,-2.759839,1.960364,-0.824252,0.077807,0.026676,-0.063785,-0.26677,0.579222,-0.770282,-0.762447,-0.61571,-0.198933,-0.589497,0.53423,0.60588,-0.025284,-0.029744,0.01845,-0.155616,0.219772,-0.194813,0.142044
