frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
493,0.033799,0.032554,-0.018892,0.000132,-0.000832,-0.000725,-0.010838,0.011429,0.008051,0.31274,0.089714,0.107751,-0.111053,-0.004461,0.014928,-0.016542,-0.199826,-0.251687,-0.475169,-0.831821
494,0.033817,0.032535,-0.01891,-1e-05,4.7e-05,4.2e-05,-0.004618,0.004318,0.003114,0.324334,0.089621,0.108208,-0.111562,-0.003565,0.014432,-0.009349,-0.048716,-0.13936,-0.205579,-0.819411
495,0.033865,0.032561,-0.018907,-9.6e-05,0.000586,0.000512,-0.000511,-0.000492,-0.00047,0.342949,0.089597,0.108721,-0.111794,-0.00258,0.014138,-0.001915,0.090803,-0.028827,0.003643,-0.819738
496,0.033933,0.03258,-0.018886,0.006542,0.001908,0.000833,0.001533,-0.015536,0.029056,0.356665,0.089595,0.109083,-0.111821,-0.000348,0.023594,-0.00035,-0.049379,-0.185487,-0.172895,-0.821371
497,0.034141,0.032664,-0.01884,0.00646,0.002373,0.001233,0.117684,0.064873,0.081118,0.388834,0.089679,0.1099,-0.111772,0.004278,0.018421,0.00264,0.077355,0.08227,-0.089358,-0.821371
498,0.034388,0.032751,-0.01879,0.006481,0.002222,0.001095,0.001606,-0.015625,0.028954,0.42982,0.089837,0.110581,-0.111592,0.002773,0.007985,0.007715,-0.068029,-0.098962,-0.062282,-0.823983
499,0.034699,0.032858,-0.018717,0.012954,0.004413,0.002163,0.123824,0.029335,0.136179,0.47848,0.089858,0.11057,-0.111258,-0.006482,-0.012576,0.010257,-0.078925,0.117641,-0.03411,-0.829209
500,0.034881,0.032908,-0.018664,0.006335,0.003012,0.001778,0.002732,-0.018588,0.029558,0.498891,0.089754,0.110156,-0.111063,-0.009761,-0.028122,0.010499,-0.157603,0.118513,-0.042778,-0.83672
501,0.035252,0.032917,-0.018544,0.007424,-0.003981,0.004473,-0.050327,0.100042,-0.156394,0.511791,0.089359,0.108574,-0.11063,-0.014227,-0.050111,0.012495,-0.256626,0.204631,-0.074471,-0.83672
502,0.035659,0.032641,-0.018322,0.015485,-0.010847,0.006315,4.318394,3.034306,1.941264,0.514078,0.088705,0.106218,-0.110013,-0.022335,-0.066991,0.019621,-0.231071,0.245869,0.176309,-0.852559
503,0.035895,0.032349,-0.018185,0.010022,-0.020161,0.007995,0.317471,0.306039,0.130535,0.514404,0.088297,0.104661,-0.109561,-0.020335,-0.085996,0.025299,3.837029,-3.719376,-1.763868,-0.845864
504,0.036431,0.031659,-0.0182,0.009841,-0.017333,-0.007241,-0.025007,0.041741,-0.084214,0.466887,0.087293,0.101032,-0.108379,-0.028067,-0.101557,0.035285,0.387785,-1.828259,1.333653,-0.849293
505,0.036789,0.031144,-0.018756,0.002248,-0.011722,-0.019315,0.177829,0.208402,-0.28969,0.311924,0.086029,0.096889,-0.106771,-0.035392,-0.115156,0.047896,1.048846,0.22359,-0.57382,-0.877053
506,0.036828,0.030848,-0.019789,0.008064,-0.004133,-0.03152,0.020487,1.983637,-2.746756,0.131651,0.08454,0.092053,-0.104591,-0.037493,-0.129699,0.061075,1.220397,0.252902,-0.058603,-0.883421
507,0.036852,0.030807,-0.020515,-1.1e-05,0.004041,-0.041406,0.121388,0.364954,-0.502644,0.091645,0.083808,0.089649,-0.103383,-0.041666,-0.124457,0.067066,3.905447,-0.513445,-2.767336,-0.88832
508,0.036994,0.030773,-0.022166,0.007966,-0.001246,-0.047675,0.019298,0.548075,-0.449314,0.083154,0.082251,0.084672,-0.100453,-0.039943,-0.12186,0.080773,-0.021088,0.854917,0.872053,-0.885871
509,0.037102,0.030538,-0.024072,0.008742,-0.005209,-0.052129,-0.050499,0.671597,-0.361391,0.09687,0.080772,0.079997,-0.097046,-0.038197,-0.11936,0.093888,3.66578,-0.167545,-3.100686,-0.876073
510,0.037168,0.030343,-0.025111,0.002962,-0.012792,-0.04962,-0.117171,0.689813,-0.168718,0.104382,0.080081,0.077701,-0.09514,-0.03031,-0.110948,0.094916,3.659081,-0.115141,-3.091832,-0.875583
511,0.037371,0.029894,-0.027071,0.003673,-0.017294,-0.045593,-0.375907,1.083893,0.10616,0.138509,0.078812,0.073549,-0.091323,-0.028481,-0.105592,0.101891,0.157645,0.917272,0.834869,-0.876889
512,0.037629,0.029528,-0.028858,0.009652,-0.01078,-0.040866,-0.012662,0.340508,-0.107959,0.151246,0.077749,0.06965,-0.087313,-0.025274,-0.09002,0.100731,-0.375748,0.461184,0.508887,-0.869868
513,0.03794,0.029331,-0.030294,0.008001,-0.001553,-0.031842,0.11041,0.008747,0.005069,0.16039,0.076926,0.066114,-0.08337,-0.018898,-0.086514,0.097342,-0.10445,0.475827,0.537172,-0.854029
514,0.038089,0.029267,-0.030819,0.008086,-0.003021,-0.02376,0.319278,-1.456374,2.100853,0.171657,0.076603,0.064491,-0.081514,-0.012374,-0.082855,0.093165,-0.28139,0.35293,0.348397,-0.853865
515,0.038348,0.029063,-0.031544,0.008129,-0.003771,-0.014966,0.052638,-0.108631,0.170746,0.195824,0.076171,0.061405,-0.078047,-0.006586,-0.081533,0.087679,0.059867,0.390783,0.151056,-0.846517
516,0.038581,0.028784,-0.0319,0.008182,-0.004933,-0.006438,0.039829,-0.319077,0.464918,0.216399,0.075844,0.058447,-0.074826,-0.005235,-0.068164,0.075092,3.116078,-0.414875,-3.699507,-0.843088
517,0.038669,0.028721,-0.031987,0.000402,-0.002017,-0.002172,0.176794,-0.469452,0.141117,0.217215,0.075668,0.057104,-0.073374,-0.01167,-0.064702,0.070111,0.062883,0.486435,0.745911,-0.839333
518,0.038791,0.028992,-0.032013,0.005201,0.01149,0.001283,0.164585,-0.425277,0.285622,0.214439,0.07526,0.054685,-0.070954,-0.012305,-0.056347,0.053348,0.447598,0.555708,0.253975,-0.843088
519,0.038884,0.029452,-0.031985,-0.002496,0.01484,-0.003833,0.137288,-0.121316,-0.043158,0.208398,0.074909,0.052755,-0.069187,-0.009846,-0.036033,0.036896,3.312246,0.123241,-4.100997,-0.839333
520,0.03888,0.029882,-0.032046,-0.00155,0.008964,-0.000267,0.049074,-0.071933,0.01051,0.183088,0.074562,0.05153,-0.067825,-0.008313,-0.025078,0.02923,-0.096982,0.143133,0.172812,-0.830842
521,0.038841,0.030208,-0.032099,-0.002902,0.016898,-0.001635,0.364598,-0.465501,-0.279425,0.163166,0.074427,0.050986,-0.067276,-0.003076,-0.025367,0.021345,-0.210626,-0.154395,0.235137,-0.823493
522,0.038688,0.030999,-0.03208,-0.011658,0.026526,-0.000277,-4.365253,-2.848121,-1.676364,0.132467,0.074299,0.049944,-0.066661,0.000708,-0.029719,0.010584,-0.137927,-0.384321,0.111267,-0.817452
523,0.038488,0.032005,-0.031874,-0.004798,0.026688,0.008528,-1.122365,-1.124948,-0.584962,0.126752,0.074158,0.048968,-0.066536,-0.000576,-0.026419,-0.002902,-0.382293,-0.515525,0.003318,-0.826269
524,0.038392,0.032569,-0.031707,-0.005041,0.028406,0.009983,-3.808207,-5.139994,0.202072,0.131814,0.074066,0.048497,-0.066641,-0.000725,-0.023414,-0.008744,-0.021459,-0.25926,0.451098,-0.828555
525,0.038188,0.033716,-0.031188,-0.005895,0.03234,0.01398,0.089327,-0.23951,0.374205,0.155328,0.073805,0.047798,-0.067123,-0.006831,-0.018356,-0.013383,-0.583849,0.38682,-0.249134,-0.820391
526,0.038086,0.034861,-0.030514,0.001578,0.029015,0.018664,0.087127,-0.338801,0.480151,0.186353,0.073361,0.047176,-0.067705,-0.014003,-0.019376,-0.01453,-1.795994,1.515222,-1.537127,-0.786263
527,0.038186,0.035913,-0.029749,0.002525,0.022778,0.021464,0.050855,-0.334826,0.463637,0.203825,0.072736,0.046274,-0.068235,-0.0148,-0.021119,-0.016107,-0.460217,-0.362509,-0.684727,-0.769607
528,0.038292,0.03639,-0.029345,0.002516,0.022586,0.021094,0.033352,-0.217413,0.30445,0.207091,0.072342,0.045865,-0.068509,-0.021759,-0.024742,-0.011035,-0.281425,-0.170595,-0.397187,-0.778099
