frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1116,0.13708,0.140135,0.310162,-0.351183,0.909158,-0.223935,-0.704358,-0.098883,0.702904,0.617342,0.403447,0.675386,-0.024028,-0.032193,0.006206,-0.036886,0.128404,-0.064435,-1.906038,-0.106803,-0.020131,0.387039,0.563907,0.436935,0.700776,-0.489188,0.860395,-0.142649,-0.665957,-0.262931,0.698019,-0.0,0.0,0.0,0.0,0.0,0.0,0.068386,0.0258,0.03422,-0.015914,-0.600508,-0.391328,0.697317,0.431864,-0.892659,-0.129044,0.672965,0.223655,0.70505,-2e-06,-6e-06,-8e-06,-3e-06,9e-06,1.2e-05,-0.086015,0.114748,0.101092,-0.107576,-0.426225,0.87886,-0.214324,-0.682963,-0.157265,0.713322,0.593205,0.450411,0.66726,-0.006942,-0.016623,0.002689,-0.063438,-0.027357,0.101653,-0.88734
1117,0.136331,0.138807,0.310387,-0.348759,0.909171,-0.22764,-0.704759,-0.094235,0.70314,0.618254,0.404527,0.673904,-0.025359,-0.045488,0.01086,-0.104832,0.099348,-0.099956,-1.905867,-0.106805,-0.020117,0.387049,0.563938,0.436905,0.700771,-0.489164,0.860413,-0.142622,-0.665949,-0.262922,0.698031,-0.00023,0.001242,0.000922,0.0,0.0,0.0,0.06838,0.0258,0.034224,-0.015911,-0.600537,-0.391296,0.69731,0.431839,-0.892675,-0.129017,0.672956,0.223647,0.705061,-0.000136,0.000723,0.000534,0.001355,-0.010875,0.026658,-0.085852,0.114365,0.100416,-0.107462,-0.423685,0.879181,-0.218013,-0.683581,-0.152426,0.71378,0.594312,0.451448,0.665572,-0.012681,-0.02276,0.005432,-0.112703,0.101792,-0.107168,-0.888156
1118,0.135428,0.137264,0.310791,-0.347041,0.908965,-0.231067,-0.707175,-0.091728,0.701044,0.616458,0.405565,0.674925,-0.025036,-0.04279,0.012592,0.004705,0.230885,0.011856,-1.906063,-0.106801,-0.020087,0.387083,0.564023,0.436827,0.700751,-0.489118,0.860454,-0.142535,-0.665911,-0.262917,0.698069,-0.00025,0.001352,0.001003,0.0,0.0,0.0,0.06802,0.025802,0.03424,-0.015893,-0.600616,-0.391213,0.697289,0.431789,-0.892712,-0.128929,0.672917,0.223645,0.705098,-0.000163,0.000873,0.000646,1e-06,2e-06,5e-06,-0.086015,0.113921,0.099657,-0.107267,-0.422527,0.878853,-0.221557,-0.686184,-0.150481,0.711692,0.592133,0.452738,0.666637,-0.01189,-0.014624,0.004057,0.064956,0.217555,0.068989,-0.888973
1119,0.134891,0.136422,0.311052,-0.352925,0.905631,-0.235208,-0.708669,-0.094526,0.699161,0.611384,0.41231,0.675454,-0.026145,-0.054932,0.018025,-0.020551,0.227143,0.018126,-1.90643,-0.106793,-0.020072,0.387106,0.564077,0.43678,0.700736,-0.489096,0.860477,-0.142474,-0.665881,-0.262921,0.698095,-0.000183,0.000991,0.000736,0.0,0.0,0.0,0.068194,0.025805,0.034249,-0.015881,-0.600667,-0.391162,0.697273,0.431764,-0.892732,-0.128868,0.672887,0.223651,0.705125,-0.000115,0.000613,0.000454,1.1e-05,-5e-06,-8e-06,-0.086015,0.113654,0.09924,-0.107138,-0.428117,0.875093,-0.225667,-0.687611,-0.153382,0.709693,0.586434,0.459003,0.66739,-0.012589,-0.021518,0.006264,0.034472,0.23249,0.012424,-0.891096
1120,0.133744,0.134513,0.311656,-0.359698,0.902541,-0.236817,-0.710484,-0.100342,0.696503,0.605304,0.417663,0.677637,-0.026463,-0.055407,0.017913,-0.020878,0.118456,-0.136313,-1.906253,-0.106791,-0.020029,0.387162,0.564198,0.436671,0.700707,-0.489042,0.86053,-0.142339,-0.665819,-0.262927,0.698153,-0.000383,0.002068,0.001534,0.00135,-0.01087,0.026654,0.068265,0.025807,0.034268,-0.015855,-0.600765,-0.391061,0.697245,0.431717,-0.892773,-0.128747,0.67283,0.223666,0.705175,-8.6e-05,0.000456,0.000338,2e-06,4e-06,-1e-06,-0.085852,0.113091,0.098308,-0.106842,-0.433932,0.871809,-0.227267,-0.68928,-0.158809,0.706875,0.580168,0.463386,0.669833,-0.012704,-0.021534,0.006319,0.381325,-1.073249,-0.991835,-0.892402
1121,0.132707,0.132448,0.312389,-0.371095,0.895921,-0.244254,-0.71276,-0.106153,0.693308,0.59568,0.430263,0.678281,-0.027324,-0.065451,0.024878,0.090651,0.358343,0.152647,-1.906357,-0.106806,-0.02001,0.387203,0.564236,0.436639,0.700696,-0.48905,0.860537,-0.142273,-0.665781,-0.262959,0.698177,-5.5e-05,0.000295,0.000219,0.0,0.0,0.0,0.068381,0.025799,0.034282,-0.015831,-0.600816,-0.391011,0.69723,0.431711,-0.892787,-0.128667,0.672789,0.223697,0.705205,-3e-05,0.000163,0.000121,-1.1e-05,-0.0,1.3e-05,-0.086015,0.112562,0.097256,-0.106473,-0.446427,0.863573,-0.2344,-0.690024,-0.165454,0.704621,0.56971,0.476304,0.669749,-0.013121,-0.026561,0.009771,0.31839,0.323411,0.196332,-0.894198
1122,0.13217,0.131303,0.312841,-0.379245,0.892322,-0.244907,-0.711355,-0.111836,0.693858,0.592224,0.436248,0.677484,-0.027325,-0.064865,0.025386,-0.128344,0.201203,-0.09521,-1.906113,-0.106808,-0.019996,0.387213,0.564267,0.436609,0.70069,-0.489025,0.860555,-0.142246,-0.665773,-0.262951,0.698189,-0.000165,0.000892,0.000661,0.0,0.0,0.0,0.068607,0.025798,0.034287,-0.015827,-0.600844,-0.390979,0.697223,0.431686,-0.892803,-0.128641,0.67278,0.223688,0.705216,-0.000102,0.000549,0.000407,-2.2e-05,-2.1e-05,1.9e-05,-0.085852,0.112284,0.096661,-0.106237,-0.45281,0.860116,-0.234864,-0.68917,-0.170512,0.704251,0.565691,0.480753,0.669976,-0.013639,-0.032288,0.012798,-0.173929,0.19764,-0.110893,-0.891749
1123,0.131002,0.128807,0.313871,-0.392887,0.885302,-0.248847,-0.710375,-0.120277,0.693449,0.584468,0.448121,0.67647,-0.027539,-0.064701,0.025815,0.081814,0.286368,0.283053,-1.906352,-0.106809,-0.019989,0.387206,0.564276,0.436596,0.700691,-0.488998,0.860569,-0.142253,-0.665785,-0.262927,0.698186,-0.0,0.0,0.0,0.0,0.0,0.0,0.0684,0.025797,0.034292,-0.01583,-0.600852,-0.390965,0.697224,0.431658,-0.892815,-0.128648,0.67279,0.223664,0.705214,6e-06,-2e-05,-1.3e-05,3e-06,2e-05,1e-05,-0.085852,0.111711,0.095439,-0.10573,-0.467482,0.851206,-0.238551,-0.68636,-0.179434,0.704778,0.557108,0.493204,0.668117,-0.019455,-0.03746,0.016392,0.237247,0.524948,0.205853,-0.892892
1124,0.129606,0.126199,0.315065,-0.404108,0.87873,-0.254119,-0.711005,-0.126906,0.69162,0.575997,0.459077,0.67639,-0.037488,-0.059374,0.029613,-0.070681,0.257846,-0.041464,-1.90626,-0.106807,-0.020003,0.387195,0.564351,0.436522,0.700677,-0.48894,0.860613,-0.142188,-0.665765,-0.262905,0.698213,3.7e-05,-0.0002,-0.000148,0.0,0.0,0.0,0.068209,0.025798,0.034284,-0.015836,-0.600922,-0.390887,0.697208,0.431596,-0.892855,-0.128583,0.672768,0.223644,0.705241,2.4e-05,-0.000126,-9.3e-05,1.5e-05,1e-06,-2e-06,-0.085852,0.111015,0.094129,-0.105137,-0.476966,0.844399,-0.24391,-0.687651,-0.185678,0.701897,0.547393,0.502507,0.669214,-0.019337,-0.035935,0.017543,-0.114387,0.30169,-0.045553,-0.891259
1125,0.128207,0.123467,0.316385,-0.409738,0.87397,-0.261414,-0.712824,-0.127871,0.689567,0.56974,0.467797,0.675713,-0.039085,-0.072181,0.035305,0.053047,0.391671,0.165574,-1.906634,-0.106808,-0.019996,0.3872,0.564366,0.436506,0.700674,-0.488928,0.860622,-0.142174,-0.66576,-0.2629,0.698219,-3e-06,1.7e-05,1.3e-05,0.0,0.0,0.0,0.068478,0.025798,0.034287,-0.015833,-0.600936,-0.39087,0.697205,0.431583,-0.892863,-0.12857,0.672763,0.22364,0.705247,-1e-06,7e-06,6e-06,2e-06,-2e-06,7e-06,-0.085852,0.110331,0.092794,-0.104488,-0.483726,0.838448,-0.251022,-0.68817,-0.187156,0.700994,0.540767,0.511836,0.667528,-0.014326,-0.036989,0.017028,0.08483,-0.117253,0.88367,-0.895668
