frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
697,0.037951,0.033695,0.002417,7.7e-05,-0.000304,-0.000196,-0.000329,-0.006399,-0.002164,-0.776734,0.078738,0.027047,-0.038224,-0.005072,0.004798,0.002722,0.001006,0.006754,-0.001821,0.20785
698,0.037966,0.033698,0.002417,-6e-06,2.6e-05,1.6e-05,7.8e-05,-0.000862,-0.000293,-0.777387,0.07867,0.027063,-0.038103,-0.005575,-0.000149,0.007782,-0.036579,0.031027,-0.045694,0.205727
699,0.037972,0.033719,0.002411,-0.000207,0.000807,0.000519,9.3e-05,-4.2e-05,8e-06,-0.776898,0.078514,0.027029,-0.037816,-0.005939,-0.001122,0.007263,-0.038244,0.032421,-0.048848,0.19397
700,0.037973,0.033734,0.002421,-2e-05,7.7e-05,4.9e-05,6.6e-05,-8e-06,1.5e-05,-0.776734,0.078304,0.02694,-0.037482,-0.006309,-0.005693,0.012533,-0.058108,-0.007931,0.121881,0.171926
701,0.038002,0.033744,0.002424,0.006535,0.001462,0.0003,0.00209,-0.01522,0.029206,-0.776408,0.078112,0.0268,-0.037112,-0.006312,-0.002094,0.006743,-0.022309,-0.024047,0.138893,0.141881
702,0.038007,0.033749,0.002414,5.7e-05,-0.000229,-0.000147,3.5e-05,-1.3e-05,-1.3e-05,-0.776408,0.078052,0.026702,-0.036943,-0.000263,-0.00428,0.005434,0.379495,-0.38362,0.922013,0.10612
703,0.037985,0.033784,0.002365,-0.000749,0.004395,-0.005287,0.034564,0.000625,0.023857,-0.776735,0.078045,0.026458,-0.036704,0.005605,-0.006916,0.003881,-0.40801,0.000475,0.523306,-0.062233
704,0.037971,0.03387,0.002262,-0.000747,0.004397,-0.005285,0.034435,0.000588,0.023881,-0.763508,0.078057,0.02635,-0.036606,0.000143,0.00018,9.2e-05,1.428168,-0.639428,2.752455,-0.238586
705,0.037974,0.033914,0.002205,3.1e-05,-0.000104,-6.7e-05,-0.000423,-7.7e-05,0.000156,-0.71746,0.07805,0.026364,-0.036609,0.000317,0.00082,0.000441,0.603136,0.115316,1.083649,-0.31517
706,0.038022,0.033965,0.002135,7.8e-05,-0.000312,-0.000201,0.06349,-0.818996,-0.268666,-0.531799,0.078061,0.026419,-0.036667,-2e-06,-6e-06,-3e-06,0.176263,0.234494,0.67597,-0.532999
