frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
938,0.035937,0.034332,0.000458,-7e-06,2.9e-05,1.7e-05,2e-06,8e-06,4e-06,0.520119,0.148155,0.080666,-0.087746,-0.015322,-0.008478,-0.004662,-0.303839,-0.548748,-0.317288,-0.825779
939,0.035957,0.034349,0.000473,-0.000129,0.000622,0.000387,1e-06,3e-06,1.3e-05,0.520119,0.147338,0.07997,-0.087928,-0.024364,-0.027102,-0.002644,-0.165958,-0.306203,-0.096504,-0.79851
940,0.035978,0.034366,0.000481,-8.5e-05,0.000405,0.00025,-2e-06,-9e-06,2.5e-05,0.520283,0.146806,0.079539,-0.088042,-0.030423,-0.024071,-0.007118,0.371617,-1.594526,-5.661276,-0.770261
941,0.036022,0.034407,0.000502,-0.000227,0.001084,0.000672,0.00153,-0.014233,0.02599,0.520609,0.145426,0.078469,-0.088351,-0.041197,-0.028499,-0.00976,1.72873,-1.960795,0.100108,-0.742665
942,0.036058,0.034443,0.000521,-7.9e-05,0.000378,0.000234,3e-06,-2.3e-05,1.3e-05,0.520936,0.143709,0.077026,-0.088721,-0.046347,-0.039965,-0.010419,1.428229,-2.080857,-0.299638,-0.735316
943,0.036074,0.034457,0.000528,-0.0001,0.000475,0.000292,3e-06,-1.2e-05,1.7e-05,0.520936,0.142767,0.0762,-0.088929,-0.046658,-0.041499,-0.01159,-0.613952,-0.550364,-1.406578,-0.73303
944,0.036104,0.034475,0.000536,-4e-06,1.5e-05,8e-06,-0.000168,-0.000212,2.8e-05,0.520936,0.140726,0.074409,-0.089362,-0.052594,-0.050789,-0.010953,-0.069783,-0.797762,-1.114735,-0.729275
945,0.036126,0.034483,0.000539,4e-06,-2e-05,-1.5e-05,0.479769,0.039722,0.145894,0.520936,0.138293,0.072465,-0.089847,-0.065174,-0.052379,-0.012007,1.299448,-2.81372,-0.41576,-0.726009
946,0.036135,0.034487,0.00054,-6.5e-05,0.000307,0.000187,-0.071178,0.228201,0.134306,0.520936,0.1356,0.070318,-0.090356,-0.07245,-0.055013,-0.01419,-0.278705,-0.799827,-1.436486,-0.720784
947,0.036139,0.034489,0.000541,1e-06,-5e-06,-6e-06,0.000268,-0.013467,-0.008943,0.520936,0.134146,0.069183,-0.090596,-0.079182,-0.054286,-0.013749,-0.241826,-0.558154,-1.492571,-0.719967
948,0.036141,0.034504,0.00055,-4.3e-05,0.000206,0.000126,-0.000115,-0.000319,-0.000259,0.520936,0.130954,0.066928,-0.091031,-0.087037,-0.051961,-0.01253,1.171001,-2.306034,0.049213,-0.719967
949,0.036141,0.034528,0.000565,-0.000229,0.001097,0.00068,0.001249,-0.015424,0.02551,0.521099,0.127732,0.064595,-0.091442,-0.089053,-0.061002,-0.012523,1.255959,-3.227313,1.391502,-0.728948
950,0.036137,0.034546,0.00057,-9.4e-05,0.000455,0.000283,-0.00067,-0.002868,0.000552,0.521099,0.125996,0.063378,-0.091677,-0.090237,-0.059914,-0.012144,0.17325,-1.313335,0.702387,-0.751319
