frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
711,0.086411,0.013719,0.347803,-0.369624,0.405699,-0.835962,-0.666457,-0.742617,-0.065785,-0.647036,0.532309,0.545912,-0.000325,-0.001011,-0.000829,0.0,0.0,0.0,0.087839,-0.099853,0.01453,0.356236,0.983844,0.16643,-0.0659,-0.035789,0.544144,0.838189,0.174108,-0.822483,0.541361,0.000781,-0.00349,-0.002631,0.000682,-0.000623,0.000295,-1.40742,0.043612,0.025269,-0.004205,-0.979169,-0.201941,-0.021113,0.10288,-0.583097,0.805861,-0.175047,0.786903,0.591727,0.000499,-0.002242,-0.001691,-0.01176,0.019986,-0.029528,-0.857237,0.080689,0.031618,-0.067764,-0.378231,0.41633,-0.826807,-0.576255,-0.804894,-0.141682,-0.724479,0.422863,0.544349,-0.000245,-0.000763,-0.000628,-3e-06,-1e-06,-2e-06,-0.084277
712,0.086457,0.013704,0.347779,-0.369536,0.405737,-0.835982,-0.666469,-0.742598,-0.065872,-0.647073,0.532306,0.54587,-0.000397,-0.001238,-0.001015,0.0,0.0,0.0,0.087038,-0.099761,0.01444,0.356161,0.983649,0.166388,-0.068851,-0.033354,0.544625,0.837976,0.175676,-0.822173,0.541325,0.001309,-0.005848,-0.004413,-0.001894,0.013813,-0.025219,-1.407582,0.043658,0.025224,-0.004244,-0.979153,-0.201696,-0.024019,0.100448,-0.583595,0.805807,-0.176546,0.786597,0.591689,0.000697,-0.003113,-0.00235,-0.003369,0.018371,-0.027385,-0.854787,0.080717,0.03161,-0.067777,-0.378127,0.416391,-0.826823,-0.576274,-0.804862,-0.141787,-0.724518,0.422863,0.544296,-0.000222,-0.000697,-0.000574,-0.000344,0.014661,-0.024802,-0.084277
713,0.086521,0.013715,0.347763,-0.369486,0.405755,-0.835995,-0.666451,-0.742608,-0.06594,-0.64712,0.532278,0.545842,0.00016,0.000498,0.000408,0.0,0.0,0.0,0.085546,-0.099558,0.014177,0.355946,0.983456,0.167843,-0.068078,-0.03523,0.546475,0.836694,0.176386,-0.82065,0.543401,0.00182,-0.008111,-0.006139,0.051434,-0.009982,-0.042352,-1.407199,0.04376,0.02509,-0.004353,-0.978896,-0.203023,-0.023293,0.102302,-0.585525,0.804172,-0.176904,0.784819,0.593938,0.000943,-0.004194,-0.003176,0.025033,-0.009842,-0.042499,-0.860013,0.080748,0.031612,-0.067787,-0.378079,0.416416,-0.826833,-0.576252,-0.804866,-0.141855,-0.724561,0.422832,0.544264,0.000111,0.00035,0.000286,-8e-06,-4e-06,-9e-06,-0.08542
714,0.086523,0.013721,0.347769,-0.369467,0.405763,-0.836,-0.666458,-0.7426,-0.065956,-0.647124,0.532282,0.545833,2e-06,6e-06,5e-06,0.0,0.0,0.0,0.084962,-0.099384,0.013982,0.355858,0.983477,0.167904,-0.067621,-0.035605,0.546252,0.836824,0.176194,-0.820786,0.543258,0.015172,-0.009102,0.008267,-0.033851,-0.010912,0.007719,-1.407813,0.04385,0.024979,-0.004407,-0.978875,-0.203176,-0.022838,0.102671,-0.585073,0.804455,-0.176808,0.785116,0.593574,0.007532,-0.004307,0.004316,-0.035256,-0.0097,0.008588,-0.865238,0.08075,0.031617,-0.067783,-0.378061,0.416426,-0.826836,-0.576259,-0.804859,-0.14187,-0.724565,0.422836,0.544255,-2e-06,-1e-06,-2e-06,-9e-06,-7e-06,-4e-06,-0.085746
715,0.086513,0.013723,0.34777,-0.369489,0.405753,-0.835995,-0.66645,-0.742609,-0.065937,-0.647119,0.532278,0.545842,0.0,0.0,0.0,0.0,0.0,0.0,0.082728,-0.099354,0.013972,0.355947,0.983465,0.167933,-0.067722,-0.035502,0.546099,0.836929,0.176281,-0.820882,0.543085,0.001039,-0.007055,0.011357,-0.035906,0.004292,-0.021527,-1.407771,0.043866,0.02497,-0.004365,-0.978873,-0.203174,-0.022941,0.10255,-0.584923,0.804579,-0.176888,0.785228,0.593402,0.000426,-0.003117,0.005988,-0.036102,0.005303,-0.020796,-0.866218,0.080745,0.031618,-0.067783,-0.378082,0.416413,-0.826833,-0.576251,-0.804868,-0.141852,-0.724561,0.422832,0.544264,-3e-06,-2e-06,-4e-06,-1.5e-05,-6e-06,-7e-06,-0.08689
716,0.086452,0.013727,0.347785,-0.369637,0.405688,-0.835961,-0.666416,-0.742652,-0.0658,-0.647069,0.532268,0.545911,0.0,0.0,0.0,0.0,0.0,0.0,0.080138,-0.099142,0.014144,0.356497,0.983428,0.168082,-0.067891,-0.035279,0.54535,0.837426,0.17653,-0.82135,0.542296,0.012167,0.004181,0.018303,-0.030058,-0.038521,0.058166,-1.407416,0.043963,0.025053,-0.004104,-0.97885,-0.203276,-0.023037,0.102379,-0.584235,0.8051,-0.177116,0.785714,0.59269,-0.000456,0.000768,0.008914,-0.047122,0.086306,-0.169991,-0.867524,0.080714,0.03162,-0.067775,-0.378223,0.416331,-0.82681,-0.576218,-0.804915,-0.141716,-0.724513,0.422823,0.544335,-0.000554,-0.005461,0.004205,-0.034321,0.018938,-0.015368,-0.089992
717,0.0864,0.013731,0.347786,-0.369631,0.405682,-0.835967,-0.666417,-0.742651,-0.065798,-0.647072,0.532274,0.545903,-0.013516,0.002075,0.001254,-0.000984,0.014715,-0.029553,0.082427,-0.09872,0.014068,0.357129,0.983168,0.171326,-0.063394,-0.041352,0.547271,0.835894,0.176654,-0.819404,0.545192,0.013631,-0.002338,0.013373,0.190722,0.021069,-0.27458,-1.407093,0.044175,0.025036,-0.003767,-0.978342,-0.206118,-0.018997,0.107738,-0.585437,0.803526,-0.176742,0.784078,0.594965,0.006718,-0.000777,0.006975,0.307835,0.353192,-0.822191,-0.868341,0.080694,0.031622,-0.067774,-0.378196,0.416339,-0.826818,-0.576227,-0.804905,-0.141732,-0.72452,0.422833,0.544318,-0.000149,-0.000463,-0.00038,-9e-06,4e-06,3e-06,-0.089829
718,0.086408,0.013722,0.347779,-0.369629,0.405685,-0.835966,-0.666418,-0.74265,-0.065801,-0.647072,0.532273,0.545903,-0.000139,-0.000434,-0.000355,0.0,0.0,0.0,0.082429,-0.098428,0.013931,0.357444,0.982905,0.172915,-0.06316,-0.042705,0.548433,0.835063,0.177785,-0.818294,0.54649,0.015786,-0.014278,0.021048,0.020426,-0.047445,-0.042817,-1.407336,0.044326,0.024967,-0.003604,-0.97791,-0.208189,-0.018668,0.109695,-0.587175,0.801992,-0.177927,0.782229,0.597042,0.007907,-0.007242,0.010439,-0.012055,-0.049086,-0.042857,-0.868504,0.080692,0.031618,-0.067778,-0.378214,0.416329,-0.826815,-0.576221,-0.804913,-0.141717,-0.724515,0.422829,0.544327,-8.9e-05,-0.000279,-0.000227,-4e-06,7e-06,2e-06,-0.089665
719,0.086473,0.013731,0.347776,-0.369441,0.405765,-0.83601,-0.666466,-0.742592,-0.065969,-0.647131,0.532292,0.545815,0.000193,0.0006,0.000492,0.0,0.0,0.0,0.081055,-0.097725,0.013647,0.357968,0.981969,0.17872,-0.061542,-0.048796,0.554745,0.830548,0.181327,-0.812779,0.553509,0.01638,-0.016805,0.019155,0.492026,-0.259135,-0.192771,-1.40705,0.044666,0.024833,-0.003353,-0.976942,-0.212792,-0.017356,0.114627,-0.591363,0.798216,-0.180117,0.777822,0.60212,0.01375,-0.001625,0.005567,-0.027351,-0.066624,0.043701,-0.86785,0.080724,0.03162,-0.067781,-0.378035,0.416432,-0.826845,-0.576267,-0.80485,-0.141884,-0.724572,0.422846,0.544238,0.00015,0.000473,0.000387,3e-06,-4e-06,1.5e-05,-0.089992
720,0.086533,0.013719,0.347767,-0.36931,0.405829,-0.836037,-0.666512,-0.742541,-0.066083,-0.647158,0.532315,0.54576,0.0,0.0,0.0,0.0,0.0,0.0,0.079227,-0.097087,0.013411,0.358334,0.981949,0.180237,-0.057293,-0.053334,0.555056,0.830062,0.18016,-0.812235,0.554689,0.014622,-0.00659,0.010175,-0.026085,-0.014656,0.005117,-1.407388,0.044986,0.024708,-0.00317,-0.976293,-0.21605,-0.013161,0.120509,-0.593053,0.796093,-0.179801,0.775635,0.605029,0.006528,0.001331,0.000221,-0.01996,-0.021241,0.03125,-0.869484,0.080755,0.031616,-0.067784,-0.377911,0.416511,-0.826862,-0.576314,-0.804797,-0.141996,-0.724599,0.42287,0.544182,-1e-06,-4e-06,-5e-06,-8e-06,-4e-06,-4e-06,-0.091135
721,0.086533,0.013719,0.347767,-0.369445,0.405774,-0.836004,-0.666466,-0.742592,-0.065975,-0.647129,0.532286,0.545823,0.0,0.0,0.0,0.0,0.0,0.0,0.077824,-0.096509,0.013386,0.358611,0.982042,0.180268,-0.055574,-0.054617,0.554216,0.830539,0.179271,-0.812801,0.554147,0.014257,-0.005006,0.011364,-0.033784,-0.011266,0.007526,-1.407098,0.045286,0.024688,-0.003025,-0.976301,-0.216106,-0.011526,0.12162,-0.591934,0.796757,-0.179006,0.776473,0.60419,0.007106,-0.002425,0.005731,-0.034493,-0.010012,0.009202,-0.871933,0.080755,0.031616,-0.067784,-0.37804,0.416439,-0.826839,-0.576267,-0.804849,-0.141889,-0.72457,0.42284,0.544246,1e-06,-1e-06,-4e-06,-1.1e-05,-9e-06,-1.1e-05,-0.092605
722,0.086524,0.01372,0.34778,-0.369464,0.40577,-0.835998,-0.666477,-0.742584,-0.065948,-0.647106,0.5323,0.545837,-0.012935,0.003884,0.002738,-0.000984,0.014715,-0.029553,0.077831,-0.096281,0.013446,0.35874,0.982178,0.180294,-0.053031,-0.056653,0.553632,0.830792,0.177898,-0.813194,0.554014,0.012031,0.007079,0.003778,0.003909,-0.028829,0.05457,-1.406876,0.045392,0.024711,-0.002964,-0.976302,-0.216219,-0.009038,0.123576,-0.591297,0.796929,-0.177655,0.776927,0.604004,0.000439,-0.003186,0.005927,-0.034057,-0.010262,0.007113,-0.871116,0.080754,0.031612,-0.067781,-0.378056,0.416436,-0.826833,-0.576281,-0.804843,-0.141866,-0.724549,0.422855,0.544261,2e-06,-1e-06,-4e-06,-7e-06,2e-06,-4e-06,-0.092768
723,0.086515,0.01372,0.347794,-0.369483,0.405767,-0.835991,-0.666488,-0.742576,-0.065921,-0.647083,0.532314,0.545851,7e-06,2.3e-05,1.9e-05,0.0,0.0,0.0,0.077437,-0.095939,0.013572,0.359017,0.982037,0.181728,-0.050685,-0.059738,0.554868,0.829751,0.177664,-0.812033,0.555789,-0.001454,0.006179,0.004631,0.034686,-0.028228,0.015021,-1.406875,0.045572,0.024778,-0.002824,-0.975993,-0.217693,-0.006709,0.126707,-0.592586,0.795478,-0.177146,0.775532,0.605944,-0.00075,0.003175,0.002371,0.004081,-0.029191,0.017165,-0.870953,0.080746,0.031616,-0.067771,-0.378078,0.416427,-0.826828,-0.576293,-0.80484,-0.141836,-0.724529,0.42287,0.544276,1e-06,5e-06,3e-06,-9e-06,3e-06,1e-06,-0.093421
724,0.086533,0.013709,0.347785,-0.369459,0.40578,-0.835995,-0.666497,-0.742566,-0.065943,-0.647088,0.532317,0.545841,-3e-06,-9e-06,-7e-06,0.0,0.0,0.0,0.077509,-0.095725,0.01367,0.359312,0.982028,0.18185,-0.050429,-0.059917,0.554383,0.830063,0.177655,-0.812337,0.555346,-0.001124,0.004762,0.003562,-0.010969,0.080247,-0.149529,-1.406989,0.045678,0.02483,-0.002675,-0.975963,-0.217835,-0.006608,0.126725,-0.59191,0.795978,-0.177303,0.776008,0.605288,-0.000468,0.001962,0.001463,-0.001188,0.00089,0.000707,-0.8703,0.080755,0.031611,-0.067775,-0.378055,0.416443,-0.82683,-0.576302,-0.80483,-0.141857,-0.724534,0.422874,0.544267,0.0,-2e-06,-3e-06,-3e-06,2e-06,3e-06,-0.093585
