frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.114067,-0.008259,0.359096,-0.313982,0.488686,-0.814031,-0.699615,-0.698655,-0.149637,-0.64147,0.521914,0.562271,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.099758,-0.200528,-0.001757,0.294829,0.801251,0.318493,0.506509,-0.410276,0.90859,0.077924,-0.436384,-0.270656,0.858008,0.019329,-0.0155,0.063255,-0.127657,-0.036239,0.04861,0.143451,0.018343,0.022334,-0.030492,-0.823171,-0.227607,0.520176,0.285535,-0.957807,0.032759,0.490773,0.175495,0.85343,0.002411,-0.007409,0.03246,-0.142751,0.011087,0.023108,-0.000288,0.071948,0.020748,-0.063591,-0.379679,0.476757,-0.792809,-0.572502,-0.794258,-0.203455,-0.726694,0.376637,0.574507,-2e-06,0.0,4e-06,-1e-05,-5e-06,5e-06,-0.068928
2,0.114016,-0.008252,0.359101,-0.314231,0.488581,-0.813998,-0.699544,-0.69877,-0.149435,-0.641425,0.521859,0.562373,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.102649,-0.199894,-0.002538,0.29739,0.803585,0.312866,0.506317,-0.402607,0.912215,0.075531,-0.439236,-0.264947,0.858335,0.019266,-0.015507,0.062879,0.357993,0.54474,-0.284604,0.157937,0.018668,0.02194,-0.029178,-0.825124,-0.221385,0.519767,0.277425,-0.960233,0.031417,0.492143,0.17012,0.853729,0.002571,-0.013442,0.035756,1.458863,1.923262,-1.117872,0.021756,0.071922,0.020752,-0.063588,-0.379908,0.47661,-0.792787,-0.572415,-0.794371,-0.203258,-0.726642,0.376584,0.574607,-1e-06,-0.0,4e-06,-1.1e-05,4e-06,8e-06,-0.066478
3,0.113922,-0.008239,0.359111,-0.314435,0.488493,-0.813972,-0.699486,-0.698864,-0.149269,-0.641389,0.521815,0.562455,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.105866,-0.199314,-0.003141,0.299635,0.804206,0.305874,0.509593,-0.394077,0.916201,0.072199,-0.445803,-0.259277,0.856679,0.01829,-0.008875,0.049662,3.209067,0.946335,4.442735,0.164223,0.018959,0.021645,-0.028041,-0.823494,-0.219414,0.523177,0.274059,-0.961298,0.028218,0.496738,0.166618,0.851756,0.009106,-0.004407,0.024844,1.539906,1.881844,-1.08402,0.035636,0.071876,0.020758,-0.063583,-0.380094,0.476489,-0.79277,-0.572344,-0.794464,-0.203096,-0.726601,0.376542,0.574687,-1e-06,-1e-06,3e-06,-1.7e-05,1.4e-05,6e-06,-0.063049
4,0.113797,-0.008228,0.359119,-0.314726,0.488368,-0.813935,-0.699402,-0.698998,-0.149032,-0.641337,0.521753,0.562572,-3.7e-05,-0.000163,-0.000132,0.0,0.0,0.0,0.107716,-0.198609,-0.003435,0.301216,0.800971,0.300293,0.517939,-0.389021,0.918587,0.069242,-0.455972,-0.257338,0.851897,0.016644,0.006927,0.026448,-0.22495,0.260832,0.303494,0.163854,0.019312,0.021497,-0.027236,-0.82044,-0.211154,0.53131,0.263429,-0.964391,0.023514,0.507426,0.159254,0.84685,0.008436,-0.003176,0.016084,-0.437602,0.526877,0.390281,0.040861,0.071813,0.020764,-0.063579,-0.380361,0.476316,-0.792746,-0.572243,-0.794596,-0.202864,-0.726541,0.376482,0.574802,-0.006911,0.000882,0.00064,-0.000991,0.014714,-0.029538,-0.06011
5,0.113732,-0.008232,0.359114,-0.3149,0.488293,-0.813912,-0.699351,-0.699079,-0.148889,-0.641306,0.521715,0.562643,-0.000128,-0.000561,-0.000456,0.0,0.0,0.0,0.108514,-0.198212,-0.003451,0.301714,0.800298,0.299988,0.519154,-0.388668,0.918796,0.06845,-0.457454,-0.256947,0.851221,0.030624,0.002383,0.020619,-0.03143,-0.045455,0.092299,0.164451,0.019499,0.021491,-0.026991,-0.819281,-0.209564,0.533723,0.262543,-0.964615,0.024258,0.509753,0.159999,0.845311,0.008015,0.000549,0.010072,-0.02453,-0.034694,0.033268,0.041678,0.071781,0.020763,-0.063581,-0.380522,0.476212,-0.792732,-0.572182,-0.794675,-0.202725,-0.726505,0.376446,0.574871,-0.006987,0.000558,0.000376,-0.000992,0.014695,-0.029552,-0.058804
6,0.113631,-0.008253,0.359097,-0.314329,0.485934,-0.815543,-0.699214,-0.699535,-0.147384,-0.641737,0.523304,0.560672,-0.000228,-0.000997,-0.000811,-0.008927,-0.045354,-0.023201,0.109427,-0.19743,-0.003324,0.302263,0.799345,0.29518,0.523362,-0.386447,0.919472,0.071862,-0.460995,-0.260076,0.848356,0.029578,0.008152,0.006799,-0.009418,-0.023481,0.098989,0.164666,0.019891,0.021549,-0.026708,-0.817469,-0.205087,0.538222,0.260469,-0.965079,0.02787,0.513711,0.162973,0.842342,0.014755,0.003824,0.003118,0.010141,-0.046436,0.089946,0.042005,0.071731,0.020753,-0.063589,-0.379444,0.473857,-0.794657,-0.571955,-0.79525,-0.201106,-0.727247,0.3782,0.572778,-0.000172,-0.000753,-0.00061,-0.009008,-0.039317,-0.018962,-0.056844
7,0.113554,-0.008262,0.359088,-0.314546,0.485842,-0.815514,-0.699151,-0.699635,-0.147207,-0.641698,0.523257,0.560761,-4.8e-05,-0.000207,-0.000169,-2e-06,-1.1e-05,-6e-06,0.110638,-0.196586,-0.002996,0.302467,0.799441,0.292518,0.524709,-0.385079,0.919867,0.074107,-0.461976,-0.261677,0.847329,0.029378,0.006491,0.004989,-0.00963,0.071035,-0.077576,0.164421,0.020312,0.021708,-0.026611,-0.8173,-0.20241,0.53949,0.25897,-0.965415,0.030115,0.514736,0.164325,0.841452,0.007518,0.003644,0.003374,0.015968,-0.045083,0.047876,0.042331,0.071692,0.020746,-0.063595,-0.379738,0.47394,-0.794467,-0.571918,-0.795287,-0.201065,-0.727123,0.378018,0.573056,-2.4e-05,-9.9e-05,-7.7e-05,0.000243,0.001458,0.000787,-0.055538
8,0.113521,-0.008263,0.359074,-0.314637,0.485799,-0.815505,-0.699107,-0.699692,-0.147145,-0.641701,0.523221,0.560791,-0.013902,0.001438,0.001005,-0.000984,0.014714,-0.029553,0.112341,-0.196227,-0.002827,0.302608,0.799537,0.292333,0.524665,-0.384892,0.91994,0.074182,-0.461965,-0.261628,0.84735,0.015171,0.008946,0.008512,0.003622,-0.031256,0.053127,0.15213,0.020496,0.021784,-0.02655,-0.81743,-0.202337,0.539321,0.258786,-0.965467,0.030019,0.514623,0.164107,0.841564,0.007534,0.003919,0.003656,0.006512,-0.035157,0.050733,0.038412,0.07168,0.020746,-0.063602,-0.379805,0.473905,-0.794456,-0.571875,-0.795327,-0.201029,-0.727122,0.377978,0.573084,-9.1e-05,-0.000387,-0.000314,5.6e-05,0.000197,9.6e-05,-0.054395
9,0.113497,-0.008274,0.359065,-0.314722,0.485763,-0.815494,-0.699083,-0.699731,-0.147076,-0.641686,0.523202,0.560825,-2.4e-05,-0.000103,-8.4e-05,-0.0,-0.0,-0.0,0.117082,-0.195713,-0.002412,0.303073,0.79953,0.289845,0.526054,-0.383817,0.920194,0.07656,-0.462872,-0.263496,0.846276,0.001168,0.013764,0.014487,0.002978,-0.031818,0.047967,0.152941,0.020764,0.021988,-0.026322,-0.816996,-0.199957,0.540864,0.257803,-0.965652,0.032421,0.515804,0.165924,0.840484,0.007764,0.006858,0.006729,0.009114,-0.038229,0.049326,0.028941,0.071663,0.02074,-0.063607,-0.379904,0.473843,-0.794446,-0.571837,-0.795375,-0.200945,-0.727099,0.377954,0.573128,-7e-06,-2.9e-05,-2.1e-05,1.5e-05,6e-06,-1.9e-05,-0.04917
10,0.113505,-0.008281,0.359046,-0.314722,0.485759,-0.815496,-0.699065,-0.699746,-0.147088,-0.641705,0.523186,0.560819,-0.000223,-0.000973,-0.000791,-0.0,-0.0,-0.0,0.118039,-0.195372,-0.00192,0.303835,0.799674,0.289604,0.525968,-0.3838,0.920156,0.077094,-0.462637,-0.263892,0.846281,0.001937,0.005713,0.025647,-0.033016,-0.019007,0.030976,0.160162,0.020934,0.022237,-0.025945,-0.817139,-0.199743,0.540726,0.257797,-0.965639,0.032875,0.51558,0.166261,0.840555,0.000734,0.008918,0.009317,0.003183,-0.032385,0.047248,0.031717,0.071667,0.020739,-0.063614,-0.379905,0.473839,-0.794448,-0.571817,-0.795387,-0.200957,-0.727115,0.377934,0.57312,-0.000149,-0.000641,-0.00052,1.2e-05,5e-06,-1.7e-05,-0.045904
