frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1388,0.252546,0.117032,0.320212,-0.869361,0.404066,0.284584,-0.011421,-0.591996,0.805843,0.49517,0.696813,0.518927,-0.069976,-0.093952,0.000484,-0.125008,-0.057472,-0.085969,-1.906446,-0.171563,-0.004271,0.340776,0.907643,-0.059164,0.415542,-0.249876,0.719043,0.648439,-0.338291,-0.692301,0.637293,5e-06,0.00112,0.000948,-0.012389,0.098293,-0.17244,0.219543,0.033887,0.018927,-0.006364,-0.853572,0.245254,0.459635,0.129298,-0.75493,0.642932,0.504674,0.608219,0.612676,0.006928,0.001132,0.000384,0.002073,-0.015179,0.029281,0.113689,0.141793,0.083298,-0.079711,-0.880683,0.28472,0.378588,0.127145,-0.627804,0.767915,0.456321,0.724427,0.516697,-0.036061,-0.040645,-0.002532,-0.112744,0.074848,-0.207707,-0.850273
1389,0.251119,0.115276,0.320192,-0.882725,0.378848,0.278058,0.001082,-0.58995,0.807421,0.47103,0.712559,0.520016,-0.070811,-0.093388,0.000834,-1.609381,-4.63359,-2.736392,-1.906551,-0.171491,-0.004242,0.340795,0.907627,-0.059159,0.415578,-0.249904,0.719043,0.648428,-0.338313,-0.692301,0.637281,6e-06,0.001485,0.001257,0.0,-0.0,-0.0,0.218986,0.033924,0.018942,-0.006355,-0.853501,0.245194,0.459798,0.129439,-0.754962,0.642866,0.504757,0.608203,0.612623,3e-06,0.00085,0.000716,0.001819,-0.014217,0.025011,0.113689,0.141081,0.082418,-0.079723,-0.890006,0.263682,0.371967,0.136153,-0.624891,0.768747,0.435144,0.734835,0.520256,-0.041833,-0.041358,-0.002667,-0.079136,-0.397726,0.533723,-0.853865
1390,0.247782,0.112364,0.320047,-0.891792,0.362199,0.271228,0.005133,-0.591165,0.806517,0.453571,0.720186,0.525007,-0.099265,-0.065657,-0.00776,0.087748,-1.196892,2.011168,-1.907357,-0.171383,-0.004209,0.34068,0.907495,-0.059076,0.415878,-0.250083,0.719228,0.648154,-0.338535,-0.692116,0.637363,-0.000868,0.008116,-0.010824,0.03645,-0.010154,0.018427,0.214561,0.033978,0.018965,-0.006406,-0.853373,0.245087,0.460092,0.129561,-0.75518,0.642585,0.504942,0.607976,0.612697,-0.000435,0.003883,-0.005563,0.03647,-0.010132,0.018437,0.112056,0.139425,0.080944,-0.079798,-0.898581,0.240392,0.367099,0.145792,-0.625506,0.766476,0.413877,0.742261,0.527021,-0.044241,-0.031768,-0.003482,0.172308,0.310224,-0.276661,-0.855172
1391,0.24384,0.10937,0.319737,-0.92648,0.280715,0.250755,0.045197,-0.578274,0.814572,0.374823,0.765668,0.522768,-0.095027,-0.098764,-0.00146,-1.651116,-4.70404,-3.056542,-1.907838,-0.171312,-0.00424,0.340408,0.907397,-0.059018,0.4161,-0.250119,0.719558,0.647774,-0.338772,-0.691779,0.637604,-2e-05,-0.005549,-0.004708,0.0,-0.0,-0.0,0.213109,0.034013,0.018952,-0.006541,-0.853278,0.24501,0.46031,0.129509,-0.75551,0.642207,0.505116,0.607596,0.61293,-0.000439,0.002008,-0.007153,0.034669,0.004118,-0.006544,0.10879,0.137449,0.079477,-0.079945,-0.925237,0.163656,0.342273,0.178376,-0.608583,0.77318,0.334838,0.776428,0.533892,-0.053783,-0.044611,-0.004196,-0.362749,-0.759206,0.050168,-0.86203
1392,0.239854,0.105402,0.319675,-0.965968,0.148044,0.212212,0.100846,-0.539682,0.83579,0.239464,0.828562,0.50613,-0.107965,-0.100519,-0.00206,-1.264531,-2.136345,1.587431,-1.910862,-0.171419,-0.004362,0.340046,0.906913,-0.058659,0.417205,-0.250961,0.719932,0.647032,-0.339447,-0.69142,0.637635,-0.013895,-0.008626,-0.006189,-0.003841,0.02948,-0.054214,0.213547,0.033965,0.018892,-0.006721,-0.852838,0.244578,0.461354,0.13018,-0.756042,0.641445,0.505687,0.607108,0.612943,-1.2e-05,-0.004091,-0.003477,-0.001812,0.014285,-0.024945,0.108137,0.135464,0.077486,-0.07998,-0.953011,0.025791,0.301834,0.234798,-0.566679,0.789775,0.191412,0.823534,0.533996,-0.053023,-0.05673,0.00181,-1.088147,-1.777791,-0.947609,-0.867908
1393,0.237571,0.103357,0.319675,-0.975744,0.088598,0.200296,0.125347,-0.523761,0.842576,0.180774,0.847135,0.49971,-0.131277,-0.10337,-0.002722,-0.509905,-0.524289,-0.248407,-1.910444,-0.171551,-0.004431,0.339852,0.906733,-0.058518,0.417616,-0.251247,0.720137,0.646693,-0.339716,-0.691219,0.637709,-3.9e-05,-0.00857,-0.0073,-0.001796,0.014281,-0.024964,0.211758,0.033894,0.018857,-0.006818,-0.852662,0.244393,0.461777,0.130419,-0.756305,0.641086,0.505922,0.606855,0.612999,-0.007376,0.000823,-0.007597,0.032606,0.019311,-0.035794,0.107647,0.134282,0.076424,-0.079981,-0.95789,-0.036185,0.284844,0.25781,-0.545125,0.797729,0.12641,0.837572,0.531499,-0.065656,-0.051818,-0.001405,-0.447833,-0.568485,-0.22045,-0.873297
1394,0.232265,0.098751,0.319695,-0.986163,-0.015792,0.16516,0.151031,-0.496771,0.854623,0.069779,0.867761,0.492085,-0.141296,-0.134669,0.005464,-0.633418,-2.925396,1.736864,-1.912231,-0.171769,-0.004565,0.339568,0.906503,-0.058332,0.418141,-0.251616,0.720397,0.64626,-0.340058,-0.690964,0.637803,-0.000874,0.006859,-0.01191,0.03645,-0.010213,0.018395,0.205153,0.03379,0.018777,-0.006965,-0.852451,0.244168,0.462285,0.130711,-0.756619,0.640657,0.506202,0.606555,0.613065,-7e-06,-0.001912,-0.001629,-1.4e-05,1.1e-05,9e-06,0.102912,0.131681,0.07418,-0.079969,-0.958887,-0.138476,0.247705,0.283331,-0.51647,0.808073,0.016033,0.845033,0.534472,-0.071126,-0.061557,-0.000369,-1.258626,-5.842649,-0.945628,-0.882115
1395,0.226743,0.093188,0.320123,-0.983721,-0.136008,0.117643,0.168611,-0.470975,0.865867,-0.061133,0.871777,0.486102,-0.15431,-0.155509,0.020763,-0.404563,-1.688248,1.960546,-1.91155,-0.171866,-0.004555,0.339519,0.906415,-0.05826,0.418341,-0.251761,0.72049,0.6461,-0.340184,-0.690873,0.637834,3e-06,0.000493,0.000421,0.0,0.0,0.0,0.205162,0.033736,0.018781,-0.006997,-0.852359,0.244068,0.462507,0.130835,-0.756761,0.640464,0.506324,0.606418,0.6131,4e-06,0.000566,0.000486,-4e-06,2e-06,7e-06,0.09834,0.128927,0.071392,-0.07977,-0.947133,-0.256531,0.192689,0.299155,-0.489077,0.819334,-0.115944,0.833663,0.539964,-0.071338,-0.077666,0.010197,-0.532006,-2.806784,0.793248,-0.885544
1396,0.2238,0.090294,0.320597,-0.973601,-0.208266,0.09366,0.181895,-0.459664,0.86925,-0.136771,0.863597,0.485304,-0.157479,-0.146944,0.026525,-0.352445,-1.433898,-0.839639,-1.912405,-0.171866,-0.004513,0.339541,0.906405,-0.058253,0.418363,-0.251772,0.720508,0.646075,-0.340202,-0.690855,0.637845,8e-06,0.001444,0.001232,0.0,0.0,0.0,0.20808,0.033736,0.018803,-0.006985,-0.85235,0.244059,0.462529,0.130841,-0.756781,0.640438,0.506338,0.606396,0.61311,8e-06,0.001207,0.001032,-4e-06,8e-06,-3e-06,0.09883,0.127399,0.069876,-0.079532,-0.93159,-0.325916,0.160988,0.309071,-0.477042,0.822742,-0.191347,0.816215,0.54514,-0.078794,-0.073097,0.013565,-0.377759,-1.462837,-0.796507,-0.886197
1397,0.21763,0.084414,0.32215,-0.940417,-0.336377,0.050115,0.206171,-0.446865,0.870504,-0.269252,0.829388,0.489536,-0.16074,-0.156922,0.049248,0.146574,-5.808554,-0.649585,-1.912786,-0.171823,-0.004454,0.339614,0.906465,-0.0583,0.418227,-0.251663,0.720471,0.64616,-0.340124,-0.69089,0.637848,9e-06,0.001647,0.001405,0.0,0.0,0.0,0.211785,0.033758,0.018835,-0.006945,-0.852405,0.244117,0.462396,0.130746,-0.756722,0.640528,0.50627,0.606447,0.613117,0.006941,0.001411,0.000628,0.003833,-0.029488,0.054201,0.103075,0.12443,0.067049,-0.078795,-0.889673,-0.443065,0.110331,0.331279,-0.460077,0.82376,-0.314219,0.769428,0.556098,-0.080331,-0.078575,0.024569,0.715367,-2.324579,1.287537,-0.885054
