frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
179,0.037478,0.04193,-0.014122,0.006424,-0.00116,-0.00144,0.000655,0.001196,0.005537,-0.799922,0.066231,0.037681,-0.052242,-0.000434,-0.005313,0.00441,-0.034725,0.017467,-0.016141,0.516796
180,0.03777,0.042042,-0.014336,0.006023,0.001611,-0.007441,0.036588,-0.009933,0.023205,-0.800412,0.066183,0.037681,-0.05223,-0.006217,0.001362,0.000916,-0.000975,0.01472,-0.029553,0.516469
181,0.038044,0.042024,-0.014618,0.006596,-0.005718,-0.004964,0.010183,-0.001495,0.005038,-0.798942,0.06617,0.037721,-0.052193,0.000505,0.001886,0.001197,0.00065,-0.013688,0.025352,0.515653
182,0.03818,0.041996,-0.014774,0.006115,-0.000569,-0.009145,0.038087,-0.010453,0.022941,-0.799432,0.066178,0.037739,-0.052158,0.000524,0.001957,0.001239,0.000644,-0.013697,0.025352,0.51451
183,0.038353,0.041923,-0.015159,0.00619,-0.002287,-0.010508,0.034644,0.007041,-1.7e-05,-0.799922,0.066199,0.037733,-0.052028,0.000109,-0.003285,0.005692,-0.034726,0.017472,-0.016149,0.509284
184,0.038439,0.04185,-0.015599,-0.000163,-0.003461,-0.010906,-0.58533,0.452426,0.051729,-0.800412,0.066201,0.037696,-0.051836,0.000778,0.002924,0.001844,-2e-06,-9e-06,-1.3e-05,0.508141
185,0.038468,0.0418,-0.015831,-0.000159,-0.003528,-0.010982,0.049172,0.018436,-0.028071,-0.799922,0.066192,0.037667,-0.051714,0.000606,-0.001421,0.006865,-0.03408,0.003809,0.009202,0.507488
186,0.038442,0.041728,-0.016269,-0.000268,-0.000595,-0.008702,0.057343,6.5e-05,-0.005742,-0.799758,0.0662,0.037607,-0.051403,0.000461,-0.005656,0.011954,-0.068821,0.021229,-0.006952,0.504549
187,0.038441,0.041735,-0.016555,0.006629,-0.005221,-0.004704,0.005427,0.015983,-0.018656,-0.801718,0.066224,0.03754,-0.051078,0.000313,-0.006202,0.011611,-0.06882,0.021217,-0.006965,0.503079
188,0.038453,0.04162,-0.01684,0.000269,-0.007097,-0.005658,-0.003989,0.033646,-0.04699,-0.802861,0.06622,0.037504,-0.050781,0.000664,-0.001187,0.006999,-0.034069,0.00384,0.009222,0.49916
189,0.03848,0.041518,-0.016967,0.000233,-0.006151,-0.004917,-0.002122,0.016683,-0.023693,-0.803024,0.066203,0.037501,-0.050644,0.000802,-0.00067,0.007317,-0.034067,0.003849,0.009222,0.498344
190,0.038577,0.041282,-0.017132,0.000176,-0.00454,-0.003645,-0.002068,0.016814,-0.023522,-0.803188,0.066157,0.037527,-0.050418,-0.005672,-0.000358,0.007568,-0.035015,0.017767,-0.018865,0.503406
191,0.038637,0.041106,-0.017279,0.000164,-0.00426,-0.003431,-0.002046,0.016903,-0.023407,-0.802698,0.066148,0.037602,-0.05029,0.000668,0.002513,0.001558,-1.1e-05,-7e-06,1.9e-05,0.503732
192,0.038673,0.041046,-0.017337,8.8e-05,-0.002237,-0.001806,-6.4e-05,-0.000142,-0.000207,-0.802698,0.066156,0.037647,-0.050261,0.000879,0.006987,-0.003394,0.034752,-0.017341,0.016215,0.498181
193,0.038703,0.041025,-0.017337,-4.6e-05,0.001274,0.001027,0.000867,0.003832,-0.002912,-0.803514,0.066156,0.037763,-0.050231,0.000609,0.002281,0.001409,0.000693,-0.013468,0.025461,0.491812
194,0.03869,0.041124,-0.017251,-0.000147,0.003884,0.003125,0.002149,-0.016242,0.022419,-0.800575,0.066176,0.037811,-0.050224,-3.1e-05,-0.000111,-6.9e-05,0.0,1e-06,5e-06,0.482015
195,0.03869,0.041263,-0.017133,-0.000141,0.003686,0.002959,0.002013,-0.016705,0.022796,-0.800411,0.06625,0.03778,-0.050256,0.006014,-0.002001,-0.001306,0.000988,-0.014719,0.029563,0.449683
196,0.038693,0.041327,-0.017069,-0.000151,0.003924,0.003144,0.001943,-0.017029,0.023044,-0.800085,0.066327,0.037788,-0.050315,0.006044,-0.001897,-0.001241,0.000993,-0.014719,0.029577,0.418168
197,0.038693,0.041467,-0.016927,-0.000174,0.004452,0.003556,0.001912,-0.017069,0.0231,-0.800248,0.066453,0.037842,-0.050451,0.006462,0.003141,-0.005814,-0.094285,-1.25028,2.521922,0.317091
198,0.038699,0.041601,-0.01679,-0.00014,0.003568,0.002842,2e-06,-2.5e-05,-2.9e-05,-0.799922,0.066591,0.03779,-0.050566,0.005619,-0.003508,-0.002244,-0.000203,0.003022,-0.003503,0.152658
199,0.038706,0.041666,-0.016732,-0.000125,0.003165,0.002517,0.001938,-0.017075,0.023133,-0.800248,0.06668,0.037749,-0.050621,0.006157,0.002221,-0.006415,0.035399,-0.027138,0.036843,0.034925
200,0.038736,0.041763,-0.016665,-7.9e-05,0.001995,0.001584,0.001954,-0.017072,0.023139,-0.800085,0.066769,0.037736,-0.050677,0.000111,0.000419,0.000256,1e-06,0.00127,-0.002376,-0.146981
201,0.038787,0.041807,-0.016628,-3.8e-05,0.000925,0.000732,-0.013489,0.117641,-0.159783,-0.799758,0.066792,0.037809,-0.050719,0.00619,-0.001352,-0.000908,0.001059,-0.014729,0.029491,-0.202173
202,0.038836,0.041816,-0.016613,1e-06,-5.2e-05,-4.4e-05,-1.8e-05,6e-06,-1.4e-05,-0.797962,0.066837,0.037869,-0.050798,-2e-05,-8.1e-05,-5.1e-05,-7.4e-05,0.001686,-0.003118,-0.249854
203,0.038865,0.041812,-0.016613,2e-06,-5.6e-05,-4.7e-05,0.012103,0.002044,0.006888,-0.798452,0.066847,0.037901,-0.050842,0.000287,0.004791,-0.004746,0.034808,-0.017127,0.01584,-0.277286
204,0.038923,0.041812,-0.016611,-1.3e-05,0.000327,0.000257,0.023434,-0.004578,0.001254,-0.797309,0.066865,0.037932,-0.050904,-0.000237,-0.000908,-0.000564,4.6e-05,-8e-06,-4e-06,-0.32856
205,0.038989,0.041851,-0.016587,-4.5e-05,0.001093,0.000866,0.006033,-0.002585,-0.001581,-0.795676,0.066886,0.03791,-0.050941,0.005935,-0.002345,-0.00152,-0.036158,-0.424586,0.847655,-0.385711
206,0.039017,0.041882,-0.016559,-7.1e-05,0.001677,0.001328,0.012453,0.024308,0.034267,-0.792084,0.066919,0.037888,-0.050961,0.005987,-0.002124,-0.001386,0.000842,-0.01132,0.023202,-0.430453
207,0.039037,0.04193,-0.01643,0.000364,-0.001913,0.006722,-0.034695,-0.006665,0.005031,-0.692313,0.067031,0.037826,-0.050995,0.005909,-0.002434,-0.001579,-0.011421,0.005129,0.005303,-0.557983
208,0.039024,0.042146,-0.016252,-0.00018,0.007122,0.005535,1.419956,3.114744,4.35354,-0.511714,0.067127,0.037769,-0.051009,0.006253,-0.001117,-0.000763,0.001237,-0.014654,0.029211,-0.659223
209,0.038975,0.042519,-0.015963,-0.006858,0.01081,0.009027,0.042066,0.066111,0.135878,-0.39888,0.067225,0.037775,-0.051023,0.000104,0.000402,0.000248,0.000177,-7.2e-05,-3.9e-05,-0.660366
210,0.038939,0.042718,-0.015775,-0.000489,0.011485,0.008962,0.147768,0.258399,0.494001,-0.359527,0.067284,0.037778,-0.051022,0.006304,-0.000919,-0.000639,0.001323,-0.015047,0.0299,-0.660203
211,0.038822,0.043023,-0.015383,-0.006263,0.003761,0.011614,0.53965,1.268695,1.739381,-0.300253,0.067351,0.037757,-0.051006,1.3e-05,5.3e-05,3e-05,0.0002,-0.000108,-5.4e-05,-0.660203
212,0.038649,0.043303,-0.015013,-0.000433,0.010146,0.007828,0.421027,0.937015,1.354274,-0.097282,0.067389,0.03773,-0.050978,1.9e-05,7.2e-05,4.2e-05,0.000146,-5.2e-05,-3.5e-05,-0.660366
213,0.038529,0.043516,-0.014883,-0.007268,0.015424,0.004282,0.443014,0.923981,1.327105,0.04576,0.067389,0.037718,-0.050962,-4e-06,-9e-06,-5e-06,0.000113,-5.2e-05,-3.9e-05,-0.660693
214,0.038256,0.044003,-0.014653,-0.013511,0.014203,0.003851,0.158331,0.270502,0.396883,0.353563,0.067375,0.03768,-0.050933,-7e-05,-0.000271,-0.000167,7.8e-05,-2.7e-05,-3.8e-05,-0.661672
215,0.037932,0.044425,-0.014447,-0.013378,0.01283,0.002541,1.368229,3.137237,4.345384,0.49187,0.067364,0.037638,-0.05089,0.000197,0.000767,0.000477,5.5e-05,-2.5e-05,-1e-05,-0.661183
216,0.037614,0.044796,-0.014316,-0.006991,0.011076,0.000674,1.409382,3.129406,4.396891,0.512445,0.067356,0.037626,-0.050851,-0.000354,-0.005076,0.00457,-0.034768,0.017171,-0.016284,-0.66004
217,0.037427,0.044934,-0.014257,-0.013225,0.009697,0.000377,0.046073,0.022224,0.01238,0.51669,0.067344,0.037631,-0.050836,9.2e-05,0.000355,0.000221,2.9e-05,-1.3e-05,-1.1e-05,-0.660366
