frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.11118,-0.03302,0.415991,-0.421266,0.609012,-0.672075,-0.699657,-0.689689,-0.186497,-0.576585,0.390896,0.71748,0.014905,0.003267,0.002176,0.000944,-0.014697,0.02952,0.000673,-0.127366,-0.019917,0.410877,0.390984,0.710304,0.585313,-0.647345,0.664323,-0.373569,-0.654647,-0.233744,0.718794,-0.048999,-0.034081,0.095535,-0.268031,0.579878,-0.195054,-0.752383,0.031305,0.032123,-0.006351,-0.27196,-0.777115,0.567564,0.718951,-0.556117,-0.416942,0.639645,0.294659,0.70995,-0.024533,-0.017431,0.047554,-0.092557,0.960642,-0.439861,-0.88222,0.065262,0.019514,-0.06257,-0.531248,0.545307,-0.648394,-0.560945,-0.799939,-0.21316,-0.634914,0.250473,0.730853,0.007652,0.006507,-0.003909,0.046381,-0.039598,0.080345,-0.214419
2,0.111543,-0.0328,0.415891,-0.421579,0.608902,-0.671979,-0.700449,-0.689239,-0.185181,-0.575394,0.391858,0.717911,0.015593,0.014403,-0.006863,0.038299,-0.03663,0.075055,0.011011,-0.128161,-0.020432,0.41253,0.375634,0.711958,0.593302,-0.650642,0.65852,-0.378089,-0.660327,-0.24491,0.709825,-0.036836,-0.023667,0.084838,0.41594,0.743661,-0.80215,-0.774156,0.030874,0.031846,-0.005456,-0.255359,-0.776608,0.575908,0.721716,-0.549475,-0.420953,0.643363,0.308149,0.700804,-0.018481,-0.011878,0.042426,0.478164,0.702775,-0.879348,-0.903611,0.065449,0.019624,-0.06262,-0.53149,0.545168,-0.648312,-0.561789,-0.799682,-0.211898,-0.633964,0.251593,0.731292,0.014519,0.001618,0.001034,0.007131,-0.039824,0.088421,-0.203969
3,0.112342,-0.032401,0.415759,-0.424283,0.607637,-0.671422,-0.702506,-0.688674,-0.179403,-0.570882,0.394801,0.719898,0.015385,0.005576,0.00373,0.002509,-0.023925,0.056777,0.020867,-0.129463,-0.021399,0.415799,0.358887,0.707503,0.608794,-0.642761,0.660322,-0.388286,-0.677136,-0.252858,0.690951,-0.024175,-0.017078,0.071655,-0.003651,0.615323,-0.252731,-0.803653,0.03024,0.031386,-0.003874,-0.24016,-0.770898,0.589948,0.713921,-0.552056,-0.430756,0.657753,0.317726,0.682942,-0.01158,-0.012894,0.041156,1.945516,1.457102,-1.589217,-0.870626,0.06585,0.019831,-0.062687,-0.533921,0.543392,-0.647805,-0.563859,-0.79974,-0.206105,-0.630072,0.255227,0.733394,0.014602,0.006128,-0.00422,0.045144,-0.053541,0.108663,-0.184047
4,0.11331,-0.032094,0.415662,-0.426768,0.606486,-0.670888,-0.704741,-0.687873,-0.173617,-0.566258,0.39795,0.721814,0.028761,0.002474,0.001518,0.001836,-0.029373,0.058997,0.007633,-0.129919,-0.022448,0.418787,0.353248,0.705473,0.614422,-0.627453,0.665846,-0.403591,-0.694247,-0.24385,0.677068,0.004305,-0.030264,0.07726,-0.169809,0.505646,-0.166553,-0.86216,0.029996,0.030874,-0.002376,-0.234423,-0.769138,0.594534,0.698967,-0.558404,-0.446798,0.67564,0.310821,0.668505,0.00157,-0.011164,0.0331,0.514555,0.713481,-0.418331,-0.884016,0.066329,0.019989,-0.062732,-0.536165,0.541769,-0.647312,-0.566158,-0.799595,-0.200277,-0.626092,0.259099,0.735442,0.014518,0.001836,0.001153,0.0104,-0.041345,0.091345,-0.18568
5,0.114262,-0.031781,0.415619,-0.430317,0.607002,-0.668147,-0.707102,-0.686711,-0.168541,-0.560601,0.399164,0.72555,0.029019,0.003862,0.002437,-0.184547,0.13695,-0.240321,-0.002118,-0.129676,-0.023717,0.421465,0.356699,0.706821,0.610869,-0.61142,0.67106,-0.419258,-0.706688,-0.224849,0.670744,0.017474,-0.029637,0.060629,1.98974,0.543088,-1.6805,-0.888722,0.030115,0.030221,-0.000976,-0.237094,-0.769884,0.592507,0.683769,-0.565492,-0.46117,0.690106,0.295797,0.660498,0.008738,-0.015298,0.030011,1.980222,0.53277,-1.673215,-0.890711,0.066799,0.020138,-0.062753,-0.539308,0.542123,-0.644398,-0.568623,-0.798861,-0.196181,-0.62114,0.260618,0.739096,0.014468,0.001683,0.001018,-2.019298,0.839852,-1.606168,-0.199723
6,0.114654,-0.031622,0.415612,-0.43081,0.606802,-0.668012,-0.707958,-0.686239,-0.166867,-0.559142,0.400278,0.726062,0.015389,0.005999,0.003969,0.002608,-0.023372,0.056999,-0.007158,-0.129427,-0.024462,0.422661,0.359859,0.706638,0.609226,-0.603492,0.674316,-0.425475,-0.711889,-0.215452,0.668324,0.019387,-0.044915,0.067286,0.437063,0.164952,-0.591047,-0.918299,0.030231,0.029869,-0.000401,-0.240405,-0.770046,0.59096,0.676016,-0.569716,-0.467359,0.696568,0.287144,0.657526,0.009057,-0.017999,0.02837,1.982056,0.528568,-1.673459,-0.889568,0.067006,0.020222,-0.062759,-0.540202,0.541277,-0.644359,-0.569576,-0.798829,-0.193528,-0.619486,0.262468,0.739828,0.014478,0.001842,0.001138,0.007554,-0.049673,0.086875,-0.205275
7,0.115514,-0.03122,0.415603,-0.43499,0.604858,-0.667066,-0.710608,-0.685529,-0.158294,-0.552505,0.40441,0.728847,0.029635,0.015222,-0.006496,-0.143343,0.024776,-0.045853,-0.019126,-0.128711,-0.026019,0.424687,0.366333,0.70537,0.606831,-0.592514,0.679733,-0.432231,-0.717796,-0.202115,0.666169,0.018108,-0.035845,0.040951,-0.133909,-0.055149,0.103548,-0.96602,0.030597,0.02907,0.000635,-0.246606,-0.769874,0.588625,0.665409,-0.576092,-0.474707,0.704567,0.274611,0.654349,0.009067,-0.018381,0.020186,-0.141504,-0.057444,0.109152,-0.890221,0.06743,0.020418,-0.062761,-0.543824,0.538573,-0.643578,-0.572219,-0.798946,-0.185066,-0.613856,0.267624,0.742668,0.007941,0.004213,0.002779,-0.669149,0.254232,-0.494158,-0.21246
8,0.116356,-0.030747,0.415642,-0.43564,0.604628,-0.666849,-0.712363,-0.684403,-0.15525,-0.549728,0.40665,0.7297,0.029724,0.015973,-0.006025,0.039245,-0.05117,0.104724,-0.030739,-0.127834,-0.027431,0.426153,0.360043,0.710743,0.604321,-0.590928,0.675037,-0.441659,-0.722267,-0.199,0.662262,0.031752,-0.037292,0.039028,-0.080403,-0.006274,-0.073707,-1.01634,0.031024,0.02837,0.001349,-0.239754,-0.774214,0.585755,0.662821,-0.571387,-0.483926,0.709355,0.272228,0.650158,0.015365,-0.015069,0.013689,0.110071,-0.023227,1.6e-05,-0.892507,0.067852,0.020656,-0.06274,-0.54452,0.538142,-0.643351,-0.574153,-0.798307,-0.181806,-0.611429,0.270384,0.74367,0.007996,0.004593,0.003018,0.005417,-0.025171,0.059023,-0.222421
9,0.116719,-0.030515,0.415683,-0.437296,0.60602,-0.664498,-0.713257,-0.683703,-0.154231,-0.54725,0.405756,0.732057,0.015984,0.009247,0.006086,-0.531623,0.783914,-0.258362,-0.032239,-0.12732,-0.028055,0.426744,0.362581,0.710189,0.603455,-0.585977,0.677283,-0.444806,-0.725031,-0.193238,0.660947,0.030689,-0.029004,0.028103,-0.094529,-0.080858,0.182045,-1.032214,0.031282,0.028051,0.001646,-0.242214,-0.774077,0.584924,0.658151,-0.574045,-0.487143,0.712859,0.266976,0.648502,0.015409,-0.015253,0.013577,-0.112635,-0.016804,-0.029453,-0.892507,0.068039,0.020774,-0.062725,-0.544702,0.53801,-0.643307,-0.574773,-0.798092,-0.180787,-0.610684,0.27128,0.743957,0.008125,0.009268,-0.002134,-1.997563,0.856966,-1.762992,-0.22536
10,0.11731,-0.030136,0.415684,-0.437476,0.605921,-0.664469,-0.714046,-0.683169,-0.152937,-0.546076,0.406797,0.732355,0.015223,0.013996,-0.007267,0.038268,-0.036309,0.07523,-0.033433,-0.126124,-0.02926,0.427758,0.373267,0.706891,0.600808,-0.565529,0.6868,-0.456527,-0.735789,-0.170269,0.655353,0.031172,-0.032175,0.026152,-0.037521,-0.007462,-0.070702,-1.072219,0.031891,0.027437,0.002163,-0.253472,-0.772133,0.582719,0.638798,-0.585969,-0.498574,0.726421,0.245865,0.641764,0.015584,-0.01625,0.012958,-0.045767,-0.009597,-0.06555,-0.892834,0.068341,0.020973,-0.062718,-0.546488,0.539062,-0.640907,-0.576047,-0.797453,-0.179548,-0.607881,0.271072,0.746324,0.007575,0.006825,-0.00376,0.039567,-0.04133,0.075141,-0.227156
