frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.036744,0.02805,-0.00492,0.006997,-0.001449,0.00661,-0.041524,0.009045,0.016689,-0.242774,0.076517,0.027741,-0.044416,-0.000195,-0.001211,-0.0006,-0.013387,0.058287,-0.219391,-0.526631
2,0.036847,0.027961,-0.004619,0.006212,0.004062,0.002055,-0.001138,-0.011546,0.062696,-0.265961,0.076537,0.027714,-0.04443,-0.00015,-0.000935,-0.000462,-0.000107,-5.1e-05,0.000205,-0.528427
3,0.036918,0.027997,-0.004437,-0.000431,0.002823,0.001844,0.000798,-0.008262,0.027496,-0.313316,0.076542,0.027691,-0.044459,-0.000186,0.003178,-0.006007,0.035969,-0.010033,0.019428,-0.52957
4,0.036911,0.028108,-0.004366,-0.000435,0.002865,0.001867,0.00111,-0.009065,0.027219,-0.410964,0.076564,0.027651,-0.044479,-0.000124,-0.000774,-0.000386,-4.9e-05,-2.5e-05,8.9e-05,-0.535612
5,0.036897,0.028166,-0.00434,-0.000415,0.002736,0.001782,0.001133,-0.009077,0.027231,-0.473504,0.076572,0.027643,-0.044489,-0.000133,-0.000833,-0.000414,-0.001716,0.007363,-0.027741,-0.538388
6,0.03685,0.028274,-0.004298,-0.000375,0.00248,0.001613,-0.002973,-0.01128,0.028947,-0.65541,0.076583,0.027656,-0.044489,0.000144,0.000898,0.000445,-4e-05,-2.2e-05,3.9e-05,-0.54541
7,0.036822,0.028365,-0.004316,-1e-06,-1e-06,-1e-06,-0.021598,0.0685,-0.179952,-0.840418,0.076606,0.027647,-0.044494,0.006238,-0.001368,-0.000891,0.000974,-0.014737,0.029592,-0.557656
8,0.036814,0.028418,-0.004392,-0.000544,0.003904,-0.005599,0.017007,0.057184,-0.161415,-0.853644,0.076622,0.027635,-0.044518,-0.00016,-0.001008,-0.000501,-7e-06,-1e-06,3.7e-05,-0.573822
9,0.036804,0.02853,-0.004588,0.006139,0.004812,-0.005603,0.036526,-0.018067,0.051986,-0.835029,0.076667,0.027631,-0.044555,5.5e-05,0.004675,-0.005266,0.036032,-0.009973,0.019318,-0.603704
10,0.036761,0.028692,-0.004762,-0.000683,0.004856,-0.004977,0.092696,-0.14999,-0.029815,-0.860666,0.076734,0.027652,-0.044587,2e-06,8e-06,2e-06,2e-06,2e-06,2.5e-05,-0.630484
11,0.03668,0.0288,-0.004881,-0.000604,0.004314,-0.005332,0.312069,-0.732894,-0.250382,-0.860013,0.076909,0.027677,-0.044677,0.006347,-0.000715,-0.000572,0.054093,0.385792,0.139008,-0.702169
12,0.036603,0.028802,-0.004921,0.000106,-0.000688,-0.000446,0.178063,-0.425893,-0.367041,-0.859523,0.077023,0.027694,-0.044724,0.006467,5.4e-05,-0.000192,-0.0006,-0.030892,0.024066,-0.757687
13,0.036343,0.028728,-0.00497,-0.006513,-0.002011,-0.000707,0.076063,-0.156571,-0.297461,-0.857237,0.077269,0.027712,-0.044769,0.00648,0.00015,-0.000146,0.022076,0.132081,0.065895,-0.787406
14,0.035982,0.028647,-0.004935,-0.006832,0.000144,0.000696,-0.001765,0.047739,-0.221146,-0.853318,0.077583,0.027696,-0.044817,0.006344,-0.000718,-0.000577,0.075443,0.524093,0.166903,-0.789855
15,0.035783,0.028614,-0.004896,-0.013522,-0.000672,0.000754,-0.024017,0.120676,-0.231816,-0.850868,0.077769,0.027688,-0.044844,0.00637,-0.000539,-0.000488,-0.039107,0.191078,0.047387,-0.798673
16,0.035376,0.0286,-0.004857,-0.00689,0.000594,0.000988,-0.00542,0.024703,-0.025408,-0.849889,0.078164,0.027664,-0.044903,0.012674,-0.001498,-0.00118,0.041352,0.278913,0.142054,-0.799326
