frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.122735,-0.036762,0.419955,-0.262015,0.821892,-0.505852,-0.748616,-0.503822,-0.430941,-0.608729,0.26475,0.74792,-0.001203,-0.006171,-0.004172,-0.620277,-1.208362,0.153316,-1.843709,-0.099283,-0.03398,0.387814,0.282969,0.832534,0.476242,-0.921721,0.373349,-0.104763,-0.265356,-0.410366,0.872381,-0.000319,-0.000483,0.017209,2.050295,1.591637,-1.141991,-0.426044,0.045803,0.023981,-0.018131,-0.067487,-0.860133,0.505584,0.969096,-0.17702,-0.1718,0.237269,0.478365,0.845499,-0.000201,-0.000105,0.008709,2.038508,1.610629,-1.133936,-0.53882,0.070909,0.01977,-0.062012,-0.036165,0.862732,-0.504365,-0.852539,-0.289959,-0.434856,-0.52141,0.414265,0.746,-0.000542,-0.002832,-0.001921,-2.318435,-0.485875,-0.681543,-0.860724
2,0.122612,-0.036806,0.420052,-0.267853,0.8103,-0.521262,-0.756549,-0.51183,-0.406983,-0.59625,0.284338,0.750776,-0.013257,0.004162,0.002956,0.045672,-0.345926,0.479612,-1.915247,-0.099395,-0.033997,0.388524,0.277223,0.833429,0.478053,-0.921469,0.371528,-0.113115,-0.272209,-0.410202,0.870344,-0.000424,5.4e-05,0.017615,-0.033593,-0.008286,0.003972,-0.538686,0.045746,0.023975,-0.017787,-0.061116,-0.859503,0.507463,0.967693,-0.17562,-0.180908,0.244612,0.480012,0.842468,-0.000251,0.000166,0.00892,-0.042018,-0.00312,0.009958,-0.64153,0.070849,0.019734,-0.06198,-0.044412,0.851248,-0.522878,-0.86259,-0.2967,-0.409763,-0.503948,0.432832,0.747456,-0.006708,-0.002525,0.006669,0.020371,-0.325096,0.48605,-0.894361
3,0.122404,-0.036867,0.420274,-0.262357,0.809044,-0.525987,-0.761171,-0.508475,-0.402545,-0.592809,0.293746,0.749878,-0.013329,-0.004593,0.013641,0.017939,-0.405432,0.437631,-1.915092,-0.099403,-0.033996,0.388841,0.271816,0.83419,0.479827,-0.920813,0.370347,-0.121988,-0.279782,-0.409722,0.868167,-0.00022,-0.000961,0.016792,0.037616,0.060365,-0.224402,-0.608037,0.045742,0.023979,-0.017619,-0.05565,-0.859205,0.508594,0.966133,-0.174887,-0.189736,0.251969,0.480811,0.839839,-0.000119,-0.000489,0.008392,0.176964,0.120912,-0.118475,-0.705377,0.070746,0.019708,-0.061866,-0.039027,0.84908,-0.52682,-0.866247,-0.291551,-0.405724,-0.498087,0.440522,0.746891,-0.006604,-0.001981,0.007039,0.025517,-0.401524,0.269936,-0.883911
4,0.121669,-0.037205,0.420989,-0.255471,0.812346,-0.524284,-0.764024,-0.501867,-0.405423,-0.592155,0.295978,0.749518,-0.027493,-0.013364,0.024457,-0.062947,-0.007673,0.092663,-1.914361,-0.099392,-0.033886,0.389305,0.261363,0.833509,0.486768,-0.920113,0.367536,-0.135066,-0.291788,-0.413629,0.862342,-0.001504,0.007476,0.005962,0.001188,-0.010169,0.026937,-0.776657,0.045747,0.024034,-0.01738,-0.045012,-0.856037,0.51495,0.963933,-0.172567,-0.202613,0.262308,0.487257,0.83293,-0.000746,0.003673,0.002929,-0.00645,-0.013848,0.030615,-0.818864,0.070376,0.019543,-0.0615,-0.030962,0.850629,-0.524852,-0.867262,-0.283906,-0.408965,-0.496887,0.442523,0.746509,-0.013762,-0.006713,0.012218,-0.063161,-0.003094,0.094313,-0.882115
5,0.121127,-0.037678,0.421584,-0.25758,0.811724,-0.524215,-0.764713,-0.502817,-0.40294,-0.590348,0.296072,0.750905,-0.01434,-0.009597,0.01026,-0.049277,0.094817,-0.265072,-1.914285,-0.09938,-0.03351,0.389556,0.254923,0.833655,0.489924,-0.920238,0.364753,-0.141601,-0.297045,-0.415799,0.859499,0.012142,0.011583,0.007531,-0.004931,0.044767,-0.129735,-0.860557,0.045749,0.024215,-0.01726,-0.038599,-0.854769,0.517569,0.963001,-0.17007,-0.209053,0.266715,0.490351,0.829709,-0.001654,0.009227,-0.001421,0.027478,0.057423,-0.135998,-0.820333,0.070105,0.01931,-0.0612,-0.033177,0.850605,-0.524756,-0.868185,-0.284636,-0.406492,-0.495129,0.442099,0.747926,-0.007191,-0.004854,0.005101,-0.049142,0.095093,-0.265325,-0.878196
6,0.120775,-0.037887,0.421733,-0.257098,0.810727,-0.525993,-0.760424,-0.505542,-0.407621,-0.596069,0.294167,0.747124,-0.00088,-0.004388,-0.002967,0.044329,-0.46893,-0.179554,-1.913696,-0.099443,-0.033125,0.389703,0.253465,0.833921,0.490228,-0.920519,0.363694,-0.142499,-0.297421,-0.416194,0.859178,-0.001426,0.007082,0.005613,0.001184,-0.010171,0.026937,-0.892382,0.045722,0.024413,-0.017184,-0.036979,-0.854722,0.517766,0.962996,-0.168893,-0.21003,0.266964,0.49084,0.829339,-0.000658,0.003254,0.002581,0.001138,-0.010163,0.026909,-0.844663,0.069929,0.019208,-0.061123,-0.033448,0.8508,-0.524423,-0.864836,-0.287637,-0.411489,-0.500938,0.439776,0.745423,-0.007244,-0.000967,-0.000584,0.037763,-0.486677,-0.400981,-0.878849
7,0.12056,-0.037929,0.421644,-0.260857,0.809923,-0.525379,-0.754786,-0.510345,-0.412088,-0.601568,0.288042,0.745101,-0.001247,-0.006198,-0.004196,-0.000902,0.001676,-0.029652,-1.91418,-0.099474,-0.032967,0.389775,0.253926,0.833819,0.490162,-0.920368,0.364122,-0.142384,-0.297497,-0.416024,0.859235,-0.001373,0.006819,0.005398,0.001184,-0.010174,0.026936,-0.94452,0.045707,0.024491,-0.017148,-0.037454,-0.854719,0.517736,0.962946,-0.169339,-0.209898,0.267077,0.490691,0.829391,-0.00063,0.003113,0.002464,0.00117,-0.01016,0.026902,-0.84548,0.069822,0.019189,-0.061166,-0.036742,0.849607,-0.526134,-0.860477,-0.29462,-0.415665,-0.508162,0.437454,0.741892,-0.007403,0.002414,-0.006605,0.021904,0.028942,-0.035401,-0.879175
8,0.120129,-0.038094,0.421262,-0.270207,0.803429,-0.530599,-0.747086,-0.522527,-0.410853,-0.607016,0.284385,0.742081,-0.015997,-0.009279,-0.006179,0.023619,-0.270131,-0.151665,-1.914919,-0.099501,-0.03266,0.389935,0.256071,0.832029,0.492084,-0.919948,0.366089,-0.140036,-0.296959,-0.417879,0.85852,-0.001255,0.006233,0.004922,-0.190546,0.355429,0.142918,-1.047348,0.045693,0.024645,-0.017067,-0.039621,-0.854268,0.518319,0.96291,-0.171196,-0.208551,0.266893,0.490832,0.829367,-0.001479,0.008352,-0.002139,-0.284565,0.609063,0.325629,-0.846949,0.069612,0.019109,-0.061356,-0.047801,0.846422,-0.530362,-0.856344,-0.308058,-0.414457,-0.514188,0.434361,0.739554,-0.001132,-0.001463,-0.009307,0.082909,-0.464724,-0.201636,-0.878686
9,0.119859,-0.038299,0.420649,-0.283723,0.793343,-0.538659,-0.736597,-0.539909,-0.407302,-0.613612,0.280224,0.738229,-0.00286,-0.005754,-0.020592,0.044633,-0.131034,-0.080281,-1.915254,-0.099461,-0.032183,0.390022,0.26746,0.828572,0.491859,-0.914954,0.378479,-0.139813,-0.302317,-0.413676,0.858685,0.011026,0.018935,-0.004187,0.037471,-0.017082,0.051902,-1.088688,0.045709,0.024875,-0.017024,-0.051598,-0.852321,0.520467,0.960861,-0.184409,-0.206732,0.272181,0.489429,0.828477,-0.001563,0.008772,-0.001815,0.038746,-0.016308,0.047379,-0.847602,0.069472,0.019005,-0.061656,-0.063209,0.83943,-0.539778,-0.850693,-0.32813,-0.410671,-0.521847,0.433227,0.734839,-0.00139,-0.002734,-0.010189,0.040782,-0.122737,-0.041426,-0.878522
10,0.119722,-0.038468,0.420347,-0.288368,0.787925,-0.544117,-0.733166,-0.547135,-0.403835,-0.615546,0.281492,0.736134,-0.016665,-0.012356,-0.00834,0.021794,-0.268098,-0.181341,-1.915419,-0.099409,-0.031938,0.390034,0.277947,0.823811,0.494037,-0.910276,0.390158,-0.138234,-0.306957,-0.412325,0.857688,-0.002845,0.016154,-0.00473,0.028083,0.003995,0.056367,-1.097855,0.04574,0.025002,-0.017015,-0.062757,-0.849631,0.523629,0.958868,-0.196856,-0.204496,0.276826,0.489258,0.827039,-0.000647,0.003193,0.00251,0.003926,-0.010212,-0.007592,-0.847602,0.069408,0.018919,-0.061815,-0.069239,0.835814,-0.544627,-0.849338,-0.335758,-0.407295,-0.523287,0.434372,0.733137,-0.001317,-0.002356,-0.009947,0.072671,-0.405512,-0.141086,-0.880482
