frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.153437,-0.055174,0.309135,-0.241488,0.354069,-0.903529,-0.857128,-0.514344,0.02747,-0.454706,0.780632,0.428816,-0.0159,0.000746,0.000901,-0.000984,0.014715,-0.029553,-0.123593,-0.169686,-0.040782,0.299082,-0.283438,-0.372785,0.883564,0.904124,-0.410918,0.116793,0.319866,0.832408,0.452379,-0.01557,-0.001787,-0.00067,-0.070726,0.273839,0.125496,-0.469119,0.043995,0.023237,-0.025219,0.292203,0.436811,0.850771,-0.87787,0.475445,0.057403,-0.379421,-0.76364,0.52239,-1.4e-05,-0.000632,-0.000801,-0.129252,0.441474,0.22344,-0.668309,0.073785,0.011939,-0.065475,0.387254,-0.356477,-0.850269,0.773141,0.62798,0.088844,0.502281,-0.691783,0.518794,-1e-06,-2e-06,-0.0,-9e-06,-8e-06,-1.1e-05,-0.333295
2,0.153376,-0.055182,0.309125,-0.241506,0.354065,-0.903526,-0.857124,-0.514349,0.027486,-0.454703,0.78063,0.428822,-0.000149,-0.001229,-0.001584,-0.000819,0.013371,-0.025517,-0.119533,-0.169773,-0.040906,0.299101,-0.290066,-0.368295,0.883296,0.902967,-0.410953,0.125307,0.317184,0.834382,0.450627,-1.6e-05,-0.000888,-0.001123,-0.072503,0.272579,0.162995,-0.46243,0.043946,0.023173,-0.025211,0.298578,0.431616,0.851209,-0.876853,0.47619,0.066115,-0.376801,-0.766126,0.520644,0.000431,-0.006019,0.003512,-0.154919,0.425535,0.219467,-0.662104,0.073749,0.011938,-0.065476,0.387273,-0.356469,-0.850263,0.773134,0.627986,0.088861,0.502278,-0.691781,0.5188,-1.3e-05,-9.8e-05,-0.000122,-6e-06,8e-06,-7e-06,-0.330519
3,0.153387,-0.055185,0.309104,-0.241507,0.354063,-0.903526,-0.857111,-0.51437,0.027477,-0.454726,0.780617,0.428822,-1.2e-05,-9.7e-05,-0.000125,0.0,0.0,0.0,-0.117284,-0.169802,-0.041141,0.299259,-0.298457,-0.363914,0.882316,0.901357,-0.411289,0.13539,0.313968,0.836132,0.449634,0.000883,-0.010953,0.008396,-0.051163,0.064868,0.014258,-0.460083,0.043931,0.023054,-0.025133,0.306862,0.425484,0.851351,-0.875285,0.477458,0.076867,-0.373779,-0.768763,0.518933,0.000439,-0.005446,0.004237,-0.03056,0.02063,-0.01349,-0.657532,0.073754,0.011934,-0.065491,0.387294,-0.356462,-0.850257,0.773112,0.628012,0.088866,0.502294,-0.691762,0.518811,-5e-06,-4.6e-05,-6e-05,3e-06,1.4e-05,-0.0,-0.328233
4,0.153432,-0.055193,0.30906,-0.241462,0.354066,-0.903536,-0.857097,-0.514398,0.027417,-0.454778,0.780597,0.428803,-2.1e-05,-0.000175,-0.000225,0.0,0.0,0.0,-0.117185,-0.169716,-0.041445,0.29957,-0.310418,-0.352106,0.88298,0.896351,-0.417573,0.148733,0.316705,0.838056,0.444098,0.000909,-0.009578,0.010137,-0.130018,0.296218,0.383192,-0.443685,0.043974,0.022905,-0.024983,0.317648,0.414815,0.852659,-0.870263,0.484578,0.088461,-0.376485,-0.770137,0.514923,8e-06,0.000891,0.001124,-0.189745,0.615453,0.355212,-0.650511,0.073777,0.011929,-0.065513,0.387252,-0.356472,-0.850272,0.773101,0.628035,0.088804,0.502344,-0.691736,0.518796,-1e-05,-8.9e-05,-0.000113,2e-06,8e-06,4e-06,-0.327417
5,0.153432,-0.055193,0.30906,-0.241607,0.354052,-0.903503,-0.857066,-0.514442,0.027538,-0.454757,0.780575,0.428866,-0.0,-3e-06,-3e-06,0.0,0.0,0.0,-0.11727,-0.169663,-0.041641,0.299753,-0.313622,-0.349582,0.88285,0.895496,-0.417958,0.152746,0.315968,0.838917,0.442996,0.000898,-0.010201,0.009349,-0.061092,0.098506,0.0342,-0.434105,0.044,0.02281,-0.024889,0.321044,0.410388,0.853529,-0.869274,0.485389,0.093585,-0.375888,-0.771996,0.512571,0.008228,-0.00468,0.00441,-0.035157,-0.03773,0.224875,-0.640224,0.073776,0.011929,-0.065513,0.387388,-0.356437,-0.850224,0.773052,0.628078,0.088919,0.502314,-0.691714,0.518855,4e-06,1.6e-05,2.1e-05,1e-06,1.6e-05,-8e-06,-0.327417
6,0.15341,-0.055176,0.309082,-0.241448,0.354067,-0.90354,-0.8571,-0.514394,0.027405,-0.45478,0.7806,0.428796,9e-06,7.4e-05,9.5e-05,0.0,0.0,0.0,-0.117516,-0.169545,-0.042085,0.300117,-0.321242,-0.342584,0.882854,0.891555,-0.423565,0.160177,0.319452,0.838983,0.440365,0.000886,-0.010903,0.00846,1.307643,0.696286,0.961494,-0.427556,0.04406,0.022588,-0.024705,0.32732,0.406133,0.85318,-0.866117,0.489923,0.099069,-0.377758,-0.771381,0.512121,0.000403,-0.005507,0.004232,4.714394,1.287966,2.878646,-0.62765,0.073766,0.011939,-0.065501,0.387237,-0.356475,-0.850277,0.773107,0.62803,0.088793,0.502347,-0.691739,0.51879,5e-06,3.8e-05,4.7e-05,-5e-06,-1.3e-05,-2.4e-05,-0.327417
7,0.153386,-0.055183,0.30909,-0.241512,0.354061,-0.903525,-0.857098,-0.514392,0.02747,-0.454748,0.780603,0.428824,0.0,0.0,0.0,0.0,0.0,0.0,-0.117911,-0.169498,-0.042532,0.300451,-0.327677,-0.337736,0.882356,0.890115,-0.423297,0.168665,0.316923,0.841075,0.438195,0.00088,-0.011258,0.008011,-0.143356,0.381237,0.201445,-0.427537,0.044083,0.022365,-0.024538,0.334143,0.399552,0.853643,-0.863949,0.491871,0.107954,-0.376749,-0.773576,0.509548,0.000429,-0.005693,0.003922,-0.221421,0.526913,0.500217,-0.623894,0.073754,0.011935,-0.065497,0.387298,-0.35646,-0.850256,0.773098,0.628031,0.088857,0.502314,-0.691745,0.518814,2e-06,-3e-06,-9e-06,-0.0,-1e-05,-2e-06,-0.327417
8,0.153386,-0.05518,0.309077,-0.241517,0.354059,-0.903525,-0.857085,-0.514415,0.027463,-0.45477,0.780589,0.428825,-6.8e-05,-0.000562,-0.000724,0.0,0.0,0.0,-0.11819,-0.169483,-0.042718,0.300584,-0.33163,-0.333164,0.882618,0.887046,-0.428499,0.171677,0.321398,0.840258,0.4365,0.000878,-0.011393,0.007841,-0.055029,0.075276,0.020237,-0.42732,0.04409,0.022272,-0.024472,0.337965,0.392862,0.855241,-0.860457,0.497135,0.111663,-0.381303,-0.773637,0.506056,0.000433,-0.005779,0.003816,-0.025817,-0.057691,0.176192,-0.623568,0.073753,0.011938,-0.065502,0.387303,-0.356457,-0.850255,0.773082,0.628051,0.088848,0.502334,-0.691729,0.518817,-4.4e-05,-0.000378,-0.000492,2e-06,-9e-06,-0.0,-0.327417
9,0.153397,-0.055165,0.309063,-0.24146,0.354062,-0.903539,-0.857073,-0.514439,0.027395,-0.454824,0.780572,0.4288,-3.4e-05,-0.00028,-0.000361,0.0,0.0,0.0,-0.117569,-0.169462,-0.042993,0.300786,-0.340371,-0.320174,0.884097,0.88428,-0.428502,0.18539,0.319885,0.845277,0.427836,0.000887,-0.010905,0.008459,-0.131615,0.333115,0.172409,-0.427104,0.044101,0.022133,-0.024372,0.345733,0.380285,0.857817,-0.858015,0.498192,0.124955,-0.37984,-0.779222,0.498532,-6e-06,5e-06,5e-06,-0.119197,0.331265,0.422135,-0.622751,0.073759,0.011945,-0.06551,0.387249,-0.356468,-0.850275,0.773074,0.628071,0.088777,0.502387,-0.691705,0.518796,-2.1e-05,-0.000187,-0.000244,-0.0,-1.7e-05,6e-06,-0.32758
10,0.153421,-0.05515,0.309048,-0.241379,0.354067,-0.903558,-0.857065,-0.514457,0.027306,-0.454881,0.780558,0.428764,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.118621,-0.169467,-0.04311,0.300822,-0.354377,-0.295158,0.887294,0.872938,-0.444458,0.200924,0.335483,0.84611,0.414019,-1.5e-05,-0.000867,-0.001098,-0.140277,0.408319,0.471834,-0.427526,0.044099,0.022072,-0.024349,0.357838,0.355363,0.86352,-0.846035,0.514752,0.138757,-0.39519,-0.780221,0.484848,-1.5e-05,-0.000554,-0.000708,-0.216573,0.611094,0.585985,-0.622425,0.073771,0.011951,-0.065518,0.387173,-0.356485,-0.850302,0.773075,0.628083,0.088687,0.502445,-0.691685,0.518766,2e-06,2e-06,2e-06,1e-06,-0.0,6e-06,-0.32758
