frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.043691,0.02184,-0.022736,-4e-06,-2e-06,-8e-06,1e-06,4e-06,-1.6e-05,-0.490159,0.07437,0.011876,-0.063907,-3e-06,-2.3e-05,-3e-05,-4e-06,-1.3e-05,-3e-06,-0.276307
2,0.043691,0.021837,-0.02274,-3e-06,-3.4e-05,-4.7e-05,-5e-06,0.0,4e-06,-0.490159,0.074375,0.01187,-0.063915,2e-06,1e-06,2e-06,6e-06,1.1e-05,9e-06,-0.27549
3,0.043691,0.021834,-0.022744,-1e-06,-8e-06,-1.2e-05,2e-06,5e-06,-1.4e-05,-0.490159,0.074387,0.011867,-0.063911,6.6e-05,0.000542,0.000689,-1e-05,-1.1e-05,-9e-06,-0.27549
4,0.043691,0.021837,-0.022741,3e-06,0.000145,0.00018,-6e-06,-1.1e-05,5e-06,-0.490159,0.074394,0.011873,-0.063912,-1e-06,4e-06,4e-06,-8e-06,-7e-06,-9e-06,-0.275327
5,0.043697,0.02184,-0.022737,-1e-06,-6e-06,-9e-06,-0.0,9e-06,-1e-05,-0.490323,0.074399,0.011879,-0.063929,-2.4e-05,-0.000194,-0.000247,-3e-06,1e-06,3e-06,-0.275164
6,0.043697,0.021838,-0.02274,-7e-06,-0.000199,-0.000252,-1e-05,-1.4e-05,8e-06,-0.490323,0.074393,0.011874,-0.063918,6.7e-05,0.000552,0.000703,-8e-06,-1e-05,-5e-06,-0.274837
7,0.043697,0.021837,-0.022741,-1e-06,2e-06,2e-06,3e-06,-3e-06,-9e-06,-0.490323,0.074388,0.011877,-0.063915,0.0,-5e-06,-6e-06,2e-06,-2e-06,1e-05,-0.274674
8,0.043697,0.021837,-0.022741,-1e-06,2e-06,2e-06,-5e-06,-1.4e-05,8e-06,-0.490323,0.074393,0.011882,-0.063925,-1.4e-05,0.005204,-0.004564,0.035646,-0.01238,0.018665,-0.274347
9,0.043697,0.021841,-0.022744,0.0,2e-06,3e-06,-1e-05,-9e-06,9e-06,-0.490159,0.074398,0.011869,-0.063933,-1e-06,-4e-06,-3e-06,-7e-06,-4e-06,2e-06,-0.274021
10,0.043697,0.021841,-0.022744,-0.000438,0.005414,-0.004279,0.036442,-0.009883,0.018595,-0.489996,0.074393,0.011871,-0.063922,3e-06,2.8e-05,3.6e-05,-5e-06,-5e-06,-4e-06,-0.273857
11,0.043697,0.021841,-0.022745,-1.1e-05,-0.000537,-0.000669,-2.1e-05,-3e-06,2.5e-05,-0.489833,0.074393,0.011875,-0.063925,0.0,-4e-06,-6e-06,-6e-06,-1.1e-05,-5e-06,-0.273367
12,0.043708,0.021846,-0.022747,1e-06,2.1e-05,2.7e-05,-3e-06,7e-06,-6e-06,-0.489833,0.074392,0.011869,-0.063933,1e-06,-3e-06,-4e-06,-5e-06,8e-06,1e-06,-0.271245
13,0.043714,0.021842,-0.022744,1e-06,-2e-06,-2e-06,2e-06,1.7e-05,-1.1e-05,-0.489996,0.074393,0.011868,-0.063926,2e-06,3.5e-05,4.5e-05,-6e-06,-1.1e-05,-1.1e-05,-0.271081
14,0.043708,0.02185,-0.022751,1e-06,-2e-06,-1e-06,0.0,1.4e-05,-5e-06,-0.489833,0.074398,0.011878,-0.063939,0.007913,-0.000615,-0.00075,0.000988,-0.014711,0.029559,-0.270918
15,0.043708,0.02185,-0.022751,1e-06,-2e-06,-1e-06,1e-06,1.5e-05,-7e-06,-0.48967,0.074398,0.011882,-0.06395,-4e-06,-4.6e-05,-5.9e-05,5e-06,-5e-06,1.2e-05,-0.270428
16,0.043714,0.02185,-0.022751,1e-06,-1e-06,-2e-06,1e-06,1.5e-05,-5e-06,-0.489506,0.074403,0.011874,-0.063952,4.1e-05,0.000326,0.000418,1e-06,7e-06,4e-06,-0.270265
17,0.043708,0.021847,-0.022754,0.0,4e-06,4e-06,-7.7e-05,0.016419,0.011884,-0.484608,0.074404,0.011882,-0.06395,-1e-06,-2e-06,-2e-06,1e-06,-1e-05,3e-06,-0.270265
18,0.043707,0.021851,-0.022757,0.0,3e-06,3e-06,0.451912,0.047425,0.21496,-0.477586,0.074403,0.011887,-0.063961,-7.3e-05,-0.000591,-0.000752,-0.000827,0.013215,-0.025581,-0.270265
19,0.043539,0.021898,-0.022798,-0.016008,0.004787,-0.003517,0.001173,0.640958,0.456413,-0.422231,0.074414,0.011907,-0.064003,-6.9e-05,-0.000578,-0.000739,-0.000831,0.013228,-0.025585,-0.269775
20,0.042705,0.022033,-0.022845,-0.031571,0.005426,-0.001039,6.036352,0.702168,6.160192,-0.318868,0.074479,0.011942,-0.06405,-5e-06,0.005288,-0.004455,0.035651,-0.012386,0.018664,-0.270102
21,0.040899,0.022493,-0.022912,-0.055427,0.019356,-0.003764,6.03014,2.381774,5.172812,-0.233467,0.074736,0.012124,-0.064212,0.015899,0.010139,-0.00942,0.073279,-0.054193,0.096429,-0.269612
