frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.149996,-0.053564,0.303911,-0.120954,0.279278,-0.952586,-0.413237,-0.886644,-0.20753,-0.902419,0.36819,0.223836,2.4e-05,0.000177,0.000234,0.0,0.0,0.0,0.022535,-0.163784,-0.04096,0.288499,-0.523212,-0.185701,0.831719,0.638489,-0.731726,0.238419,0.564948,0.656014,0.500342,0.0,0.0,0.0,0.0,0.0,0.0,-0.315542,0.044725,0.021455,-0.024471,0.562214,0.216344,0.798191,-0.602931,0.767837,0.216563,-0.566029,-0.60301,0.562129,-3e-06,-1e-06,-7e-06,5e-06,1.8e-05,-1e-05,-0.512204,0.074057,0.015526,-0.065809,0.24745,-0.314252,-0.916522,0.391237,0.897801,-0.202203,0.886397,-0.308543,0.345107,1.5e-05,0.000112,0.000149,-8e-06,2.3e-05,1e-06,-0.202989
2,0.149984,-0.053563,0.303912,-0.120973,0.279262,-0.952588,-0.413235,-0.88665,-0.207509,-0.902418,0.368188,0.223847,0.0,0.0,0.0,0.0,0.0,0.0,0.02264,-0.163772,-0.040954,0.288505,-0.523251,-0.185686,0.831698,0.638466,-0.731735,0.238452,0.564938,0.656008,0.500362,0.0,9e-06,1.3e-05,0.0,0.0,0.0,-0.31582,0.044731,0.021458,-0.024468,0.562251,0.216327,0.79817,-0.602907,0.767847,0.216594,-0.566018,-0.603003,0.562147,-1e-06,-1e-06,-3e-06,4e-06,4e-06,-5e-06,-0.512204,0.074051,0.015526,-0.065808,0.247468,-0.314235,-0.916523,0.391233,0.897807,-0.202183,0.886394,-0.30854,0.345118,2e-06,-4e-06,-5e-06,1e-06,8e-06,9e-06,-0.203153
3,0.149984,-0.053571,0.303919,-0.120987,0.279254,-0.952589,-0.413258,-0.886644,-0.20749,-0.902405,0.368209,0.223861,0.0,0.0,0.0,0.0,0.0,0.0,0.022412,-0.163772,-0.040954,0.288505,-0.523251,-0.185686,0.831698,0.638466,-0.731735,0.238452,0.564938,0.656008,0.500362,0.0,0.0,0.0,0.0,0.0,0.0,-0.315324,0.044731,0.021458,-0.024468,0.562251,0.216327,0.79817,-0.602907,0.767847,0.216594,-0.566018,-0.603002,0.562148,-3e-06,-4e-06,-9e-06,-7e-06,1.6e-05,3e-06,-0.51204,0.074051,0.015522,-0.065805,0.247482,-0.314226,-0.916522,0.391253,0.897803,-0.202161,0.886381,-0.308561,0.345132,1e-06,-2e-06,-5e-06,-4e-06,1.5e-05,-1e-06,-0.203153
4,0.149972,-0.053586,0.303933,-0.121035,0.279221,-0.952592,-0.413301,-0.886638,-0.207431,-0.902379,0.368248,0.223902,0.0,0.0,0.0,0.0,0.0,0.0,0.022473,-0.163772,-0.040943,0.28852,-0.523287,-0.185674,0.831678,0.638445,-0.731744,0.238481,0.564928,0.656002,0.500381,1e-06,0.000344,0.000464,0.0,0.0,0.0,-0.315288,0.044731,0.021462,-0.024462,0.562286,0.216311,0.79815,-0.602884,0.767857,0.216622,-0.566007,-0.602995,0.562166,-0.0,0.00022,0.000296,-2e-06,-1.7e-05,6e-06,-0.511877,0.074045,0.015514,-0.065798,0.247528,-0.31419,-0.916522,0.391289,0.897802,-0.202096,0.886353,-0.3086,0.34517,1e-06,-2e-06,-1e-06,-1e-06,1.1e-05,8e-06,-0.203316
5,0.14996,-0.053586,0.303933,-0.121055,0.279205,-0.952594,-0.413299,-0.886644,-0.207409,-0.902378,0.368246,0.223912,0.0,0.0,0.0,0.0,0.0,0.0,0.021971,-0.163772,-0.040928,0.288541,-0.523341,-0.185655,0.831648,0.638414,-0.731757,0.238525,0.564914,0.655993,0.50041,1e-06,0.000367,0.000495,0.0,0.0,0.0,-0.315063,0.044731,0.021471,-0.024451,0.562338,0.216289,0.798119,-0.602851,0.767871,0.216664,-0.565991,-0.602985,0.562193,-1e-06,0.000188,0.000252,-3e-06,-1.1e-05,7e-06,-0.511877,0.074039,0.015515,-0.065798,0.247547,-0.314174,-0.916523,0.391284,0.897809,-0.202076,0.88635,-0.308598,0.345181,2e-06,-1e-06,-2e-06,-5e-06,2.5e-05,6e-06,-0.203642
6,0.149948,-0.053593,0.303941,-0.121088,0.279181,-0.952597,-0.413319,-0.886644,-0.207369,-0.902364,0.368264,0.223938,0.0,0.0,0.0,0.0,0.0,0.0,0.02287,-0.163784,-0.040918,0.288555,-0.523356,-0.185651,0.831639,0.638406,-0.73176,0.238537,0.564909,0.65599,0.500419,0.0,4.2e-05,5.6e-05,0.0,0.0,0.0,-0.314921,0.044725,0.021476,-0.024443,0.562353,0.216284,0.79811,-0.602842,0.767875,0.216675,-0.565986,-0.602982,0.562202,-1e-06,8e-06,1e-05,-3e-06,4e-06,-1e-06,-0.511714,0.074033,0.015511,-0.065794,0.247579,-0.314148,-0.916523,0.391299,0.897812,-0.202033,0.886334,-0.308616,0.345205,2e-06,-1e-06,-3e-06,-8e-06,2.9e-05,-3e-06,-0.203479
7,0.149948,-0.053593,0.303941,-0.121088,0.279181,-0.952597,-0.413319,-0.886644,-0.207369,-0.902364,0.368264,0.223938,0.0,0.0,0.0,0.0,0.0,0.0,0.023078,-0.163784,-0.040913,0.288562,-0.523375,-0.185644,0.831629,0.638395,-0.731765,0.238552,0.564904,0.655987,0.500428,1e-06,0.000466,0.000628,0.0,0.0,0.0,-0.315434,0.044725,0.021477,-0.024441,0.56237,0.216276,0.798099,-0.602831,0.76788,0.216689,-0.56598,-0.602978,0.562211,1e-06,0.0003,0.000404,-6e-06,-2.3e-05,1.8e-05,-0.511714,0.074033,0.015511,-0.065794,0.247579,-0.314148,-0.916523,0.391299,0.897812,-0.202033,0.886334,-0.308616,0.345205,2e-06,-1e-06,-3e-06,-8e-06,2.9e-05,-3e-06,-0.203479
8,0.149948,-0.053593,0.303941,-0.121088,0.279181,-0.952597,-0.413319,-0.886644,-0.207369,-0.902364,0.368264,0.223938,0.0,0.0,0.0,0.0,0.0,0.0,0.022827,-0.163772,-0.040912,0.288562,-0.523395,-0.185636,0.831618,0.638383,-0.73177,0.238569,0.564899,0.655984,0.500438,0.0,0.0,0.0,0.0,0.0,0.0,-0.314718,0.044731,0.021479,-0.02444,0.56239,0.216266,0.798088,-0.602817,0.767886,0.216706,-0.565975,-0.602975,0.562221,-1e-06,-7e-06,-1e-05,-1e-06,-1e-06,1e-06,-0.511714,0.074033,0.015511,-0.065794,0.247579,-0.314148,-0.916523,0.391299,0.897812,-0.202033,0.886334,-0.308616,0.345205,2e-06,-1e-06,-3e-06,-8e-06,2.9e-05,-3e-06,-0.203152
9,0.149936,-0.053593,0.303941,-0.121107,0.279165,-0.952599,-0.413317,-0.88665,-0.207348,-0.902362,0.368262,0.223948,-0.015929,0.000844,0.000951,-0.000984,0.014715,-0.029553,0.023408,-0.163772,-0.040912,0.288562,-0.523395,-0.185636,0.831618,0.638383,-0.73177,0.238569,0.564899,0.655984,0.500438,0.0,0.0,0.0,0.0,0.0,0.0,-0.315032,0.044731,0.021478,-0.02444,0.56239,0.216266,0.798088,-0.602817,0.767886,0.216706,-0.565975,-0.602974,0.562221,-4e-06,-2e-06,-8e-06,-1e-05,6e-06,4e-06,-0.511714,0.074033,0.015511,-0.065794,0.247579,-0.314148,-0.916523,0.391299,0.897812,-0.202033,0.886334,-0.308616,0.345205,2e-06,-1e-06,-3e-06,-8e-06,2.9e-05,-3e-06,-0.203152
10,0.149936,-0.053593,0.303941,-0.121107,0.279165,-0.952599,-0.413317,-0.88665,-0.207348,-0.902362,0.368262,0.223948,0.0,0.0,0.0,0.0,0.0,0.0,0.022946,-0.163772,-0.040912,0.288562,-0.523395,-0.185636,0.831618,0.638383,-0.73177,0.238569,0.564899,0.655984,0.500438,0.0,0.0,0.0,0.0,0.0,0.0,-0.315076,0.044731,0.021478,-0.02444,0.56239,0.216266,0.798088,-0.602817,0.767886,0.216706,-0.565975,-0.602974,0.562221,-4e-06,-2e-06,-8e-06,-3e-06,2.2e-05,-1.1e-05,-0.511551,0.074027,0.015511,-0.065794,0.247598,-0.314131,-0.916523,0.391294,0.897819,-0.202013,0.886331,-0.308613,0.345216,2e-06,-1e-06,-3e-06,-5e-06,2.1e-05,-2e-06,-0.202989
