frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.046774,0.018182,-0.019801,1.4e-05,-0.000853,-0.001119,0.002803,4.7e-05,0.001691,-0.977745,0.073999,0.013996,-0.063203,-0.0,1e-06,6e-06,-1.1e-05,8e-06,4.6e-05,-0.347175
2,0.046774,0.018182,-0.019801,1.4e-05,-0.000853,-0.001119,0.002803,4.7e-05,0.001691,-0.977745,0.073999,0.013996,-0.063203,-0.0,1e-06,6e-06,-1.1e-05,8e-06,4.6e-05,-0.347175
3,0.046774,0.018182,-0.019801,1.4e-05,-0.000853,-0.001119,0.002803,4.7e-05,0.001691,-0.977745,0.073999,0.013996,-0.063203,-0.0,1e-06,6e-06,-1.1e-05,8e-06,4.6e-05,-0.347175
4,0.046774,0.018182,-0.019801,1.4e-05,-0.000853,-0.001119,0.002803,4.7e-05,0.001691,-0.977745,0.073999,0.013996,-0.063203,-0.0,1e-06,6e-06,-1.1e-05,8e-06,4.6e-05,-0.347175
5,0.046774,0.018182,-0.019801,1.4e-05,-0.000853,-0.001119,0.002803,4.7e-05,0.001691,-0.977745,0.073999,0.013996,-0.063203,-0.0,1e-06,6e-06,-1.1e-05,8e-06,4.6e-05,-0.347175
6,0.046774,0.018182,-0.019801,1.4e-05,-0.000853,-0.001119,0.002803,4.7e-05,0.001691,-0.977745,0.073999,0.013996,-0.063203,-0.0,1e-06,6e-06,-1.1e-05,8e-06,4.6e-05,-0.347175
7,0.046774,0.018182,-0.019801,1.4e-05,-0.000853,-0.001119,0.002803,4.7e-05,0.001691,-0.977745,0.073999,0.013996,-0.063203,-0.0,1e-06,6e-06,-1.1e-05,8e-06,4.6e-05,-0.347175
8,0.046774,0.018182,-0.019801,1.4e-05,-0.000853,-0.001119,0.002803,4.7e-05,0.001691,-0.977745,0.073999,0.013996,-0.063203,-0.0,1e-06,6e-06,-1.1e-05,8e-06,4.6e-05,-0.347175
9,0.046774,0.018182,-0.019801,1.4e-05,-0.000853,-0.001119,0.002803,4.7e-05,0.001691,-0.977745,0.073999,0.013996,-0.063203,-0.0,1e-06,6e-06,-1.1e-05,8e-06,4.6e-05,-0.347175
10,0.046774,0.018182,-0.019801,1.4e-05,-0.000853,-0.001119,0.002803,4.7e-05,0.001691,-0.977745,0.073999,0.013996,-0.063203,-0.0,1e-06,6e-06,-1.1e-05,8e-06,4.6e-05,-0.347175
