frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.145664,-0.073158,0.290322,-0.390926,0.424643,-0.81664,-0.720636,-0.69312,-0.01551,-0.572137,0.581906,0.57799,-0.0005,-0.003188,-0.005035,-0.000835,0.013114,-0.025649,-1.072278,-0.162648,-0.070477,0.274231,-0.585311,-0.573238,0.573411,0.809318,-0.45462,0.371832,0.048261,0.682422,0.72927,-1.1e-05,-0.000697,-0.001182,0.0,0.0,0.0,-1.40503,0.04583,0.019176,-0.018211,0.634657,0.542797,0.550073,-0.772027,0.477015,0.420034,-0.0344,-0.69125,0.721795,4e-06,2e-06,8e-06,1.3e-05,-7e-06,1.3e-05,0.520119,0.075952,0.01319,-0.058614,0.40997,-0.430079,-0.804336,0.692574,0.720622,-0.032312,0.593519,-0.543816,0.593295,5e-06,3.7e-05,5.6e-05,1e-06,-4e-06,2e-06,0.520225
2,0.145871,-0.073135,0.289981,-0.3918,0.429437,-0.813709,-0.72053,-0.693144,-0.018939,-0.571671,0.578345,0.582011,0.016368,0.00715,-0.013833,0.155823,0.387434,0.224009,-1.894335,-0.162685,-0.070346,0.274113,-0.574857,-0.579053,0.578124,0.816973,-0.444304,0.367536,0.044752,0.684312,0.72772,-6e-06,-0.000371,-0.00063,1.00106,1.891245,-1.749575,-1.407748,0.04583,0.019176,-0.018211,0.634657,0.542797,0.550073,-0.772027,0.477015,0.420034,-0.0344,-0.69125,0.721795,4e-06,2e-06,8e-06,1.3e-05,-7e-06,1.3e-05,0.520119,0.075952,0.01319,-0.058614,0.40997,-0.430079,-0.804336,0.692574,0.720622,-0.032312,0.593519,-0.543816,0.593295,5e-06,3.7e-05,5.6e-05,1e-06,-4e-06,2e-06,0.520225
3,0.145845,-0.072993,0.289839,-0.392261,0.431798,-0.812236,-0.72033,-0.693301,-0.020759,-0.571607,0.576395,0.584005,4e-06,0.010333,-0.009272,0.06745,0.093878,0.072049,-1.917072,-0.162702,-0.070329,0.274044,-0.573195,-0.5785,0.580324,0.81802,-0.444015,0.365551,0.046911,0.684968,0.726967,-1.7e-05,-0.00103,-0.00175,6e-06,1.1e-05,-1e-05,-1.408498,0.04583,0.019176,-0.018211,0.634657,0.542797,0.550073,-0.772027,0.477015,0.420034,-0.0344,-0.69125,0.721795,4e-06,2e-06,8e-06,1.3e-05,-7e-06,1.3e-05,0.520119,0.075952,0.01319,-0.058614,0.40997,-0.430079,-0.804336,0.692574,0.720622,-0.032312,0.593519,-0.543816,0.593295,5e-06,3.7e-05,5.6e-05,1e-06,-4e-06,2e-06,0.520225
4,0.145842,-0.072761,0.289573,-0.389935,0.434876,-0.811714,-0.72001,-0.693467,-0.025708,-0.573599,0.573874,0.584535,-0.000189,-0.001206,-0.001909,0.426858,-0.416966,0.574906,-1.919428,-0.162707,-0.070339,0.273906,-0.566168,-0.585253,0.58045,0.823306,-0.434303,0.36535,0.038969,0.685466,0.726967,-1.5e-05,-0.000936,-0.001591,-0.0,-0.0,-0.0,-1.408466,0.04583,0.019176,-0.018211,0.634657,0.542797,0.550073,-0.772027,0.477015,0.420034,-0.0344,-0.69125,0.721795,4e-06,2e-06,8e-06,1.3e-05,-7e-06,1.3e-05,0.520119,0.075952,0.01319,-0.058614,0.40997,-0.430079,-0.804336,0.692574,0.720622,-0.032312,0.593519,-0.543816,0.593295,5e-06,3.7e-05,5.6e-05,1e-06,-4e-06,2e-06,0.520225
5,0.145837,-0.07273,0.289467,-0.389814,0.434909,-0.811754,-0.71993,-0.693542,-0.025922,-0.573782,0.573758,0.584469,-7.8e-05,-0.000499,-0.00079,0.0,0.0,0.0,-1.920063,-0.162733,-0.070354,0.273863,-0.566064,-0.585261,0.580545,0.823376,-0.434242,0.365266,0.039022,0.685498,0.726934,0.000959,-0.010977,0.008247,-0.048858,0.103911,-0.193369,-1.40838,0.04583,0.019176,-0.018211,0.634657,0.542797,0.550073,-0.772027,0.477015,0.420034,-0.0344,-0.69125,0.721795,4e-06,2e-06,8e-06,1.3e-05,-7e-06,1.3e-05,0.520119,0.075952,0.01319,-0.058614,0.40997,-0.430079,-0.804336,0.692574,0.720622,-0.032312,0.593519,-0.543816,0.593295,5e-06,3.7e-05,5.6e-05,1e-06,-4e-06,2e-06,0.520388
6,0.145863,-0.072727,0.289473,-0.389884,0.434881,-0.811735,-0.719904,-0.693571,-0.025864,-0.573766,0.573744,0.584498,0.000153,0.00098,0.001552,0.0,0.0,0.0,-1.919824,-0.16272,-0.07033,0.273922,-0.566403,-0.585236,0.580239,0.823148,-0.434479,0.365497,0.0389,0.685369,0.727062,2e-05,0.001187,0.002018,0.0,0.0,0.0,-1.406824,0.04583,0.019176,-0.018211,0.634657,0.542797,0.550073,-0.772027,0.477015,0.420034,-0.0344,-0.69125,0.721795,4e-06,2e-06,8e-06,1.3e-05,-7e-06,1.3e-05,0.520119,0.075952,0.01319,-0.058614,0.40997,-0.430079,-0.804336,0.692574,0.720622,-0.032312,0.593519,-0.543816,0.593295,5e-06,3.7e-05,5.6e-05,1e-06,-4e-06,2e-06,0.520551
7,0.145865,-0.072721,0.289502,-0.389841,0.4349,-0.811746,-0.719936,-0.693538,-0.025885,-0.573756,0.57377,0.584482,0.000175,0.011425,-0.007547,0.035617,-0.012635,0.018528,-1.919148,-0.162718,-0.07032,0.27398,-0.56982,-0.581877,0.580272,0.82059,-0.43928,0.365512,0.042925,0.685164,0.727028,2.1e-05,0.001292,0.002195,0.936092,0.589642,1.172839,-1.405381,0.04583,0.019176,-0.018211,0.634657,0.542797,0.550073,-0.772027,0.477015,0.420034,-0.0344,-0.69125,0.721795,4e-06,2e-06,8e-06,1.3e-05,-7e-06,1.3e-05,0.520119,0.075952,0.01319,-0.058614,0.40997,-0.430079,-0.804336,0.692574,0.720622,-0.032312,0.593519,-0.543816,0.593295,5e-06,3.7e-05,5.6e-05,1e-06,-4e-06,2e-06,0.520388
8,0.145879,-0.072751,0.289549,-0.389992,0.434851,-0.8117,-0.719958,-0.693521,-0.025691,-0.573625,0.573827,0.584555,-2.7e-05,-0.010482,0.00904,-4.510596,-0.129005,3.204176,-1.828388,-0.162562,-0.070276,0.274135,-0.580567,-0.576112,0.57535,0.812821,-0.450053,0.369742,0.046644,0.683032,0.728803,3.3e-05,0.002059,0.003493,-0.026989,-0.051081,0.047242,-0.78497,0.04583,0.019176,-0.018211,0.634657,0.542797,0.550073,-0.772027,0.477015,0.420034,-0.0344,-0.69125,0.721795,4e-06,2e-06,8e-06,1.3e-05,-7e-06,1.3e-05,0.520119,0.075952,0.01319,-0.058614,0.40997,-0.430079,-0.804336,0.692574,0.720622,-0.032312,0.593519,-0.543816,0.593295,5e-06,3.7e-05,5.6e-05,1e-06,-4e-06,2e-06,0.520388
9,0.145723,-0.072806,0.289728,-0.399398,0.422318,-0.813741,-0.707459,-0.706466,-0.019476,-0.582616,0.567381,0.581949,-0.016435,0.002687,0.003772,-0.054672,-0.201024,-0.146057,-0.571142,-0.162227,-0.070263,0.274294,-0.590966,-0.57019,0.570643,0.805075,-0.460446,0.373868,0.050307,0.681063,0.730402,1.8e-05,0.001202,0.002037,0.276169,0.180937,0.353486,-0.114414,0.04583,0.019176,-0.018211,0.634657,0.542797,0.550073,-0.772027,0.477015,0.420034,-0.0344,-0.69125,0.721795,4e-06,2e-06,8e-06,1.3e-05,-7e-06,1.3e-05,0.520119,0.075952,0.01319,-0.058614,0.40997,-0.430079,-0.804336,0.692574,0.720622,-0.032312,0.593519,-0.543816,0.593295,5e-06,3.7e-05,5.6e-05,1e-06,-4e-06,2e-06,0.520388
10,0.145666,-0.072836,0.289852,-0.400668,0.416953,-0.815881,-0.707475,-0.706585,-0.013732,-0.581724,0.571191,0.579107,0.000226,0.00144,0.002276,-0.120434,-0.402481,-0.2024,-0.173342,-0.162148,-0.07029,0.274338,-0.591048,-0.570182,0.570566,0.805023,-0.460418,0.374015,0.050174,0.681089,0.730386,3e-06,0.000192,0.000326,0.0,0.0,0.0,0.054038,0.04583,0.019176,-0.018211,0.634657,0.542797,0.550073,-0.772027,0.477015,0.420034,-0.0344,-0.69125,0.721795,4e-06,2e-06,8e-06,1.3e-05,-7e-06,1.3e-05,0.520119,0.075952,0.01319,-0.058614,0.40997,-0.430079,-0.804336,0.692574,0.720622,-0.032312,0.593519,-0.543816,0.593295,5e-06,3.7e-05,5.6e-05,1e-06,-4e-06,2e-06,0.520225
