frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.066139,-0.004707,0.356627,-0.573954,-0.172178,-0.80061,0.153036,-0.982967,0.101619,-0.803758,-0.063991,0.591527,0.000101,0.000262,0.000231,0.0,0.0,0.0,0.465932,-0.091373,0.028589,0.331479,0.486129,-0.199451,0.850816,0.175122,0.976041,0.128883,-0.856729,0.086575,0.508314,0.000473,-0.001819,-0.001525,-0.000117,0.000214,0.000149,-0.999863,0.047292,0.034565,-0.014867,-0.341224,0.074097,0.937056,-0.05723,-0.996676,0.057971,0.938237,-0.033847,0.344331,0.006817,0.00029,-0.000678,0.002039,-0.005571,0.00067,-0.870463,0.069949,0.019626,-0.06134,-0.577516,-0.034606,-0.815645,-0.049421,-0.995786,0.077242,-0.814881,0.084919,0.573372,-1e-06,9e-06,8e-06,0.000114,-0.000261,-0.000246,0.434334
2,0.066114,-0.004724,0.356638,-0.573954,-0.172133,-0.80062,0.15297,-0.982979,0.101612,-0.803771,-0.063943,0.591516,-0.000182,-0.000474,-0.000418,0.0,0.0,0.0,0.470265,-0.091294,0.028614,0.331437,0.484854,-0.197457,0.852008,0.175105,0.976322,0.126755,-0.857453,0.087963,0.506852,0.013369,0.001594,-0.000499,0.262457,0.525722,-0.54272,-1.000052,0.047326,0.034575,-0.014889,-0.340123,0.072737,0.937563,-0.057519,-0.996746,0.056462,0.938619,-0.034724,0.3432,0.000156,-0.000737,-0.000629,0.8714,1.80112,-1.905763,-0.870136,0.069936,0.019617,-0.061336,-0.577505,-0.034566,-0.815654,-0.049484,-0.995783,0.077235,-0.814885,0.084965,0.57336,-0.000167,-0.000429,-0.000376,0.00016,-3.8e-05,-0.000134,0.441845
3,0.066124,-0.004726,0.356636,-0.573949,-0.172111,-0.800628,0.152958,-0.982982,0.101594,-0.803777,-0.063946,0.591507,0.000113,0.000293,0.000258,0.0,0.0,0.0,0.469191,-0.091191,0.028574,0.331391,0.48494,-0.197749,0.851892,0.175262,0.976264,0.126986,-0.857373,0.087954,0.50699,0.000444,-0.001703,-0.001428,-0.0,0.0,0.0,-0.99986,0.047382,0.034558,-0.01491,-0.339762,0.072415,0.937719,-0.05771,-0.996757,0.056064,0.938738,-0.035068,0.342839,0.000227,-0.000869,-0.000731,0.000153,-0.000142,0.000196,-0.8703,0.06994,0.019611,-0.06134,-0.577494,-0.034548,-0.815662,-0.049489,-0.995784,0.077216,-0.814892,0.084958,0.57335,6.2e-05,0.000165,0.000146,0.000116,-9e-06,-7.9e-05,0.448214
4,0.066108,-0.004726,0.356676,-0.573831,-0.171598,-0.800824,0.152617,-0.983073,0.101226,-0.803926,-0.063927,0.591306,-0.000965,-0.009942,0.009428,-0.03421,0.019141,-0.015332,0.465142,-0.091196,0.028552,0.331374,0.485102,-0.198187,0.851698,0.175504,0.976177,0.127326,-0.857232,0.087941,0.50723,1.3e-05,-4.9e-05,-4.1e-05,-0.0,0.0,0.0,-0.987129,0.047381,0.034545,-0.01492,-0.339996,0.072851,0.9376,-0.0579,-0.996725,0.056448,0.938642,-0.035095,0.343101,-1e-05,3.4e-05,2.6e-05,0.000133,1.7e-05,3.6e-05,-0.86981,0.069932,0.019611,-0.061321,-0.577271,-0.034068,-0.81584,-0.049828,-0.995797,0.076839,-0.81503,0.085009,0.573147,-0.00048,-0.004964,0.00472,-0.034132,0.019127,-0.015388,0.445274
5,0.066103,-0.004728,0.356715,-0.573814,-0.171464,-0.800864,0.152482,-0.983101,0.101163,-0.803964,-0.063863,0.591262,0.000453,0.001178,0.001039,0.0,0.0,0.0,0.462656,-0.091238,0.028558,0.331371,0.485226,-0.198519,0.85155,0.17571,0.976107,0.127569,-0.857119,0.087957,0.507418,-0.002273,0.011685,-0.007426,0.036096,-0.004944,0.021064,-0.982117,0.047359,0.034548,-0.014921,-0.340175,0.073179,0.93751,-0.058068,-0.996699,0.056729,0.938567,-0.035141,0.343302,-0.001153,0.005907,-0.003658,0.036196,-0.004956,0.021137,-0.869973,0.069928,0.019609,-0.061303,-0.577227,-0.03394,-0.815877,-0.049963,-0.995795,0.076773,-0.815053,0.085079,0.573105,0.00029,0.000759,0.00067,6.5e-05,-9e-06,-4.5e-05,0.442988
6,0.066113,-0.004835,0.35688,-0.576121,-0.170299,-0.799455,0.152081,-0.983302,0.0998,-0.802386,-0.06388,0.593399,0.000366,0.000953,0.000841,0.022976,0.060259,0.03106,0.445971,-0.091303,0.028579,0.331345,0.485333,-0.198835,0.851415,0.175975,0.976035,0.127762,-0.857005,0.088053,0.507595,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.971686,0.047326,0.03456,-0.014933,-0.340333,0.073492,0.937428,-0.058303,-0.996672,0.05697,0.938495,-0.035266,0.343486,-1e-06,7e-06,9e-06,7.6e-05,-1.2e-05,2.9e-05,-0.869973,0.069934,0.019557,-0.061219,-0.579467,-0.03225,-0.814357,-0.050331,-0.995893,0.075252,-0.81344,0.084593,0.575464,-0.00036,-0.004647,0.004999,-0.015433,0.071151,0.01218,0.429925
7,0.066148,-0.005091,0.357148,-0.578538,-0.169139,-0.797955,0.151329,-0.98353,0.098691,-0.800787,-0.063454,0.595601,-0.001092,-0.010278,0.009136,0.037464,0.207182,0.081354,0.418669,-0.0913,0.028614,0.331322,0.48192,-0.198197,0.8535,0.175688,0.976107,0.127602,-0.858984,0.088687,0.504127,-0.01303,-0.002902,-0.000598,-0.005608,0.021675,-0.02473,-0.962617,0.047333,0.034579,-0.014944,-0.336358,0.073224,0.938882,-0.058034,-0.996689,0.056942,0.939944,-0.035334,0.339494,0.0,2e-06,4e-06,-0.01324,0.09261,-0.177083,-0.869647,0.069953,0.019434,-0.061086,-0.581105,-0.031046,-0.813235,-0.051081,-0.99591,0.07452,-0.812223,0.084845,0.577143,-0.000564,-0.005176,0.004537,0.077491,0.304684,0.129729,0.402982
8,0.066292,-0.005505,0.357436,-0.58098,-0.167805,-0.796461,0.150253,-0.983803,0.097607,-0.799219,-0.062762,0.597777,0.012273,-0.014583,0.006181,-0.010262,0.064725,0.045127,0.357579,-0.091243,0.028634,0.33133,0.482009,-0.198479,0.853384,0.175841,0.976051,0.127825,-0.858903,0.088678,0.504267,0.01295,0.00321,0.000856,0.002044,-0.015204,0.029246,-0.956754,0.047352,0.034586,-0.014941,-0.336677,0.07332,0.93876,-0.058142,-0.99668,0.056991,0.939823,-0.035394,0.339823,-5.9e-05,0.000238,0.000201,0.000307,-0.000507,-0.000324,-0.868667,0.07002,0.019229,-0.060941,-0.583813,-0.028896,-0.811373,-0.052145,-0.995968,0.07299,-0.810211,0.084921,0.579953,-0.000791,-0.00577,0.004013,-0.016537,0.068544,0.01076,0.347627
9,0.066418,-0.005767,0.357583,-0.581098,-0.167569,-0.796424,0.14957,-0.983887,0.097815,-0.79926,-0.06208,0.597792,0.012419,-0.01422,0.006501,-0.032922,0.005211,0.014624,0.306824,-0.091222,0.02863,0.331337,0.482021,-0.198508,0.853371,0.175833,0.976047,0.127861,-0.858898,0.08865,0.50428,-1e-06,5e-06,4e-06,-0.0,0.0,0.0,-0.953037,0.047367,0.034586,-0.014936,-0.336707,0.073369,0.938746,-0.058141,-0.996677,0.057043,0.939812,-0.035373,0.339854,2e-06,-3e-06,-3e-06,0.000142,-5e-05,-2.6e-05,-0.867524,0.070087,0.019091,-0.060866,-0.583763,-0.028708,-0.811415,-0.05289,-0.995907,0.073287,-0.810198,0.085698,0.579856,0.006196,-0.007131,0.00323,-0.037285,-0.005171,0.009584,0.293414
10,0.066824,-0.006211,0.357805,-0.583427,-0.165894,-0.79507,0.148388,-0.984205,0.096403,-0.797781,-0.061535,0.599821,0.01302,-0.012679,0.007858,-0.03315,0.004607,0.014315,0.155884,-0.091132,0.028641,0.331347,0.482121,-0.198823,0.853241,0.17598,0.975986,0.128123,-0.858812,0.088614,0.504433,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.941881,0.047412,0.034592,-0.014932,-0.336858,0.073681,0.938667,-0.058247,-0.996654,0.05733,0.939751,-0.035363,0.340023,1e-06,-1e-06,-4e-06,7.7e-05,3e-06,3.5e-05,-0.866871,0.070279,0.018875,-0.060764,-0.585718,-0.026666,-0.810075,-0.054027,-0.995951,0.071848,-0.808711,0.085849,0.581905,0.007161,-0.000893,-0.000378,-0.001348,-0.035345,0.051551,0.134043
