frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.022158,0.036864,-0.019758,-0.012896,-0.000871,0.000635,-0.003888,0.030528,-0.058492,0.26114,0.058001,0.026465,-0.068684,-0.023392,0.005235,0.030289,0.009337,1.0356,0.447675,0.11902
2,0.02198,0.036879,-0.019771,-0.006498,4e-06,0.000662,0.000209,-0.001023,-0.005492,0.258038,0.057661,0.026558,-0.068134,-0.016373,0.003601,0.029376,-0.13301,0.68249,0.178744,0.135839
3,0.021723,0.036911,-0.019771,-0.006561,0.000585,0.001104,0.001994,0.00179,-0.008556,0.253956,0.057097,0.026706,-0.066951,-0.015373,0.005555,0.031017,0.020343,1.091645,0.305104,0.148902
4,0.021572,0.036954,-0.019729,-0.000203,0.001809,0.001401,0.004189,-0.013144,0.020382,0.253302,0.056737,0.026793,-0.065722,-0.002725,-0.004049,0.032602,0.02288,1.141804,0.599545,0.162782
5,0.02153,0.037017,-0.019676,-0.000221,0.001955,0.001507,7.8e-05,6.7e-05,-3.3e-05,0.253139,0.056559,0.026753,-0.064601,-0.00263,-0.000252,0.026709,0.02177,0.813222,0.634391,0.164251
6,0.021546,0.037055,-0.019643,-0.000278,0.002481,0.001912,0.002162,-0.016268,0.023699,0.253303,0.056521,0.026685,-0.064059,-0.00333,-0.001688,0.025365,0.744271,0.412928,0.778093,0.163761
7,0.021589,0.037148,-0.019577,-0.000227,0.002016,0.001548,2.2e-05,9e-06,1.1e-05,0.253303,0.056558,0.026487,-0.063084,0.002548,-0.005497,0.022492,0.194311,0.500452,0.4116,0.158863
8,0.021619,0.037221,-0.019525,-0.000133,0.001165,0.000892,1.7e-05,5e-06,6e-06,0.253303,0.056625,0.026283,-0.062275,0.002377,-0.002239,0.016221,-0.039647,0.129639,0.298525,0.15821
9,0.021621,0.037246,-0.019506,-9.6e-05,0.000846,0.000647,1.1e-05,-1.3e-05,1.7e-05,0.252813,0.056663,0.026185,-0.061945,0.001111,-0.008444,0.019822,0.740226,0.017469,0.978087,0.158536
10,0.021613,0.037279,-0.01948,-7.5e-05,0.00065,0.000497,1.5e-05,7e-06,-2e-06,0.249383,0.056738,0.02595,-0.061366,0.000487,-0.00614,0.012757,-0.040057,0.215401,0.31093,0.157883
11,0.02161,0.037302,-0.019463,-9e-05,0.000795,0.000608,-2e-06,-1.3e-05,2e-05,0.247424,0.056647,0.025705,-0.060901,-0.007075,-0.00583,0.012455,0.171624,-0.055987,0.282672,0.15674
12,0.021612,0.037327,-0.019444,-7.4e-05,0.000653,0.000501,1.1e-05,5e-06,-2e-06,0.245301,0.056397,0.025419,-0.060389,-0.007293,-0.006266,0.012078,2.33321,-0.525078,1.171976,0.165558
13,0.021611,0.037341,-0.019433,-6.1e-05,0.00054,0.000415,-1e-06,-2.3e-05,2e-05,0.243668,0.056213,0.025287,-0.060118,-0.01413,-0.004417,0.01312,-0.072938,0.112215,-0.077375,0.163598
14,0.0216,0.037351,-0.019418,3e-06,-3e-05,-2.2e-05,8e-06,-3e-06,-8e-06,0.240892,0.055698,0.025047,-0.05954,-0.014046,-0.004203,0.013305,-0.04026,0.25999,0.22848,0.170456
15,0.021582,0.03734,-0.019425,2e-05,-0.000175,-0.000134,-1e-05,-1.7e-05,4e-06,0.238606,0.055087,0.024777,-0.058933,-0.014208,-0.004482,0.013062,-0.047145,0.298768,0.017477,0.177151
16,0.021573,0.03733,-0.019431,8.9e-05,-0.000793,-0.000607,-1.3e-05,-1.7e-05,1.2e-05,0.236647,0.054723,0.024641,-0.058572,-0.014567,-0.008762,0.018383,-0.035149,0.818031,0.272876,0.168497
