frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.071017,-0.018043,0.378121,0.014042,0.071292,-0.997379,0.408126,-0.910974,-0.059423,-0.912842,-0.406319,-0.040647,0.000113,0.000312,0.000258,-1e-06,3.7e-05,1.7e-05,-0.634931,-0.095052,0.012387,0.343278,0.378659,0.033814,0.924914,0.164383,0.980967,-0.103038,-0.911247,0.19099,0.364713,1.4e-05,-6.1e-05,-5e-05,-0.0,0.0,0.0,-0.241723,0.043552,0.024505,-0.012541,-0.339863,-0.039886,0.939628,-0.166385,-0.98079,-0.101815,0.925639,-0.190944,0.326698,0.006669,0.001351,0.000225,0.002098,-0.015237,0.029288,-0.419618,0.073721,0.016369,-0.054814,-0.001492,0.144711,-0.989472,0.458794,-0.879089,-0.129259,-0.88854,-0.454158,-0.065081,6.2e-05,0.000174,0.000146,0.000262,-0.002574,-0.001174,-0.681757
2,0.070925,-0.017986,0.378164,0.014029,0.070409,-0.997442,0.408084,-0.911045,-0.058624,-0.912861,-0.406314,-0.040274,0.000293,0.000809,0.000669,-0.0,0.0,0.0,-0.634269,-0.094976,0.012369,0.343306,0.377466,0.036157,0.925313,0.164468,0.980713,-0.10529,-0.911725,0.191858,0.363058,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.241281,0.04359,0.024496,-0.012527,-0.338638,-0.04225,0.939967,-0.166569,-0.98052,-0.104082,0.926055,-0.191815,0.325004,-2e-06,2e-06,-1e-06,-0.000968,-0.001796,0.002284,-0.418965,0.073675,0.016397,-0.054793,-0.001428,0.143838,-0.989599,0.458765,-0.879222,-0.128456,-0.888555,-0.454178,-0.064733,0.00015,0.000417,0.000347,-0.000103,-4.5e-05,-2.6e-05,-0.681431
3,0.070815,-0.017881,0.378231,0.014035,0.072382,-0.997301,0.408063,-0.910937,-0.060424,-0.91287,-0.406212,-0.041081,0.000847,0.002342,0.001935,0.001165,-0.011839,0.026254,-0.626037,-0.094922,0.012311,0.343305,0.377458,0.03623,0.925313,0.164342,0.980732,-0.105315,-0.911751,0.19175,0.36305,0.000307,-0.001285,-0.001067,-0.0,0.0,0.0,-0.241289,0.043616,0.02447,-0.012525,-0.338641,-0.042299,0.939963,-0.166443,-0.980541,-0.10409,0.926076,-0.191699,0.325011,0.000199,-0.000839,-0.000697,-5e-06,-3.1e-05,4.5e-05,-0.418965,0.073619,0.016447,-0.054762,-0.001535,0.145818,-0.98931,0.458713,-0.878983,-0.130268,-0.888582,-0.45401,-0.06554,-0.006668,0.002245,0.001551,-0.001011,0.016784,-0.034361,-0.678165
4,0.070763,-0.017777,0.378313,0.014026,0.072018,-0.997327,0.408046,-0.910966,-0.060096,-0.912877,-0.406211,-0.040923,0.000984,0.002718,0.002244,-0.0,0.0,0.0,-0.628201,-0.094901,0.012209,0.343298,0.377495,0.03621,0.925299,0.164207,0.980761,-0.105248,-0.911761,0.191601,0.363105,0.000472,-0.001975,-0.00164,-0.002033,0.014351,-0.024906,-0.241334,0.043627,0.024419,-0.012528,-0.338685,-0.042259,0.939949,-0.166313,-0.980571,-0.104012,0.926083,-0.191554,0.325077,8.7e-05,-0.000367,-0.000306,1.7e-05,1.9e-05,-2.1e-05,-0.418965,0.073593,0.016499,-0.05472,-0.001521,0.145431,-0.989366,0.458702,-0.879041,-0.129919,-0.888588,-0.454022,-0.065374,0.000585,0.00162,0.001337,0.001115,-0.0118,0.026151,-0.677185
5,0.070751,-0.017717,0.378361,0.014023,0.071819,-0.997342,0.408037,-0.910981,-0.059916,-0.912881,-0.40621,-0.040839,-0.013028,0.00532,0.003782,-0.000984,0.014715,-0.029553,-0.629188,-0.0949,0.012156,0.343295,0.377506,0.036224,0.925294,0.16413,0.980776,-0.105235,-0.91177,0.191525,0.363122,0.000477,-0.001999,-0.00166,-0.002032,0.014349,-0.024907,-0.241373,0.043627,0.024393,-0.01253,-0.338697,-0.042272,0.939945,-0.166236,-0.980586,-0.104001,0.926093,-0.191478,0.325094,9e-05,-0.000374,-0.000312,1.1e-05,9e-06,-7e-06,-0.418965,0.073593,0.01653,-0.054695,-0.001513,0.145258,-0.989392,0.458696,-0.879067,-0.129762,-0.888591,-0.454026,-0.065299,0.000541,0.001496,0.001235,-4.4e-05,-2e-06,-7e-06,-0.677022
6,0.070748,-0.017639,0.378438,0.01401,0.071095,-0.997394,0.407979,-0.911051,-0.059263,-0.912908,-0.406182,-0.040529,0.000361,0.000996,0.000821,-0.0,0.0,0.0,-0.62834,-0.094892,0.012066,0.343299,0.377549,0.036187,0.925277,0.164002,0.980806,-0.105154,-0.911775,0.191378,0.363187,0.000108,-0.000451,-0.000375,-0.0,0.0,0.0,-0.241144,0.043632,0.024343,-0.012531,-0.338734,-0.042256,0.939932,-0.166097,-0.980615,-0.103943,0.926104,-0.19133,0.325149,4.3e-05,-0.000183,-0.000151,1e-06,-1e-06,7e-06,-0.418965,0.073587,0.016573,-0.054654,-0.001484,0.144516,-0.9895,0.458646,-0.879191,-0.129093,-0.888616,-0.454023,-0.064977,0.000191,0.000533,0.000439,-3.3e-05,-3e-06,-1.4e-05,-0.677022
7,0.070764,-0.017629,0.37846,0.014002,0.070276,-0.997452,0.407915,-0.911128,-0.058521,-0.912937,-0.406152,-0.040183,7e-06,1.8e-05,1.5e-05,-0.0,0.0,0.0,-0.629682,-0.094836,0.011989,0.343334,0.377646,0.036003,0.925245,0.163887,0.980849,-0.104935,-0.911755,0.191194,0.363332,3e-06,-1.1e-05,-9e-06,0.0,0.0,0.0,-0.241284,0.04366,0.024305,-0.012514,-0.338833,-0.042072,0.939905,-0.165973,-0.980659,-0.103729,0.926091,-0.191146,0.325296,-9e-06,3.7e-05,3e-05,-2e-06,-1.6e-05,1.3e-05,-0.418965,0.073595,0.016578,-0.054643,-0.001447,0.143704,-0.989619,0.458594,-0.879326,-0.128358,-0.888644,-0.45402,-0.06463,-2.2e-05,-5.5e-05,-4.6e-05,-2.6e-05,-1.4e-05,-1e-06,-0.677185
8,0.070757,-0.01762,0.378467,0.013999,0.069827,-0.997483,0.407893,-0.911163,-0.058113,-0.912947,-0.406148,-0.039997,-0.01376,0.003284,0.002102,-0.000984,0.014715,-0.029553,-0.63028,-0.094777,0.011949,0.343386,0.37773,0.035839,0.925217,0.163787,0.980886,-0.104739,-0.911739,0.191033,0.363459,-0.000195,0.000817,0.000679,0.014006,-0.098935,0.171946,-0.240939,0.04369,0.024284,-0.012489,-0.338918,-0.041907,0.939881,-0.165866,-0.980697,-0.103538,0.926078,-0.190985,0.325425,-0.000119,0.00049,0.000407,0.014029,-0.098947,0.171926,-0.418801,0.073596,0.016581,-0.054641,-0.001424,0.143283,-0.98968,0.458579,-0.87939,-0.127976,-0.888652,-0.454029,-0.064455,-1e-05,-2.8e-05,-2.4e-05,-2.3e-05,-1.4e-05,1.1e-05,-0.677348
9,0.07075,-0.017632,0.378443,0.014004,0.069183,-0.997528,0.407884,-0.911205,-0.057524,-0.912951,-0.406164,-0.039738,-5.3e-05,-0.000147,-0.000121,-0.0,0.0,0.0,-0.632412,-0.094663,0.011885,0.343488,0.376574,0.038198,0.925594,0.163652,0.980672,-0.106928,-0.91224,0.19167,0.361863,0.013256,0.003106,0.000784,0.002045,-0.015205,0.029245,-0.241143,0.043741,0.024253,-0.012436,-0.337724,-0.044313,0.940201,-0.165816,-0.980467,-0.105773,0.926524,-0.191623,0.323779,-5e-05,0.000201,0.000165,-0.001004,-0.001781,0.002259,-0.418638,0.073588,0.016574,-0.054653,-0.001383,0.142622,-0.989775,0.458578,-0.879478,-0.127369,-0.888652,-0.454066,-0.064188,-3.4e-05,-9e-05,-7.4e-05,-1.9e-05,-8e-06,-8e-06,-0.678165
10,0.070766,-0.017614,0.378445,0.01401,0.068673,-0.997563,0.407881,-0.911236,-0.057055,-0.912952,-0.406182,-0.039536,0.000192,0.00053,0.000437,-0.0,0.0,0.0,-0.630717,-0.094587,0.011867,0.343516,0.37662,0.038098,0.925579,0.163598,0.980694,-0.106811,-0.91223,0.191578,0.361935,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.24062,0.043784,0.024246,-0.012421,-0.337789,-0.044166,0.940184,-0.165763,-0.980493,-0.105615,0.926509,-0.191524,0.323879,-0.0,-7e-06,-8e-06,-3.4e-05,-3.5e-05,3.7e-05,-0.418148,0.073595,0.016582,-0.054653,-0.001348,0.142117,-0.989848,0.458582,-0.879543,-0.126904,-0.88865,-0.454098,-0.063987,0.000126,0.000347,0.000285,-0.008052,0.081701,-0.181164,-0.678655
