frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.027933,0.046289,-0.023334,-0.020113,0.004761,-0.011324,-1.566638,-0.336352,-0.466546,0.337234,0.066668,0.02756,-0.071427,0.019201,0.011595,-0.033903,0.608697,-0.111364,-0.146397,-0.903179
2,0.027193,0.046695,-0.023764,-0.01385,0.015938,-0.010794,-0.034904,-0.04224,-0.045072,0.231912,0.067195,0.027907,-0.0726,0.012103,0.007586,-0.028686,0.118974,-0.279982,0.147552,-0.902689
3,0.026906,0.046914,-0.0239,-0.013328,0.011785,-0.006013,-5.323576,-1.183957,-1.323879,0.17525,0.067466,0.028079,-0.073171,0.019008,0.006861,-0.029174,1.62789,-0.390986,-0.842013,-0.90171
4,0.026554,0.047369,-0.024077,-0.006929,0.014472,-0.004077,-0.413309,-0.140087,-0.094681,0.003794,0.068005,0.028378,-0.074268,0.018638,0.001425,-0.025042,0.22172,-0.128042,-0.044443,-0.895341
5,0.026721,0.047944,-0.024197,0.00604,0.016938,-0.003018,-5.205334,-1.242398,-1.21894,-0.154761,0.068565,0.028603,-0.075365,0.011598,0.001502,-0.025232,0.984485,-1.927612,1.918645,-0.893219
6,0.027002,0.048285,-0.02422,0.018752,0.020328,-0.001086,-0.390526,0.36982,-0.657985,-0.216648,0.06883,0.028696,-0.075928,0.01185,0.00641,-0.029938,1.470492,-1.779617,2.09499,-0.890279
7,0.027768,0.048984,-0.024169,0.01899,0.016008,0.003589,-0.650349,0.519646,0.297701,-0.29862,0.069374,0.028908,-0.077075,0.01203,0.007095,-0.029393,5.385251,0.177401,-1.505887,-0.895831
8,0.028801,0.049635,-0.024038,0.025192,0.016643,0.003539,-1.577598,-0.323785,-0.315589,-0.386143,0.069974,0.029233,-0.078219,0.012494,0.009003,-0.027788,5.420735,0.010184,-1.465045,-0.893055
9,0.03013,0.05011,-0.023867,0.0313,0.015043,0.001601,-0.465147,0.030262,-0.20017,-0.436437,0.070531,0.02969,-0.079289,0.013562,0.017494,-0.029256,5.493228,0.292458,-1.015754,-0.905139
10,0.030846,0.050303,-0.023791,0.037918,0.008598,0.003992,-1.618771,-0.314886,-0.255979,-0.46338,0.070811,0.029963,-0.079778,0.013606,0.013608,-0.023685,0.0965,-0.935641,-0.243174,-0.903506
11,0.032297,0.050629,-0.023655,0.037779,0.008144,0.003514,0.088236,1.811429,-2.051929,-0.550087,0.071429,0.030638,-0.080657,0.02142,0.016951,-0.020466,0.101188,-1.147682,-0.068702,-0.89877
12,0.033867,0.050985,-0.023491,0.037613,0.010015,0.004945,0.019357,-0.132478,0.225351,-0.630426,0.072018,0.031436,-0.081405,0.015055,0.020217,-0.017623,1.617792,-0.310119,-1.19684,-0.900077
13,0.034638,0.051175,-0.02339,0.037513,0.010782,0.005517,0.122009,-0.384343,-0.250699,-0.665534,0.072316,0.031817,-0.081734,0.014751,0.014977,-0.013304,0.103794,-1.075882,-0.310921,-0.898444
14,0.036106,0.051518,-0.023079,0.037826,0.007116,0.010718,-5.288754,-1.281183,-1.036108,-0.778367,0.072884,0.032554,-0.08231,0.014888,0.015861,-0.012477,0.10228,-0.465806,0.097511,-0.895505
15,0.037465,0.051824,-0.022555,0.031724,0.004584,0.017132,0.115284,-0.61648,-0.507788,-0.852175,0.073418,0.033231,-0.082853,0.014832,0.015854,-0.012464,0.1234,-0.713847,-0.085318,-0.891259
16,0.038647,0.051911,-0.021837,0.032162,-0.00189,0.01994,0.180129,1.088614,-2.710567,-0.834376,0.073969,0.033928,-0.083336,0.015555,0.023452,-0.014576,0.070585,-0.461183,-1.198858,-0.895178
17,0.039217,0.051828,-0.021419,0.026425,-0.007898,0.023765,0.350087,1.149464,-2.968423,-0.856094,0.074313,0.034311,-0.083585,0.0219,0.016761,-0.011484,0.12057,-1.024099,-0.219451,-0.879339
18,0.040285,0.051403,-0.020473,0.020841,-0.015956,0.025996,-0.081131,-0.213608,-0.591212,-0.860992,0.074945,0.035073,-0.084081,0.015405,0.023377,-0.014607,0.146973,-0.546346,0.100082,-0.880972
19,0.041208,0.050566,-0.019351,0.022143,-0.02921,0.031783,-0.230575,0.125774,-0.61666,-0.879608,0.075492,0.035921,-0.084567,0.008914,0.025775,-0.012522,0.167492,-0.653011,-0.279796,-0.868072
20,0.041622,0.05004,-0.01878,0.015456,-0.025525,0.027236,-0.094015,-0.355485,-0.800596,-0.882547,0.075735,0.036413,-0.084773,0.009355,0.028028,-0.010467,0.156624,-0.3981,-0.163481,-0.87395
21,0.042322,0.048921,-0.01771,0.016314,-0.034047,0.028819,-0.179486,-0.226073,-0.496213,-0.88075,0.076118,0.037515,-0.085051,0.00975,0.026125,-0.003225,0.159167,-0.882088,-0.442361,-0.877379
22,0.042887,0.047831,-0.016764,0.009025,-0.024692,0.020649,-0.115309,-0.250048,-0.486828,-0.880424,0.076332,0.038567,-0.085117,0.003489,0.029093,-0.000703,0.244706,1.34254,-2.483592,-0.879176
23,0.043168,0.047345,-0.016379,0.014865,-0.020236,0.015482,-0.086747,-0.229712,-0.440542,-0.878628,0.076355,0.039046,-0.085058,-0.003376,0.024902,0.004297,0.106087,-0.186252,-0.579209,-0.879175
24,0.043666,0.046406,-0.015826,0.008982,-0.025447,0.012124,-0.115506,-0.085729,-0.376383,-0.870463,0.076339,0.03993,-0.084749,0.003519,0.021184,0.009805,0.0588,-0.347456,-0.377529,-0.880319
25,0.04401,0.045647,-0.015563,0.007951,-0.016034,0.003228,-0.078669,0.046733,-0.008015,-0.86981,0.076295,0.04069,-0.08422,-0.002962,0.018506,0.015963,0.001167,0.063749,-0.113372,-0.886034
26,0.044224,0.045286,-0.015641,0.006192,0.00012,-0.008639,0.032957,-0.008243,0.034135,-0.867524,0.076216,0.04134,-0.0835,-0.002632,0.019969,0.016995,-0.003711,0.275312,-0.385453,-0.880808
27,0.044285,0.04522,-0.015776,-0.000143,-0.000418,-0.008467,0.04645,-0.114807,0.160224,-0.86883,0.07616,0.04161,-0.083116,-0.002963,0.014248,0.020649,0.01826,1.028961,-1.037607,-0.874277
28,0.044313,0.045203,-0.01613,-0.000155,-0.00016,-0.008284,0.036062,-0.00859,-0.015629,-0.876179,0.075982,0.042131,-0.0823,-0.009699,0.013888,0.020052,-0.033831,0.813284,0.131319,-0.879829
29,0.044344,0.045268,-0.016443,-0.000276,0.001395,-0.007075,0.0335,-0.009112,-0.010128,-0.877485,0.075793,0.042463,-0.081477,-0.009981,0.012303,0.018551,-0.035248,0.424395,-0.187061,-0.876889
30,0.044355,0.045279,-0.016559,-0.000322,0.001983,-0.006617,0.013457,0.147994,0.085253,-0.876995,0.075696,0.042604,-0.081062,-0.010236,0.006964,0.022558,-0.065136,0.479943,-0.138068,-0.877869
31,0.044434,0.045181,-0.01668,0.000242,-0.002971,-0.00234,-0.000782,-0.004385,0.001249,-0.871443,0.07551,0.042896,-0.080232,-0.003648,0.006463,0.022028,-0.073,0.383918,-0.501116,-0.887177
32,0.044595,0.045048,-0.016743,0.006593,-0.002283,-0.002415,0.000542,-0.011604,0.00764,-0.869157,0.075237,0.043142,-0.079344,-0.010064,0.007348,0.02253,-0.072609,0.390635,-0.467553,-0.89877
33,0.044822,0.04493,-0.016815,0.006641,-0.002753,-0.002797,0.041541,-0.270816,-0.191735,-0.873076,0.074935,0.043361,-0.078428,-0.009805,0.008235,0.023069,0.019875,2.178926,-2.563093,-0.90024
34,0.044934,0.044856,-0.016865,0.006703,-0.003447,-0.003352,-0.003516,0.010135,0.022542,-0.876832,0.074761,0.043486,-0.077951,-0.009586,0.009221,0.023741,-0.040117,0.629205,-0.269387,-0.90073
35,0.045194,0.044697,-0.016997,0.00674,-0.003697,-0.003564,-0.001703,-7e-06,0.009165,-0.880261,0.074379,0.043787,-0.076951,-0.009264,0.010397,0.024444,-0.033244,0.96318,-0.274228,-0.899913
36,0.045453,0.044545,-0.017136,0.006778,-0.00397,-0.003796,-0.012476,0.127764,-0.162253,-0.882547,0.074065,0.044136,-0.075911,-0.00865,0.012921,0.026123,-0.083143,0.583884,-0.838127,-0.887993
37,0.045586,0.044454,-0.017214,0.006832,-0.004511,-0.004239,0.064767,0.16391,-0.192092,-0.885649,0.073933,0.044377,-0.075368,-0.00201,0.013157,0.026167,-0.077951,0.629856,-0.925439,-0.880482
38,0.045831,0.044252,-0.017398,0.006953,-0.005696,-0.005209,0.003105,-0.00078,-0.013229,-0.8832,0.073738,0.044931,-0.07436,-0.001734,0.014214,0.026643,-0.074869,0.641888,-0.923876,-0.869868
39,0.045961,0.044037,-0.017607,0.000505,-0.005648,-0.004556,-0.005763,0.014273,-0.025461,-0.886956,0.07373,0.045555,-0.073367,-0.001405,0.019466,0.022129,-0.038787,0.399663,-0.583469,-0.87542
40,0.045957,0.043962,-0.01771,0.000411,-0.004612,-0.003727,-0.022054,0.121297,0.055821,-0.890058,0.073794,0.045833,-0.072897,0.004326,0.012209,0.0247,-0.063811,0.327432,-0.380165,-0.875746
41,0.045886,0.043923,-0.017885,-0.00675,0.001596,-0.006381,-0.004073,0.209742,0.365629,-0.891691,0.074041,0.046276,-0.072022,0.003616,0.009106,0.022234,0.217346,1.047913,-0.008668,-0.883258
42,0.045718,0.04391,-0.018078,-0.006756,0.001612,-0.006372,0.008297,0.134833,0.050384,-0.889078,0.074363,0.046429,-0.071172,0.008476,-0.001853,0.022219,0.243132,1.147517,0.149219,-0.883911
43,0.04555,0.043951,-0.018316,-0.000268,0.001371,-0.007212,-0.01616,0.321873,0.237687,-0.889405,0.074604,0.046252,-0.070327,0.007688,-0.005421,0.019674,0.1486,0.961786,-0.016254,-0.881788
44,0.045495,0.04398,-0.018469,-0.000232,0.000952,-0.007558,0.591329,1.741411,-2.084005,-0.888752,0.074697,0.046043,-0.06989,0.006882,-0.013071,0.022213,0.28641,1.390612,0.20222,-0.885707
45,0.045418,0.044058,-0.018824,-0.000151,-2e-05,-0.008368,-0.056884,0.609953,0.470995,-0.891528,0.074819,0.045414,-0.06897,-1.4e-05,-0.019278,0.02585,0.506849,-0.513275,1.891935,-0.891096
46,0.045389,0.044176,-0.019247,-0.000724,0.004929,-0.01268,0.062336,0.492602,0.028422,-0.889405,0.07475,0.044656,-0.068005,-0.006713,-0.020526,0.025122,0.214978,1.322917,-0.253897,-0.889299
47,0.04536,0.044328,-0.019718,-0.00074,0.005143,-0.012519,0.031266,0.204546,0.137006,-0.886629,0.07454,0.043895,-0.067085,-0.00706,-0.022153,0.024099,0.514122,0.64954,0.831114,-0.892075
48,0.045341,0.044434,-0.01995,-0.000804,0.005895,-0.0119,0.042557,0.134033,0.118734,-0.88369,0.074363,0.043518,-0.066647,-0.013196,-0.01678,0.020012,0.400805,1.22265,0.175129,-0.894198
49,0.045308,0.044636,-0.020387,-0.000842,0.00635,-0.011527,0.048422,0.111295,0.102066,-0.885813,0.07392,0.042794,-0.065861,-0.007161,-0.01858,0.018811,0.300209,0.952295,0.236298,-0.891096
50,0.045255,0.044722,-0.020702,-0.000279,0.00152,-0.007147,0.119737,0.883096,-0.469809,-0.889405,0.073405,0.042133,-0.06514,-0.013491,-0.017795,0.019445,0.286391,0.841037,0.325655,-0.893055
51,0.045218,0.044727,-0.020821,-0.000331,0.002097,-0.006669,-0.043909,0.509774,0.296186,-0.886956,0.07309,0.041793,-0.064755,-0.01359,-0.018141,0.019242,0.425084,1.162324,0.278016,-0.894035
52,0.045167,0.044676,-0.020978,-0.0004,0.002908,-0.005996,0.024457,0.024883,0.014254,-0.872259,0.07235,0.04115,-0.064041,-0.020302,-0.01882,0.018888,0.210407,0.813973,0.031868,-0.898281
53,0.045197,0.04455,-0.021073,0.000271,-0.003198,-0.002688,0.033513,0.182386,-0.228438,-0.875362,0.071535,0.040643,-0.063457,-0.025816,-0.006481,0.01154,0.092089,0.475124,-0.155512,-0.894852
54,0.045278,0.044409,-0.021168,0.000228,-0.002678,-0.002257,-0.00214,-0.017459,-0.007299,-0.874872,0.070669,0.040315,-0.062952,-0.025679,-0.005667,0.01209,-0.092011,0.070445,-0.161459,-0.893545
