frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.030445,0.032336,-0.016741,-0.018746,-0.014836,0.014938,0.084071,-0.593927,-0.352107,0.51571,0.067993,0.024651,-0.066367,-0.014751,-0.001965,-0.001951,1.724094,-0.970117,-0.171116,0.014514
2,0.030054,0.032097,-0.016502,-0.018796,-0.016113,0.013858,0.104283,-0.726117,-0.238922,0.517017,0.067793,0.024612,-0.066425,-0.014758,-0.001994,-0.001966,0.161734,-0.671797,-0.474432,0.031006
3,0.029246,0.031547,-0.016007,-0.018847,-0.015485,0.014436,-4.119576,-1.856645,-3.672886,0.519303,0.067459,0.024547,-0.066546,-0.007891,-0.002732,-0.002666,5.462285,-1.09258,0.631871,0.056153
4,0.028565,0.031103,-0.015471,-0.012496,-0.007245,0.012185,0.338899,-1.442728,0.086375,0.520283,0.067258,0.024542,-0.066707,-0.000419,0.002297,-0.006917,0.052285,-0.720266,-0.420185,0.053867
5,0.028295,0.030943,-0.015189,-0.012436,-0.005328,0.013778,0.283276,-1.558051,-0.049283,0.518486,0.067178,0.024573,-0.066796,-0.000233,0.003013,-0.006312,0.042832,-0.394019,-0.234324,0.04162
6,0.027922,0.030863,-0.014663,-0.005659,-0.001964,0.016043,0.485982,-1.66664,-0.009533,0.516527,0.067062,0.024695,-0.067007,-0.007131,0.003991,-0.005671,1.671018,-1.019055,-0.341682,0.014677
7,0.027745,0.031068,-0.014157,0.000718,0.005366,0.012978,1.063058,-1.043608,-0.398543,0.515874,0.067042,0.024838,-0.067286,-0.000431,0.002255,-0.006978,0.051228,-0.615257,-0.327713,-0.027452
8,0.027698,0.031182,-0.013917,-0.005923,0.004764,0.012946,0.456428,-1.276255,0.089282,0.516364,0.067049,0.024914,-0.067475,-0.000733,0.00111,-0.007962,0.043175,-0.342538,-0.204587,-0.04868
9,0.027611,0.031346,-0.013512,0.000581,0.001383,0.009639,0.319781,-0.814809,-0.090125,0.515057,0.067051,0.025056,-0.067894,-0.000934,0.000341,-0.008633,0.036736,-0.117901,-0.075499,-0.07399
10,0.027628,0.031466,-0.013217,0.0002,0.005706,0.004637,0.30449,-0.614793,-0.164876,0.514078,0.067023,0.025154,-0.068372,-0.000987,0.004072,-0.014372,0.067411,0.007328,-0.010056,-0.081664
11,0.027683,0.031605,-0.013025,0.000136,0.00413,0.003335,-0.645796,-0.685206,-1.372798,0.514894,0.066973,0.025146,-0.068842,-0.001572,-0.002067,-0.010766,0.029985,0.112146,-0.205336,-0.083624
12,0.027695,0.031674,-0.012963,0.000143,0.003029,0.00243,-3.140915,0.035103,-4.371238,0.515221,0.066944,0.025109,-0.069043,-0.001451,-0.001598,-0.010374,0.030579,0.097514,-0.180504,-0.08542
13,0.027768,0.031713,-0.012899,0.000328,-0.005682,0.003867,-0.037796,0.017641,-0.010651,0.517017,0.06689,0.025028,-0.069397,-0.001128,-0.000369,-0.009329,0.033986,-0.002815,-0.008783,-0.095217
