frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.112738,-0.010795,0.356708,-0.280895,-0.240505,-0.92914,-0.43105,-0.833351,0.345968,-0.857164,0.497981,0.131574,-0.017103,-0.003741,-0.021085,0.006004,-0.060785,-0.107607,0.244573,-0.175507,0.018272,0.357356,0.511109,0.799136,0.316448,-0.77306,0.588382,-0.236893,-0.376124,-0.124574,0.918082,0.013933,0.013428,0.024233,-0.038034,0.069674,-0.111978,0.533261,0.030399,0.027451,-0.007367,-0.495112,-0.824083,0.275228,0.787205,-0.559544,-0.259263,0.367656,0.088297,0.92576,0.000867,0.000644,0.016401,-0.069487,0.085533,-0.134845,0.522405,0.067599,0.020869,-0.068916,-0.288064,-0.204491,-0.935521,-0.417145,-0.852575,0.314807,-0.861979,0.480933,0.160294,-0.001839,-0.007976,-0.006654,-0.024018,-0.05053,-0.090464,0.139921
2,0.11222,-0.011061,0.356026,-0.273714,-0.241837,-0.930936,-0.427177,-0.836616,0.342877,-0.861422,0.491822,0.126848,-0.016731,-0.001964,-0.019673,-0.003063,-0.343485,0.677819,0.245239,-0.175263,0.018703,0.358149,0.504862,0.802188,0.318745,-0.774372,0.584101,-0.243119,-0.38182,-0.125108,0.915655,0.013052,0.019373,0.012271,0.100779,-0.076549,-0.178677,0.532828,0.030526,0.027658,-0.006971,-0.488802,-0.827065,0.277552,0.788476,-0.554977,-0.265151,0.373332,0.089237,0.923395,0.006508,0.009287,0.005857,0.11255,-0.104929,-0.190498,0.522242,0.067332,0.020732,-0.069267,-0.281183,-0.205645,-0.937361,-0.41313,-0.855684,0.311653,-0.866175,0.474884,0.155646,-0.008329,-0.000883,-0.009746,0.00048,-0.369689,0.763529,0.138615
3,0.111976,-0.011196,0.355736,-0.272391,-0.243611,-0.930861,-0.421875,-0.839242,0.343027,-0.86445,0.486443,0.12699,-0.002637,-0.003134,-0.02046,0.033596,0.010814,-0.034138,0.243477,-0.175043,0.019,0.358431,0.502965,0.804079,0.316976,-0.775405,0.581843,-0.245231,-0.382226,-0.123467,0.915708,0.013825,0.008028,0.020393,0.011606,-0.007705,-0.157016,0.532048,0.030631,0.027798,-0.006841,-0.486925,-0.828936,0.275261,0.789436,-0.552521,-0.267413,0.373756,0.087091,0.923428,0.006497,0.009136,0.005733,0.041437,-0.011679,-0.136213,0.522569,0.067211,0.020665,-0.069405,-0.279732,-0.207174,-0.937458,-0.407869,-0.858301,0.311386,-0.869133,0.469465,0.155594,-0.008449,-0.005396,-0.004653,-0.002158,0.031693,-0.055243,0.137145
4,0.111496,-0.011379,0.355321,-0.272414,-0.243752,-0.930817,-0.421415,-0.839443,0.343099,-0.864667,0.486024,0.127117,-0.015867,-0.006185,-0.005472,-0.00175,0.028019,-0.055106,0.241403,-0.17444,0.019652,0.358828,0.496391,0.809981,0.312279,-0.77616,0.575277,-0.258003,-0.389227,-0.115341,0.913817,0.012938,0.014528,0.008874,0.116597,-0.110725,-0.196654,0.532376,0.030923,0.028117,-0.00664,-0.480402,-0.834291,0.270502,0.790002,-0.545586,-0.279697,0.380931,0.079331,0.921193,0.00646,0.00687,0.004158,0.164689,-0.173671,-0.266742,0.522405,0.066975,0.020569,-0.069622,-0.279772,-0.207285,-0.937422,-0.40742,-0.858499,0.311428,-0.86933,0.469053,0.155732,-0.000895,-0.003814,-0.003217,-0.001709,0.013674,-0.025388,0.13241
5,0.111026,-0.011437,0.355145,-0.272841,-0.244111,-0.930598,-0.421078,-0.839412,0.34359,-0.864696,0.4859,0.127397,-0.014757,-0.001431,-0.001462,-0.001749,0.028025,-0.055103,0.245994,-0.173602,0.020012,0.35896,0.485793,0.8182,0.307482,-0.777476,0.565293,-0.275515,-0.399833,-0.106259,0.910333,0.01287,0.0048,0.002275,2.318276,1.551252,-0.475143,0.532205,0.031341,0.028311,-0.006565,-0.470559,-0.841936,0.264039,0.791991,-0.534931,-0.294273,0.389002,0.070644,0.918523,0.012861,0.00202,0.000383,0.252801,-0.296397,-0.335898,0.522569,0.06674,0.020539,-0.069711,-0.280199,-0.207649,-0.937213,-0.407107,-0.85847,0.311916,-0.86934,0.468944,0.156007,-0.00726,-0.000238,-0.000318,-0.001638,0.014924,-0.029438,0.133063
6,0.110863,-0.011424,0.355113,-0.268909,-0.244858,-0.931546,-0.422175,-0.839334,0.342432,-0.865397,0.485659,0.123494,-0.000498,-0.002091,-0.001772,-0.022073,-0.129132,0.180635,0.247137,-0.173174,0.020108,0.358885,0.484687,0.818671,0.307973,-0.775712,0.565065,-0.280901,-0.404578,-0.103793,0.908519,0.025719,0.000511,-0.001594,0.013584,0.119154,-0.315761,0.531966,0.031551,0.028363,-0.0066,-0.468581,-0.842615,0.265388,0.789399,-0.534231,-0.302398,0.396584,0.067799,0.915491,0.006012,0.004912,-0.005094,0.031065,0.050883,-0.138741,0.522569,0.066653,0.020547,-0.069726,-0.27625,-0.20869,-0.938154,-0.408232,-0.858225,0.311119,-0.870076,0.468931,0.15189,-0.007009,0.000819,0.000575,-0.039994,-0.402751,0.786711,0.135839
7,0.110695,-0.011382,0.355106,-0.264117,-0.245028,-0.932872,-0.423507,-0.839508,0.340353,-0.866227,0.485272,0.119122,-0.01393,0.002053,0.001485,-0.010901,-0.017373,-0.04595,0.244484,-0.172514,0.020132,0.358553,0.478615,0.820735,0.31195,-0.776325,0.561602,-0.286107,-0.410589,-0.106286,0.90553,0.012875,-0.00669,-0.005503,-0.012115,0.097654,-0.167999,0.53231,0.031891,0.028373,-0.006762,-0.462311,-0.844664,0.269835,0.790117,-0.530531,-0.307002,0.402469,0.07127,0.912654,0.012872,-0.003896,-0.003623,-0.024845,0.182354,-0.309659,0.522569,0.066575,0.020569,-0.069729,-0.271273,-0.208604,-0.939624,-0.409673,-0.858362,0.308838,-0.870963,0.468718,0.147391,0.000319,0.005372,-0.004378,0.040606,-0.113135,0.183979,0.136329
8,0.110724,-0.011344,0.355125,-0.262822,-0.244163,-0.933464,-0.423835,-0.839903,0.338968,-0.866462,0.485023,0.118425,0.000292,0.001223,0.001036,-2e-06,-7e-06,-4e-06,0.239749,-0.171856,0.020142,0.358139,0.473295,0.824229,0.310852,-0.778569,0.556539,-0.289877,-0.412498,-0.105872,0.90471,0.02491,0.00581,-0.013866,0.281771,-0.29563,-0.349944,0.530118,0.032229,0.028366,-0.006984,-0.45683,-0.847509,0.270249,0.792358,-0.525766,-0.309416,0.404321,0.072783,0.911716,0.012458,0.002894,-0.006958,0.412379,-0.483525,-0.453501,0.522569,0.066585,0.020589,-0.069719,-0.270248,-0.207479,-0.940169,-0.40993,-0.858774,0.307349,-0.871162,0.468464,0.14703,0.000198,0.000827,0.000702,0.000149,0.001274,0.000561,0.13241
9,0.11083,-0.011296,0.35514,-0.262619,-0.244033,-0.933555,-0.423843,-0.839987,0.338749,-0.86652,0.484942,0.118329,0.000327,0.001372,0.001162,-0.0,-0.0,-0.0,0.239789,-0.171303,0.0204,0.35777,0.472936,0.82438,0.311,-0.778275,0.556388,-0.290954,-0.413465,-0.105491,0.904313,-0.000858,0.010536,-0.008695,0.036506,-0.010284,0.018347,0.524255,0.032505,0.028482,-0.007171,-0.456315,-0.848251,0.268784,0.792095,-0.524853,-0.311631,0.405414,0.0707,0.911394,0.006011,0.005697,-0.004556,0.036201,-0.022099,0.049595,0.522569,0.066638,0.020615,-0.069709,-0.270057,-0.20733,-0.940256,-0.409946,-0.858847,0.307122,-0.871213,0.468395,0.146943,0.000177,0.000741,0.000626,-0.000201,8.8e-05,4.3e-05,0.12947
10,0.110895,-0.011299,0.355139,-0.262604,-0.24402,-0.933563,-0.423848,-0.839992,0.33873,-0.866522,0.484939,0.118323,0.000144,0.000606,0.000514,-0.0,-0.0,-0.0,0.237959,-0.171226,0.020679,0.357595,0.473254,0.824218,0.310945,-0.777786,0.556738,-0.291589,-0.41402,-0.104903,0.904127,-0.000876,0.013694,-0.006545,0.03825,-0.024568,0.043314,0.523851,0.032544,0.028618,-0.007261,-0.45662,-0.848092,0.268769,0.791628,-0.525179,-0.312268,0.405984,0.070177,0.911181,-0.000429,0.006466,-0.003538,0.036161,-0.009783,0.018765,0.522732,0.066671,0.020615,-0.069709,-0.270043,-0.207315,-0.940264,-0.409954,-0.85885,0.307103,-0.871214,0.468396,0.146937,7.4e-05,0.000306,0.000258,-0.00017,6e-05,1.6e-05,0.128654
