frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.108726,-0.01321,0.347003,0.67608,-0.023709,-0.736478,0.294977,0.92461,0.240949,0.674406,-0.38011,0.633025,7e-06,3e-05,2.7e-05,-0.0,-0.0,-0.0,-0.039222,-0.22694,-0.015171,0.321055,0.427983,0.267732,0.863216,-0.723249,0.674132,0.149634,-0.542371,-0.68869,0.481042,8.3e-05,0.000454,0.00046,0.0,0.0,0.0,0.084502,0.01639,0.040125,-0.033816,-0.402638,-0.338616,0.850423,0.809692,-0.565086,0.15835,0.426943,0.752339,0.5017,5.1e-05,0.000286,0.000289,-0.010873,0.102507,-0.17008,-0.059536,0.068735,0.045909,-0.052674,-0.614642,-0.029726,-0.788245,-0.270722,-0.930643,0.246194,-0.740894,0.364717,0.563965,-0.000369,-0.005527,0.004217,-0.034165,0.015897,-0.01741,-0.267556
2,0.10861,-0.013279,0.346939,0.677664,-0.026529,-0.734924,0.299909,0.922439,0.243172,0.670633,-0.385161,0.633979,-0.000645,-0.002611,-0.002344,-0.0,0.0,0.0,-0.038785,-0.226951,-0.015229,0.321099,0.427992,0.267711,0.863218,-0.723339,0.674011,0.14974,-0.542244,-0.688816,0.481006,-0.000161,-0.000882,-0.000895,0.0,0.0,0.0,0.084384,0.016386,0.040099,-0.033791,-0.40265,-0.338597,0.850426,0.809761,-0.564956,0.158459,0.4268,0.752446,0.501662,-0.000118,-0.000641,-0.000653,0.009313,-0.087598,0.145422,-0.059862,0.068677,0.045873,-0.052708,-0.616388,-0.026855,-0.786984,-0.275975,-0.928661,0.247841,-0.737497,0.369954,0.565004,-0.007464,-0.000601,-0.000729,-0.000833,0.027741,-0.055174,-0.265433
3,0.108332,-0.013354,0.346893,0.679583,-0.028996,-0.733057,0.304507,0.920227,0.245823,0.66661,-0.390237,0.635117,-0.000675,-0.002721,-0.002445,-0.000697,0.013629,-0.025384,-0.03872,-0.226939,-0.015288,0.321142,0.427911,0.267709,0.863259,-0.723468,0.673865,0.149776,-0.542135,-0.68896,0.480922,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.084622,0.016391,0.040066,-0.033774,-0.402571,-0.338583,0.850468,0.809866,-0.564794,0.1585,0.426674,0.752574,0.501577,-2e-06,-6e-06,-7e-06,5e-06,2.2e-05,-2.4e-05,-0.060189,0.068537,0.045833,-0.052733,-0.618556,-0.02443,-0.78536,-0.280868,-0.926603,0.250038,-0.733826,0.375245,0.566294,-0.007267,0.000203,-4e-06,0.000269,0.013419,-0.028675,-0.265759
4,0.108218,-0.01337,0.346876,0.679613,-0.028954,-0.73303,0.304473,0.920227,0.245865,0.666595,-0.390239,0.635131,-0.000413,-0.001661,-0.001494,-0.0,0.0,-0.0,-0.039205,-0.226928,-0.015314,0.321159,0.427889,0.267704,0.863271,-0.723518,0.673806,0.149801,-0.542087,-0.689019,0.480891,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.084363,0.016396,0.040053,-0.033765,-0.402551,-0.338575,0.850481,0.809906,-0.564729,0.158528,0.426618,0.752626,0.501547,-2e-06,-2e-06,-7e-06,3e-06,2e-05,-2.7e-05,-0.060026,0.068479,0.045822,-0.052744,-0.61859,-0.024489,-0.785332,-0.280814,-0.926606,0.250086,-0.733818,0.375233,0.566312,-0.007305,5.1e-05,-0.00014,-0.000386,0.0144,-0.029761,-0.26478
5,0.108103,-0.013367,0.34682,0.684737,-0.029411,-0.728228,0.30807,0.917213,0.252556,0.659665,-0.397238,0.638021,-0.000174,-0.0007,-0.00063,-1.122396,1.62939,-1.927535,-0.042714,-0.226927,-0.015324,0.321177,0.427879,0.2677,0.863277,-0.723549,0.673768,0.149822,-0.542053,-0.689058,0.480874,0.0,3e-06,3e-06,0.0,0.0,0.0,0.084103,0.016397,0.040048,-0.033756,-0.402541,-0.338571,0.850487,0.809931,-0.564688,0.158549,0.42658,0.752659,0.501529,-2e-06,-4e-06,-8e-06,-2e-06,1.1e-05,-1.6e-05,-0.060189,0.068421,0.045822,-0.052773,-0.622261,-0.022919,-0.782473,-0.285479,-0.924087,0.254094,-0.728898,0.381492,0.56848,-0.000116,-0.000468,-0.00042,0.001845,-0.002479,0.00259,-0.264126
6,0.108147,-0.013367,0.346821,0.688413,-0.026905,-0.724851,0.306714,0.916375,0.257209,0.656463,-0.399349,0.640003,0.000254,0.001023,0.00092,-0.0,0.0,-0.0,-0.06242,-0.226916,-0.015317,0.32117,0.427916,0.267693,0.863261,-0.723519,0.673797,0.149838,-0.542064,-0.689033,0.480898,0.0,0.0,0.0,0.0,0.0,0.0,0.083663,0.016402,0.040051,-0.033759,-0.402579,-0.338568,0.85047,0.809905,-0.564721,0.158564,0.426594,0.752635,0.501553,-2e-06,-2e-06,-7e-06,-8e-06,2.6e-05,-2.6e-05,-0.060516,0.068443,0.04582,-0.052774,-0.627948,-0.026765,-0.777794,-0.284111,-0.922548,0.261122,-0.724542,0.384951,0.571708,0.000152,0.000613,0.000553,0.002211,-0.003267,0.003846,-0.273597
7,0.108268,-0.013366,0.346826,0.688047,-0.027304,-0.725183,0.30709,0.916366,0.256789,0.656671,-0.399341,0.639795,3.6e-05,0.000145,0.000131,-0.0,0.0,-0.0,-0.075573,-0.226905,-0.015309,0.321163,0.427952,0.267685,0.863245,-0.723489,0.673826,0.149853,-0.542076,-0.689007,0.480921,0.0,0.0,0.0,0.0,0.0,0.0,0.082725,0.016408,0.040055,-0.033763,-0.402616,-0.338565,0.850454,0.809878,-0.564755,0.158579,0.426609,0.752612,0.501576,-3e-06,0.0,-7e-06,-3e-06,-2e-06,-3.1e-05,-0.061332,0.068504,0.045824,-0.052769,-0.627543,-0.026342,-0.778135,-0.284452,-0.92258,0.260635,-0.724758,0.384902,0.571466,2.1e-05,8e-05,7e-05,0.000243,-0.000127,-6.2e-05,-0.286007
8,0.10834,-0.013374,0.346793,0.68769,-0.027679,-0.725508,0.307415,0.916378,0.256357,0.656893,-0.399286,0.639601,-0.000334,-0.001345,-0.00121,0.0,0.0,0.0,-0.08722,-0.226895,-0.01531,0.321162,0.427974,0.267678,0.863237,-0.723478,0.673833,0.149871,-0.542072,-0.689003,0.480931,0.0,0.0,0.0,0.0,0.0,0.0,0.082427,0.016413,0.040055,-0.033764,-0.402639,-0.338561,0.850445,0.809869,-0.564763,0.158596,0.426606,0.752607,0.501586,-3e-06,0.0,-6e-06,-8e-06,2e-06,-2.3e-05,-0.061495,0.068541,0.045823,-0.052783,-0.627178,-0.025963,-0.778442,-0.284736,-0.922622,0.260178,-0.724963,0.384829,0.571256,0.006853,-0.001874,-0.001498,0.000472,-0.001143,0.004077,-0.29058
9,0.10851,-0.013486,0.346697,0.686818,-0.028621,-0.726297,0.308306,0.916356,0.255364,0.657388,-0.399269,0.639103,-0.00085,-0.003433,-0.00309,-0.000696,0.013633,-0.025382,-0.127183,-0.22684,-0.015314,0.321156,0.428084,0.267644,0.863193,-0.723427,0.673867,0.149962,-0.542053,-0.688983,0.480982,0.0,0.0,0.0,0.0,0.0,0.0,0.083066,0.01644,0.040053,-0.033767,-0.402752,-0.338542,0.850399,0.809822,-0.564806,0.158686,0.426589,0.752583,0.501636,-3e-06,1e-06,-8e-06,-1e-06,-8e-06,-3.2e-05,-0.061659,0.068626,0.045769,-0.052829,-0.626276,-0.024992,-0.779199,-0.285549,-0.922674,0.259101,-0.725423,0.384769,0.570712,-0.000338,-0.001365,-0.001232,0.000117,-3.8e-05,-8.6e-05,-0.314256
10,0.108714,-0.013644,0.346574,0.685789,-0.029738,-0.727224,0.309375,0.916318,0.254204,0.65796,-0.399273,0.638511,-0.000577,-0.002335,-0.002104,0.0,0.0,0.0,-0.161792,-0.226807,-0.01531,0.321158,0.42817,0.267618,0.863158,-0.723388,0.673894,0.150032,-0.542038,-0.688967,0.481022,6e-06,3.4e-05,3.5e-05,0.0,0.0,0.0,0.074184,0.016457,0.040055,-0.033765,-0.402839,-0.338529,0.850363,0.809785,-0.564839,0.158755,0.426575,0.752564,0.501675,1e-06,1.5e-05,1.1e-05,-1e-05,-3e-06,-1.1e-05,-0.066067,0.068727,0.045685,-0.052895,-0.625241,-0.023869,-0.780066,-0.286505,-0.922721,0.257874,-0.725939,0.384727,0.570084,0.006713,-0.002467,-0.002037,0.001078,-0.014733,0.029497,-0.34022
11,0.108822,-0.013676,0.346507,0.6855,-0.030038,-0.727484,0.30961,0.916342,0.253833,0.658151,-0.399197,0.638362,-0.000461,-0.001868,-0.001684,0.0,0.0,0.0,-0.181949,-0.226796,-0.015311,0.321157,0.428192,0.267611,0.863149,-0.723378,0.673901,0.150051,-0.542034,-0.688963,0.481032,0.0,1e-06,1e-06,0.0,0.0,0.0,0.07045,0.016462,0.040054,-0.033766,-0.402862,-0.338525,0.850353,0.809776,-0.564848,0.158773,0.426572,0.75256,0.501686,-2e-06,-4e-06,-1.1e-05,-1e-05,3.1e-05,-2.6e-05,-0.070476,0.068781,0.045668,-0.052929,-0.624945,-0.023565,-0.780312,-0.286706,-0.922767,0.257487,-0.726114,0.384636,0.569922,0.006813,-0.002065,-0.001679,0.00037,-0.001101,0.004138,-0.35361
12,0.109093,-0.013637,0.346424,0.686726,-0.029401,-0.726353,0.309375,0.916001,0.255346,0.656982,-0.400027,0.639046,0.0001,0.000407,0.000367,-0.0,0.0,-0.0,-0.22203,-0.226807,-0.015293,0.321146,0.428199,0.267617,0.863144,-0.723348,0.673938,0.150027,-0.542068,-0.688924,0.481049,0.0,0.0,0.0,0.0,0.0,0.0,0.069221,0.016457,0.040063,-0.033771,-0.402869,-0.338531,0.850348,0.809752,-0.564888,0.158748,0.426611,0.752526,0.501702,-2e-06,-1e-06,-7e-06,-1e-05,5e-06,-3e-05,-0.076028,0.068916,0.045686,-0.052972,-0.626234,-0.024234,-0.779257,-0.286606,-0.922372,0.259009,-0.725042,0.38554,0.570676,0.007452,0.004591,-0.004882,0.03645,-0.031445,0.047062,-0.383002
