frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.001177,0.039804,-0.003031,-0.000146,-0.000558,-0.000416,-3.5e-05,-1.3e-05,-9.7e-05,-0.857537,0.082406,0.04165,-0.016791,0.00025,0.001613,0.000981,0.001482,-0.009738,0.026541,-1.100338
2,0.001175,0.039796,-0.003037,-4.1e-05,-0.00016,-0.00012,-3.8e-05,4e-06,-5.6e-05,-0.859333,0.082455,0.041695,-0.01674,0.000259,0.001672,0.001016,0.009498,-0.064638,0.187467,-1.099848
3,0.001173,0.039789,-0.003042,-5.3e-05,-0.000204,-0.000152,-2.7e-05,-1e-06,-4.6e-05,-0.858843,0.082435,0.041725,-0.016721,0.000233,0.001497,0.000911,0.000209,-5.2e-05,-0.000338,-1.100011
4,0.001171,0.039781,-0.003048,4e-06,1.5e-05,1.2e-05,-1e-05,-4e-06,-3.5e-05,-0.85966,0.082389,0.041791,-0.01668,0.00025,0.001611,0.00098,0.00941,-0.064609,0.187645,-1.100827
5,0.001181,0.03978,-0.003049,2e-06,7e-06,1.1e-05,3e-06,-1.7e-05,-3.2e-05,-0.859823,0.082439,0.041863,-0.016655,0.006797,0.000376,8e-05,0.002445,-0.015773,0.030212,-1.101317
6,0.001177,0.039785,-0.003045,-0.006775,0.001026,0.001008,-0.002048,0.015213,-0.029271,-0.859986,0.082483,0.041883,-0.016644,0.006622,-0.000746,-0.0006,0.011435,-0.080173,0.217982,-1.101317
7,0.001176,0.039781,-0.003048,-4e-06,-1.5e-05,-1e-05,-8e-06,6e-06,-2e-05,-0.859823,0.082507,0.041874,-0.01665,0.006496,-0.001561,-0.001094,-0.00014,-0.005482,0.002325,-1.101317
8,0.001174,0.03977,-0.003049,-2.6e-05,-9.6e-05,-7.3e-05,-9e-06,2e-06,-1.9e-05,-0.859823,0.082571,0.041863,-0.016652,1.9e-05,0.000122,7.1e-05,0.016692,-0.053299,0.189957,-1.102134
9,0.001171,0.039778,-0.003043,2.8e-05,0.000107,7.8e-05,-8e-06,3e-06,-1.2e-05,-0.85966,0.082628,0.041862,-0.016642,-2.4e-05,-0.004562,0.005195,-0.03568,0.011405,-0.018973,-1.101807
10,0.001167,0.039783,-0.00304,5e-06,2.1e-05,1.5e-05,-1.5e-05,-6e-06,-3e-06,-0.85917,0.082628,0.041852,-0.016631,-4e-06,-1.7e-05,-1.1e-05,0.009263,-0.064543,0.187913,-1.101481
11,0.00117,0.039772,-0.003048,-0.000105,-0.000399,-0.000298,-7e-06,1e-06,-7e-06,-0.859496,0.082621,0.041817,-0.016604,-2e-06,-8e-06,-4e-06,2.3e-05,3e-06,2.3e-05,-1.100664
12,0.001177,0.039742,-0.003071,-0.000187,-0.000713,-0.000532,-2e-06,-2e-06,-7e-06,-0.859496,0.082627,0.041817,-0.016592,1.7e-05,0.00011,6.9e-05,1.2e-05,9e-06,8e-06,-1.099684
13,0.001178,0.039725,-0.003083,-0.000289,-0.001101,-0.000819,-0.002105,0.011844,-0.026192,-0.859333,0.082633,0.041821,-0.01659,3e-06,2.1e-05,1.3e-05,1.4e-05,-6e-06,1.1e-05,-1.098868
14,0.001153,0.03969,-0.003109,-0.000373,-0.001417,-0.001055,-0.002108,0.011851,-0.026188,-0.859333,0.082629,0.041803,-0.016552,6.1e-05,-0.004009,0.005534,-0.038712,0.002479,-0.025099,-1.097235
15,0.001115,0.039645,-0.003142,-0.00042,-0.001598,-0.001191,-0.002147,0.011833,-0.026294,-0.85966,0.082627,0.041749,-0.016454,6e-05,0.000409,0.000247,0.000618,0.001032,0.000275,-1.096582
16,0.001102,0.039617,-0.003163,-7e-06,-2.7e-05,-2.2e-05,-3.9e-05,-3e-06,-6.6e-05,-0.860149,0.082632,0.041674,-0.016368,-5e-06,-2e-05,-1.2e-05,7e-06,3.3e-05,4.9e-05,-1.095275
17,0.001102,0.039616,-0.003163,0.000123,0.000464,0.000345,-3.6e-05,-4e-06,-5.1e-05,-0.860966,0.082636,0.041645,-0.016344,-1.6e-05,-8.9e-05,-5.3e-05,-2e-06,-1e-06,3.4e-05,-1.094786
18,0.001107,0.039639,-0.003153,0.000186,0.000702,0.000524,-0.014512,0.081709,-0.180761,-0.861456,0.082641,0.041634,-0.016333,-1e-06,1e-06,-1e-06,-2e-06,-1.4e-05,3e-05,-1.093806
19,0.001115,0.039648,-0.003146,-5e-06,-1.8e-05,-1.5e-05,-6e-06,3e-06,-2.8e-05,-0.861782,0.082641,0.041637,-0.016337,-0.0,0.0,-1e-06,3e-06,6e-06,2.3e-05,-1.093153
20,0.001114,0.039646,-0.003147,-0.000155,-0.000585,-0.000436,3e-06,2e-06,-3.7e-05,-0.861946,0.082646,0.041637,-0.016337,1e-06,0.0,-1e-06,1.7e-05,-9e-06,3.3e-05,-1.092826
21,0.001099,0.039629,-0.00316,-0.000165,-0.000627,-0.000468,-7e-06,-1.8e-05,-2.1e-05,-0.862272,0.08266,0.041635,-0.016338,1e-06,0.0,-2e-06,8e-06,-5e-06,2.6e-05,-1.092499
22,0.001063,0.039614,-0.003176,-0.000242,-0.000915,-0.000681,-0.00211,0.011838,-0.026197,-0.861129,0.08267,0.041634,-0.016339,1e-06,0.0,-1e-06,0.009292,-0.064214,0.188022,-1.091683
23,0.001059,0.0396,-0.003186,4e-06,1.4e-05,1.2e-05,-1e-06,3e-06,-1e-05,-0.862272,0.08266,0.041631,-0.016341,-2e-06,-1.5e-05,-9e-06,8e-06,8e-06,6e-06,-1.09054
24,0.001053,0.039598,-0.003188,5e-06,1.9e-05,1.5e-05,-3e-06,-5e-06,-7e-06,-0.862109,0.082655,0.041632,-0.01634,-0.0,5e-06,4e-06,0.011133,0.015851,0.002372,-1.089887
25,0.001048,0.039601,-0.003192,-7.4e-05,-0.000282,-0.00021,-3e-06,1e-05,1e-06,-0.861619,0.082655,0.041629,-0.016336,-0.0,2e-06,-0.0,0.000269,0.000594,0.000306,-1.088907
26,0.001041,0.039581,-0.003213,-0.000202,-0.000769,-0.000573,-4e-06,6e-06,4e-06,-0.860149,0.082659,0.041624,-0.016339,1e-06,6e-06,3e-06,-5.1e-05,3.3e-05,0.000134,-1.088417
27,0.00103,0.039562,-0.003233,-0.000362,-0.001375,-0.001027,-8e-06,5e-06,5e-06,-0.861129,0.08266,0.041628,-0.016337,2.1e-05,0.000137,8.4e-05,-3.4e-05,2.1e-05,0.000108,-1.088417
28,0.001008,0.039542,-0.003325,-0.000457,0.003102,-0.006195,0.035995,-0.014801,0.016026,-0.861456,0.082655,0.041629,-0.016336,-0.0,-2e-06,-2e-06,-2.5e-05,9e-06,6.1e-05,-1.088254
29,0.00097,0.039536,-0.003463,-0.000763,-0.002896,-0.002174,-0.002095,0.011867,-0.026178,-0.861292,0.08266,0.041628,-0.016337,0.0,-1e-06,-2e-06,-6e-06,-6e-06,6.5e-05,-1.088417
30,0.000888,0.039541,-0.003662,-0.000832,-0.003159,-0.002372,-0.002106,0.011895,-0.026157,-0.851005,0.082665,0.041628,-0.016337,1e-06,-0.0,-2e-06,-0.037483,-0.070147,-0.02388,-1.088907
31,0.000853,0.039537,-0.003754,-0.000745,-0.002825,-0.002124,-0.002102,0.01189,-0.026149,-0.80708,0.08267,0.041624,-0.016334,0.0,1e-06,-0.0,0.006372,0.010224,0.002037,-1.088907
32,0.000763,0.039537,-0.003892,-0.000484,-0.001836,-0.00138,0.002446,0.001949,-0.001174,-0.649341,0.082665,0.041621,-0.016329,0.0,0.0,-1e-06,8.6e-05,0.000229,0.000131,-1.08858
33,0.000587,0.039573,-0.004033,-0.000636,0.00243,-0.006706,0.042976,0.004232,-0.014549,-0.414366,0.082664,0.041617,-0.016332,1e-06,5e-06,2e-06,-2.2e-05,3e-06,7.3e-05,-1.073068
34,0.000496,0.039626,-0.004125,-0.007288,0.004002,-0.005288,0.040396,0.019042,-0.043532,-0.307248,0.082659,0.041611,-0.016323,1e-06,4e-06,2e-06,-1.6e-05,-0.0,6.7e-05,-1.034205
35,0.000383,0.039814,-0.004364,-0.007,0.005071,-0.004483,0.036525,0.002284,-0.014563,-0.156041,0.082645,0.041572,-0.016269,-3e-06,-5e-06,-2e-06,-4.8e-05,4.1e-05,0.000185,-0.902592
36,0.000317,0.040026,-0.004592,-5.9e-05,0.004564,-0.005093,0.040874,-0.022013,0.014295,-0.064271,0.082639,0.041528,-0.016218,-2e-06,-2e-06,-0.0,-5.7e-05,2.2e-05,0.000113,-0.748283
37,0.000277,0.040115,-0.004671,-0.006711,0.006122,-0.003687,0.038705,0.002446,-0.015736,-0.034879,0.082629,0.041526,-0.016213,-1e-06,-1e-06,-1e-06,-0.054242,0.03974,-0.032158,-0.660106
38,0.000165,0.040291,-0.004777,0.00013,0.005728,-0.004246,-1.796039,-0.928886,-5.291144,0.019987,0.082592,0.04155,-0.016203,0.000123,0.00082,0.000498,-0.002621,0.004809,-0.005393,-0.458606
39,0.000123,0.040453,-0.004871,0.000267,0.005755,-0.004187,-0.153132,-0.163807,0.108481,0.104571,0.082583,0.041577,-0.016228,-3e-06,-1.6e-05,-9e-06,-0.185835,0.136738,-0.110131,-0.318829
40,0.000118,0.040606,-0.005025,-8.2e-05,0.004478,-0.005156,-1.973919,-1.659621,0.951884,0.213976,0.082598,0.041616,-0.016277,0.0,-5e-06,-4e-06,0.006228,-0.004798,0.004372,-0.246328
41,0.000121,0.040697,-0.005135,-0.000149,0.004214,-0.005351,-0.608422,-0.623055,0.504277,0.276679,0.082613,0.041629,-0.016287,1e-06,5e-06,1e-06,0.00415,-0.003239,0.00303,-0.206975
42,0.000156,0.040958,-0.005387,0.006938,0.004314,-0.005499,0.066061,-0.198562,0.406139,0.413844,0.082647,0.041641,-0.016269,0.000223,0.001441,0.000871,-0.001506,-0.0168,0.027357,-0.090059
43,0.000111,0.041159,-0.005643,-0.007643,0.002593,-0.006352,0.022101,0.004872,-0.047823,0.489774,0.082682,0.041748,-0.016216,0.007181,0.002903,0.001604,-0.051852,0.024145,-0.001507,0.056576
44,5.1e-05,0.041167,-0.005803,-0.001507,-0.000814,-0.009161,0.052059,-0.084123,0.168656,0.503817,0.082714,0.041828,-0.016175,0.007298,0.003694,0.002078,0.009243,-0.029221,0.061218,0.117157
45,-3.6e-05,0.040946,-0.006112,-0.002249,-0.008314,-0.006344,-0.015137,0.097468,-0.204504,0.511491,0.082755,0.041993,-0.016076,0.000571,0.003717,0.002234,0.005625,-0.012498,0.029916,0.204518
46,2e-06,0.040635,-0.006322,0.005576,-0.005579,-0.004493,0.00022,-0.002796,0.003981,0.508879,0.082773,0.042125,-0.01602,0.000249,0.001625,0.000974,0.000373,-0.000259,0.000207,0.254321
47,0.000162,0.040529,-0.006356,0.007054,-0.000125,-0.000314,0.001315,-0.015871,0.030155,0.494999,0.082801,0.042206,-0.016026,8.3e-05,0.004961,-0.004961,0.035879,-0.011098,0.019052,0.281917
48,0.000264,0.040523,-0.006313,0.000735,0.002716,0.002081,0.647922,0.629054,-0.457849,0.48961,0.082816,0.042212,-0.016034,-0.000114,-0.000743,-0.000446,0.009296,-0.064256,0.187991,0.286163
49,0.000475,0.04042,-0.006082,0.007377,-0.008528,0.010414,-0.020997,0.042346,0.002227,0.478343,0.082817,0.042202,-0.01607,-0.00012,-0.000788,-0.000474,1.6e-05,1.6e-05,-1.3e-05,0.288939
